Date,Open,High,Low,Close,Volume,AdjClose
01-Aug-2013,35,40.64,33,40.11,14762456,40.11
02-Aug-2013,41.07,41.5,38.48,39.98,2108713,39.98
05-Aug-2013,40.07,41.85,39.25,41.13,789500,41.13
06-Aug-2013,41.51,41.51,38.58,39.77,711685,39.77
07-Aug-2013,40.24,40.25,38.63,39.3,1120326,39.3
08-Aug-2013,40.04,40.1,39,39.11,472942,39.11
09-Aug-2013,39,39.64,38.63,38.84,298409,38.84
12-Aug-2013,38.52,38.83,37.3,37.6,547441,37.6
13-Aug-2013,37.31,38.2,36.71,37.89,559610,37.89
14-Aug-2013,37.98,39,37.8,38.9,253276,38.9
15-Aug-2013,38.7,39.33,38.4,39.17,247766,39.17
16-Aug-2013,39.88,40.19,39.2,39.34,666679,39.34
19-Aug-2013,39.5,39.8,38.1,38.36,204900,38.36
20-Aug-2013,38.25,38.42,37.3,38.29,273209,38.29
21-Aug-2013,38.58,38.58,37.12,37.22,204320,37.22
22-Aug-2013,37.11,39,37.11,38.59,205310,38.59
23-Aug-2013,41.5,41.75,38.3,39.06,1030906,39.06
26-Aug-2013,39.34,39.88,38.25,38.99,230164,38.99
27-Aug-2013,38.05,38.19,37.75,37.88,267066,37.88
28-Aug-2013,38.38,38.39,37.33,37.47,215229,37.47
29-Aug-2013,37.1,37.5,36.8,37.38,350273,37.38
30-Aug-2013,37.44,38.01,36.23,36.96,574268,36.96
03-Sep-2013,37.66,37.66,36.53,36.75,236420,36.75
04-Sep-2013,36.9,37.03,36.5,36.8,275443,36.8
05-Sep-2013,36.87,37.1,36.8,36.87,220705,36.87
06-Sep-2013,37.11,39,36.99,38.84,216367,38.84
09-Sep-2013,39.34,39.34,38.29,39.03,147707,39.03
10-Sep-2013,38.1,39.46,36.87,38.22,593749,38.22
11-Sep-2013,38.28,38.68,37.18,38.21,622549,38.21
12-Sep-2013,38.23,38.7,37.68,38.62,193207,38.62
13-Sep-2013,38.87,39.1,38.65,38.89,124163,38.89
16-Sep-2013,39.25,39.85,39.13,39.43,410900,39.43
17-Sep-2013,39.42,40.32,39.04,39.56,366451,39.56
18-Sep-2013,39.69,40.63,39.69,40.56,289118,40.56
19-Sep-2013,41,42.51,41,41.86,662350,41.86
20-Sep-2013,42.54,44.75,42.46,42.99,1127834,42.99
23-Sep-2013,44.4,44.56,43.2,44.54,449084,44.54
24-Sep-2013,44.83,45.5,44.52,45.38,329979,45.38
25-Sep-2013,45.5,46.31,43.61,44.23,316136,44.23
26-Sep-2013,44.54,45.58,44.29,44.85,291490,44.85
27-Sep-2013,44.2,45.95,42.06,45.17,630410,45.17
30-Sep-2013,43.71,44.85,43.41,44.39,1399007,44.39
01-Oct-2013,44.21,45,43.71,44.94,209947,44.94
02-Oct-2013,45.77,46.37,45,46.35,565417,46.35
03-Oct-2013,46.16,46.26,45.6,46.02,362345,46.02
04-Oct-2013,46.07,48.15,46.01,48.12,828040,48.12
07-Oct-2013,47.92,48,45.53,45.69,633604,45.69
08-Oct-2013,45.5,45.54,42.11,42.84,1133309,42.84
09-Oct-2013,42.47,44.99,42.24,44.79,734142,44.79
10-Oct-2013,45.46,46.85,45.15,46.48,537985,46.48
11-Oct-2013,46.57,47.92,45.85,46.2,447642,46.2
14-Oct-2013,45.19,47.05,44.86,46.4,414693,46.4
15-Oct-2013,46.5,46.74,45.84,46.42,504300,46.42
16-Oct-2013,46.46,47.26,46.46,47,505283,47
17-Oct-2013,46.91,47.76,46.5,47.47,416026,47.47
18-Oct-2013,47.98,48.39,47.21,48.1,242501,48.1
21-Oct-2013,48.32,49.34,47.38,49.11,277329,49.11
22-Oct-2013,49.03,49.45,47.25,47.53,204225,47.53
23-Oct-2013,47.28,47.93,45.31,46.22,353300,46.22
24-Oct-2013,46.64,47.32,46.22,46.62,247291,46.62
25-Oct-2013,46.8,47.13,46.11,46.58,151319,46.58
28-Oct-2013,46.44,47.73,46.44,47.54,226480,47.54
29-Oct-2013,47.53,47.71,45.86,46.6,169690,46.6
30-Oct-2013,46.57,47.22,46.06,46.3,234858,46.3
31-Oct-2013,46.31,46.64,45.4,46.06,390787,46.06
01-Nov-2013,45.95,46.11,44.23,45.34,300933,45.34
04-Nov-2013,45.5,47,45.07,46.9,245495,46.9
05-Nov-2013,46.78,47.71,46.5,47.45,184761,47.45
06-Nov-2013,47.88,48.1,47.45,48.04,357936,48.04
07-Nov-2013,47.39,47.39,45.62,46.58,1395954,46.58
08-Nov-2013,44.6,48.95,44.21,45.69,825661,45.69
11-Nov-2013,45.49,46.42,44.73,45.14,268924,45.14
12-Nov-2013,45.01,45.8,44.11,44.67,243961,44.67
13-Nov-2013,44.28,44.74,43.68,44.66,363734,44.66
14-Nov-2013,44.63,44.66,43.43,43.65,236989,43.65
15-Nov-2013,43.55,43.68,42.78,43.05,510185,43.05
18-Nov-2013,43.1,43.15,40.51,40.59,562207,40.59
19-Nov-2013,40,41.34,39.02,39.66,1115329,39.66
20-Nov-2013,39.62,39.76,37.9,38.18,946172,38.18
21-Nov-2013,38.19,39.3,37.9,38.31,1147801,38.31
22-Nov-2013,39.05,39.1,37.46,37.86,1244052,37.86
25-Nov-2013,37.73,37.86,37.05,37.52,1286539,37.52
26-Nov-2013,36.55,38.05,36.11,38,10716316,38
27-Nov-2013,38.29,38.79,37.82,38.1,1634905,38.1
29-Nov-2013,38.14,38.23,37.55,37.84,491865,37.84
02-Dec-2013,38,38.52,37.65,38.2,2105982,38.2
03-Dec-2013,37.93,38.41,37.68,38.3,911228,38.3
04-Dec-2013,38.4,38.61,37.87,38.3,807293,38.3
05-Dec-2013,38.15,38.27,37.51,37.58,679532,37.58
06-Dec-2013,38,38.06,37.69,37.85,671536,37.85
09-Dec-2013,38,38,37.44,37.49,804437,37.49
10-Dec-2013,37.34,37.62,36.55,36.6,684579,36.6
11-Dec-2013,37.26,37.45,36.61,36.89,1403180,36.89
12-Dec-2013,36.89,37,36.49,36.56,864026,36.56
13-Dec-2013,36.69,36.98,36.29,36.29,601524,36.29
16-Dec-2013,36.87,36.93,35.94,36.01,730803,36.01
17-Dec-2013,36.19,37.14,35.58,37.06,1060956,37.06
18-Dec-2013,36.67,37.55,36.5,37.44,857571,37.44
19-Dec-2013,37.18,37.6,37.02,37.57,679977,37.57
20-Dec-2013,37.02,37.9,37.02,37.81,1704057,37.81
23-Dec-2013,37.86,37.9,37.65,37.81,361799,37.81
24-Dec-2013,37.67,38.15,37.63,37.97,192939,37.97
26-Dec-2013,38,38.47,37.92,38.23,290072,38.23
27-Dec-2013,38.3,38.46,37.85,38.19,864361,38.19
30-Dec-2013,38.03,38.38,37.59,38.03,359721,38.03
31-Dec-2013,37.91,38.5,37.8,38.43,424253,38.43
02-Jan-2014,38.18,38.5,37.28,37.51,526306,37.51
03-Jan-2014,37.43,37.86,36.66,37.6,797570,37.6
06-Jan-2014,37.57,37.77,36.14,36.79,1140017,36.79
07-Jan-2014,36.89,37.83,36.8,37.52,630361,37.52
08-Jan-2014,37.42,38.62,37.29,38.45,579240,38.45
09-Jan-2014,38.4,38.6,36.62,38.2,1271705,38.2
10-Jan-2014,38.11,38.43,37.89,38.34,716090,38.34
13-Jan-2014,38.16,39.74,37.25,37.65,1128910,37.65
14-Jan-2014,37.8,39.85,37.68,39.63,1162090,39.63
15-Jan-2014,39.67,40.06,38.9,39.23,988281,39.23
16-Jan-2014,39.31,40.09,38.85,39.55,659363,39.55
17-Jan-2014,39.34,39.57,37.61,38.06,477726,38.06
21-Jan-2014,38.43,38.6,37.12,37.35,842195,37.35
22-Jan-2014,37.48,37.85,37.14,37.7,318340,37.7
23-Jan-2014,37.6,37.6,36.95,37.15,478627,37.15
24-Jan-2014,36.89,37.4,35.33,35.56,1144140,35.56
27-Jan-2014,35.69,36.68,35.21,36.28,786781,36.28
28-Jan-2014,36.32,36.48,35.52,35.55,518817,35.55
29-Jan-2014,35.22,35.69,34.93,35.15,677606,35.15
30-Jan-2014,35.38,35.52,34.81,35.1,769432,35.1
31-Jan-2014,34.8,36.12,34.5,35.74,670367,35.74
03-Feb-2014,35.55,36.09,34.39,34.63,1135805,34.63
04-Feb-2014,34.95,36.15,34.72,34.98,813858,34.98
05-Feb-2014,35.24,35.24,34.55,34.91,387560,34.91
06-Feb-2014,34.94,35.64,34.56,35.28,668331,35.28
07-Feb-2014,35.2,35.81,34.85,35.06,951297,35.06
10-Feb-2014,35.25,35.25,34.37,34.62,803691,34.62
11-Feb-2014,34.96,34.96,34.27,34.59,894404,34.59
12-Feb-2014,34.82,35.25,34.66,35.04,1092623,35.04
13-Feb-2014,34.19,34.92,34.04,34.85,1049225,34.85
14-Feb-2014,34.93,35.16,34.6,35,605891,35
18-Feb-2014,34.95,35.75,34.84,35.5,726676,35.5
19-Feb-2014,35.38,36.55,35.38,36.44,536385,36.44
20-Feb-2014,36.62,36.96,35.85,35.98,484269,35.98
21-Feb-2014,35.75,36.43,35.65,35.95,457847,35.95
24-Feb-2014,36.05,36.44,35.55,35.93,410027,35.93
25-Feb-2014,35.87,36.2,35.71,35.96,490874,35.96
26-Feb-2014,36.48,37.53,36.02,36.85,843391,36.85
27-Feb-2014,37.16,37.67,36.76,37.46,1121848,37.46
28-Feb-2014,38.42,39.98,37.39,38.97,3161215,38.97
03-Mar-2014,38.35,39.07,38.02,38.51,819493,38.51
04-Mar-2014,39.04,39.22,38.51,39.01,874599,39.01
05-Mar-2014,38.97,39.58,38.61,39.24,591465,39.24
06-Mar-2014,39.49,39.72,38.69,39,363675,39
07-Mar-2014,39,39.1,38.52,38.66,399007,38.66
10-Mar-2014,38.73,38.74,37.78,37.9,629441,37.9
11-Mar-2014,37.96,38.09,37.02,37.1,975592,37.1
12-Mar-2014,36.83,38.4,36.8,38.12,1423630,38.12
13-Mar-2014,38.2,38.54,37.95,38.5,1043664,38.5
14-Mar-2014,38.46,38.55,37.78,37.95,707108,37.95
17-Mar-2014,38.03,38.35,37.47,37.83,599110,37.83
18-Mar-2014,37.03,37.33,35.86,37.16,1859764,37.16
19-Mar-2014,37.01,37.7,36.95,37.31,679212,37.31
20-Mar-2014,37.22,37.66,36.83,37.13,326655,37.13
21-Mar-2014,37.14,37.37,36.68,36.96,577406,36.96
24-Mar-2014,36.93,36.97,35.76,35.94,703513,35.94
25-Mar-2014,36.26,36.5,35.38,35.49,613081,35.49
26-Mar-2014,36.85,37.15,34.91,35.28,1751350,35.28
27-Mar-2014,35,35,33.92,34.17,1425728,34.17
28-Mar-2014,34.87,36.55,34.75,36.47,5638051,36.47
31-Mar-2014,36.4,36.54,35.78,36.03,1151907,36.03
01-Apr-2014,36.06,37.44,35.8,37.21,1032275,37.21
02-Apr-2014,37.19,38.14,36.64,38.12,1101760,38.12
03-Apr-2014,38.1,38.35,37.62,38.23,833708,38.23
04-Apr-2014,38.34,38.34,35.63,36.68,2359773,36.68
07-Apr-2014,36.62,36.65,35.05,35.42,1184016,35.42
08-Apr-2014,36.29,37.4,35.96,36.56,843216,36.56
09-Apr-2014,36.72,37.01,36.2,36.87,368020,36.87
10-Apr-2014,36.8,37,35.37,35.61,702427,35.61
11-Apr-2014,35.3,35.84,34.5,34.63,635374,34.63
14-Apr-2014,35.05,35.18,34.28,34.6,516554,34.6
15-Apr-2014,34.91,35.14,33.56,33.9,638993,33.9
16-Apr-2014,34.07,34.84,33.68,33.84,435661,33.84
17-Apr-2014,33.85,34.34,33.62,33.93,244224,33.93
21-Apr-2014,33.94,34.59,33.41,34.26,342765,34.26
22-Apr-2014,34.2,34.77,34.01,34.24,638208,34.24
23-Apr-2014,34.77,34.82,33.95,33.99,376044,33.99
24-Apr-2014,34.28,34.28,33.11,33.31,856433,33.31
25-Apr-2014,33.25,33.6,32.86,32.91,939288,32.91
28-Apr-2014,33.14,33.39,31.85,32.2,973243,32.2
29-Apr-2014,32.16,32.42,31.91,32,596597,32
30-Apr-2014,31.87,32.18,31.52,31.97,565783,31.97
01-May-2014,32.05,32.3,31.78,31.99,620415,31.99
02-May-2014,31.49,31.95,31.1,31.54,1249666,31.54
05-May-2014,30.96,31.6,30.73,30.77,1170167,30.77
06-May-2014,30.85,31.56,30.56,31.09,997859,31.09
07-May-2014,28.9,28.96,25.73,27.4,5834361,27.4
