Date,Open,High,Low,Close,Volume,AdjClose
30-May-1996,0,2.53,2.38,2.53,24613600,1.91
31-May-1996,0,2.62,2.47,2.53,4184000,1.91
03-Jun-1996,0,2.83,2.53,2.66,3574400,2.01
04-Jun-1996,0,2.72,2.59,2.67,2284800,2.02
05-Jun-1996,0,2.67,2.59,2.66,134400,2.01
06-Jun-1996,0,2.62,2.53,2.53,709600,1.91
07-Jun-1996,0,2.5,2.34,2.48,1402400,1.87
10-Jun-1996,0,2.59,2.44,2.55,736000,1.93
11-Jun-1996,0,2.69,2.53,2.66,1311200,2.01
12-Jun-1996,0,2.84,2.62,2.77,1234400,2.09
13-Jun-1996,0,2.88,2.75,2.75,1677600,2.08
14-Jun-1996,0,2.81,2.75,2.77,1187200,2.09
17-Jun-1996,0,2.81,2.75,2.75,380000,2.08
18-Jun-1996,0,2.81,2.75,2.77,1241600,2.09
19-Jun-1996,0,2.81,2.75,2.75,157600,2.08
20-Jun-1996,0,2.78,2.69,2.69,750400,2.03
21-Jun-1996,0,2.69,2.69,2.69,76000,2.03
24-Jun-1996,0,2.75,2.69,2.75,689600,2.08
25-Jun-1996,0,2.72,2.69,2.69,438400,2.03
26-Jun-1996,0,2.75,2.69,2.75,171200,2.08
27-Jun-1996,NaN,NaN,NaN,2.75,0,2.08
28-Jun-1996,NaN,NaN,NaN,2.75,0,2.08
01-Jul-1996,0,2.81,2.72,2.72,796000,2.05
02-Jul-1996,0,2.77,2.73,2.73,867200,2.06
03-Jul-1996,0,2.81,2.73,2.73,138400,2.06
05-Jul-1996,0,2.75,2.73,2.75,100000,2.08
08-Jul-1996,0,2.78,2.78,2.78,69600,2.1
09-Jul-1996,0,2.77,2.7,2.75,2109600,2.08
10-Jul-1996,0,2.75,2.72,2.72,1193600,2.05
11-Jul-1996,0,2.73,2.62,2.62,1246400,1.98
12-Jul-1996,0,2.64,2.59,2.59,317600,1.96
15-Jul-1996,0,2.62,2.59,2.61,150400,1.97
16-Jul-1996,0,2.61,2.59,2.59,196000,1.96
17-Jul-1996,0,2.66,2.61,2.61,119200,1.97
18-Jul-1996,0,2.69,2.61,2.62,60800,1.98
19-Jul-1996,0,2.67,2.64,2.67,239200,2.02
22-Jul-1996,0,2.61,2.61,2.61,5600,1.97
23-Jul-1996,0,2.66,2.61,2.62,190400,1.98
24-Jul-1996,0,2.64,2.59,2.62,196000,1.98
25-Jul-1996,0,2.67,2.61,2.67,4800,2.02
26-Jul-1996,0,2.62,2.61,2.62,12800,1.98
