Date,Open,High,Low,Close,Volume,AdjClose
31-Jan-1992,0,12.25,10.94,11.12,19977200,5.89
03-Feb-1992,0,11.19,10.56,10.81,4132000,5.73
04-Feb-1992,0,10.88,10.62,10.62,1891000,5.63
05-Feb-1992,0,11.38,10.88,11.06,3734600,5.86
06-Feb-1992,0,11.25,11,11.12,1074200,5.89
07-Feb-1992,0,11.25,10.88,11.12,916200,5.89
10-Feb-1992,0,11.25,10.5,10.5,1289800,5.56
11-Feb-1992,0,11.38,10.5,11,1285600,5.83
12-Feb-1992,0,11.38,11,11.12,1226000,5.89
13-Feb-1992,0,11.25,10.5,10.62,786400,5.63
14-Feb-1992,0,11,10.5,10.88,584600,5.76
18-Feb-1992,0,11,10.38,10.38,918400,5.5
19-Feb-1992,0,10.62,10.38,10.62,977800,5.63
20-Feb-1992,0,10.62,10.38,10.5,846200,5.56
21-Feb-1992,0,10.5,10.12,10.12,664000,5.36
24-Feb-1992,0,10.62,10.12,10.5,791200,5.56
25-Feb-1992,0,10.75,10.38,10.44,431400,5.53
26-Feb-1992,0,10.62,10.25,10.31,391600,5.46
27-Feb-1992,0,10.5,10.25,10.31,919400,5.46
28-Feb-1992,0,10.75,10.25,10.62,647400,5.63
02-Mar-1992,0,10.88,10.5,10.75,539600,5.69
03-Mar-1992,0,10.88,10.5,10.75,398000,5.69
04-Mar-1992,0,10.62,10.12,10.19,434600,5.4
05-Mar-1992,0,10,9.38,9.5,2622600,5.03
06-Mar-1992,0,10.12,9.5,9.75,1099600,5.16
09-Mar-1992,0,9.88,9.5,9.88,101200,5.23
10-Mar-1992,0,10.12,9.62,9.62,775400,5.1
11-Mar-1992,0,9.75,9.38,9.44,1485600,5
12-Mar-1992,0,9.62,9.12,9.25,508200,4.9
13-Mar-1992,0,9.38,9.25,9.25,761000,4.9
16-Mar-1992,0,9.38,9.19,9.31,390600,4.93
17-Mar-1992,0,9.38,9.12,9.38,163200,4.97
18-Mar-1992,0,9.25,9,9.12,357200,4.83
