Date,Open,High,Low,Close,Volume,AdjClose
03-Nov-2015,74.54,77.39,73.7,76.31,1128215,70.89
04-Nov-2015,76.24,77.47,74.5,75.51,2176288,70.15
05-Nov-2015,75.64,77.21,75.23,76.83,807126,71.38
06-Nov-2015,76.84,76.84,75.08,75.46,660633,70.1
09-Nov-2015,75.21,75.45,73.1,73.75,958070,68.52
10-Nov-2015,73.4,74.68,73.4,74.51,2114832,69.22
11-Nov-2015,74.56,74.72,73.26,73.62,417036,68.39
12-Nov-2015,73.65,73.75,72.22,73.24,711268,68.04
13-Nov-2015,73.15,74.35,72.89,74.05,1240997,68.79
16-Nov-2015,74.14,75.64,73.8,75.29,954118,69.95
17-Nov-2015,75.66,75.8,74.87,75.3,885982,69.96
18-Nov-2015,75.26,75.79,75,75.78,606934,70.4
19-Nov-2015,75.88,75.88,74.06,74.56,342214,69.27
20-Nov-2015,75.01,75.49,74.45,74.59,745523,69.3
23-Nov-2015,74.25,74.67,73.68,74.28,958425,69.01
24-Nov-2015,73.7,75.12,73.3,75.04,1128898,69.71
25-Nov-2015,74.86,76.34,74.86,76.04,594702,70.64
27-Nov-2015,76.34,76.5,75.88,76.35,240174,70.93
30-Nov-2015,76.41,76.56,75.94,76.38,717983,70.96
01-Dec-2015,76.69,77.12,76,76.9,585107,71.44
02-Dec-2015,76.89,77.19,75.25,76.18,2246054,70.77
03-Dec-2015,76.19,76.92,73.48,73.53,744640,68.31
04-Dec-2015,73.51,74.88,73.2,74.24,715000,68.97
07-Dec-2015,74.49,76.74,74.02,76.47,1184909,71.04
08-Dec-2015,75.38,77,72.73,73.1,1588860,67.91
09-Dec-2015,72.97,73.61,71.66,72.08,1053675,66.96
10-Dec-2015,72.52,73.7,72.31,73.39,963199,68.18
11-Dec-2015,72.44,73.28,72.2,72.35,857227,67.21
14-Dec-2015,72.49,73.38,71.13,71.65,798704,66.56
15-Dec-2015,72.11,72.8,71.77,71.97,809639,66.86
16-Dec-2015,72.78,74.32,72.32,74.1,1107376,68.84
17-Dec-2015,74.37,74.69,73.57,73.57,669099,68.35
18-Dec-2015,73.29,73.53,70.96,71.03,2494135,65.99
21-Dec-2015,71.37,71.66,70.7,71.18,827970,66.13
22-Dec-2015,72.42,74.92,72.42,74.01,1263928,69.31
23-Dec-2015,74.76,76.91,74.44,76.83,925490,71.95
24-Dec-2015,76.83,77.36,76.41,76.61,258732,71.74
28-Dec-2015,76.57,76.82,75.42,76.39,700212,71.54
29-Dec-2015,77.06,77.85,76.1,77.73,510664,72.79
30-Dec-2015,78.01,78.77,76.89,76.95,404954,72.06
31-Dec-2015,76.82,76.82,75.32,75.34,588085,70.55
04-Jan-2016,74.11,74.98,73.39,74.37,863287,69.64
05-Jan-2016,74.32,75.01,73.43,74.29,739376,69.57
06-Jan-2016,73.37,75.1,73.24,74.41,696560,69.68
07-Jan-2016,73,74.22,72.32,72.5,500691,67.89
08-Jan-2016,72.64,72.87,70.45,70.55,598935,66.07
11-Jan-2016,70.82,71.55,68.94,69.63,659107,65.21
12-Jan-2016,70.12,70.54,68.9,69.62,924839,65.2
13-Jan-2016,69.76,70.19,66.97,67,691054,62.74
14-Jan-2016,67.16,68.32,66.21,67.92,783798,63.6
15-Jan-2016,66.26,67.42,65.77,67.33,714647,63.05
19-Jan-2016,67.9,68.36,66.53,67.08,700426,62.82
20-Jan-2016,66.18,68.57,65.18,67.87,1149908,63.56
21-Jan-2016,67.89,68.66,67.04,67.6,858932,63.3
22-Jan-2016,68.41,69.57,68.2,69.56,612262,65.14
25-Jan-2016,69.33,70.3,69.08,69.41,570620,65
26-Jan-2016,69.59,69.87,68.72,69.35,660912,64.94
27-Jan-2016,69,70.51,68.68,68.91,773012,64.53
28-Jan-2016,69.25,69.56,66.67,67.88,876381,63.57
29-Jan-2016,68.25,69.37,68.25,69.24,656508,64.84
01-Feb-2016,68.49,70.13,68.49,69.83,736774,65.39
02-Feb-2016,68.99,69.34,68.48,69.11,433128,64.72
03-Feb-2016,69.77,69.77,68.2,68.92,666790,64.54
04-Feb-2016,68.97,69.44,68.35,68.66,943027,64.3
05-Feb-2016,68.29,68.43,66.47,66.76,716846,62.52
08-Feb-2016,65.86,66.28,63.71,65.46,737398,61.3
09-Feb-2016,66.48,67.98,65.18,66.47,1438382,62.25
10-Feb-2016,67.02,67.36,64.09,64.2,1173577,60.12
11-Feb-2016,62.28,63.69,61.41,62.47,834904,58.5
12-Feb-2016,63.17,63.23,61.38,62.61,666789,58.63
16-Feb-2016,63.03,64.25,62.85,64.02,510415,59.95
17-Feb-2016,64.32,65.16,64.1,64.67,566643,60.56
18-Feb-2016,64.73,65.29,63.59,63.7,574964,59.65
19-Feb-2016,63.54,63.78,62.68,63.62,552696,59.58
22-Feb-2016,64.14,64.6,63.4,64.48,638442,60.38
23-Feb-2016,63.96,64.23,62.65,62.77,721188,58.78
24-Feb-2016,62.39,63.46,61.64,63.39,444156,59.36
25-Feb-2016,63.52,65.3,63.36,65.26,512015,61.11
26-Feb-2016,65.19,65.34,64.45,64.54,509961,60.44
29-Feb-2016,64.59,64.96,63.32,64.32,843077,60.23
01-Mar-2016,64.62,65.58,64.35,65.01,590015,60.88
02-Mar-2016,64.78,65.67,64.78,65.3,585486,61.15
03-Mar-2016,65.24,66.07,65.06,66.02,555427,61.82
04-Mar-2016,66,67.1,65.97,66.98,632312,62.72
07-Mar-2016,66.66,68,66.38,68,623481,63.68
08-Mar-2016,67.45,68.44,67.28,67.34,996312,63.06
09-Mar-2016,67.32,67.54,67.13,67.37,780852,63.09
10-Mar-2016,67.36,68.01,66.19,66.4,892903,62.18
11-Mar-2016,66.91,68.64,66.65,68.54,856442,64.74
14-Mar-2016,68.18,68.74,67.1,67.67,683810,63.91
15-Mar-2016,67.07,67.46,66.65,66.77,659658,63.06
16-Mar-2016,66.38,67.36,66.38,66.92,449213,63.21
17-Mar-2016,66.69,67.02,66.03,66.29,612335,62.61
18-Mar-2016,66.41,67.8,66.21,67.5,1484914,63.75
21-Mar-2016,67.2,68.69,67.02,68.5,520599,64.7
22-Mar-2016,67.99,69.29,67.96,69.12,601007,65.28
23-Mar-2016,69.12,69.71,69.01,69.42,982221,65.57
24-Mar-2016,68.91,69.41,68.43,69.22,991550,65.38
28-Mar-2016,69.22,70.34,69.04,70.18,632335,66.28
29-Mar-2016,69.97,71.81,69.71,71.73,1132607,67.75
30-Mar-2016,72,72.78,71.56,71.74,664427,67.76
31-Mar-2016,71.87,72.28,70.74,71.05,696969,67.11
01-Apr-2016,70.86,72.27,70.49,72.25,628888,68.24
04-Apr-2016,72.24,72.51,70.33,70.52,686231,66.61
05-Apr-2016,69.83,69.83,68.49,69.2,797208,65.36
06-Apr-2016,69.01,70.25,68.67,70.2,828511,66.3
07-Apr-2016,69.61,69.98,69.32,69.72,436845,65.85
08-Apr-2016,70.14,70.4,69.74,70.17,311025,66.27
11-Apr-2016,70.32,70.88,69.97,70.14,511447,66.25
12-Apr-2016,70.06,71.02,69.53,70.95,548825,67.01
13-Apr-2016,71.42,72,70.77,71.82,544105,67.83
14-Apr-2016,71.77,71.88,71.19,71.54,1096029,67.57
15-Apr-2016,71.54,71.93,70.97,71.31,444436,67.35
18-Apr-2016,71.18,72.76,70.73,72.65,442679,68.62
19-Apr-2016,72.9,73.13,72.25,72.54,412288,68.51
20-Apr-2016,72.88,73.1,71.99,72.55,311650,68.52
21-Apr-2016,72.34,73.52,72.1,72.94,432189,68.89
22-Apr-2016,72.9,74.1,72.5,72.93,461806,68.88
25-Apr-2016,72.5,72.91,71.83,72.04,543743,68.04
26-Apr-2016,72,73.05,71.84,72.79,379873,68.75
27-Apr-2016,72.99,73.49,72.16,72.41,381243,68.39
28-Apr-2016,71.91,72.5,71.23,71.4,406509,67.44
29-Apr-2016,71.12,71.12,70.18,70.67,427045,66.75
02-May-2016,70.65,71.42,70.44,70.59,790414,66.67
03-May-2016,70.4,70.41,69.26,69.6,509153,65.74
04-May-2016,69.29,70.72,69.11,70.52,690767,66.61
05-May-2016,70.59,71.71,70.59,71.38,365923,67.42
06-May-2016,70.84,71.5,70.62,71.31,441306,67.35
09-May-2016,71.09,72.64,70.93,72.06,372000,68.06
10-May-2016,72.41,72.53,71.22,72.49,379534,68.47
11-May-2016,72.55,72.55,71.67,71.69,275054,67.71
12-May-2016,71.65,72,71.11,71.76,484408,67.78
13-May-2016,71.3,72.11,70.96,71.16,477350,67.21
16-May-2016,71.18,72.53,71.18,72.36,682316,68.34
17-May-2016,72.42,72.42,70.26,70.37,867135,66.46
18-May-2016,64.79,69.48,64.39,68.75,2427656,64.93
19-May-2016,68.38,70.06,68.21,70,1031687,66.11
20-May-2016,70.26,70.52,69.58,69.87,752872,65.99
23-May-2016,70.03,70.16,68.57,68.69,545191,64.88
24-May-2016,69.3,70.38,68.38,69.87,711779,65.99
25-May-2016,69.93,70.3,69.21,69.42,538794,65.57
26-May-2016,69.55,69.7,68.25,68.4,765671,64.6
27-May-2016,68.33,69.63,68.08,69.38,581075,65.53
31-May-2016,69.38,69.56,68.89,69.43,598463,65.58
01-Jun-2016,69.36,70.05,68.98,69.72,663603,65.85
02-Jun-2016,69.55,70.26,69.3,69.82,505684,65.94
03-Jun-2016,70.59,71.76,70.05,70.5,929192,66.59
06-Jun-2016,70.32,70.51,69.67,70.27,631212,66.37
07-Jun-2016,70.36,71.14,69.95,70.83,609625,66.9
08-Jun-2016,70.75,71.72,70.59,71.55,483059,67.58
09-Jun-2016,71.29,72.02,71.12,71.67,368957,67.69
