Date,Open,High,Low,Close,Volume,AdjClose
20-Nov-1992,0,11.62,11.25,11.62,4673900,2.95
23-Nov-1992,0,11.62,11.5,11.5,658500,2.92
24-Nov-1992,0,11.62,11.38,11.38,493200,2.89
25-Nov-1992,0,11.62,11.5,11.62,454900,2.95
27-Nov-1992,0,11.62,11.5,11.5,74900,2.92
30-Nov-1992,0,11.62,11.38,11.5,190200,2.92
01-Dec-1992,0,11.5,11.5,11.5,184700,2.92
02-Dec-1992,0,11.62,11.5,11.5,145800,2.92
03-Dec-1992,0,11.88,11.5,11.75,150200,2.98
04-Dec-1992,0,11.88,11.75,11.75,114400,2.98
07-Dec-1992,0,11.88,11.62,11.62,104900,2.95
08-Dec-1992,0,11.75,11.62,11.62,301700,2.95
09-Dec-1992,0,11.62,11.5,11.5,768000,2.92
10-Dec-1992,0,11.62,11.5,11.62,194500,2.95
11-Dec-1992,0,11.75,11.5,11.5,105300,2.92
14-Dec-1992,0,11.62,11.38,11.5,344100,2.92
15-Dec-1992,0,11.62,11.5,11.5,215900,2.92
16-Dec-1992,0,11.62,11.38,11.38,86800,2.89
17-Dec-1992,0,11.62,11.38,11.5,200700,2.92
18-Dec-1992,0,11.62,11.5,11.5,141800,2.92
21-Dec-1992,0,11.5,11.38,11.5,170200,2.92
22-Dec-1992,0,11.75,11.5,11.62,83500,2.95
23-Dec-1992,0,11.88,11.62,11.75,93000,2.98
24-Dec-1992,0,11.75,11.62,11.62,8900,2.97
28-Dec-1992,0,11.88,11.62,11.62,307500,2.97
29-Dec-1992,0,11.62,11.5,11.5,163800,2.94
30-Dec-1992,0,11.75,11.5,11.62,121900,2.97
31-Dec-1992,0,11.62,11.62,11.62,144800,2.97
04-Jan-1993,0,11.75,11.62,11.62,266800,2.97
05-Jan-1993,0,11.75,11.62,11.75,183100,3
06-Jan-1993,0,12.12,11.62,12.12,233900,3.1
07-Jan-1993,0,12.88,12.25,12.5,175800,3.19
08-Jan-1993,0,12.88,12.38,12.75,89800,3.26
11-Jan-1993,0,13.12,12.75,12.75,117800,3.26
12-Jan-1993,0,13,12.62,12.75,259100,3.26
13-Jan-1993,0,13,12.75,13,94600,3.32
14-Jan-1993,0,13,12.75,12.75,313700,3.26
15-Jan-1993,0,12.88,12.75,12.75,94300,3.26
18-Jan-1993,0,13.12,12.75,13.12,70400,3.35
19-Jan-1993,0,13.12,12.88,13,62500,3.32
20-Jan-1993,0,13,12.88,12.88,80400,3.29
21-Jan-1993,0,12.88,12.62,12.88,72000,3.29
22-Jan-1993,0,13,12.75,12.88,42000,3.29
25-Jan-1993,0,13.12,12.88,13,33500,3.32
26-Jan-1993,0,13.12,12.88,12.88,63000,3.29
27-Jan-1993,0,13,12.75,12.88,98600,3.29
28-Jan-1993,0,12.88,12.75,12.88,201200,3.29
29-Jan-1993,0,13,12.88,13,15000,3.32
01-Feb-1993,0,13.12,13,13,219600,3.32
02-Feb-1993,0,13.38,13,13.38,63200,3.42
03-Feb-1993,0,13.62,13.25,13.25,137000,3.39
04-Feb-1993,0,13.38,13.12,13.25,96300,3.39
05-Feb-1993,0,13.5,13.25,13.38,210900,3.42
08-Feb-1993,0,13.38,13.25,13.38,51300,3.42
09-Feb-1993,0,13.38,13.12,13.12,54000,3.35
10-Feb-1993,0,13.38,13.12,13.25,29900,3.39
11-Feb-1993,0,13.38,13.12,13.12,27500,3.35
12-Feb-1993,0,13.38,13.12,13.38,240700,3.42
16-Feb-1993,0,13.38,13,13.25,76800,3.39
17-Feb-1993,0,13.5,13.25,13.38,156000,3.42
18-Feb-1993,0,13.25,12.88,12.88,42600,3.29
19-Feb-1993,0,13,12.25,12.38,117200,3.16
22-Feb-1993,0,12.5,12.38,12.38,53800,3.16
23-Feb-1993,0,12.88,12.38,12.88,91300,3.29
24-Feb-1993,0,13.12,12.88,13,60800,3.32
25-Feb-1993,0,13.12,13,13,46600,3.32
26-Feb-1993,0,13.12,13,13.12,30900,3.35
01-Mar-1993,0,13.25,13,13.25,53800,3.39
02-Mar-1993,0,13.75,13.12,13.5,116700,3.45
03-Mar-1993,0,13.5,13.38,13.5,69400,3.45
04-Mar-1993,0,13.5,13.38,13.5,29600,3.45
05-Mar-1993,0,13.62,13.38,13.5,93500,3.45
08-Mar-1993,0,13.88,13.62,13.88,73300,3.55
09-Mar-1993,0,14,13.75,13.88,100700,3.55
10-Mar-1993,0,14,13.62,13.88,68100,3.55
11-Mar-1993,0,14.25,13.88,14.12,44900,3.61
12-Mar-1993,0,14.38,14,14.38,88000,3.67
15-Mar-1993,0,15.12,14.38,14.75,253300,3.77
16-Mar-1993,0,14.88,14.12,14.88,49800,3.8
17-Mar-1993,0,14.88,14.38,14.5,76500,3.71
18-Mar-1993,0,15,14.5,14.88,279600,3.8
19-Mar-1993,0,14.88,14.62,14.88,75200,3.8
22-Mar-1993,0,14.88,14.75,14.88,35700,3.8
23-Mar-1993,0,14.88,14.5,14.75,114800,3.77
24-Mar-1993,0,14.75,14.62,14.75,38300,3.77
25-Mar-1993,0,14.75,14.5,14.62,42700,3.79
26-Mar-1993,0,15,14.75,15,77200,3.89
29-Mar-1993,0,15,14.75,14.88,30000,3.86
30-Mar-1993,0,14.88,14.75,14.88,41500,3.86
31-Mar-1993,0,14.88,14.75,14.88,78800,3.86
01-Apr-1993,0,14.88,14.75,14.88,96800,3.86
02-Apr-1993,0,14.88,14.75,14.75,134600,3.83
05-Apr-1993,0,14.88,14.75,14.75,73300,3.83
06-Apr-1993,0,14.88,14.75,14.75,177600,3.83
07-Apr-1993,0,14.88,14.75,14.88,100700,3.86
08-Apr-1993,0,14.88,14.75,14.75,22500,3.83
12-Apr-1993,0,15,14.75,15,44300,3.89
13-Apr-1993,0,15,14.88,15,100000,3.89
14-Apr-1993,0,15.38,15,15.38,111700,3.99
15-Apr-1993,0,15.5,15.25,15.38,87300,3.99
16-Apr-1993,0,15.5,15,15.12,51000,3.92
19-Apr-1993,0,15.25,15,15.25,29400,3.96
20-Apr-1993,0,15.12,14.75,15,224000,3.89
21-Apr-1993,0,14.88,14.38,14.75,32200,3.83
22-Apr-1993,0,14.88,14.62,14.75,26400,3.83
23-Apr-1993,0,14.88,14.62,14.75,222700,3.83
26-Apr-1993,0,14.62,14.12,14.25,72000,3.7
27-Apr-1993,0,14.38,14.12,14.25,57500,3.7
28-Apr-1993,0,14.12,13.88,14,68900,3.63
29-Apr-1993,0,14,13.75,14,62500,3.63
30-Apr-1993,0,14.25,13.88,14,41200,3.63
