Date,Open,High,Low,Close,Volume,AdjClose
23-Apr-1986,0,1.96,1.88,1.88,2743600,1.88
24-Apr-1986,0,2.12,2.04,2.04,838800,2.04
25-Apr-1986,0,2.04,1.96,1.96,736400,1.96
28-Apr-1986,0,1.91,1.88,1.88,544000,1.88
29-Apr-1986,0,1.88,1.84,1.84,314800,1.84
30-Apr-1986,0,1.91,1.84,1.84,180000,1.84
01-May-1986,0,1.91,1.84,1.84,86400,1.84
02-May-1986,0,1.91,1.84,1.84,19200,1.84
05-May-1986,0,1.91,1.84,1.84,140800,1.84
06-May-1986,0,1.91,1.84,1.84,158800,1.84
07-May-1986,0,1.96,1.91,1.91,236800,1.91
08-May-1986,0,1.96,1.91,1.91,80400,1.91
09-May-1986,0,1.96,1.88,1.88,36400,1.88
12-May-1986,0,1.88,1.79,1.79,87600,1.79
13-May-1986,0,1.84,1.75,1.75,54000,1.75
14-May-1986,0,1.77,1.71,1.71,88000,1.71
15-May-1986,0,1.77,1.71,1.71,91200,1.71
16-May-1986,0,1.77,1.69,1.69,67200,1.69
19-May-1986,0,1.77,1.73,1.73,105600,1.73
20-May-1986,0,1.81,1.75,1.75,119200,1.75
21-May-1986,0,1.79,1.73,1.73,33600,1.73
22-May-1986,0,1.81,1.75,1.75,29200,1.75
23-May-1986,0,1.77,1.73,1.73,37200,1.73
27-May-1986,0,1.77,1.73,1.73,49600,1.73
28-May-1986,0,1.77,1.73,1.73,28800,1.73
29-May-1986,0,1.79,1.73,1.73,29200,1.73
30-May-1986,0,1.75,1.73,1.73,146400,1.73
02-Jun-1986,0,1.71,1.66,1.66,221200,1.66
03-Jun-1986,0,1.73,1.66,1.66,126000,1.66
04-Jun-1986,0,1.71,1.62,1.69,56800,1.69
05-Jun-1986,0,1.69,1.62,1.69,62400,1.69
06-Jun-1986,0,1.69,1.62,1.66,137200,1.66
09-Jun-1986,0,1.66,1.54,1.54,76800,1.54
10-Jun-1986,0,1.59,1.46,1.46,94000,1.46
11-Jun-1986,0,1.52,1.38,1.41,138400,1.41
12-Jun-1986,0,1.59,1.46,1.59,169600,1.59
13-Jun-1986,0,1.65,1.56,1.65,69600,1.65
16-Jun-1986,0,1.66,1.54,1.6,52800,1.6
17-Jun-1986,0,1.6,1.54,1.6,22000,1.6
18-Jun-1986,0,1.6,1.54,1.59,10000,1.59
19-Jun-1986,0,1.59,1.46,1.5,72400,1.5
20-Jun-1986,0,1.5,1.44,1.5,67600,1.5
23-Jun-1986,0,1.5,1.46,1.5,28800,1.5
24-Jun-1986,0,1.5,1.44,1.48,46000,1.48
25-Jun-1986,0,1.48,1.4,1.4,72400,1.4
26-Jun-1986,0,1.44,1.4,1.44,25200,1.44
27-Jun-1986,0,1.44,1.4,1.44,204400,1.44
30-Jun-1986,0,1.44,1.41,1.44,50400,1.44
01-Jul-1986,0,1.44,1.38,1.44,66000,1.44
02-Jul-1986,0,1.44,1.4,1.41,250000,1.41
03-Jul-1986,0,1.44,1.41,1.44,108000,1.44
07-Jul-1986,0,1.48,1.41,1.48,13600,1.48
08-Jul-1986,0,1.48,1.41,1.44,95200,1.44
09-Jul-1986,0,1.48,1.41,1.41,28800,1.41
10-Jul-1986,0,1.41,1.41,1.41,2800,1.41
11-Jul-1986,0,1.44,1.41,1.41,89200,1.41
14-Jul-1986,0,1.46,1.4,1.4,60000,1.4
15-Jul-1986,0,1.38,1.35,1.35,105600,1.35
16-Jul-1986,0,1.41,1.38,1.38,1600,1.38
17-Jul-1986,0,1.35,1.35,1.35,72400,1.35
18-Jul-1986,0,1.41,1.34,1.34,31200,1.34
21-Jul-1986,0,1.41,1.35,1.4,28800,1.4
22-Jul-1986,0,1.4,1.35,1.4,12000,1.4
23-Jul-1986,0,1.4,1.35,1.35,43600,1.35
24-Jul-1986,0,1.38,1.35,1.38,12400,1.38
25-Jul-1986,0,1.35,1.34,1.34,241600,1.34
28-Jul-1986,0,1.35,1.31,1.31,17200,1.31
29-Jul-1986,0,1.35,1.31,1.35,34800,1.35
30-Jul-1986,0,1.35,1.31,1.31,156400,1.31
31-Jul-1986,0,1.31,1.31,1.31,13200,1.31
01-Aug-1986,0,1.35,1.31,1.35,24400,1.35
04-Aug-1986,0,1.35,1.31,1.35,6000,1.35
05-Aug-1986,0,1.35,1.34,1.35,13600,1.35
06-Aug-1986,0,1.38,1.34,1.38,47200,1.38
07-Aug-1986,0,1.41,1.41,1.41,1200,1.41
08-Aug-1986,NaN,NaN,NaN,1.41,0,1.41
11-Aug-1986,0,1.41,1.35,1.35,20800,1.35
12-Aug-1986,0,1.41,1.35,1.4,6000,1.4
13-Aug-1986,0,1.4,1.35,1.4,16000,1.4
14-Aug-1986,NaN,NaN,NaN,1.4,0,1.4
15-Aug-1986,0,1.41,1.38,1.41,10800,1.41
18-Aug-1986,0,1.41,1.38,1.38,13600,1.38
19-Aug-1986,0,1.41,1.38,1.38,9600,1.38
20-Aug-1986,0,1.38,1.38,1.38,20400,1.38
21-Aug-1986,0,1.41,1.35,1.4,264000,1.4
22-Aug-1986,0,1.4,1.38,1.4,7600,1.4
25-Aug-1986,0,1.38,1.38,1.38,5200,1.38
26-Aug-1986,NaN,NaN,NaN,1.38,0,1.38
27-Aug-1986,0,1.44,1.4,1.44,42400,1.44
28-Aug-1986,0,1.44,1.4,1.4,2800,1.4
29-Aug-1986,0,1.44,1.38,1.44,5200,1.44
02-Sep-1986,0,1.44,1.4,1.41,25600,1.41
03-Sep-1986,0,1.44,1.4,1.4,63600,1.4
04-Sep-1986,0,1.48,1.4,1.4,70800,1.4
05-Sep-1986,0,1.44,1.4,1.4,32400,1.4
08-Sep-1986,0,1.44,1.4,1.4,1600,1.4
09-Sep-1986,0,1.44,1.4,1.4,2800,1.4
10-Sep-1986,0,1.4,1.4,1.4,7200,1.4
11-Sep-1986,0,1.44,1.4,1.4,76800,1.4
12-Sep-1986,0,1.44,1.4,1.44,52000,1.44
15-Sep-1986,0,1.44,1.38,1.38,50800,1.38
16-Sep-1986,0,1.34,1.25,1.25,49600,1.25
17-Sep-1986,0,1.27,1.21,1.21,6400,1.21
18-Sep-1986,0,1.27,1.23,1.23,137200,1.23
19-Sep-1986,0,1.29,1.23,1.29,26800,1.29
22-Sep-1986,0,1.34,1.29,1.34,10800,1.34
23-Sep-1986,0,1.4,1.34,1.35,40800,1.35
24-Sep-1986,0,1.41,1.41,1.41,1200,1.41
25-Sep-1986,0,1.35,1.31,1.35,46800,1.35
26-Sep-1986,0,1.38,1.31,1.34,56800,1.34
29-Sep-1986,NaN,NaN,NaN,1.34,0,1.34
30-Sep-1986,0,1.4,1.34,1.4,2800,1.4
01-Oct-1986,0,1.4,1.34,1.4,1600,1.4
02-Oct-1986,NaN,NaN,NaN,1.4,0,1.4
03-Oct-1986,0,1.34,1.34,1.34,1600,1.34
06-Oct-1986,0,1.4,1.4,1.4,400,1.4
07-Oct-1986,0,1.4,1.34,1.4,11200,1.4
08-Oct-1986,0,1.4,1.34,1.34,11200,1.34
09-Oct-1986,0,1.34,1.34,1.34,400,1.34
10-Oct-1986,NaN,NaN,NaN,1.34,0,1.34
13-Oct-1986,0,1.34,1.34,1.34,7600,1.34
14-Oct-1986,0,1.35,1.34,1.34,11200,1.34
15-Oct-1986,0,1.38,1.38,1.38,8800,1.38
16-Oct-1986,0,1.38,1.35,1.35,12400,1.35
17-Oct-1986,0,1.35,1.35,1.35,8800,1.35
20-Oct-1986,0,1.38,1.34,1.38,44400,1.38
21-Oct-1986,0,1.34,1.34,1.34,1600,1.34
