Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,17.56,17.25,17.25,38400,15.81
04-Jan-1978,0,17.25,16.88,16.94,38400,15.53
05-Jan-1978,0,17.25,16.88,16.88,31600,15.47
06-Jan-1978,0,17,16.75,16.75,90900,15.36
09-Jan-1978,0,16.69,16,16.19,502100,14.84
10-Jan-1978,0,16.13,15.56,15.69,627700,14.38
11-Jan-1978,0,15.81,15.56,15.69,25300,14.38
12-Jan-1978,0,15.63,15.31,15.44,14800,14.15
13-Jan-1978,0,15.63,15.31,15.56,21600,14.26
16-Jan-1978,0,15.69,15.56,15.56,37800,14.26
17-Jan-1978,0,15.75,15.69,15.69,22500,14.38
18-Jan-1978,0,15.94,15.69,15.88,101200,14.56
19-Jan-1978,0,16,15.94,15.94,12700,14.61
20-Jan-1978,0,16,15.88,15.88,3100,14.56
23-Jan-1978,0,15.94,15.69,15.69,17100,14.38
24-Jan-1978,0,15.75,15.63,15.63,44700,14.33
25-Jan-1978,0,16,15.63,16,12600,14.67
26-Jan-1978,0,16,15.81,15.94,6300,14.61
27-Jan-1978,0,15.94,15.69,15.75,55000,14.44
30-Jan-1978,0,15.63,15.56,15.63,9600,14.33
31-Jan-1978,0,15.69,15.69,15.69,12100,14.38
01-Feb-1978,0,15.75,15.25,15.75,17200,14.44
02-Feb-1978,0,16,15.88,16,25800,14.67
03-Feb-1978,0,16,15.75,15.75,59400,14.44
06-Feb-1978,0,15.88,15.63,15.81,7600,14.49
07-Feb-1978,0,15.88,15.69,15.88,10000,14.56
08-Feb-1978,0,16.06,15.88,16,10300,14.67
09-Feb-1978,0,15.94,15.81,15.81,9000,14.49
10-Feb-1978,0,16,15.81,16,3700,14.67
13-Feb-1978,0,16,15.75,15.81,83400,14.49
14-Feb-1978,0,15.94,15.81,15.88,9900,14.56
15-Feb-1978,0,15.94,15.75,15.81,31000,14.49
16-Feb-1978,0,16,15.81,15.94,52800,14.61
17-Feb-1978,0,15.94,15.81,15.94,44500,14.61
21-Feb-1978,0,15.88,15.75,15.88,17700,14.56
22-Feb-1978,0,15.94,15.75,15.75,15300,14.44
23-Feb-1978,0,15.81,15.63,15.69,35200,14.38
24-Feb-1978,0,15.75,15.69,15.69,49500,14.38
27-Feb-1978,0,15.94,15.75,15.81,34600,14.49
28-Feb-1978,0,15.81,15.63,15.75,77100,14.44
01-Mar-1978,0,15.75,15.63,15.63,16600,14.33
02-Mar-1978,0,15.88,15.56,15.75,25200,14.44
03-Mar-1978,0,16,15.75,15.75,28000,14.44
06-Mar-1978,0,15.94,15.81,15.81,20200,14.49
07-Mar-1978,0,15.94,15.81,15.81,67500,14.49
08-Mar-1978,0,15.94,15.88,15.88,5100,14.56
09-Mar-1978,0,16,15.88,16,30600,14.67
10-Mar-1978,0,16.38,16,16.38,19000,15.02
13-Mar-1978,0,16.5,16.19,16.38,18900,15.02
14-Mar-1978,0,16.69,16.38,16.69,20400,15.3
15-Mar-1978,0,16.81,16.69,16.81,30300,15.41
16-Mar-1978,0,16.88,16.75,16.88,69900,15.47
17-Mar-1978,0,17,16.88,16.88,173900,15.47
20-Mar-1978,0,17.06,16.88,16.88,85900,15.47
21-Mar-1978,0,16.75,16.44,16.44,130400,15.07
22-Mar-1978,0,16.44,16.31,16.31,25200,14.95
23-Mar-1978,0,16.56,16.44,16.44,25300,15.07
27-Mar-1978,0,16.5,16.31,16.31,11400,14.95
28-Mar-1978,0,16.38,16.31,16.31,7600,14.95
29-Mar-1978,0,16.56,16.31,16.31,131900,14.95
30-Mar-1978,0,16.38,16.25,16.25,13600,14.9
31-Mar-1978,0,16.44,16.25,16.44,17500,15.07
03-Apr-1978,0,16.5,16.38,16.44,12100,15.07
04-Apr-1978,0,16.56,16.19,16.56,10800,15.18
05-Apr-1978,0,16.69,16.5,16.63,28000,15.25
06-Apr-1978,0,16.81,16.63,16.75,38700,15.36
07-Apr-1978,0,16.88,16.75,16.81,26700,15.41
10-Apr-1978,0,16.88,16.75,16.88,14100,15.47
11-Apr-1978,0,16.94,16.75,16.88,56800,15.47
12-Apr-1978,0,16.94,16.75,16.88,33000,15.47
13-Apr-1978,0,17.31,17,17.31,24900,15.87
14-Apr-1978,0,17.75,17.31,17.75,33900,16.27
17-Apr-1978,0,18.63,17.75,18.5,83800,16.96
18-Apr-1978,0,18.5,17.56,17.56,255300,16.1
19-Apr-1978,0,17.88,17.69,17.88,77800,16.39
20-Apr-1978,0,18.31,17.81,17.81,100300,16.33
21-Apr-1978,0,18.25,18,18,51300,16.5
24-Apr-1978,0,18.31,18.13,18.25,52600,16.73
25-Apr-1978,0,19.19,18.38,19.19,70200,17.59
26-Apr-1978,0,19.25,18.56,18.69,57100,17.13
27-Apr-1978,0,18.75,18.25,18.25,52200,16.73
28-Apr-1978,0,18.38,18.13,18.19,55800,16.68
01-May-1978,0,18.69,18.25,18.63,42700,17.08
02-May-1978,0,19,18.69,18.88,115600,17.31
03-May-1978,0,19.25,18.75,18.75,90900,17.19
04-May-1978,0,18.75,18.38,18.63,30600,17.08
05-May-1978,0,19,18.5,18.88,171700,17.31
08-May-1978,0,18.75,18.63,18.63,46500,17.08
09-May-1978,0,18.69,18.56,18.56,37500,17.01
10-May-1978,0,18.44,18,18,85500,16.5
11-May-1978,0,18.88,17.88,18.63,40200,17.08
12-May-1978,0,19.25,18.75,19.06,91300,17.47
15-May-1978,0,19.5,19.06,19.5,79800,17.88
16-May-1978,0,19.88,19.13,19.13,73800,17.54
17-May-1978,0,19.69,19.13,19.56,116200,17.93
18-May-1978,0,19.75,19.56,19.56,82800,17.93
19-May-1978,0,19.5,19.06,19.06,87900,17.47
22-May-1978,0,19.31,19.19,19.25,27000,17.65
23-May-1978,0,19.31,19.13,19.25,70800,17.65
24-May-1978,0,19.19,18.94,19.13,39100,17.54
25-May-1978,0,19.25,19,19.25,60000,17.65
26-May-1978,0,19.25,19.06,19.13,49500,17.54
30-May-1978,0,19.25,19.06,19.13,23100,17.54
31-May-1978,0,19.19,18.88,19.19,131300,17.59
01-Jun-1978,0,19.31,18.88,19,85200,17.42
02-Jun-1978,0,19.13,18.75,19.06,47700,17.47
05-Jun-1978,0,19.44,18.94,19.44,112400,17.82
06-Jun-1978,0,19.75,19.44,19.44,87900,17.82
07-Jun-1978,0,19.44,19.19,19.25,27100,17.65
08-Jun-1978,0,19.31,19.19,19.25,22000,17.65
09-Jun-1978,0,19.31,19.13,19.31,8100,17.7
12-Jun-1978,0,19.56,19.31,19.31,76900,17.7
13-Jun-1978,0,19.25,19.19,19.19,17700,17.59
14-Jun-1978,0,19.88,19.31,19.88,43800,18.22
15-Jun-1978,0,20,19.75,19.88,42000,18.22
16-Jun-1978,0,19.75,19.5,19.5,62200,17.88
19-Jun-1978,0,19.44,19.19,19.25,117800,17.65
20-Jun-1978,0,19.38,19.25,19.25,36600,17.65
21-Jun-1978,0,19.25,18.75,19,141400,17.42
22-Jun-1978,0,19.13,19,19.13,4000,17.54
23-Jun-1978,0,19.5,19.25,19.31,126800,17.7
26-Jun-1978,0,19.38,19,19.06,40200,17.47
27-Jun-1978,0,19.13,19,19,10500,17.42
28-Jun-1978,0,19,18.88,19,8500,17.42
29-Jun-1978,0,19.25,18.88,18.88,16300,17.31
30-Jun-1978,0,19.06,18.69,18.75,14100,17.19
03-Jul-1978,0,18.81,18.63,18.81,24700,17.24
05-Jul-1978,0,18.81,18.56,18.56,13000,17.01
06-Jul-1978,0,18.81,18.69,18.81,12100,17.24
07-Jul-1978,0,19,18.75,19,16300,17.42
10-Jul-1978,0,19.13,19,19.13,20200,17.54
11-Jul-1978,0,19.31,19.13,19.31,26100,17.7
12-Jul-1978,0,19.69,19.31,19.69,100900,18.05
13-Jul-1978,0,19.63,19.44,19.44,13200,17.82
14-Jul-1978,0,20.13,19.56,20,16800,18.33
17-Jul-1978,0,20.75,20.25,20.75,33000,19.02
18-Jul-1978,0,20.75,20.44,20.44,16800,18.74
19-Jul-1978,0,20.44,20.25,20.25,26200,18.56
20-Jul-1978,0,20.38,20.13,20.38,27900,18.68
21-Jul-1978,0,20.75,20.44,20.69,24900,18.97
24-Jul-1978,0,20.56,20.44,20.5,20400,18.79
25-Jul-1978,0,20.56,20.5,20.5,18900,18.79
26-Jul-1978,0,20.75,20.56,20.75,29200,19.02
27-Jul-1978,0,20.75,20.75,20.75,9400,19.02
