Date,Open,High,Low,Close,Volume,AdjClose
08-Jul-1986,0,1.02,1,1,11268000,0.99
09-Jul-1986,0,1.02,1,1,1140800,0.99
10-Jul-1986,0,1.05,1.02,1.02,1020800,1.01
11-Jul-1986,0,1.05,1.03,1.03,644000,1.02
14-Jul-1986,0,1.03,1.02,1.02,826400,1.01
15-Jul-1986,0,0.99,0.96,0.96,810400,0.95
16-Jul-1986,0,1.02,0.95,1,497600,0.99
17-Jul-1986,0,1,0.95,0.95,303200,0.94
18-Jul-1986,0,0.98,0.93,0.93,291200,0.92
21-Jul-1986,0,0.95,0.9,0.92,238400,0.91
22-Jul-1986,0,0.94,0.89,0.93,274400,0.92
23-Jul-1986,0,0.93,0.88,0.88,341600,0.87
24-Jul-1986,0,0.89,0.83,0.87,466400,0.86
25-Jul-1986,0,0.88,0.83,0.84,292800,0.83
28-Jul-1986,0,0.86,0.8,0.83,320000,0.82
29-Jul-1986,0,0.83,0.8,0.81,172800,0.81
30-Jul-1986,0,0.8,0.77,0.78,163200,0.78
31-Jul-1986,0,0.81,0.78,0.8,130400,0.8
01-Aug-1986,0,0.88,0.83,0.86,314400,0.85
04-Aug-1986,0,0.88,0.84,0.88,216000,0.87
05-Aug-1986,0,0.89,0.75,0.8,2056000,0.8
06-Aug-1986,0,0.84,0.81,0.84,464000,0.83
07-Aug-1986,0,0.84,0.81,0.83,221600,0.82
08-Aug-1986,0,0.84,0.81,0.81,190400,0.81
11-Aug-1986,0,0.88,0.8,0.87,404000,0.86
12-Aug-1986,0,0.92,0.86,0.91,956000,0.9
13-Aug-1986,0,0.94,0.9,0.91,475200,0.9
14-Aug-1986,0,0.95,0.92,0.95,230400,0.94
15-Aug-1986,0,0.98,0.95,0.96,292800,0.95
18-Aug-1986,0,0.98,0.95,0.96,88800,0.95
19-Aug-1986,0,0.97,0.94,0.94,156000,0.93
20-Aug-1986,0,0.95,0.93,0.94,140000,0.93
21-Aug-1986,0,0.94,0.87,0.91,808000,0.9
22-Aug-1986,0,0.89,0.87,0.89,106400,0.88
25-Aug-1986,0,0.88,0.84,0.84,437600,0.83
26-Aug-1986,0,0.88,0.8,0.88,485600,0.87
27-Aug-1986,0,0.87,0.84,0.84,427200,0.83
28-Aug-1986,0,0.87,0.84,0.87,64800,0.86
29-Aug-1986,0,0.87,0.84,0.86,105600,0.85
02-Sep-1986,0,0.89,0.87,0.89,127200,0.88
03-Sep-1986,0,0.89,0.86,0.86,89600,0.85
04-Sep-1986,0,0.88,0.84,0.84,118400,0.83
05-Sep-1986,0,0.89,0.84,0.89,223200,0.88
08-Sep-1986,0,0.96,0.9,0.95,417600,0.94
09-Sep-1986,0,1.02,0.96,0.97,453600,0.96
10-Sep-1986,0,0.99,0.96,0.96,158400,0.95
11-Sep-1986,0,0.97,0.89,0.92,194400,0.91
12-Sep-1986,0,0.92,0.89,0.89,127200,0.88
15-Sep-1986,0,0.93,0.9,0.91,65600,0.9
16-Sep-1986,0,0.92,0.9,0.92,24000,0.91
17-Sep-1986,0,0.93,0.91,0.92,34400,0.91
18-Sep-1986,0,0.94,0.93,0.94,132000,0.93
19-Sep-1986,0,0.96,0.93,0.95,255200,0.94
22-Sep-1986,0,0.96,0.95,0.96,122400,0.95
23-Sep-1986,0,1,0.95,0.98,284000,0.97
24-Sep-1986,0,1.02,0.98,1,448800,0.99
25-Sep-1986,0,1.02,0.98,1,161600,0.99
26-Sep-1986,0,1.05,0.99,1.05,283200,1.04
29-Sep-1986,0,1.05,0.98,1,207200,0.99
30-Sep-1986,0,1.02,0.99,1.02,92000,1.01
01-Oct-1986,0,1.02,1,1.02,177600,1.01
02-Oct-1986,0,1.08,1,1.06,555200,1.05
03-Oct-1986,0,1.12,1.05,1.05,516800,1.04
06-Oct-1986,0,1.08,1.05,1.06,103200,1.05
07-Oct-1986,0,1.06,1.02,1.05,250400,1.04
08-Oct-1986,0,1.03,1.02,1.02,218400,1.01
09-Oct-1986,0,1.08,1.02,1.06,552000,1.05
10-Oct-1986,0,1.08,1.03,1.08,211200,1.07
13-Oct-1986,0,1.11,1.08,1.11,396000,1.1
14-Oct-1986,0,1.11,1.05,1.08,593600,1.07
15-Oct-1986,0,1.15,1.08,1.14,1419200,1.13
16-Oct-1986,0,1.18,1.14,1.15,891200,1.14
17-Oct-1986,0,1.25,1.12,1.23,928000,1.22
20-Oct-1986,0,1.24,1.18,1.24,908800,1.23
21-Oct-1986,0,1.25,1.17,1.21,369600,1.2
22-Oct-1986,0,1.25,1.2,1.24,633600,1.23
23-Oct-1986,0,1.27,1.21,1.23,259200,1.22
24-Oct-1986,0,1.24,1.21,1.22,208800,1.21
