Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.3,1.29,1.29,34200,0.74
04-Jan-1978,0,1.29,1.25,1.27,122400,0.73
05-Jan-1978,0,1.29,1.25,1.27,212202,0.73
06-Jan-1978,0,1.27,1.25,1.27,48600,0.73
09-Jan-1978,0,1.26,1.21,1.22,366800,0.7
10-Jan-1978,0,1.22,1.2,1.2,158400,0.69
11-Jan-1978,0,1.21,1.2,1.2,28800,0.69
12-Jan-1978,0,1.21,1.2,1.2,325400,0.69
13-Jan-1978,0,1.2,1.19,1.19,140400,0.68
16-Jan-1978,0,1.2,1.17,1.2,28800,0.69
17-Jan-1978,0,1.2,1.17,1.19,41400,0.68
18-Jan-1978,0,1.19,1.17,1.18,246402,0.68
19-Jan-1978,0,1.18,1.12,1.13,100800,0.65
20-Jan-1978,0,1.13,1.13,1.13,9000,0.65
23-Jan-1978,0,1.13,1.09,1.09,151200,0.63
24-Jan-1978,0,1.09,1.07,1.08,284202,0.62
25-Jan-1978,0,1.12,1.1,1.1,95400,0.63
26-Jan-1978,0,1.11,1.1,1.1,221202,0.63
27-Jan-1978,0,1.1,1.09,1.09,10800,0.63
30-Jan-1978,0,1.1,1.09,1.1,52200,0.63
31-Jan-1978,0,1.13,1.1,1.11,102600,0.64
01-Feb-1978,0,1.12,1.11,1.11,37800,0.64
02-Feb-1978,0,1.13,1.11,1.12,171000,0.64
03-Feb-1978,0,1.14,1.12,1.13,52200,0.65
06-Feb-1978,0,1.15,1.14,1.15,21600,0.66
07-Feb-1978,0,1.18,1.17,1.17,242802,0.67
08-Feb-1978,0,1.19,1.17,1.17,48600,0.67
09-Feb-1978,0,1.17,1.15,1.16,36000,0.67
10-Feb-1978,0,1.15,1.12,1.12,72000,0.64
13-Feb-1978,0,1.13,1.13,1.13,27000,0.65
14-Feb-1978,0,1.13,1.11,1.13,552002,0.65
15-Feb-1978,0,1.13,1.12,1.13,129600,0.65
16-Feb-1978,0,1.13,1.11,1.11,45000,0.64
17-Feb-1978,0,1.13,1.11,1.12,43200,0.64
21-Feb-1978,0,1.13,1.11,1.11,63000,0.64
22-Feb-1978,0,1.13,1.11,1.11,14400,0.64
23-Feb-1978,0,1.1,1.08,1.09,699602,0.63
24-Feb-1978,0,1.13,1.11,1.13,151200,0.65
