Date,Open,High,Low,Close,Volume,AdjClose
15-May-1990,0,3.5,3.12,3.5,94800,3.49
16-May-1990,0,3.5,3.25,3.5,58800,3.49
17-May-1990,0,3.5,3.25,3.5,59200,3.49
18-May-1990,0,3.5,3.5,3.5,24100,3.49
21-May-1990,0,3.5,3.25,3.5,43400,3.49
22-May-1990,0,3.5,3.25,3.5,29100,3.49
23-May-1990,0,3.5,3.38,3.38,52000,3.37
24-May-1990,0,3.5,3.38,3.5,33100,3.49
25-May-1990,0,3.75,3.5,3.75,55900,3.74
29-May-1990,0,3.88,3.75,3.88,52200,3.87
30-May-1990,0,3.88,3.75,3.88,44100,3.87
31-May-1990,0,4,3.75,4,64300,3.99
01-Jun-1990,0,4,3.88,4,49400,3.99
04-Jun-1990,0,4,3.88,4,27500,3.99
05-Jun-1990,0,4,3.88,4,97600,3.99
06-Jun-1990,0,4,3.88,4,27600,3.99
07-Jun-1990,0,4,4,4,12200,3.99
08-Jun-1990,0,4,3.75,4,55900,3.99
11-Jun-1990,0,4,3.88,4,12200,3.99
12-Jun-1990,0,4,3.88,3.88,18100,3.87
13-Jun-1990,0,4,3.88,4,11800,3.99
14-Jun-1990,0,4,3.88,4,14900,3.99
15-Jun-1990,0,4,3.88,4,39200,3.99
18-Jun-1990,0,4,3.88,3.88,4500,3.87
19-Jun-1990,0,4,3.88,4,39600,3.99
20-Jun-1990,0,4,3.88,4,16600,3.99
21-Jun-1990,0,4,3.88,3.88,11500,3.87
22-Jun-1990,0,4,3.88,4,8400,3.99
25-Jun-1990,0,4,4,4,19300,3.99
26-Jun-1990,0,4,3.88,3.88,16200,3.87
27-Jun-1990,0,4,3.88,4,2600,3.99
28-Jun-1990,0,4,3.88,4,2300,3.99
29-Jun-1990,0,4,3.88,4,3900,3.99
02-Jul-1990,0,4,3.88,4,17900,3.99
03-Jul-1990,0,4,3.88,4,17600,3.99
05-Jul-1990,0,4,3.88,3.88,2800,3.87
06-Jul-1990,0,4,3.62,3.75,68900,3.74
09-Jul-1990,0,3.88,3.75,3.88,5100,3.87
10-Jul-1990,0,3.88,3.75,3.75,3600,3.74
11-Jul-1990,0,3.88,3.75,3.88,8300,3.87
12-Jul-1990,0,3.88,3.75,3.88,34300,3.87
13-Jul-1990,0,3.88,3.75,3.88,7900,3.87
16-Jul-1990,0,3.88,3.75,3.88,9900,3.87
17-Jul-1990,0,3.88,3.75,3.88,7800,3.87
18-Jul-1990,0,3.88,3.62,3.62,31300,3.61
19-Jul-1990,0,3.88,3.75,3.88,4800,3.87
20-Jul-1990,0,3.88,3.62,3.88,18900,3.87
23-Jul-1990,0,3.88,3.75,3.88,4300,3.87
24-Jul-1990,0,3.88,3.62,3.62,11700,3.61
25-Jul-1990,0,3.75,3.62,3.62,1000,3.61
26-Jul-1990,0,3.75,3.75,3.75,2800,3.74
27-Jul-1990,0,3.75,3.62,3.75,7200,3.74
30-Jul-1990,0,3.62,3.5,3.62,47300,3.61
31-Jul-1990,0,3.5,3.5,3.5,4200,3.49
01-Aug-1990,0,3.62,3.5,3.5,5700,3.49
02-Aug-1990,0,3.62,3.5,3.62,1300,3.61
03-Aug-1990,0,3.62,3.5,3.5,10100,3.49
06-Aug-1990,0,3.62,3.25,3.38,27400,3.37
07-Aug-1990,0,3.38,3.25,3.38,8900,3.37
08-Aug-1990,0,3.62,3.38,3.62,9300,3.61
09-Aug-1990,0,3.62,3.62,3.62,1900,3.61
10-Aug-1990,0,3.62,3.5,3.5,129100,3.49
13-Aug-1990,0,3.5,3.38,3.38,600,3.37
14-Aug-1990,0,3.62,3.5,3.62,4500,3.61
15-Aug-1990,0,3.62,3.5,3.62,6100,3.61
16-Aug-1990,0,3.62,3.5,3.62,5000,3.61
17-Aug-1990,0,3.62,3.38,3.5,5500,3.49
20-Aug-1990,0,3.5,3.38,3.5,2500,3.49
21-Aug-1990,0,3.5,3.38,3.5,6300,3.49
22-Aug-1990,0,3.5,3.25,3.25,13800,3.24
23-Aug-1990,0,3.12,2.75,2.75,43900,2.75
24-Aug-1990,0,3.25,2.88,3,18900,2.99
27-Aug-1990,0,3.25,3.12,3.12,5600,3.11
28-Aug-1990,0,3.25,3.12,3.25,4700,3.24
29-Aug-1990,0,3.25,3.12,3.25,1800,3.24
30-Aug-1990,0,3.38,3.38,3.38,900,3.37
31-Aug-1990,0,3.25,3.12,3.12,23700,3.11
04-Sep-1990,0,3.25,3,3.25,17500,3.24
05-Sep-1990,0,3.25,3.25,3.25,200,3.24
06-Sep-1990,0,3.5,3.25,3.38,289100,3.37
07-Sep-1990,0,3.38,3.25,3.38,6900,3.37
10-Sep-1990,0,3.38,3.25,3.25,700,3.24
11-Sep-1990,0,3.38,3.38,3.38,1100,3.37
12-Sep-1990,0,3.25,3.25,3.25,400,3.24
13-Sep-1990,0,3.25,3.12,3.25,3500,3.24
14-Sep-1990,0,3.25,3.12,3.12,6100,3.11
17-Sep-1990,0,3.25,3,3,5800,2.99
18-Sep-1990,0,3.25,3,3.12,9200,3.11
19-Sep-1990,0,3.25,3.12,3.12,20600,3.11
20-Sep-1990,0,3.25,3.12,3.12,3200,3.11
21-Sep-1990,0,3.25,3.12,3.12,17300,3.11
24-Sep-1990,0,3.38,3.12,3.25,12000,3.24
25-Sep-1990,0,3.25,3.12,3.12,11800,3.11
26-Sep-1990,0,3.12,3,3.12,21100,3.11
27-Sep-1990,0,3,3,3,200,2.99
28-Sep-1990,0,3,3,3,2000,2.99
01-Oct-1990,0,3.12,3,3,2500,2.99
02-Oct-1990,0,3.12,3,3,2200,2.99
03-Oct-1990,0,3.12,3,3.12,5700,3.11
04-Oct-1990,0,3,2.88,3,4800,2.99
05-Oct-1990,0,3,3,3,500,2.99
08-Oct-1990,0,3,2.88,3,7600,2.99
09-Oct-1990,0,3,2.88,2.88,3400,2.87
10-Oct-1990,0,2.88,2.75,2.88,12500,2.87
11-Oct-1990,0,3,2.75,2.88,7000,2.87
12-Oct-1990,0,3,2.88,2.88,2800,2.87
15-Oct-1990,0,3,2.88,2.88,4200,2.87
16-Oct-1990,0,2.88,2.88,2.88,6600,2.87
17-Oct-1990,0,3,2.75,2.88,53000,2.87
18-Oct-1990,0,2.88,2.75,2.88,2100,2.87
19-Oct-1990,0,3,2.75,3,3800,2.99
22-Oct-1990,0,2.88,2.75,2.75,11300,2.75
23-Oct-1990,0,3,2.75,3,2600,2.99
24-Oct-1990,0,2.88,2.88,2.88,25000,2.87
25-Oct-1990,0,3.12,3,3.12,17700,3.11
26-Oct-1990,0,3.12,3,3.12,3600,3.11
29-Oct-1990,0,3.12,3,3,8600,2.99
30-Oct-1990,0,3.12,3,3.12,1500,3.11
31-Oct-1990,0,3,2.88,2.88,5900,2.87
01-Nov-1990,0,2.88,2.88,2.88,1600,2.87
02-Nov-1990,0,3,2.88,2.88,8600,2.87
05-Nov-1990,0,3,2.88,3,3800,2.99
06-Nov-1990,0,3,2.88,3,14800,2.99
07-Nov-1990,0,3,2.88,2.88,3000,2.87
08-Nov-1990,0,3,3,3,400,2.99
09-Nov-1990,0,3,2.88,3,61400,2.99
12-Nov-1990,0,3,2.88,2.88,1800,2.87
13-Nov-1990,0,3,2.88,3,4300,2.99
14-Nov-1990,0,3,2.88,3,43700,2.99
15-Nov-1990,0,3.38,3.12,3.38,9200,3.37
16-Nov-1990,0,3.5,3.25,3.5,27900,3.49
19-Nov-1990,0,3.5,3.38,3.5,13700,3.49
20-Nov-1990,0,3.62,3.5,3.5,6900,3.49
21-Nov-1990,0,3.62,3.5,3.5,13200,3.49
23-Nov-1990,0,3.25,3,3,36600,2.99
26-Nov-1990,0,3,3,3,9700,2.99
27-Nov-1990,0,3,2.88,3,22300,2.99
28-Nov-1990,0,3.12,3,3,2800,2.99
29-Nov-1990,0,3,2.88,2.88,21900,2.87
30-Nov-1990,0,3.12,3,3.12,73700,3.11
03-Dec-1990,0,3,3,3,400,2.99
04-Dec-1990,0,3.25,3.12,3.12,10900,3.11
05-Dec-1990,NaN,NaN,NaN,3.12,0,3.11
06-Dec-1990,0,3.38,3.25,3.25,11700,3.24
07-Dec-1990,0,3.25,3.25,3.25,2500,3.24
10-Dec-1990,0,3.25,3,3.12,39400,3.11
11-Dec-1990,0,3.12,3.12,3.12,1700,3.11
12-Dec-1990,0,3.5,3.38,3.38,10000,3.37
13-Dec-1990,0,3.38,3.25,3.25,11600,3.24
14-Dec-1990,0,3.25,3.12,3.25,2300,3.24
17-Dec-1990,0,3.25,3.12,3.12,2800,3.11
18-Dec-1990,0,3.25,3.12,3.12,1900,3.11
19-Dec-1990,0,3.25,3.12,3.12,8400,3.11
20-Dec-1990,0,3.12,2.88,3,31000,2.99
21-Dec-1990,0,3.12,3,3.12,7600,3.11
24-Dec-1990,0,3.12,3,3.12,11000,3.11
26-Dec-1990,0,3.25,3.12,3.12,3100,3.11
27-Dec-1990,0,3,3,3,5400,2.99
