Date,Open,High,Low,Close,Volume,AdjClose
05-Jan-2015,22.4,22.4,22.4,22.4,150,20.37
06-Jan-2015,NaN,NaN,NaN,22.4,0,20.37
07-Jan-2015,23.45,23.45,23.25,23.25,350,21.15
08-Jan-2015,23.2,23.2,23,23,40852,20.92
09-Jan-2015,23.39,24,23.27,23.99,117680,21.82
12-Jan-2015,24,24.12,23.49,23.9,291895,21.74
13-Jan-2015,24,25.25,23.1,24.6,415904,22.37
14-Jan-2015,24.8,25.91,24.69,25,377019,22.74
15-Jan-2015,25.35,26.85,23.36,23.76,17298386,21.61
16-Jan-2015,23.72,24.29,23.2,23.98,5379635,21.81
20-Jan-2015,24.3,24.3,23.46,23.59,3415399,21.46
21-Jan-2015,23.55,24,23.44,23.9,1713751,21.74
22-Jan-2015,24.09,25.37,23.94,24.67,1868622,22.44
23-Jan-2015,24.36,24.4,23.65,23.85,6471100,21.69
26-Jan-2015,23.76,24.72,23.74,23.86,2345696,21.7
27-Jan-2015,23.7,24.25,22.33,23.57,3022974,21.44
28-Jan-2015,23.13,24.5,23.11,23.25,1881169,21.15
29-Jan-2015,23.13,24.26,23.02,24.08,1340848,21.9
30-Jan-2015,23.91,24.21,23.6,23.74,829900,21.59
02-Feb-2015,23.33,23.85,23.14,23.63,1434795,21.49
03-Feb-2015,23.75,24.04,23.34,24.04,922781,21.86
04-Feb-2015,23.66,24.16,23.54,23.96,1102423,21.79
05-Feb-2015,24,24.58,23.68,24.54,1057003,22.32
06-Feb-2015,24.41,24.83,24.05,24.16,594955,21.97
09-Feb-2015,24.22,24.57,23.72,24.03,467815,21.86
10-Feb-2015,24,24.36,23.87,24.29,451640,22.09
11-Feb-2015,24.21,24.49,24,24.19,273144,22
12-Feb-2015,24.19,24.34,23.98,24.29,907629,22.09
13-Feb-2015,24.43,24.94,24.12,24.47,712147,22.26
17-Feb-2015,24.61,24.91,24.01,24.04,322215,21.86
18-Feb-2015,24.14,24.28,23.99,24.13,501498,21.95
19-Feb-2015,23.89,24.49,23.89,24.11,682980,21.93
20-Feb-2015,23.99,24.47,23.96,24.15,488760,21.96
23-Feb-2015,24.25,24.63,24.01,24.15,661540,21.96
24-Feb-2015,24.24,24.44,23.77,23.92,783016,21.76
25-Feb-2015,23.92,24.09,23.81,23.85,598655,21.69
26-Feb-2015,23.92,24.14,23.8,23.88,1365760,21.72
27-Feb-2015,23.78,24.07,23.5,23.94,611300,21.77
02-Mar-2015,23.88,24.1,23.78,24,733387,21.83
03-Mar-2015,23.82,23.91,23.55,23.84,740149,21.68
04-Mar-2015,23.56,23.81,23.33,23.59,966033,21.46
05-Mar-2015,23.65,24.11,23.61,23.91,243186,21.75
06-Mar-2015,23.85,23.9,23.4,23.53,875105,21.4
09-Mar-2015,23.66,24.21,23.32,24.11,547329,21.93
10-Mar-2015,23.99,24.75,23.6,23.85,884165,21.69
11-Mar-2015,23.84,24.15,23.67,23.72,476564,21.57
12-Mar-2015,23.57,24.2,23.49,23.58,299316,21.63
13-Mar-2015,23.65,23.82,23.52,23.59,415288,21.64
16-Mar-2015,23.62,23.87,23.44,23.46,405973,21.52
17-Mar-2015,23.44,23.85,23.3,23.51,365455,21.56
18-Mar-2015,23.59,24.38,23.48,23.94,390452,21.96
19-Mar-2015,23.67,24.02,23.53,23.88,511995,21.9
20-Mar-2015,23.91,24.19,23.74,23.85,1443525,21.88
23-Mar-2015,23.94,24.51,23.84,24.17,634628,22.17
24-Mar-2015,24.06,24.48,24.02,24.32,253931,22.31
25-Mar-2015,24.38,24.49,23.63,23.69,268898,21.73
26-Mar-2015,23.74,24.05,23.65,24.01,572886,22.02
27-Mar-2015,23.93,24.28,23.56,23.65,535492,21.69
30-Mar-2015,23.83,23.97,23.61,23.78,238491,21.81
31-Mar-2015,23.95,23.95,23.62,23.7,810410,21.74
01-Apr-2015,23.61,23.84,23.55,23.7,541204,21.74
02-Apr-2015,23.65,23.8,23.49,23.64,349776,21.68
06-Apr-2015,23.52,24.05,23.52,24.02,1030878,22.03
07-Apr-2015,23.97,24.28,23.72,23.84,286082,21.87
08-Apr-2015,23.81,24.09,23.69,23.94,235527,21.96
09-Apr-2015,24,24.07,23.36,23.7,318496,21.74
10-Apr-2015,23.69,24.23,23.69,23.99,375405,22
13-Apr-2015,23.9,24.14,23.79,23.79,860775,21.82
14-Apr-2015,23.85,24.02,23.63,23.92,119500,21.94
15-Apr-2015,23.89,24.17,23.64,23.72,267190,21.76
16-Apr-2015,23.65,23.71,23.27,23.62,175003,21.67
17-Apr-2015,23.51,23.69,23.41,23.57,112507,21.62
20-Apr-2015,23.63,23.63,23.4,23.51,383364,21.56
21-Apr-2015,23.53,23.66,23.43,23.59,145499,21.64
22-Apr-2015,23.55,23.59,23.31,23.57,259706,21.62
23-Apr-2015,23.54,23.65,23.35,23.49,119080,21.55
24-Apr-2015,23.46,23.66,23.37,23.4,95995,21.46
27-Apr-2015,23.39,23.45,23.17,23.27,215106,21.34
28-Apr-2015,23.22,23.38,22.95,23.23,264939,21.31
29-Apr-2015,23.14,23.24,22.81,22.93,610970,21.03
30-Apr-2015,22.77,22.91,22.39,22.63,299043,20.76
01-May-2015,22.6,22.78,22.3,22.5,618457,20.64
04-May-2015,22.54,22.81,22.4,22.47,206392,20.61
05-May-2015,22.36,22.42,21.81,21.94,299963,20.12
06-May-2015,21.96,22.02,21.6,21.89,658948,20.08
07-May-2015,21.77,22.48,21.77,21.97,959023,20.15
08-May-2015,22.23,22.51,22.06,22.1,496851,20.27
11-May-2015,22.38,22.47,21.49,21.76,992542,19.96
12-May-2015,21.84,22.01,21.59,21.79,477699,19.99
13-May-2015,21.77,22.06,21.59,21.64,575047,19.85
14-May-2015,21.87,22.06,21.65,21.98,392977,20.16
15-May-2015,22.06,22.3,21.98,22.15,1019388,20.32
18-May-2015,22.06,22.32,21.96,22.18,397929,20.34
19-May-2015,22.18,22.28,22,22.19,751131,20.35
20-May-2015,22.17,22.35,22.1,22.21,189596,20.37
21-May-2015,22.15,22.24,22,22.12,347775,20.29
22-May-2015,22.13,22.36,21.98,22.12,626619,20.29
26-May-2015,22.02,22.15,21.88,21.98,661051,20.16
27-May-2015,21.96,22.13,21.92,22.1,553134,20.27
28-May-2015,22.04,22.17,21.89,21.99,385360,20.17
29-May-2015,21.96,22.08,21.44,21.6,1138880,19.81
01-Jun-2015,21.64,21.91,21.47,21.81,469788,20.01
02-Jun-2015,21.71,21.91,21.57,21.88,309269,20.07
03-Jun-2015,21.87,21.9,21.71,21.82,478810,20.01
04-Jun-2015,21.74,21.99,21.63,21.92,431037,20.11
05-Jun-2015,21.8,21.93,21.52,21.88,519198,20.07
08-Jun-2015,21.61,22.05,21.56,21.97,328083,20.15
09-Jun-2015,21.9,22.03,21.73,21.78,263237,19.98
10-Jun-2015,21.8,22.14,21.8,22.09,329698,20.26
11-Jun-2015,21.93,22.14,21.88,22.14,284864,20.49
12-Jun-2015,22.45,22.47,22.09,22.44,308945,20.77
15-Jun-2015,22.31,22.54,21.87,22.02,395987,20.38
16-Jun-2015,21.98,22.12,21.83,21.95,684637,20.32
17-Jun-2015,22.06,22.37,21.88,22.31,303559,20.65
18-Jun-2015,22.38,22.63,22.36,22.58,301911,20.9
19-Jun-2015,22.72,22.81,22.33,22.4,1244094,20.73
22-Jun-2015,22.62,22.86,22.27,22.28,496495,20.62
23-Jun-2015,22.27,22.42,21.98,22.35,603788,20.69
24-Jun-2015,22.36,22.47,21.97,22.03,388105,20.39
25-Jun-2015,22.07,22.07,21.74,21.79,571377,20.17
26-Jun-2015,21.78,21.78,21.47,21.54,5555717,19.94
29-Jun-2015,21.56,22.11,20.9,20.91,906576,19.36
30-Jun-2015,21,21.02,20.62,20.79,846177,19.24
01-Jul-2015,20.84,20.92,20.59,20.89,664048,19.34
02-Jul-2015,20.98,21.24,20.81,20.98,520978,19.42
06-Jul-2015,20.92,21.08,20.76,20.98,448493,19.42
07-Jul-2015,21.02,21.31,20.88,21.25,334430,19.67
08-Jul-2015,21.2,21.27,21.01,21.05,529349,19.48
09-Jul-2015,21.25,21.29,20.99,21.02,366094,19.46
10-Jul-2015,21.18,21.38,20.99,21.22,414267,19.64
13-Jul-2015,21.37,21.47,21.2,21.39,396058,19.8
14-Jul-2015,21.33,21.53,21.26,21.45,404353,19.85
15-Jul-2015,21.45,21.56,21.26,21.48,384827,19.88
16-Jul-2015,21.55,21.7,21.39,21.53,389990,19.93
17-Jul-2015,21.52,21.62,21.31,21.58,598359,19.98
20-Jul-2015,21.56,21.59,21.3,21.46,248632,19.86
21-Jul-2015,21.41,21.56,21.34,21.39,338651,19.8
22-Jul-2015,21.35,21.61,21.31,21.44,344321,19.85
23-Jul-2015,21.4,21.49,20.89,21.05,244141,19.48
24-Jul-2015,20.97,21.07,20.75,20.81,280240,19.26
27-Jul-2015,20.95,21.47,20.95,21.43,555744,19.84
28-Jul-2015,21.5,21.5,21.12,21.38,671419,19.79
29-Jul-2015,21.31,21.56,21.22,21.44,297272,19.85
30-Jul-2015,21.37,21.51,21.2,21.44,392960,19.85
31-Jul-2015,21.51,21.58,21.38,21.47,826970,19.87
03-Aug-2015,21.46,21.66,21.41,21.64,305234,20.03
04-Aug-2015,21.63,21.88,21.46,21.64,519831,20.03
05-Aug-2015,21.71,21.76,21.42,21.63,730318,20.02
06-Aug-2015,21.62,21.95,21.22,21.94,1246289,20.31
07-Aug-2015,21.82,22.42,21.66,22.28,757792,20.62
10-Aug-2015,22.37,22.53,21.85,21.92,768091,20.29
11-Aug-2015,21.84,22.41,21.72,22.36,441403,20.7
12-Aug-2015,22.32,22.51,22.08,22.48,593862,20.81
13-Aug-2015,22.41,22.79,22.24,22.74,475977,21.05
14-Aug-2015,22.69,22.77,22.45,22.69,775481,21
17-Aug-2015,22.65,23.14,22.51,23.06,652596,21.35
18-Aug-2015,22.98,23.11,22.59,22.93,476354,21.22
19-Aug-2015,22.8,22.92,22.63,22.79,488080,21.1
20-Aug-2015,22.65,22.76,22.39,22.44,526747,20.77
21-Aug-2015,22.14,22.45,21.99,21.99,526201,20.35
24-Aug-2015,21.31,21.62,20.75,20.83,725888,19.28
25-Aug-2015,21.34,21.34,20.34,20.36,768091,18.85
26-Aug-2015,20.71,21.11,20.43,21.03,585976,19.47
27-Aug-2015,21.15,21.49,20.9,21.44,887071,19.85
28-Aug-2015,21.41,21.61,21.24,21.33,1912954,19.74
31-Aug-2015,21.26,21.33,20.82,20.91,738723,19.36
01-Sep-2015,20.57,20.82,20.21,20.27,450880,18.76
02-Sep-2015,20.53,20.7,20.28,20.55,427993,19.02
03-Sep-2015,20.54,20.92,20.28,20.73,649824,19.19
04-Sep-2015,20.48,20.48,19.97,20.12,499696,18.62
08-Sep-2015,20.25,20.51,20.09,20.38,771865,18.86
09-Sep-2015,20.56,20.67,20.14,20.18,704879,18.68
10-Sep-2015,20.14,20.49,20,20.16,578859,18.66
11-Sep-2015,19.94,20.47,19.75,20.43,859638,19.1
14-Sep-2015,20.44,20.64,20.36,20.6,534069,19.26
15-Sep-2015,20.61,20.98,20.58,20.96,490499,19.6
16-Sep-2015,21.01,21.38,20.93,21.27,490624,19.89
17-Sep-2015,21.26,21.97,21.12,21.69,1151614,20.28
18-Sep-2015,21.43,21.92,21.42,21.66,1884243,20.25
21-Sep-2015,21.72,22.05,21.57,21.74,827298,20.32
22-Sep-2015,21.6,21.71,21.33,21.36,571434,19.97
23-Sep-2015,21.43,21.48,21.12,21.25,494343,19.87
24-Sep-2015,21.19,21.34,21.01,21.09,637108,19.72
25-Sep-2015,21.21,21.5,21.12,21.31,417230,19.92
28-Sep-2015,21.24,21.28,20.84,21.14,401629,19.76
29-Sep-2015,21.18,21.64,21,21.59,894391,20.18
30-Sep-2015,21.75,21.86,21.55,21.59,753833,20.18
01-Oct-2015,21.65,21.81,21.3,21.58,578022,20.18
02-Oct-2015,21.49,21.84,21.16,21.84,394932,20.42
05-Oct-2015,21.98,22.28,21.85,22.21,317662,20.76
06-Oct-2015,22.19,22.45,22.11,22.21,270702,20.76
07-Oct-2015,22.29,22.57,22.2,22.55,481401,21.08
08-Oct-2015,22.48,22.82,22.45,22.74,374469,21.26
09-Oct-2015,22.78,22.83,22.47,22.61,220268,21.14
12-Oct-2015,22.66,22.95,22.6,22.72,372080,21.24
13-Oct-2015,22.68,22.88,22.56,22.71,316062,21.23
14-Oct-2015,22.75,22.87,22.56,22.6,505135,21.13
15-Oct-2015,22.73,23.28,22.54,23.19,476502,21.68
16-Oct-2015,23.28,23.47,23.1,23.35,731199,21.83
19-Oct-2015,23.33,23.8,23.29,23.79,470089,22.24
20-Oct-2015,23.71,24,23.62,23.88,590974,22.33
21-Oct-2015,23.95,24.15,23.64,23.7,420931,22.16
22-Oct-2015,23.77,23.93,23.63,23.78,574874,22.23
23-Oct-2015,23.9,23.93,23.32,23.67,505215,22.13
26-Oct-2015,23.68,23.82,23.43,23.73,202091,22.19
27-Oct-2015,23.67,23.81,23.44,23.78,481208,22.23
28-Oct-2015,23.8,24.27,23.5,24.24,485786,22.66
29-Oct-2015,24.32,24.32,23.9,24.04,291082,22.48
30-Oct-2015,24.01,24.07,23.7,23.74,338478,22.19
02-Nov-2015,23.76,24.47,23.69,24.33,545930,22.75
03-Nov-2015,24.23,24.34,23.59,23.9,444302,22.34
04-Nov-2015,23.92,24.18,23.75,24.04,536128,22.48
05-Nov-2015,24.09,24.3,23.71,24.3,420931,22.72
06-Nov-2015,24.1,24.31,23.36,23.6,307699,22.06
09-Nov-2015,23.47,23.47,23.02,23.18,606969,21.67
10-Nov-2015,23.18,23.72,23.08,23.5,729481,21.97
11-Nov-2015,23.55,23.64,23.13,23.54,292131,22.01
12-Nov-2015,23.44,23.52,23.12,23.15,306350,21.64
13-Nov-2015,22.99,23.25,22.76,22.85,387807,21.36
16-Nov-2015,22.85,23.18,22.81,23.1,350348,21.6
17-Nov-2015,23.12,23.59,22.98,23.36,614366,21.84
18-Nov-2015,23.38,23.59,23.14,23.52,304608,21.99
19-Nov-2015,23.55,23.68,23.31,23.63,168224,22.09
20-Nov-2015,23.74,23.92,23.56,23.76,369586,22.21
23-Nov-2015,23.74,23.88,23.62,23.69,153238,22.15
24-Nov-2015,23.53,23.86,23.27,23.74,342199,22.19
25-Nov-2015,23.72,23.89,23.61,23.78,202384,22.23
27-Nov-2015,23.75,24.37,23.75,24.31,256569,22.73
30-Nov-2015,24.4,24.4,23.9,23.99,526585,22.43
01-Dec-2015,24.06,24.27,23.94,24.2,255675,22.62
02-Dec-2015,24.19,24.35,23.62,23.65,375489,22.11
03-Dec-2015,23.65,23.69,23.08,23.11,340397,21.61
04-Dec-2015,23.19,23.75,23.18,23.69,389110,22.15
07-Dec-2015,23.61,23.61,23.12,23.46,412905,21.93
08-Dec-2015,23.36,23.57,23.07,23.31,387658,21.79
09-Dec-2015,23.2,23.47,23.19,23.3,379281,21.78
10-Dec-2015,23.35,23.58,23.07,23.09,428904,21.59
11-Dec-2015,22.73,22.78,22.34,22.54,856302,21.26
14-Dec-2015,22.46,22.53,22.1,22.5,346486,21.22
15-Dec-2015,22.64,22.8,22.45,22.58,1699424,21.29
16-Dec-2015,22.71,23.24,22.62,23.07,1037974,21.76
17-Dec-2015,23.09,23.26,22.89,22.9,415663,21.6
18-Dec-2015,22.76,22.97,22.65,22.79,1431844,21.49
21-Dec-2015,22.79,22.97,22.5,22.73,1012647,21.44
22-Dec-2015,22.78,22.99,22.62,22.92,604543,21.62
23-Dec-2015,23.02,23.19,22.96,23.06,392230,21.75
24-Dec-2015,23.04,23.47,22.94,23.3,225992,21.97
28-Dec-2015,23.26,23.46,23.08,23.38,509289,22.05
29-Dec-2015,23.47,23.92,23.47,23.89,351101,22.53
30-Dec-2015,23.81,23.89,23.63,23.76,896264,22.41
31-Dec-2015,23.73,23.88,23.45,23.45,637507,22.12
04-Jan-2016,23.22,23.49,22.94,23.08,697567,21.77
05-Jan-2016,23.09,23.67,23.05,23.57,319710,22.23
06-Jan-2016,23.35,23.69,23.35,23.56,311610,22.22
07-Jan-2016,23.18,23.34,22.92,23.05,428429,21.74
08-Jan-2016,23.12,23.26,22.38,22.42,666507,21.14
11-Jan-2016,22.5,23,22.44,22.77,473854,21.47
12-Jan-2016,22.92,23.03,22.56,22.98,623625,21.67
13-Jan-2016,23.02,23.05,22.43,22.46,322486,21.18
14-Jan-2016,22.51,22.7,22.14,22.22,507826,20.96
15-Jan-2016,21.77,22.35,21.77,22.29,581342,21.02
19-Jan-2016,22.52,22.92,22.32,22.79,654936,21.49
20-Jan-2016,22.56,22.82,21.87,22.47,500775,21.19
21-Jan-2016,22.59,23.04,22.29,22.77,576606,21.47
22-Jan-2016,23.04,23.55,22.93,23.52,533216,22.18
25-Jan-2016,23.48,23.75,23.15,23.21,544502,21.89
26-Jan-2016,23.34,24.22,23.23,24.14,722324,22.77
27-Jan-2016,24.02,24.18,23.23,23.48,712333,22.14
28-Jan-2016,23.62,23.99,23.55,23.7,670702,22.35
29-Jan-2016,23.87,24.33,23.76,24.3,840184,22.92
01-Feb-2016,24.13,24.54,24.02,24.36,675079,22.97
02-Feb-2016,24.2,24.2,23.75,24.09,519994,22.72
03-Feb-2016,24.22,24.49,23.9,24.47,423588,23.08
04-Feb-2016,24.35,24.49,24.16,24.28,305150,22.9
05-Feb-2016,24.22,24.33,23.84,23.85,475917,22.49
08-Feb-2016,23.64,23.87,23.16,23.62,489105,22.28
09-Feb-2016,23.33,24.39,23.33,24,651507,22.63
10-Feb-2016,24.11,24.48,23.67,23.68,435925,22.33
11-Feb-2016,23.32,23.68,23.26,23.37,516037,22.04
12-Feb-2016,23.59,23.82,23.49,23.61,564319,22.27
16-Feb-2016,23.81,23.89,23.58,23.73,351562,22.38
17-Feb-2016,23.88,24.07,23.52,23.79,540665,22.44
18-Feb-2016,23.59,23.85,23.24,23.59,569147,22.25
19-Feb-2016,23.56,23.97,23.37,23.93,803649,22.57
22-Feb-2016,24.12,24.35,23.56,23.74,507489,22.39
23-Feb-2016,23.7,23.8,23.41,23.73,461931,22.38
24-Feb-2016,23.59,23.73,23.25,23.71,322329,22.36
25-Feb-2016,23.79,24.58,23.79,24.57,551232,23.17
26-Feb-2016,24.62,24.69,24.33,24.49,651631,23.1
29-Feb-2016,24.52,24.66,24.19,24.32,597928,22.94
01-Mar-2016,24.43,24.94,24.43,24.93,334745,23.51
02-Mar-2016,24.87,24.99,24.54,24.69,639741,23.28
03-Mar-2016,24.72,24.72,24.48,24.71,429461,23.3
04-Mar-2016,24.77,24.8,24.44,24.72,579482,23.31
07-Mar-2016,24.62,24.77,24.41,24.74,508433,23.33
08-Mar-2016,24.6,24.84,24.46,24.52,356985,23.12
09-Mar-2016,24.6,25.06,24.6,24.89,431564,23.47
10-Mar-2016,25,25.06,24.5,24.8,335518,23.39
11-Mar-2016,24.87,25.04,24.67,24.84,391016,23.62
14-Mar-2016,24.78,24.91,24.67,24.81,482755,23.59
15-Mar-2016,24.74,25.03,24.64,24.89,538654,23.66
16-Mar-2016,24.84,25.45,24.69,25.4,913683,24.15
17-Mar-2016,25.39,25.64,25.06,25.58,499366,24.32
18-Mar-2016,25.72,25.77,25.09,25.33,1774904,24.08
21-Mar-2016,25.29,25.41,25.05,25.16,413101,23.92
22-Mar-2016,25.05,25.17,24.88,25.15,305455,23.91
23-Mar-2016,25.08,25.15,24.75,24.78,253859,23.56
24-Mar-2016,24.7,24.72,24.55,24.62,307455,23.41
28-Mar-2016,24.69,25.06,24.59,25.06,508304,23.83
29-Mar-2016,25.02,25.88,24.93,25.87,578717,24.6
30-Mar-2016,25.92,26.18,25.87,25.99,984791,24.71
31-Mar-2016,25.94,26.01,25.68,25.84,526513,24.57
01-Apr-2016,25.63,25.93,25.52,25.84,443349,24.57
04-Apr-2016,25.83,25.92,25.52,25.55,348736,24.29
05-Apr-2016,25.34,25.55,25.27,25.28,370940,24.03
06-Apr-2016,25.24,25.32,24.99,25.16,423184,23.92
07-Apr-2016,25.01,25.16,24.92,25.09,353691,23.85
08-Apr-2016,25.26,25.61,25.19,25.4,303956,24.15
11-Apr-2016,25.46,25.64,25.16,25.16,515206,23.92
12-Apr-2016,25.2,25.42,25.1,25.33,238550,24.08
13-Apr-2016,25.44,25.48,25.18,25.3,479354,24.05
14-Apr-2016,25.3,25.32,25.02,25.11,250046,23.87
15-Apr-2016,25.08,25.46,25.03,25.41,301118,24.16
18-Apr-2016,25.31,25.52,25.22,25.52,294280,24.26
19-Apr-2016,25.59,25.72,25.29,25.45,285422,24.2
20-Apr-2016,25.41,25.58,25.19,25.29,346599,24.04
21-Apr-2016,25.23,25.33,24.36,24.49,532401,23.28
22-Apr-2016,24.54,24.98,24.54,24.97,400066,23.74
25-Apr-2016,24.92,25.36,24.85,25.36,385228,24.11
26-Apr-2016,25.36,25.83,25.36,25.82,732785,24.55
27-Apr-2016,25.81,26.21,25.59,25.98,1450865,24.7
28-Apr-2016,25.84,26.13,25.83,26.06,644680,24.78
29-Apr-2016,25.93,26.12,25.57,25.94,1762592,24.66
02-May-2016,26.01,26.48,25.92,26.4,834323,25.1
03-May-2016,26.32,26.4,26.06,26.34,624931,25.04
04-May-2016,26.16,26.79,26.15,26.76,538559,25.44
05-May-2016,26.29,27.64,26.29,27.15,1360701,25.81
06-May-2016,27.08,27.5,26.95,27.46,849135,26.11
09-May-2016,27.46,27.9,27.35,27.8,682245,26.43
10-May-2016,27.93,27.94,27.7,27.8,296055,26.43
11-May-2016,27.76,27.86,27.35,27.38,835548,26.03
12-May-2016,27.44,27.68,27.26,27.64,454833,26.28
13-May-2016,27.54,27.72,27.27,27.56,377844,26.2
16-May-2016,27.48,27.84,27.47,27.66,598491,26.3
17-May-2016,27.56,27.56,26.63,26.72,766149,25.4
18-May-2016,26.57,26.64,25.83,26.03,893476,24.75
19-May-2016,25.83,26.01,25.68,25.9,523856,24.62
20-May-2016,25.95,26.35,25.88,26.05,746434,24.77
23-May-2016,26.14,26.33,26.12,26.18,358785,24.89
24-May-2016,26.25,26.78,26.25,26.65,449864,25.34
25-May-2016,26.69,26.69,26.28,26.39,307296,25.09
26-May-2016,26.43,26.78,26.32,26.69,334148,25.38
27-May-2016,26.73,27.07,26.58,27.04,797544,25.71
31-May-2016,27.04,27.1,26.84,26.85,787283,25.53
01-Jun-2016,26.95,27.15,26.85,27.1,570923,25.77
02-Jun-2016,27.06,27.5,27,27.43,643533,26.08
03-Jun-2016,27.71,27.81,27.39,27.66,481061,26.3
06-Jun-2016,27.71,27.85,27.39,27.49,426899,26.14
07-Jun-2016,27.54,27.84,27.47,27.7,433277,26.34
08-Jun-2016,27.69,28.2,27.66,28.16,744871,26.77
09-Jun-2016,28.13,28.59,28.1,28.42,512779,27.02
10-Jun-2016,28.24,28.55,28.06,28.13,445873,26.74
13-Jun-2016,28,28.11,27.54,27.61,1201760,26.25
14-Jun-2016,27.6,27.76,27.45,27.58,612395,26.22
15-Jun-2016,27.64,27.88,27.55,27.63,449921,26.27
16-Jun-2016,27.61,27.98,27.45,27.94,451228,26.56
