Date,Open,High,Low,Close,Volume,AdjClose
19-Sep-2016,27.5,27.5,24.96,24.96,102275,24.85
20-Sep-2016,25,25.05,24.26,24.26,283870,24.16
21-Sep-2016,24,24.93,23.53,24,571114,23.9
22-Sep-2016,24,24,22.32,23.2,572279,23.1
23-Sep-2016,22.8,23.15,22.55,23,543979,22.9
26-Sep-2016,22.56,23,21.91,22.35,497775,22.25
27-Sep-2016,22.4,22.53,22.25,22.35,368661,22.25
28-Sep-2016,22.35,22.75,22.25,22.47,1401925,22.37
29-Sep-2016,22.42,23.25,22.42,23,1576596,22.9
30-Sep-2016,23.25,23.25,22.66,22.7,1758180,22.6
03-Oct-2016,22.45,28,21.86,28,30017393,27.88
04-Oct-2016,25.7,25.77,24.35,24.49,8727143,24.39
05-Oct-2016,23.8,24.92,23.47,23.68,3157572,23.58
06-Oct-2016,23.51,24.02,23.32,23.44,3389232,23.34
07-Oct-2016,23.13,23.48,22.92,23.38,3502513,23.28
10-Oct-2016,23.15,24.03,23.15,23.49,2488722,23.39
11-Oct-2016,23,23.66,22.72,23.3,5099627,23.2
12-Oct-2016,22.59,23.43,22.2,23.34,4019966,23.24
13-Oct-2016,23.34,23.39,22.28,22.83,3564577,22.73
14-Oct-2016,22.57,22.84,22.4,22.46,2540971,22.36
17-Oct-2016,22.42,22.59,22.25,22.47,999352,22.37
18-Oct-2016,23.03,24.58,22.88,24.3,2714988,24.2
19-Oct-2016,24.12,24.2,23.3,23.76,1535384,23.66
20-Oct-2016,23.59,24.01,23.45,23.92,744508,23.82
21-Oct-2016,23.75,24.02,23.18,23.33,1405911,23.23
24-Oct-2016,23.6,23.6,22.97,23.3,1082016,23.2
25-Oct-2016,23.19,23.2,22.75,23.04,2198984,22.94
26-Oct-2016,22.78,22.86,22.25,22.81,4476213,22.71
27-Oct-2016,22.96,23.89,22.75,23.29,2281091,23.19
28-Oct-2016,23.22,23.35,22.5,22.75,7341100,22.65
31-Oct-2016,22.57,22.98,22.52,22.7,1305673,22.6
01-Nov-2016,22.78,22.78,22.18,22.53,4584329,22.43
02-Nov-2016,22.5,22.98,22.48,22.67,1219183,22.57
03-Nov-2016,22.67,22.92,22.41,22.62,1023370,22.52
04-Nov-2016,22.44,22.91,22.24,22.69,1346930,22.59
07-Nov-2016,22.88,23.5,22.7,23.11,1736160,23.01
08-Nov-2016,23.05,23.24,22.71,23.13,1358459,23.03
09-Nov-2016,22.93,23.14,22.72,23,2165946,22.9
10-Nov-2016,23,23.77,22.81,23.55,2343583,23.45
11-Nov-2016,23.47,24.27,23.06,24.18,1076359,24.08
14-Nov-2016,24.17,24.28,23.54,23.69,1166367,23.59
15-Nov-2016,23.68,24.01,23.5,23.89,1175413,23.79
16-Nov-2016,23.72,24.02,23.62,23.99,668261,23.89
17-Nov-2016,24.09,24.4,23.8,23.99,992080,23.89
18-Nov-2016,23.85,24.07,23.38,23.44,817519,23.34
21-Nov-2016,23.44,24.66,23.44,24.59,1334944,24.49
22-Nov-2016,24.68,25.16,24.58,25.03,798699,24.92
23-Nov-2016,25.08,25.58,24.88,25.44,970767,25.33
25-Nov-2016,25.61,25.64,25.1,25.1,346369,24.99
28-Nov-2016,25.03,25.41,24.61,24.73,1053883,24.62
29-Nov-2016,24.58,24.8,24.37,24.65,721139,24.54
30-Nov-2016,24.64,24.79,24.41,24.46,1232898,24.36
01-Dec-2016,25.1,25.93,24.52,24.62,2579877,24.51
02-Dec-2016,24.61,24.86,24.4,24.46,994334,24.36
05-Dec-2016,24.68,25.01,24.27,24.85,1870178,24.74
06-Dec-2016,24.8,25.25,24.75,25.2,1784844,25.09
07-Dec-2016,25.35,26.99,25.35,26.93,2402431,26.82
08-Dec-2016,26.9,27.48,26.75,27.17,1047514,27.05
09-Dec-2016,27.15,27.31,26.75,27.06,887576,26.94
12-Dec-2016,26.89,27.39,26.88,27.32,721979,27.2
13-Dec-2016,27.49,28,27.35,27.8,1076329,27.68
14-Dec-2016,27.91,28.42,27.44,28.02,914193,27.9
15-Dec-2016,27.95,28.79,27.78,28.42,853052,28.3
16-Dec-2016,28.58,28.95,27.67,27.8,1723855,27.68
19-Dec-2016,27.89,28.69,27.76,28.67,1013094,28.55
20-Dec-2016,28.46,29.14,28.39,28.72,762474,28.6
21-Dec-2016,28.61,28.74,28.11,28.25,562184,28.13
22-Dec-2016,28.23,28.31,27.82,28.03,331874,27.91
23-Dec-2016,28.12,28.35,27.81,28.2,285760,28.08
27-Dec-2016,28.12,28.71,27.98,28.17,198407,28.05
28-Dec-2016,28.15,28.32,27.85,28.08,493108,27.96
29-Dec-2016,28,28.16,27.56,27.92,238836,27.8
30-Dec-2016,27.97,28.09,27.71,28.07,309109,27.95
