Date,Open,High,Low,Close,Volume,AdjClose
12-Dec-1986,0,5.34,5.23,5.23,2014001,2.99
15-Dec-1986,0,5.28,5.11,5.11,280799,2.92
16-Dec-1986,0,5.23,5.11,5.23,148799,2.99
17-Dec-1986,0,5.23,5.17,5.17,211600,2.95
18-Dec-1986,0,5.23,5.11,5.11,102001,2.92
19-Dec-1986,0,5.17,5.11,5.11,42601,2.92
22-Dec-1986,0,5.23,5.11,5.23,170001,2.99
23-Dec-1986,0,5.23,5.17,5.17,30400,2.95
24-Dec-1986,0,5.23,5.17,5.17,25001,2.95
26-Dec-1986,NaN,NaN,NaN,5.17,0,2.95
29-Dec-1986,0,5.28,5.17,5.17,58399,2.95
30-Dec-1986,0,5.28,5.17,5.28,11000,3.02
31-Dec-1986,0,5.23,5.17,5.23,26200,2.99
02-Jan-1987,0,5.28,5.11,5.28,218000,3.02
05-Jan-1987,0,5.28,5.17,5.17,106401,2.95
06-Jan-1987,0,5.23,5.17,5.17,248400,2.95
07-Jan-1987,0,5.23,5.11,5.23,288801,2.99
08-Jan-1987,0,5.45,5.17,5.34,210399,3.05
09-Jan-1987,0,5.68,5.34,5.57,211400,3.18
12-Jan-1987,0,5.74,5.51,5.62,173600,3.21
13-Jan-1987,0,5.74,5.57,5.57,167600,3.18
14-Jan-1987,0,6.14,5.57,5.97,367000,3.41
15-Jan-1987,0,6.14,5.91,5.91,419199,3.38
16-Jan-1987,0,6.02,5.79,5.79,138600,3.31
19-Jan-1987,0,5.91,5.68,5.68,78399,3.25
20-Jan-1987,0,5.85,5.68,5.85,30199,3.34
21-Jan-1987,0,5.85,5.68,5.68,77200,3.25
22-Jan-1987,0,5.85,5.68,5.74,27799,3.28
23-Jan-1987,0,5.85,5.62,5.62,146001,3.21
26-Jan-1987,0,5.74,5.51,5.51,220200,3.15
27-Jan-1987,0,5.62,5.51,5.57,67399,3.18
28-Jan-1987,0,5.62,5.51,5.57,58001,3.18
29-Jan-1987,0,5.68,5.45,5.68,324001,3.25
30-Jan-1987,0,5.91,5.57,5.79,129400,3.31
02-Feb-1987,0,6.36,5.79,6.31,301600,3.61
03-Feb-1987,0,6.31,6.08,6.14,147600,3.51
04-Feb-1987,0,6.31,6.14,6.31,107199,3.61
05-Feb-1987,0,6.59,6.14,6.36,199399,3.63
06-Feb-1987,0,6.48,6.19,6.42,116200,3.67
09-Feb-1987,0,6.42,6.19,6.25,103200,3.57
10-Feb-1987,0,6.36,6.14,6.25,68600,3.57
11-Feb-1987,0,6.25,6.14,6.25,22000,3.57
12-Feb-1987,0,6.36,6.19,6.31,110400,3.61
13-Feb-1987,0,6.48,6.25,6.48,84799,3.7
17-Feb-1987,0,6.59,6.31,6.59,118800,3.77
18-Feb-1987,0,6.7,6.48,6.7,66601,3.83
19-Feb-1987,0,6.7,6.59,6.59,81800,3.77
20-Feb-1987,0,6.93,6.59,6.82,121400,3.9
