Date,Open,High,Low,Close,Volume,AdjClose
31-Dec-2012,4.71,4.76,4.68,4.7,3393060,4.19
02-Jan-2013,4.76,4.79,4.68,4.7,3698997,4.19
03-Jan-2013,4.69,4.79,4.68,4.75,3978386,4.24
04-Jan-2013,4.75,4.82,4.7,4.76,4928268,4.25
07-Jan-2013,4.77,4.84,4.73,4.79,2543714,4.27
08-Jan-2013,4.79,4.8,4.72,4.74,2570142,4.23
09-Jan-2013,4.73,4.8,4.72,4.79,1865617,4.27
10-Jan-2013,4.8,4.82,4.76,4.8,2177274,4.28
11-Jan-2013,4.82,4.87,4.76,4.82,2118840,4.3
14-Jan-2013,4.84,4.87,4.8,4.85,1778305,4.33
15-Jan-2013,4.83,4.97,4.82,4.9,3430968,4.37
16-Jan-2013,5.07,5.08,4.9,5.08,8500538,4.53
17-Jan-2013,5.11,5.13,5.02,5.09,2589578,4.54
18-Jan-2013,5.06,5.11,5.05,5.1,4275216,4.55
22-Jan-2013,5.11,5.2,5.06,5.18,2964364,4.62
23-Jan-2013,5.17,5.2,5.09,5.15,2575988,4.59
24-Jan-2013,5.14,5.17,5.1,5.13,2321705,4.58
25-Jan-2013,5.16,5.2,5.1,5.17,2878085,4.61
28-Jan-2013,5.15,5.19,5.11,5.15,2494612,4.59
29-Jan-2013,5.17,5.17,5.11,5.13,2514046,4.58
30-Jan-2013,5.1,5.15,5.08,5.14,2079559,4.58
31-Jan-2013,5.15,5.19,5.12,5.14,1851443,4.58
01-Feb-2013,5.17,5.17,5.11,5.13,2270259,4.58
04-Feb-2013,5.13,5.16,5.08,5.11,1352645,4.56
05-Feb-2013,5.11,5.13,5.06,5.1,2053278,4.55
06-Feb-2013,5.1,5.11,5.03,5.05,3019887,4.5
07-Feb-2013,5.06,5.09,4.97,5.03,2935550,4.49
08-Feb-2013,5.01,5.06,5,5.02,3291445,4.48
11-Feb-2013,5.2,5.33,5.14,5.2,14288202,4.64
12-Feb-2013,5.25,5.3,5.2,5.28,5050375,4.71
13-Feb-2013,5.32,5.32,5.23,5.25,4473665,4.68
14-Feb-2013,5.27,5.3,5.23,5.29,3940605,4.72
15-Feb-2013,5.3,5.36,5.27,5.27,5438988,4.7
19-Feb-2013,5.31,5.42,5.29,5.4,6362613,4.82
20-Feb-2013,5.42,5.81,5.42,5.59,12621838,4.99
21-Feb-2013,5.54,5.68,5.43,5.49,8040654,4.9
22-Feb-2013,5.4,5.49,5.32,5.49,4891537,4.9
25-Feb-2013,5.56,5.56,5.45,5.45,4007423,4.86
26-Feb-2013,5.47,5.56,5.45,5.53,5817650,4.93
27-Feb-2013,5.48,5.62,5.45,5.5,6343571,4.94
28-Feb-2013,5.55,5.94,5.55,5.7,11526284,5.12
01-Mar-2013,5.52,5.56,5.41,5.51,13996116,4.95
04-Mar-2013,5.49,5.49,5.42,5.47,5264846,4.91
05-Mar-2013,5.48,5.57,5.48,5.53,3728121,4.97
06-Mar-2013,5.55,5.56,5.42,5.48,5378308,4.92
07-Mar-2013,5.5,5.54,5.44,5.47,3030942,4.91
08-Mar-2013,5.54,5.54,5.45,5.51,3395784,4.95
11-Mar-2013,5.54,5.54,5.46,5.47,2635671,4.91
12-Mar-2013,5.45,5.47,5.41,5.45,2858329,4.9
13-Mar-2013,5.45,5.51,5.42,5.49,2846614,4.93
14-Mar-2013,5.51,5.53,5.46,5.5,2107146,4.94
15-Mar-2013,5.5,5.53,5.43,5.52,4196556,4.96
