Date,Open,High,Low,Close,Volume,AdjClose
07-Jul-1983,0,1.05,1.04,1.04,16062394,0.8
08-Jul-1983,0,1.06,1.04,1.04,4449600,0.8
11-Jul-1983,0,1.09,1.06,1.06,1334394,0.82
12-Jul-1983,0,1.1,1.07,1.07,2427597,0.82
13-Jul-1983,0,1.12,1.1,1.1,1323594,0.85
14-Jul-1983,0,1.11,1.09,1.09,837202,0.84
15-Jul-1983,0,1.09,1.06,1.06,2314400,0.82
18-Jul-1983,0,1.07,1.05,1.05,1806394,0.81
19-Jul-1983,0,1.08,1.06,1.06,1075194,0.82
20-Jul-1983,0,1.09,1.07,1.07,437198,0.82
21-Jul-1983,0,1.11,1.07,1.07,250803,0.82
22-Jul-1983,0,1.11,1.07,1.07,243594,0.82
25-Jul-1983,0,1.13,1.09,1.09,205605,0.84
26-Jul-1983,0,1.14,1.1,1.1,113994,0.85
27-Jul-1983,0,1.13,1.1,1.1,360004,0.85
28-Jul-1983,0,1.11,1.07,1.07,158800,0.82
29-Jul-1983,0,1.11,1.07,1.07,183600,0.82
01-Aug-1983,0,1.09,1.06,1.06,400005,0.82
02-Aug-1983,0,1.09,1.07,1.07,632002,0.82
03-Aug-1983,0,1.09,1.07,1.07,1136403,0.82
04-Aug-1983,0,1.08,1.06,1.06,292005,0.82
05-Aug-1983,0,1.07,1.06,1.06,450400,0.82
08-Aug-1983,0,1.07,1.04,1.04,534398,0.8
09-Aug-1983,0,1.08,1.04,1.04,218403,0.8
10-Aug-1983,0,1.08,1.04,1.04,230404,0.8
11-Aug-1983,0,1.09,1.06,1.06,90004,0.82
12-Aug-1983,0,1.09,1.06,1.06,78003,0.82
15-Aug-1983,0,1.09,1.06,1.06,175203,0.82
16-Aug-1983,0,1.09,1.06,1.06,405202,0.82
17-Aug-1983,0,1.1,1.06,1.06,243594,0.82
18-Aug-1983,0,1.1,1.06,1.06,151200,0.82
19-Aug-1983,0,1.1,1.06,1.06,78003,0.82
22-Aug-1983,0,1.09,1.06,1.06,630801,0.82
23-Aug-1983,0,1.09,1.06,1.06,37598,0.82
24-Aug-1983,0,1.09,1.04,1.04,1112400,0.8
25-Aug-1983,0,1.06,1.03,1.03,254394,0.79
26-Aug-1983,0,1.04,1,1,256000,0.77
29-Aug-1983,0,1.04,1,1,13203,0.77
30-Aug-1983,0,1.03,0.99,0.99,199598,0.76
