Date,Open,High,Low,Close,Volume,AdjClose
29-May-1981,0,1.05,1,1.05,87500,0.11
01-Jun-1981,0,1.02,1,1,44622,0.1
02-Jun-1981,0,1,0.98,1,37624,0.1
03-Jun-1981,0,1,0.97,1,31374,0.1
04-Jun-1981,NaN,NaN,NaN,1,0,0.1
05-Jun-1981,NaN,NaN,NaN,1,0,0.1
08-Jun-1981,NaN,NaN,NaN,1,0,0.1
09-Jun-1981,0,0.97,0.95,0.95,6497,0.1
10-Jun-1981,0,0.94,0.94,0.94,8001,0.1
11-Jun-1981,0,0.96,0.94,0.96,15872,0.1
12-Jun-1981,0,0.92,0.92,0.92,68001,0.1
15-Jun-1981,0,0.91,0.9,0.9,49622,0.09
16-Jun-1981,0,0.87,0.87,0.87,31374,0.09
17-Jun-1981,0,0.87,0.83,0.85,109375,0.09
18-Jun-1981,0,0.87,0.82,0.85,198001,0.09
19-Jun-1981,0,0.85,0.82,0.83,43001,0.09
22-Jun-1981,0,0.85,0.83,0.85,13372,0.09
23-Jun-1981,0,0.88,0.85,0.88,23874,0.09
24-Jun-1981,0,0.88,0.86,0.86,15872,0.09
25-Jun-1981,0,0.87,0.86,0.87,15872,0.09
26-Jun-1981,0,0.88,0.87,0.87,35501,0.09
29-Jun-1981,0,0.9,0.87,0.9,37624,0.09
30-Jun-1981,0,0.9,0.86,0.86,164128,0.09
01-Jul-1981,0,0.87,0.86,0.86,47122,0.09
02-Jul-1981,0,0.9,0.86,0.9,488503,0.09
06-Jul-1981,0,0.9,0.87,0.88,161628,0.09
07-Jul-1981,0,0.88,0.85,0.85,637122,0.09
08-Jul-1981,0,0.86,0.83,0.83,148874,0.09
09-Jul-1981,0,0.85,0.83,0.85,140872,0.09
10-Jul-1981,0,0.85,0.83,0.85,166628,0.09
13-Jul-1981,0,0.85,0.83,0.83,384375,0.09
14-Jul-1981,0,0.86,0.82,0.86,246003,0.09
15-Jul-1981,0,0.87,0.86,0.87,211374,0.09
16-Jul-1981,0,0.88,0.87,0.88,92500,0.09
17-Jul-1981,0,0.9,0.88,0.88,119876,0.09
20-Jul-1981,0,0.9,0.87,0.9,216497,0.09
21-Jul-1981,0,0.87,0.85,0.87,160124,0.09
22-Jul-1981,0,0.87,0.85,0.85,97624,0.09
23-Jul-1981,0,0.87,0.85,0.87,228125,0.09
24-Jul-1981,0,0.87,0.86,0.86,49622,0.09
27-Jul-1981,0,0.88,0.86,0.87,301003,0.09
28-Jul-1981,0,0.87,0.86,0.87,389375,0.09
29-Jul-1981,0,0.94,0.87,0.92,1618503,0.1
30-Jul-1981,0,0.94,0.88,0.92,482122,0.1
31-Jul-1981,0,0.96,0.92,0.96,364876,0.1
03-Aug-1981,0,1.08,0.96,1.01,252624,0.11
04-Aug-1981,0,1.05,0.98,1,160501,0.1
05-Aug-1981,0,1.02,0.97,1,204876,0.1
06-Aug-1981,0,1.01,0.97,0.97,259375,0.1
07-Aug-1981,0,1,0.97,1,175872,0.1
10-Aug-1981,0,0.97,0.92,0.94,244876,0.1
11-Aug-1981,0,0.95,0.92,0.92,129128,0.1
12-Aug-1981,0,0.94,0.91,0.92,276003,0.1
13-Aug-1981,0,0.94,0.91,0.92,155000,0.1
14-Aug-1981,0,0.92,0.9,0.91,112122,0.1
17-Aug-1981,0,0.91,0.87,0.9,182376,0.09
18-Aug-1981,0,0.91,0.88,0.9,93997,0.09
19-Aug-1981,0,0.92,0.9,0.92,214876,0.1
20-Aug-1981,0,0.91,0.9,0.91,172122,0.1
21-Aug-1981,0,0.92,0.87,0.88,119876,0.09
24-Aug-1981,0,0.88,0.83,0.83,226875,0.09
25-Aug-1981,0,0.91,0.85,0.9,95501,0.09
26-Aug-1981,0,0.91,0.88,0.91,55000,0.1
27-Aug-1981,0,0.92,0.86,0.9,127624,0.09
28-Aug-1981,0,0.88,0.86,0.87,226875,0.09
31-Aug-1981,0,0.92,0.87,0.9,105872,0.09
01-Sep-1981,0,0.92,0.88,0.9,95501,0.09
02-Sep-1981,0,0.91,0.88,0.91,70625,0.1
03-Sep-1981,0,0.91,0.87,0.87,111003,0.09
04-Sep-1981,0,0.9,0.85,0.87,156497,0.09
08-Sep-1981,0,0.88,0.85,0.85,68997,0.09
09-Sep-1981,0,0.87,0.85,0.87,60124,0.09
10-Sep-1981,0,0.87,0.86,0.87,190124,0.09
11-Sep-1981,0,0.9,0.85,0.88,195501,0.09
14-Sep-1981,0,0.92,0.87,0.88,100124,0.09
15-Sep-1981,0,0.88,0.87,0.88,47122,0.09
16-Sep-1981,0,0.88,0.85,0.87,304876,0.09
17-Sep-1981,0,0.92,0.88,0.9,86374,0.09
18-Sep-1981,0,0.92,0.88,0.88,55000,0.09
21-Sep-1981,0,0.92,0.88,0.91,161628,0.1
22-Sep-1981,0,0.94,0.9,0.9,432376,0.09
23-Sep-1981,0,0.92,0.88,0.92,193001,0.1
24-Sep-1981,0,0.91,0.88,0.9,101875,0.09
25-Sep-1981,0,0.9,0.87,0.9,190124,0.09
28-Sep-1981,0,0.88,0.87,0.88,112122,0.09
29-Sep-1981,0,0.94,0.87,0.94,146003,0.1
30-Sep-1981,0,0.95,0.91,0.91,30000,0.1
01-Oct-1981,0,0.92,0.91,0.92,22122,0.1
02-Oct-1981,0,0.92,0.9,0.91,73001,0.1
05-Oct-1981,0,0.92,0.88,0.9,90124,0.09
06-Oct-1981,0,0.92,0.88,0.92,104128,0.1
07-Oct-1981,0,0.94,0.91,0.91,68001,0.1
08-Oct-1981,0,0.95,0.91,0.92,61374,0.1
09-Oct-1981,0,0.97,0.95,0.96,43372,0.1
12-Oct-1981,0,1,0.97,0.98,66628,0.1
13-Oct-1981,0,1.02,0.98,0.98,61374,0.1
14-Oct-1981,0,1.01,0.92,0.92,168001,0.1
15-Oct-1981,0,0.92,0.91,0.92,41628,0.1
16-Oct-1981,0,0.95,0.9,0.92,53372,0.1
19-Oct-1981,0,0.95,0.91,0.94,64128,0.1
20-Oct-1981,0,0.95,0.91,0.92,62624,0.1
21-Oct-1981,0,0.92,0.9,0.9,187500,0.09
22-Oct-1981,0,0.92,0.9,0.92,35501,0.1
23-Oct-1981,0,0.97,0.9,0.95,48503,0.1
26-Oct-1981,0,1,0.96,0.96,108125,0.1
27-Oct-1981,0,0.98,0.95,0.97,86374,0.1
28-Oct-1981,0,1,0.95,0.97,62624,0.1
29-Oct-1981,0,1,0.95,0.95,36628,0.1
30-Oct-1981,0,0.95,0.92,0.92,88503,0.1
02-Nov-1981,0,0.98,0.94,0.97,57376,0.1
03-Nov-1981,0,0.98,0.97,0.97,100124,0.1
04-Nov-1981,0,0.98,0.97,0.98,43001,0.1
05-Nov-1981,0,1,0.98,1,65124,0.1
06-Nov-1981,0,0.98,0.96,0.98,146003,0.1
09-Nov-1981,0,1,0.98,1,37624,0.1
10-Nov-1981,0,1,0.97,1,35124,0.1
11-Nov-1981,0,1,0.96,0.96,57376,0.1
12-Nov-1981,0,0.98,0.95,0.98,75872,0.1
13-Nov-1981,0,1,0.95,0.95,111003,0.1
16-Nov-1981,0,0.95,0.92,0.95,82122,0.1
17-Nov-1981,0,0.96,0.92,0.96,152376,0.1
18-Nov-1981,0,0.95,0.91,0.92,109622,0.1
19-Nov-1981,0,0.95,0.92,0.95,187500,0.1
20-Nov-1981,0,0.96,0.92,0.96,122624,0.1
23-Nov-1981,0,0.97,0.95,0.95,41628,0.1
24-Nov-1981,0,0.98,0.94,0.98,742500,0.1
25-Nov-1981,0,0.98,0.94,0.94,55000,0.1
27-Nov-1981,0,0.96,0.88,0.96,148503,0.1
30-Nov-1981,0,0.97,0.95,0.97,13372,0.1
01-Dec-1981,0,0.96,0.91,0.94,126628,0.1
02-Dec-1981,0,0.95,0.94,0.95,58503,0.1
03-Dec-1981,0,0.97,0.94,0.97,109375,0.1
04-Dec-1981,0,0.98,0.97,0.97,49622,0.1
07-Dec-1981,0,0.97,0.96,0.96,50872,0.1
08-Dec-1981,0,0.97,0.96,0.97,61374,0.1
09-Dec-1981,0,0.96,0.92,0.94,367376,0.1
10-Dec-1981,0,0.96,0.95,0.95,66628,0.1
11-Dec-1981,0,0.98,0.97,0.98,46875,0.1
14-Dec-1981,0,0.98,0.96,0.98,135501,0.1
15-Dec-1981,0,0.97,0.96,0.97,48503,0.1
16-Dec-1981,0,0.97,0.95,0.97,78372,0.1
17-Dec-1981,0,0.96,0.95,0.95,88503,0.1
18-Dec-1981,0,0.97,0.95,0.97,93874,0.1
21-Dec-1981,0,0.97,0.96,0.96,19876,0.1
22-Dec-1981,0,0.96,0.95,0.96,82122,0.1
23-Dec-1981,0,0.97,0.95,0.97,75872,0.1
24-Dec-1981,0,0.97,0.96,0.97,19622,0.1
28-Dec-1981,0,0.97,0.96,0.96,15872,0.1
29-Dec-1981,0,0.97,0.96,0.96,86003,0.1
30-Dec-1981,0,0.97,0.95,0.95,224128,0.1
31-Dec-1981,0,0.96,0.95,0.95,130501,0.1
04-Jan-1982,0,0.97,0.95,0.96,155000,0.1
05-Jan-1982,0,0.97,0.95,0.96,62500,0.1
06-Jan-1982,0,0.96,0.95,0.96,65124,0.1
07-Jan-1982,0,0.97,0.95,0.96,66628,0.1
08-Jan-1982,0,0.96,0.95,0.96,78372,0.1
11-Jan-1982,0,0.97,0.96,0.96,28997,0.1
12-Jan-1982,0,0.97,0.96,0.96,56374,0.1
13-Jan-1982,0,0.96,0.95,0.95,78125,0.1
14-Jan-1982,0,0.96,0.95,0.95,105501,0.1
15-Jan-1982,0,0.96,0.95,0.95,14375,0.1
18-Jan-1982,0,0.96,0.95,0.95,27376,0.1
19-Jan-1982,0,0.97,0.96,0.96,88503,0.1
20-Jan-1982,0,0.97,0.96,0.97,283997,0.1
21-Jan-1982,0,0.97,0.96,0.96,31374,0.1
22-Jan-1982,0,0.97,0.96,0.97,101628,0.1
25-Jan-1982,0,0.97,0.96,0.97,12122,0.1
26-Jan-1982,0,0.97,0.96,0.96,33001,0.1
27-Jan-1982,0,0.96,0.95,0.96,55000,0.1
28-Jan-1982,0,0.97,0.95,0.96,54876,0.1
29-Jan-1982,0,0.97,0.96,0.97,60124,0.1
01-Feb-1982,0,0.96,0.95,0.95,121003,0.1
02-Feb-1982,0,0.94,0.92,0.92,51003,0.1
03-Feb-1982,0,0.94,0.92,0.94,464622,0.1
04-Feb-1982,0,0.94,0.92,0.94,49622,0.1
05-Feb-1982,0,0.92,0.9,0.91,51003,0.1
08-Feb-1982,0,0.92,0.88,0.9,125000,0.09
09-Feb-1982,0,0.92,0.88,0.9,25000,0.09
10-Feb-1982,0,0.94,0.92,0.92,46875,0.1
11-Feb-1982,0,0.94,0.91,0.91,68997,0.1
12-Feb-1982,0,0.94,0.91,0.91,27376,0.1
16-Feb-1982,0,0.94,0.92,0.94,78372,0.1
17-Feb-1982,0,0.94,0.92,0.94,55000,0.1
18-Feb-1982,0,0.94,0.91,0.92,93997,0.1
19-Feb-1982,0,0.94,0.92,0.94,61374,0.1
22-Feb-1982,0,0.94,0.92,0.92,148503,0.1
23-Feb-1982,0,0.94,0.92,0.94,17376,0.1
24-Feb-1982,0,0.94,0.92,0.94,30000,0.1
25-Feb-1982,0,0.95,0.92,0.94,23503,0.1
26-Feb-1982,0,0.94,0.92,0.92,17376,0.1
01-Mar-1982,0,0.95,0.92,0.95,44622,0.1
02-Mar-1982,0,0.95,0.92,0.95,39128,0.1
03-Mar-1982,0,0.94,0.92,0.94,19622,0.1
04-Mar-1982,0,0.94,0.92,0.94,23874,0.1
05-Mar-1982,0,0.94,0.92,0.92,28997,0.1
08-Mar-1982,0,0.94,0.91,0.91,27624,0.1
09-Mar-1982,0,0.92,0.91,0.92,53372,0.1
10-Mar-1982,0,0.92,0.9,0.92,46875,0.1
11-Mar-1982,0,0.92,0.91,0.92,43001,0.1
12-Mar-1982,0,0.94,0.9,0.94,296875,0.1
15-Mar-1982,0,0.95,0.92,0.95,64128,0.1
16-Mar-1982,0,0.95,0.94,0.94,10501,0.1
17-Mar-1982,0,0.94,0.91,0.92,82122,0.1
18-Mar-1982,0,0.92,0.91,0.92,45625,0.1
19-Mar-1982,0,0.92,0.91,0.91,27376,0.1
22-Mar-1982,0,0.92,0.91,0.91,19876,0.1
23-Mar-1982,0,0.94,0.91,0.92,193001,0.1
24-Mar-1982,0,0.94,0.92,0.94,39128,0.1
25-Mar-1982,0,0.94,0.92,0.92,8125,0.1
26-Mar-1982,0,0.94,0.92,0.92,19622,0.1
29-Mar-1982,0,0.94,0.92,0.94,15625,0.1
30-Mar-1982,0,0.94,0.92,0.92,40625,0.1
31-Mar-1982,0,0.92,0.91,0.92,35501,0.1
01-Apr-1982,0,0.92,0.91,0.91,30000,0.1
02-Apr-1982,0,0.92,0.91,0.92,55000,0.1
05-Apr-1982,0,0.92,0.9,0.92,60124,0.1
06-Apr-1982,0,0.92,0.91,0.92,23503,0.1
07-Apr-1982,0,0.92,0.91,0.92,21003,0.1
08-Apr-1982,0,0.92,0.91,0.92,27624,0.1
12-Apr-1982,0,0.94,0.92,0.94,50872,0.1
13-Apr-1982,0,0.95,0.92,0.95,74128,0.1
14-Apr-1982,0,0.95,0.92,0.95,41628,0.1
15-Apr-1982,0,0.96,0.95,0.96,101875,0.1
16-Apr-1982,0,0.96,0.94,0.94,78125,0.1
19-Apr-1982,0,0.96,0.95,0.95,15872,0.1
20-Apr-1982,0,0.96,0.94,0.95,35501,0.1
21-Apr-1982,0,0.96,0.94,0.95,55000,0.1
22-Apr-1982,0,0.97,0.95,0.97,58503,0.1
23-Apr-1982,0,1,0.97,1,88503,0.1
26-Apr-1982,0,1,0.97,1,33001,0.1
27-Apr-1982,0,1,0.98,1,23874,0.1
28-Apr-1982,0,1,0.98,0.98,58997,0.1
29-Apr-1982,0,0.97,0.94,0.94,58997,0.1
30-Apr-1982,0,0.97,0.95,0.97,14375,0.1
03-May-1982,0,0.97,0.97,0.97,17376,0.1
04-May-1982,0,1,0.97,0.98,19622,0.1
05-May-1982,0,1,0.98,0.98,378997,0.1
06-May-1982,0,1,0.97,0.98,27624,0.1
07-May-1982,0,1.02,1,1.02,312500,0.11
10-May-1982,0,1.01,0.97,0.98,39375,0.1
11-May-1982,0,1,0.95,0.98,455501,0.1
12-May-1982,0,1,0.98,0.98,30000,0.1
13-May-1982,0,1,0.97,1,250000,0.1
14-May-1982,0,1,0.98,1,36628,0.1
17-May-1982,0,1,0.98,1,36628,0.1
18-May-1982,0,1,0.97,1,4128,0.1
19-May-1982,0,1,0.97,0.98,37624,0.1
20-May-1982,0,0.98,0.97,0.98,12122,0.1
