Date,Open,High,Low,Close,Volume,AdjClose
15-Sep-2003,19.52,19.52,19,19.2,1277300,16.87
16-Sep-2003,19.21,19.66,19.11,19.62,921700,17.24
17-Sep-2003,19.48,19.49,19.06,19.06,788700,16.74
18-Sep-2003,19.27,19.27,19.27,19.27,0,16.93
19-Sep-2003,19.13,19.73,19.06,19.6,1795500,17.22
22-Sep-2003,19.42,19.42,19.02,19.07,795700,16.75
23-Sep-2003,19.08,19.7,18.93,19.55,1033700,17.17
24-Sep-2003,19.68,20.05,19.51,20.01,3357000,17.58
25-Sep-2003,18.87,18.87,18.87,18.87,0,16.58
26-Sep-2003,18.87,19.15,18.54,18.81,1760700,16.52
29-Sep-2003,18.82,18.94,18.48,18.76,1050300,16.48
30-Sep-2003,18.65,18.66,17.9,18.38,1485000,16.15
01-Oct-2003,18.57,19.29,18.54,18.78,2222100,16.5
02-Oct-2003,19.31,19.31,19.31,19.31,0,16.96
03-Oct-2003,19.75,19.78,19.53,19.6,1368600,17.22
06-Oct-2003,19.5,19.64,19.32,19.42,786000,17.06
07-Oct-2003,19.4,19.54,19.12,19.41,1325000,17.05
08-Oct-2003,19.55,19.74,19.21,19.39,981000,17.03
09-Oct-2003,19.66,19.66,19.66,19.66,0,17.27
10-Oct-2003,19.54,20.06,19.5,19.51,1140300,17.14
13-Oct-2003,19.51,19.91,19.49,19.77,673400,17.37
14-Oct-2003,19.85,20.9,19.82,20.66,2046600,18.15
15-Oct-2003,20.91,21.29,20.4,20.46,2845400,17.97
16-Oct-2003,20.38,20.38,20.38,20.38,0,17.9
17-Oct-2003,20.42,20.51,20.11,20.16,700800,17.71
20-Oct-2003,20.16,20.6,20.1,20.51,940100,18.02
21-Oct-2003,20.41,20.95,20.41,20.85,1221300,18.32
22-Oct-2003,20.28,20.28,20.28,20.28,0,17.82
23-Oct-2003,20.28,20.31,19.66,20.02,1325700,17.59
24-Oct-2003,20.02,20.19,19.8,20.04,694400,17.6
27-Oct-2003,20.16,20.95,20.11,20.84,1090800,18.31
28-Oct-2003,20.59,22.19,20.95,22.03,4115600,19.35
29-Oct-2003,21.8,22.38,21,21.75,3425700,19.11
30-Oct-2003,23.52,23.52,23.52,23.52,0,20.66
31-Oct-2003,23.5,24.15,23.21,23.65,3748500,20.78
03-Nov-2003,23.66,23.94,23.45,23.75,2548476,20.86
04-Nov-2003,23.76,24.18,23.51,24.12,1627136,21.19
05-Nov-2003,24.46,24.75,23.92,24.01,2466600,21.09
06-Nov-2003,24.4,24.4,24.4,24.4,0,21.43
07-Nov-2003,24.52,24.6,24.18,24.4,1670600,21.43
10-Nov-2003,24.32,24.32,23.48,23.48,2287000,20.63
11-Nov-2003,23.7,24.1,23.66,23.7,2693500,20.82
12-Nov-2003,23.65,23.95,23.01,23.3,3740700,20.47
13-Nov-2003,23.62,23.62,23.62,23.62,0,20.75
14-Nov-2003,23.61,24.35,23.12,23.27,2902300,20.44
17-Nov-2003,23,23.15,22.67,22.84,2375600,20.11
18-Nov-2003,22.89,23.01,22.54,22.7,1163100,19.98
19-Nov-2003,22.6,22.69,22.52,22.64,872000,19.93
20-Nov-2003,22.56,22.56,22.56,22.56,0,19.86
21-Nov-2003,22.54,22.94,22.53,22.9,917200,20.16
24-Nov-2003,23.2,23.2,23.2,23.2,0,20.42
25-Nov-2003,23.3,24.18,23.23,23.96,4666300,21.09
26-Nov-2003,24,24.64,24,24.6,4177500,21.66
28-Nov-2003,24.58,24.96,24.51,24.85,559100,21.88
01-Dec-2003,24.84,26.38,24.74,25.87,3536700,22.78
02-Dec-2003,25.87,26.09,25.51,25.99,3355600,22.88
03-Dec-2003,26,26.21,25.37,25.75,3008400,22.67
04-Dec-2003,26.13,26.13,26.13,26.13,0,23
05-Dec-2003,26,26.77,25.94,26.13,1797900,23
08-Dec-2003,26.44,27.93,26.65,27.91,2786600,24.57
09-Dec-2003,27.94,28.71,27.83,28.44,2795900,25.04
10-Dec-2003,28.5,28.72,27.87,28.23,4032800,24.85
11-Dec-2003,30.04,30.04,30.04,30.04,0,26.45
12-Dec-2003,30.04,30.69,29.71,30.42,5622100,26.78
15-Dec-2003,30.92,31.68,31.05,31.25,3993600,27.51
16-Dec-2003,30.63,31.25,30.53,30.7,3950400,27.03
17-Dec-2003,30.7,31.9,30.51,31.8,2335500,28
18-Dec-2003,33.16,33.16,33.16,33.16,0,29.19
19-Dec-2003,33.3,33.48,32.5,33.32,3452200,29.33
22-Dec-2003,33.43,35,33.42,34.4,3345700,30.28
23-Dec-2003,35,34.94,33.61,34.27,3213200,30.17
24-Dec-2003,34.3,34.71,34.13,34.48,938900,30.36
26-Dec-2003,35.71,35.94,34.75,35.72,1634800,31.45
29-Dec-2003,36.72,37.05,35.08,36.83,2910500,32.42
30-Dec-2003,35.5,35.5,35.5,35.5,0,31.25
31-Dec-2003,35.3,35.35,34.62,35.02,2800800,30.83
02-Jan-2004,35.48,36.5,35.3,35.52,2371600,31.27
05-Jan-2004,35.9,37.02,35.67,36.98,2552900,32.56
06-Jan-2004,36.95,37.23,36.03,36.3,2663700,31.96
07-Jan-2004,35.55,35.84,34.8,35.5,3952800,31.25
08-Jan-2004,35.72,35.72,35.72,35.72,0,31.45
09-Jan-2004,34.55,35.75,34.5,35.08,2313100,30.88
12-Jan-2004,35,35.15,34.68,34.8,2325300,30.64
