Date,Open,High,Low,Close,Volume,AdjClose
26-Dec-1986,0,28.41,28.2,28.41,13052,28.41
29-Dec-1986,0,28.62,28.2,28.41,4668,28.41
30-Dec-1986,0,28.2,27.99,28.2,17827,28.2
31-Dec-1986,0,28.82,28.2,28.82,15919,28.82
02-Jan-1987,0,29.05,29.05,29.05,5093,29.05
05-Jan-1987,0,29.88,29.05,29.88,14008,29.88
06-Jan-1987,0,30.12,29.88,29.88,11248,29.88
07-Jan-1987,0,29.88,29.69,29.69,9339,29.69
08-Jan-1987,0,29.69,29.48,29.61,24621,29.61
09-Jan-1987,0,29.69,29.48,29.48,6261,29.48
12-Jan-1987,0,29.69,29.69,29.69,425,29.69
13-Jan-1987,0,29.69,29.69,29.69,11248,29.69
14-Jan-1987,0,29.61,29.24,29.61,19632,29.61
15-Jan-1987,0,29.69,29.65,29.69,26742,29.69
16-Jan-1987,0,29.69,29.48,29.48,743,29.48
19-Jan-1987,0,29.24,29.24,29.24,17511,29.24
20-Jan-1987,0,29.24,29.16,29.16,42448,29.16
21-Jan-1987,0,29.24,29.05,29.16,19632,29.16
22-Jan-1987,0,29.24,29.05,29.05,8278,29.05
23-Jan-1987,0,29.24,28.88,29.01,34595,29.01
26-Jan-1987,0,29.16,28.82,29.05,9976,29.05
27-Jan-1987,0,29.16,28.82,28.82,25043,28.82
28-Jan-1987,0,29.05,29.05,29.05,29502,29.05
29-Jan-1987,0,29.24,29.05,29.16,17933,29.16
30-Jan-1987,0,29.31,29.2,29.31,43722,29.31
02-Feb-1987,0,30.54,29.37,30.44,135516,30.44
03-Feb-1987,0,31.18,30.54,30.91,185287,30.91
04-Feb-1987,0,31.08,30.54,30.76,61231,30.76
05-Feb-1987,0,30.69,30.5,30.61,32260,30.61
06-Feb-1987,0,31.18,30.76,31.18,49452,31.18
09-Feb-1987,0,31.4,31.29,31.29,12628,31.29
10-Feb-1987,0,31.4,31.4,31.4,19101,31.4
11-Feb-1987,0,31.93,31.52,31.93,40219,31.93
12-Feb-1987,0,32.14,31.72,31.72,66008,31.72
13-Feb-1987,0,31.67,31.52,31.61,6579,31.61
17-Feb-1987,0,35.87,31.72,35.87,55288,35.87
18-Feb-1987,0,36.72,35.45,35.45,60700,35.45
19-Feb-1987,0,37.6,35.87,37.6,71313,37.6
20-Feb-1987,0,37.49,36.51,36.51,22604,36.51
23-Feb-1987,0,36.32,35.87,36.32,41068,36.32
24-Feb-1987,0,36.32,36.08,36.08,35550,36.08
25-Feb-1987,0,36.51,35.87,36.51,26211,36.51
26-Feb-1987,0,36.51,36,36.51,6685,36.51
27-Feb-1987,0,36.72,36.51,36.62,27273,36.62
02-Mar-1987,0,36.72,36.4,36.62,44996,36.62
03-Mar-1987,0,36.62,36.4,36.62,5412,36.62
04-Mar-1987,0,36.62,36.32,36.51,9976,36.51
05-Mar-1987,0,36.51,36.4,36.4,8066,36.4
06-Mar-1987,0,36.51,36.4,36.4,2229,36.4
09-Mar-1987,0,36.62,36.21,36.62,4881,36.62
10-Mar-1987,0,36.72,36.62,36.62,28016,36.62
11-Mar-1987,0,36.72,36.62,36.62,5624,36.62
12-Mar-1987,0,36.4,36.36,36.4,25362,36.4
13-Mar-1987,0,36.36,36.32,36.32,1380,36.32
16-Mar-1987,0,36.36,36.21,36.32,23560,36.32
17-Mar-1987,0,37.36,36.36,37.36,144007,37.36
18-Mar-1987,0,38.88,37.36,38.88,17511,38.88
19-Mar-1987,0,39.3,38.98,38.98,32047,38.98
20-Mar-1987,0,39.18,38.64,39.09,25362,39.09
23-Mar-1987,0,38.64,37.49,37.79,44996,37.79
24-Mar-1987,0,38.37,37.6,38.37,1698,38.37
25-Mar-1987,0,37.49,36.83,37.28,8915,37.28
26-Mar-1987,0,37.28,36.83,37.28,6897,37.28
27-Mar-1987,0,41.84,38.13,41.2,17828,41.2
30-Mar-1987,0,41.2,39.88,40.11,4882,40.11
31-Mar-1987,0,40.01,39.88,39.88,5305,39.88
01-Apr-1987,0,40.11,39.43,39.88,12735,39.88
02-Apr-1987,0,40.22,39.64,40.22,6048,40.22
03-Apr-1987,0,40.97,40.11,40.54,16872,40.54
06-Apr-1987,0,40.33,39.64,40.33,5305,40.33
07-Apr-1987,0,41.63,40.75,41.41,19952,41.41
08-Apr-1987,0,42.07,40.97,41.41,7004,41.41
09-Apr-1987,0,41.26,40.97,40.97,12629,40.97
10-Apr-1987,0,40.97,40.54,40.75,14327,40.75
13-Apr-1987,0,41.84,40.97,40.97,10824,40.97
14-Apr-1987,0,40.22,39.43,39.88,30669,39.88
15-Apr-1987,0,40.43,39.88,40.43,12203,40.43
16-Apr-1987,0,40.75,40.33,40.33,7640,40.33
20-Apr-1987,0,40.62,40.39,40.62,1379,40.62
21-Apr-1987,0,41.41,40.97,41.09,4669,41.09
22-Apr-1987,0,41.63,41.09,41.63,12735,41.63
23-Apr-1987,0,41.71,41.09,41.16,9975,41.16
24-Apr-1987,0,41.84,40.62,41.2,48497,41.2
27-Apr-1987,0,40.97,39.88,40.33,6684,40.33
28-Apr-1987,0,40.54,40.11,40.33,13478,40.33
29-Apr-1987,0,40.11,40.11,40.11,1273,40.11
30-Apr-1987,0,40.11,39.88,39.88,12629,39.88
01-May-1987,0,39.94,39.43,39.94,19632,39.94
04-May-1987,0,39.88,39.64,39.77,5625,39.77
05-May-1987,0,40.11,39.88,39.94,18890,39.94
06-May-1987,0,40.05,39.88,40.05,17511,40.05
07-May-1987,0,40.11,39.77,39.94,7534,39.94
08-May-1987,0,40.43,40.11,40.43,16662,40.43
11-May-1987,0,40.75,40.54,40.75,23982,40.75
12-May-1987,0,41.56,40.86,41.56,30139,41.56
13-May-1987,0,43.29,41.63,42.31,36294,42.31
14-May-1987,0,42.69,42.07,42.69,17828,42.69
15-May-1987,0,42.93,41.41,41.63,21754,41.63
18-May-1987,0,41.84,41.41,41.84,20056,41.84
19-May-1987,0,41.84,40.54,40.58,33427,40.58
20-May-1987,0,40.97,40.75,40.97,23135,40.97
21-May-1987,0,41.2,40.54,41.2,30882,41.2
22-May-1987,0,41.2,40.86,41.2,8066,41.2
26-May-1987,0,41.78,41.09,41.78,27272,41.78
27-May-1987,0,41.78,41.63,41.78,7534,41.78
28-May-1987,0,41.67,41.63,41.63,26423,41.63
29-May-1987,0,41.63,41.52,41.56,20905,41.56
01-Jun-1987,0,41.84,41.56,41.78,16872,41.78
