Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.09,1.08,1.08,98898,1.08
04-Jan-1978,0,1.08,1.06,1.08,546402,1.08
05-Jan-1978,0,1.08,1.08,1.08,643897,1.08
06-Jan-1978,0,1.06,1.03,1.04,186903,1.04
09-Jan-1978,0,1.03,1.01,1.02,360702,1.02
10-Jan-1978,0,1.03,1.02,1.03,225099,1.03
11-Jan-1978,0,1.03,1.03,1.03,93498,1.03
12-Jan-1978,0,1.03,1.02,1.03,404799,1.03
13-Jan-1978,0,1.03,1.01,1.03,59198,1.03
16-Jan-1978,0,1.03,0.99,0.99,371200,0.99
17-Jan-1978,0,1.02,0.99,0.99,247498,0.99
18-Jan-1978,0,0.99,0.95,0.99,326803,0.99
19-Jan-1978,0,1.01,0.98,0.99,300000,0.99
20-Jan-1978,0,0.99,0.98,0.98,52897,0.98
23-Jan-1978,0,0.99,0.96,0.96,780001,0.96
24-Jan-1978,0,0.98,0.96,0.97,293398,0.97
25-Jan-1978,0,0.97,0.96,0.96,89202,0.96
26-Jan-1978,0,0.97,0.96,0.96,400201,0.96
27-Jan-1978,0,1.02,0.96,0.96,111300,0.96
30-Jan-1978,0,0.96,0.95,0.95,162499,0.95
31-Jan-1978,0,0.96,0.95,0.95,186903,0.95
01-Feb-1978,0,0.98,0.96,0.98,432202,0.98
02-Feb-1978,0,0.98,0.96,0.98,306603,0.98
03-Feb-1978,0,0.99,0.96,0.99,91400,0.99
06-Feb-1978,0,0.99,0.97,0.98,64297,0.98
07-Feb-1978,0,0.98,0.97,0.98,214000,0.98
08-Feb-1978,0,0.98,0.96,0.98,183702,0.98
09-Feb-1978,0,0.98,0.96,0.96,86302,0.96
10-Feb-1978,0,0.98,0.97,0.98,228500,0.98
13-Feb-1978,0,0.97,0.93,0.95,302199,0.95
14-Feb-1978,0,0.93,0.9,0.93,3696397,0.93
15-Feb-1978,0,0.93,0.9,0.91,2216903,0.91
16-Feb-1978,0,0.92,0.9,0.91,2559202,0.91
17-Feb-1978,0,0.91,0.9,0.9,531501,0.9
21-Feb-1978,0,0.92,0.9,0.92,893600,0.92
22-Feb-1978,0,0.96,0.91,0.95,710699,0.95
23-Feb-1978,0,0.95,0.9,0.91,568300,0.91
24-Feb-1978,0,0.91,0.89,0.9,737702,0.9
27-Feb-1978,0,0.89,0.84,0.85,2068303,0.85
28-Feb-1978,0,0.86,0.84,0.84,476900,0.84
01-Mar-1978,0,0.85,0.82,0.84,404799,0.84
02-Mar-1978,0,0.84,0.82,0.84,2324601,0.84
03-Mar-1978,0,0.84,0.82,0.84,273799,0.84
06-Mar-1978,0,0.84,0.82,0.84,498397,0.84
07-Mar-1978,0,0.84,0.82,0.84,269503,0.84
08-Mar-1978,0,0.85,0.84,0.85,229997,0.85
09-Mar-1978,0,0.86,0.84,0.85,454902,0.85
10-Mar-1978,0,0.85,0.84,0.85,499901,0.85
13-Mar-1978,0,0.85,0.84,0.85,551501,0.85
14-Mar-1978,0,0.86,0.84,0.86,628701,0.86
15-Mar-1978,0,0.87,0.86,0.86,258497,0.86
16-Mar-1978,0,0.87,0.85,0.87,412503,0.87
17-Mar-1978,0,0.9,0.85,0.86,2216903,0.86
20-Mar-1978,0,0.86,0.84,0.85,1733501,0.85
21-Mar-1978,0,0.84,0.84,0.84,261297,0.84
22-Mar-1978,0,0.84,0.84,0.84,124999,0.84
23-Mar-1978,0,0.84,0.82,0.84,437201,0.84
27-Mar-1978,0,0.84,0.82,0.82,336399,0.82
28-Mar-1978,0,0.82,0.8,0.81,1503203,0.81
29-Mar-1978,0,0.81,0.78,0.8,1231903,0.8
30-Mar-1978,0,0.8,0.78,0.8,1949900,0.8
31-Mar-1978,0,0.81,0.8,0.81,1213199,0.81
03-Apr-1978,0,0.81,0.8,0.8,952003,0.8
04-Apr-1978,0,0.8,0.78,0.8,582901,0.8
05-Apr-1978,0,0.81,0.8,0.81,633399,0.81
06-Apr-1978,0,0.82,0.8,0.81,423302,0.81
07-Apr-1978,0,0.84,0.81,0.84,1859502,0.84
10-Apr-1978,0,0.84,0.8,0.82,690098,0.82
11-Apr-1978,0,0.84,0.81,0.84,2237297,0.84
12-Apr-1978,0,0.87,0.82,0.87,4789998,0.87
13-Apr-1978,0,0.97,0.9,0.95,7768198,0.95
14-Apr-1978,0,0.98,0.95,0.95,2770803,0.95
17-Apr-1978,0,0.96,0.89,0.9,1839301,0.9
18-Apr-1978,0,0.9,0.87,0.89,1152698,0.89
19-Apr-1978,0,0.9,0.87,0.9,745300,0.9
20-Apr-1978,0,0.92,0.9,0.9,763102,0.9
21-Apr-1978,0,0.91,0.87,0.87,529797,0.87
24-Apr-1978,0,0.91,0.87,0.9,432202,0.9
25-Apr-1978,0,0.91,0.87,0.89,1252003,0.89
26-Apr-1978,0,0.89,0.86,0.86,289897,0.86
27-Apr-1978,0,0.89,0.86,0.87,324498,0.87
28-Apr-1978,0,0.91,0.87,0.9,582901,0.9
01-May-1978,0,0.93,0.9,0.91,693900,0.91
02-May-1978,0,0.92,0.9,0.9,360903,0.9
03-May-1978,0,0.9,0.87,0.9,463903,0.9
04-May-1978,0,0.9,0.87,0.9,588902,0.9
05-May-1978,0,0.91,0.87,0.91,415303,0.91
08-May-1978,0,0.91,0.89,0.9,614101,0.9
09-May-1978,0,0.9,0.87,0.89,287498,0.89
10-May-1978,0,0.9,0.87,0.87,514301,0.87
11-May-1978,0,0.9,0.87,0.9,1231903,0.9
12-May-1978,0,0.93,0.91,0.91,690098,0.91
15-May-1978,0,0.98,0.9,0.98,1157102,0.98
16-May-1978,0,1.02,0.98,0.99,1094703,0.99
17-May-1978,0,1.04,0.98,1.01,1120797,1.01
18-May-1978,0,1.02,0.99,0.99,559500,0.99
19-May-1978,0,1.02,0.98,0.99,657402,0.99
22-May-1978,0,1.02,0.99,1.02,869497,1.02
23-May-1978,0,1.03,0.98,0.98,869497,0.98
24-May-1978,0,0.99,0.95,0.97,369703,0.97
25-May-1978,0,0.98,0.95,0.95,278002,0.95
26-May-1978,0,0.98,0.96,0.97,210298,0.97
30-May-1978,0,1.04,0.97,1.03,1277603,1.03
31-May-1978,0,1.03,1.01,1.01,3229902,1.01
01-Jun-1978,0,1.03,1.01,1.03,819199,1.03
02-Jun-1978,0,1.04,1.03,1.04,616299,1.04
05-Jun-1978,0,1.08,1.04,1.08,828200,1.08
06-Jun-1978,0,1.08,1.06,1.08,1422602,1.08
07-Jun-1978,0,1.08,1.03,1.03,770299,1.03
08-Jun-1978,0,1.06,1.03,1.04,765701,1.04
09-Jun-1978,0,1.08,1.03,1.08,627699,1.08
12-Jun-1978,0,1.08,1.06,1.06,262800,1.06
13-Jun-1978,0,1.08,1.03,1.03,403001,1.03
14-Jun-1978,0,1.06,1.03,1.03,943697,1.03
15-Jun-1978,0,1.04,1.01,1.03,406703,1.03
16-Jun-1978,0,1.02,0.99,1.02,260000,1.02
19-Jun-1978,0,1.02,1.01,1.01,418103,1.01
20-Jun-1978,0,1.01,0.99,0.99,412503,0.99
