Date,Open,High,Low,Close,Volume,AdjClose
08-Jun-2001,13.19,14,12.5,14,7780100,14
11-Jun-2001,13.5,13.75,13.25,13.25,898400,13.25
12-Jun-2001,13.25,13.7,13.02,13.61,633500,13.61
13-Jun-2001,14,14.7,14,14.35,428300,14.35
14-Jun-2001,14.25,14.3,13.25,13.26,353200,13.26
15-Jun-2001,13.16,13.16,12.75,12.86,511400,12.86
18-Jun-2001,12.85,13.15,12.7,13.11,408000,13.11
19-Jun-2001,13.4,13.6,13.15,13.55,216400,13.55
20-Jun-2001,13.5,13.65,13.3,13.55,54400,13.55
21-Jun-2001,13.53,13.9,13.52,13.88,80700,13.88
22-Jun-2001,14,14.98,14,14.55,127900,14.55
25-Jun-2001,14.75,14.85,14.4,14.65,87100,14.65
26-Jun-2001,14.7,14.78,14.65,14.7,48900,14.7
27-Jun-2001,14.6,15.15,14.55,15.11,139800,15.11
28-Jun-2001,15.01,15.25,14.9,15,195100,15
29-Jun-2001,15.1,15.9,15,15,130700,15
02-Jul-2001,15.25,15.6,14.31,14.4,42000,14.4
03-Jul-2001,14.45,15.05,14.45,14.97,35600,14.97
05-Jul-2001,14.9,15.45,14.9,15.2,97100,15.2
06-Jul-2001,15.4,15.4,14.75,14.95,149700,14.95
09-Jul-2001,15,15.2,14.86,14.9,130000,14.9
10-Jul-2001,14.9,15.1,14.7,14.7,189200,14.7
11-Jul-2001,14.7,14.8,14.6,14.6,76800,14.6
12-Jul-2001,14.7,15.21,14.7,15.21,177600,15.21
13-Jul-2001,15,15.81,15,15.81,144200,15.81
16-Jul-2001,15.81,15.81,15.21,15.5,38600,15.5
17-Jul-2001,15.5,16,15.5,15.85,32900,15.85
18-Jul-2001,15.8,16.75,15.5,16.75,102200,16.75
19-Jul-2001,16.9,17.4,16,16.4,303700,16.4
20-Jul-2001,16.4,16.4,14.7,14.95,53100,14.95
23-Jul-2001,14.98,15.05,14.81,14.85,14500,14.85
24-Jul-2001,14.85,14.85,14,14.1,45600,14.1
25-Jul-2001,14.1,14.1,13.5,13.5,60300,13.5
26-Jul-2001,13.5,13.9,13.5,13.75,653100,13.75
27-Jul-2001,13.85,14.15,13.84,14.15,62000,14.15
30-Jul-2001,14.15,14.5,14.15,14.38,54800,14.38
31-Jul-2001,14.37,15,14.37,15,268500,15
01-Aug-2001,14.9,15.4,14.9,15,19200,15
02-Aug-2001,15,15.5,14.9,15.5,36900,15.5
03-Aug-2001,15.5,15.5,15.3,15.5,34300,15.5
06-Aug-2001,15.5,15.59,15.45,15.59,2700,15.59
07-Aug-2001,15.59,15.69,15.3,15.4,23200,15.4
08-Aug-2001,15.65,15.78,15.2,15.2,28500,15.2
09-Aug-2001,15.25,15.25,14.85,14.99,9400,14.99
10-Aug-2001,15.1,15.3,14.95,14.95,26800,14.95
13-Aug-2001,14.95,15.89,14.95,15.45,55800,15.45
14-Aug-2001,15.45,15.7,15.45,15.5,59200,15.5
15-Aug-2001,15.65,16.15,15.51,16.15,29400,16.15
16-Aug-2001,16.15,16.17,16.02,16.15,12300,16.15
17-Aug-2001,16.19,16.3,16.19,16.25,6100,16.25
20-Aug-2001,16.15,16.4,16.15,16.4,36200,16.4
21-Aug-2001,16.3,16.65,16.3,16.5,92800,16.5
22-Aug-2001,16.4,16.4,15.6,15.75,11600,15.75
23-Aug-2001,15.7,15.7,15.25,15.48,23500,15.48
24-Aug-2001,15.4,15.47,14.95,15.09,11100,15.09
27-Aug-2001,15,15.04,14.7,14.95,16900,14.95
28-Aug-2001,14.85,14.89,14.4,14.89,10800,14.89
29-Aug-2001,14.99,15.4,14.25,15.05,209600,15.05
30-Aug-2001,15,15.1,14.75,15.01,388900,15.01
31-Aug-2001,15.1,15.4,15.1,15.25,103800,15.25
04-Sep-2001,15.35,15.4,15.31,15.4,17100,15.4
