Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,24.5,24.38,24.38,37900,24.38
04-Jan-1978,0,24.5,24.12,24.38,46200,24.38
05-Jan-1978,0,24.5,24.25,24.5,28900,24.5
06-Jan-1978,0,24.5,24.25,24.38,37600,24.38
09-Jan-1978,0,24.5,24,24,55300,24
10-Jan-1978,0,24.25,24,24.12,60300,24.12
11-Jan-1978,0,24.25,24,24,35000,24
12-Jan-1978,0,24.12,23.62,23.88,64400,23.88
13-Jan-1978,0,24.12,23.88,23.88,37700,23.88
16-Jan-1978,0,24,23.75,23.75,36200,23.75
17-Jan-1978,0,24,23.75,23.75,35900,23.75
18-Jan-1978,0,23.88,23.12,23.75,49200,23.75
19-Jan-1978,0,23.88,23.62,23.75,31000,23.75
20-Jan-1978,0,23.88,23.62,23.88,28800,23.88
23-Jan-1978,0,23.88,23.62,23.75,30300,23.75
24-Jan-1978,0,23.88,23.62,23.88,56700,23.88
25-Jan-1978,0,23.88,23.62,23.88,31100,23.88
26-Jan-1978,0,24,23.75,23.75,21600,23.75
27-Jan-1978,0,24,23.75,23.75,16600,23.75
30-Jan-1978,0,24,23.75,23.88,29800,23.88
31-Jan-1978,0,23.88,23.75,23.88,40000,23.88
01-Feb-1978,0,23.88,23.62,23.75,37200,23.75
02-Feb-1978,0,24,23.75,23.88,40800,23.88
03-Feb-1978,0,24.12,23.88,24,47400,24
06-Feb-1978,0,23.5,23.25,23.5,32600,23.5
07-Feb-1978,0,23.62,23.25,23.5,48900,23.5
08-Feb-1978,0,23.75,23.5,23.75,27000,23.75
09-Feb-1978,0,23.75,23.38,23.5,27600,23.5
10-Feb-1978,0,23.75,23.5,23.62,65100,23.62
13-Feb-1978,0,23.62,23.38,23.5,51800,23.5
14-Feb-1978,0,23.62,23.25,23.62,33000,23.62
15-Feb-1978,0,23.62,23.38,23.5,56100,23.5
16-Feb-1978,0,23.5,23.25,23.5,46500,23.5
17-Feb-1978,0,23.5,23.12,23.12,143400,23.12
21-Feb-1978,0,23.25,23,23,70000,23
22-Feb-1978,0,23.25,23,23,58300,23
23-Feb-1978,0,23.12,23,23.12,39300,23.12
24-Feb-1978,0,23.12,23,23.12,64100,23.12
27-Feb-1978,0,23.25,23,23.12,47300,23.12
28-Feb-1978,0,23.12,22.88,23,48500,23
01-Mar-1978,0,23,22.75,22.88,58700,22.88
02-Mar-1978,0,23,22.12,22.88,46200,22.88
03-Mar-1978,0,22.88,22.62,22.62,40600,22.62
06-Mar-1978,0,22.75,22.5,22.62,38900,22.62
07-Mar-1978,0,22.88,22.62,22.88,40600,22.88
08-Mar-1978,0,23,22.88,23,42600,23
09-Mar-1978,0,23,22.88,22.88,40500,22.88
10-Mar-1978,0,23,22.75,23,48900,23
13-Mar-1978,0,23.12,22.88,23.12,41700,23.12
14-Mar-1978,0,23.25,23,23.25,39600,23.25
15-Mar-1978,0,23.25,23,23.12,37700,23.12
16-Mar-1978,0,23.38,23.12,23.38,37600,23.38
17-Mar-1978,0,23.5,23.25,23.5,31600,23.5
20-Mar-1978,0,23.5,23.25,23.5,37200,23.5
21-Mar-1978,0,23.5,23.12,23.12,35200,23.12
22-Mar-1978,0,23.25,23,23.12,47000,23.12
23-Mar-1978,0,23.25,23,23.12,33900,23.12
27-Mar-1978,0,23.38,23,23.25,35000,23.25
28-Mar-1978,0,23.38,23.12,23.38,43200,23.38
29-Mar-1978,0,23.5,23.12,23.38,42700,23.38
30-Mar-1978,0,23.38,23.25,23.38,39100,23.38
31-Mar-1978,0,23.5,23.12,23.38,34700,23.38
03-Apr-1978,0,23.38,23.12,23.38,49400,23.38
04-Apr-1978,0,23.38,23,23.38,33000,23.38
05-Apr-1978,0,23.5,23.25,23.38,45800,23.38
06-Apr-1978,0,23.5,23.25,23.25,89600,23.25
07-Apr-1978,0,23.5,23.25,23.38,77000,23.38
10-Apr-1978,0,23.62,23.25,23.38,64500,23.38
11-Apr-1978,0,23.62,23.38,23.62,33400,23.62
12-Apr-1978,0,23.62,23.38,23.5,22300,23.5
13-Apr-1978,0,23.62,23.38,23.5,42100,23.5
14-Apr-1978,0,24,23.62,23.88,44000,23.88
17-Apr-1978,0,24,23.62,24,59300,24
18-Apr-1978,0,23.75,23.5,23.62,41000,23.62
19-Apr-1978,0,23.62,23.12,23.25,359500,23.25
20-Apr-1978,0,23.5,23.25,23.25,59300,23.25
21-Apr-1978,0,23.88,23,23.38,54800,23.38
24-Apr-1978,0,23.5,23.25,23.5,46500,23.5
25-Apr-1978,0,23.5,23.25,23.38,74900,23.38
26-Apr-1978,0,23.38,23,23,132400,23
27-Apr-1978,0,23.5,22.88,23,83000,23
28-Apr-1978,0,23,22.88,23,48900,23
01-May-1978,0,23.38,23,23.38,63100,23.38
02-May-1978,0,23.5,23.12,23.5,54700,23.5
03-May-1978,0,23.75,23.38,23.38,52000,23.38
04-May-1978,0,22.62,22.5,22.5,107300,22.5
05-May-1978,0,22.75,22.38,22.38,77700,22.38
08-May-1978,0,22.62,22.12,22.38,166000,22.38
09-May-1978,0,22.38,22.25,22.38,50900,22.38
10-May-1978,0,22.38,22.25,22.38,33700,22.38
11-May-1978,0,22.38,21.88,22.12,145700,22.12
12-May-1978,0,21.88,21.5,21.88,111600,21.88
15-May-1978,0,21.88,21.62,21.88,128300,21.88
16-May-1978,0,21.88,21.62,21.88,101600,21.88
17-May-1978,0,21.88,21.5,21.5,106900,21.5
18-May-1978,0,21.88,21.38,21.62,114200,21.62
19-May-1978,0,21.88,21.5,21.75,61800,21.75
22-May-1978,0,21.88,21.62,21.88,58900,21.88
23-May-1978,0,21.88,21.75,21.88,66200,21.88
24-May-1978,0,22.12,21.62,21.75,81900,21.75
25-May-1978,0,21.88,21.62,21.88,64900,21.88
26-May-1978,0,21.88,21.62,21.88,62300,21.88
30-May-1978,0,21.88,21.62,21.88,39200,21.88
31-May-1978,0,22.12,21.75,21.88,67600,21.88
01-Jun-1978,0,22.38,22,22.25,51500,22.25
02-Jun-1978,0,22.88,22.38,22.62,51100,22.62
05-Jun-1978,0,23,22.5,22.62,45200,22.62
06-Jun-1978,0,23.12,22.62,22.88,55800,22.88
07-Jun-1978,0,22.88,22.62,22.88,48300,22.88
08-Jun-1978,0,22.88,22.75,22.75,37300,22.75
09-Jun-1978,0,22.88,22.62,22.62,96100,22.62
12-Jun-1978,0,22.88,22.5,22.62,37100,22.62
13-Jun-1978,0,22.75,22.38,22.62,37700,22.62
14-Jun-1978,0,22.88,22.38,22.75,40000,22.75
15-Jun-1978,0,22.88,22.5,22.62,31600,22.62
16-Jun-1978,0,22.88,22.62,22.62,29400,22.62
19-Jun-1978,0,22.75,22.5,22.5,44500,22.5
20-Jun-1978,0,22.75,22.38,22.5,40400,22.5
21-Jun-1978,0,22.62,22.38,22.5,65300,22.5
22-Jun-1978,0,22.75,22.5,22.5,33200,22.5
23-Jun-1978,0,22.75,22.62,22.62,39700,22.62
26-Jun-1978,0,22.88,22.62,22.75,41100,22.75
27-Jun-1978,0,22.88,22.62,22.88,52400,22.88
28-Jun-1978,0,22.88,22.62,22.88,64100,22.88
29-Jun-1978,0,22.88,22.62,22.88,32100,22.88
30-Jun-1978,0,23,22.75,22.75,37000,22.75
03-Jul-1978,0,23.12,22.88,23.12,35300,23.12
05-Jul-1978,0,23.5,23.12,23.25,40400,23.25
06-Jul-1978,0,23.38,23.12,23.38,35100,23.38
07-Jul-1978,0,23.5,23,23.25,52300,23.25
10-Jul-1978,0,23.38,23.12,23.38,43800,23.38
11-Jul-1978,0,23.62,23.25,23.5,45500,23.5
12-Jul-1978,0,24.12,23.5,23.88,38800,23.88
13-Jul-1978,0,23.88,23.5,23.62,46000,23.62
14-Jul-1978,0,23.88,23.62,23.75,32500,23.75
17-Jul-1978,0,23.88,23.5,23.62,51400,23.62
18-Jul-1978,0,23.75,23.5,23.5,36900,23.5
19-Jul-1978,0,23.75,23.5,23.75,25600,23.75
20-Jul-1978,0,23.88,23.5,23.62,44300,23.62
21-Jul-1978,0,23.62,23.25,23.38,41600,23.38
24-Jul-1978,0,23.75,23.12,23.5,39700,23.5
25-Jul-1978,0,23.75,23.62,23.75,38300,23.75
26-Jul-1978,0,24.12,23.75,24,82000,24
27-Jul-1978,0,24.12,23.75,24,37000,24
28-Jul-1978,0,24.38,23.88,24.25,48600,24.25
31-Jul-1978,0,24.38,24,24.25,43500,24.25
01-Aug-1978,0,24.38,24,24.25,45900,24.25
02-Aug-1978,0,24.38,24,24.25,49500,24.25
03-Aug-1978,0,24.5,24.12,24.5,105300,24.5
04-Aug-1978,0,24.12,23.62,24,74500,24
07-Aug-1978,0,24,23.75,23.88,56900,23.88
08-Aug-1978,0,23.88,23.62,23.75,38200,23.75
09-Aug-1978,0,23.88,23.62,23.62,34200,23.62
10-Aug-1978,0,23.75,23.38,23.5,101300,23.5
11-Aug-1978,0,23.75,23.25,23.25,32300,23.25
14-Aug-1978,0,23.62,23.25,23.38,32100,23.38
15-Aug-1978,0,23.5,23.25,23.25,33700,23.25
16-Aug-1978,0,23.5,23,23.38,38500,23.38
17-Aug-1978,0,23.75,23.38,23.62,41700,23.62
18-Aug-1978,0,23.5,23,23.38,32600,23.38
21-Aug-1978,0,23.5,23.25,23.38,44300,23.38
22-Aug-1978,0,23.38,23.12,23.25,67400,23.25
23-Aug-1978,0,24.5,23.12,23.25,34600,23.25
24-Aug-1978,0,23.5,23.12,23.25,33600,23.25
25-Aug-1978,0,23.38,23.12,23.38,30900,23.38
28-Aug-1978,0,23.5,23.25,23.38,36400,23.38
29-Aug-1978,0,23.5,23.12,23.12,84200,23.12
30-Aug-1978,0,23.25,23.12,23.25,40400,23.25
31-Aug-1978,0,23.5,23.12,23.5,31900,23.5
01-Sep-1978,0,23.5,23.25,23.38,39800,23.38
05-Sep-1978,0,23.75,23.38,23.5,42600,23.5
06-Sep-1978,0,23.62,23.38,23.5,35200,23.5
07-Sep-1978,0,23.62,23.38,23.38,51500,23.38
08-Sep-1978,0,23.88,23.38,23.88,100300,23.88
11-Sep-1978,0,23.88,23.62,23.75,45600,23.75
12-Sep-1978,0,23.88,23.5,23.5,36500,23.5
13-Sep-1978,0,23.88,23.5,23.62,30900,23.62
14-Sep-1978,0,23.75,23.25,23.38,62600,23.38
15-Sep-1978,0,23.5,23.12,23.25,29600,23.25
18-Sep-1978,0,23.5,23,23.25,40600,23.25
19-Sep-1978,0,23.38,22.88,23.25,71500,23.25
20-Sep-1978,0,23.38,22.88,22.88,30700,22.88
21-Sep-1978,0,23.25,22.88,23.12,41000,23.12
22-Sep-1978,0,23.25,22.88,22.88,59300,22.88
25-Sep-1978,0,23.12,22.88,23,24600,23
26-Sep-1978,0,23.25,22.88,23.25,77200,23.25
27-Sep-1978,0,23.25,23,23,52500,23
28-Sep-1978,0,23.25,22.88,22.88,59400,22.88
29-Sep-1978,0,23.12,22.88,23.12,65500,23.12
02-Oct-1978,0,23.25,23,23,40400,23
03-Oct-1978,0,23.25,23,23.25,60700,23.25
04-Oct-1978,0,23.12,23,23.12,49400,23.12
05-Oct-1978,0,23.25,23,23.12,44600,23.12
06-Oct-1978,0,23.25,23.12,23.12,33100,23.12
09-Oct-1978,0,23.5,23.12,23.5,28600,23.5
10-Oct-1978,0,23.75,23.38,23.38,94200,23.38
11-Oct-1978,0,23.75,23.5,23.75,25600,23.75
12-Oct-1978,0,23.88,23.62,23.62,27200,23.62
13-Oct-1978,0,23.88,23.62,23.75,34900,23.75
16-Oct-1978,0,23.75,23.5,23.5,57500,23.5
17-Oct-1978,0,23.62,23.38,23.38,31400,23.38
18-Oct-1978,0,23.5,23.12,23.25,52000,23.25
19-Oct-1978,0,23.38,23,23,39900,23
20-Oct-1978,0,23.25,23,23,52200,23
23-Oct-1978,0,23.25,22.88,23.12,78000,23.12
24-Oct-1978,0,23.25,22.88,23,88600,23
25-Oct-1978,0,23,22.75,23,59200,23
26-Oct-1978,0,23.12,22.88,23.12,35600,23.12
27-Oct-1978,0,23,22.75,22.75,25700,22.75
30-Oct-1978,0,22.75,22.25,22.5,82400,22.5
31-Oct-1978,0,21.75,21.12,21.38,62600,21.38
01-Nov-1978,0,21.88,21.38,21.62,69300,21.62
02-Nov-1978,0,21.88,21.5,21.62,51800,21.62
03-Nov-1978,0,21.62,21.25,21.25,43300,21.25
06-Nov-1978,0,21.38,21.12,21.12,42300,21.12
07-Nov-1978,0,21.12,20.75,20.88,76900,20.88
08-Nov-1978,0,21,20.75,21,50600,21
09-Nov-1978,0,21.25,21,21.12,254200,21.12
10-Nov-1978,0,21.38,21.25,21.25,180900,21.25
13-Nov-1978,0,21.5,21.12,21.38,78000,21.38
14-Nov-1978,0,21.38,21.25,21.38,55400,21.38
15-Nov-1978,0,21.88,21.25,21.38,63800,21.38
16-Nov-1978,0,21.62,21.25,21.38,61000,21.38
17-Nov-1978,0,21.62,21.25,21.5,184500,21.5
20-Nov-1978,0,21.5,21.25,21.5,92700,21.5
21-Nov-1978,0,21.88,21.38,21.62,51200,21.62
22-Nov-1978,0,21.88,21.62,21.62,45800,21.62
24-Nov-1978,0,21.75,21.62,21.62,38200,21.62
27-Nov-1978,0,22,21.62,21.75,54400,21.75
28-Nov-1978,0,21.88,21.62,21.62,34800,21.62
29-Nov-1978,0,21.75,21.5,21.62,41500,21.62
30-Nov-1978,0,21.88,21.5,21.88,40400,21.88
01-Dec-1978,0,22.12,21.75,22.12,40600,22.12
04-Dec-1978,0,22.25,22,22.12,37400,22.12
05-Dec-1978,0,22.12,22,22,39900,22
06-Dec-1978,0,22.38,22.12,22.12,37500,22.12
07-Dec-1978,0,22.25,22,22,48000,22
08-Dec-1978,0,22.5,22,22.25,47900,22.25
11-Dec-1978,0,22.25,22,22.25,36500,22.25
12-Dec-1978,0,22.25,21.88,21.88,173400,21.88
13-Dec-1978,0,22,21.75,21.88,62500,21.88
14-Dec-1978,0,21.88,21.62,21.75,80000,21.75
15-Dec-1978,0,21.88,21.5,21.5,41100,21.5
18-Dec-1978,0,21.62,21.38,21.5,63600,21.5
19-Dec-1978,0,21.75,21.25,21.5,104300,21.5
20-Dec-1978,0,21.38,21,21.12,262100,21.12
21-Dec-1978,0,21.38,21,21.25,57600,21.25
22-Dec-1978,0,21.38,21.12,21.25,37600,21.25
26-Dec-1978,0,21.5,21.12,21.38,54200,21.38
27-Dec-1978,0,21.38,21.25,21.25,54800,21.25
28-Dec-1978,0,21.38,21.12,21.25,40000,21.25
29-Dec-1978,0,21.38,21.12,21.12,70000,21.12
02-Jan-1979,0,21.75,21.12,21.38,35400,21.38
03-Jan-1979,0,21.75,21.5,21.75,51400,21.75
04-Jan-1979,0,22,21.75,22,53600,22
05-Jan-1979,0,22.12,22,22.12,45700,22.12
08-Jan-1979,0,22.25,21.88,22,40900,22
09-Jan-1979,0,23.12,22,22,36300,22
10-Jan-1979,0,22.25,22,22.12,46100,22.12
11-Jan-1979,0,22.25,22,22.12,47200,22.12
12-Jan-1979,0,22.5,22.12,22.38,30000,22.38
15-Jan-1979,0,22.5,22.12,22.12,153100,22.12
16-Jan-1979,0,22.38,22,22.12,50300,22.12
17-Jan-1979,0,22.38,22,22.12,35100,22.12
18-Jan-1979,0,22.25,22.12,22.12,53400,22.12
19-Jan-1979,0,22.38,22,22.25,38100,22.25
22-Jan-1979,0,22.62,22.12,22.38,33000,22.38
23-Jan-1979,0,22.5,22.12,22.38,41800,22.38
24-Jan-1979,0,22.62,22.38,22.38,43600,22.38
25-Jan-1979,0,22.62,22.25,22.5,54000,22.5
26-Jan-1979,0,22.62,22.38,22.5,44600,22.5
29-Jan-1979,0,23.5,22.38,22.88,62500,22.88
30-Jan-1979,0,22.88,22.75,22.88,36000,22.88
31-Jan-1979,0,22.88,22.5,22.75,44300,22.75
01-Feb-1979,0,23,22.5,22.88,37200,22.88
02-Feb-1979,0,23,22.75,22.88,59300,22.88
05-Feb-1979,0,22.25,21.75,21.88,89900,21.88
06-Feb-1979,0,22,21.75,21.88,58100,21.88
07-Feb-1979,0,22,21.75,21.88,41300,21.88
08-Feb-1979,0,22,21.75,21.88,35500,21.88
09-Feb-1979,0,22,21.75,21.88,40100,21.88
12-Feb-1979,0,21.88,21.12,21.88,81500,21.88
13-Feb-1979,0,22.12,21.75,22,92800,22
14-Feb-1979,0,22.75,21.75,21.88,59700,21.88
15-Feb-1979,0,22,21.75,22,33700,22
16-Feb-1979,0,22.88,21.88,22.12,46500,22.12
20-Feb-1979,0,22,21.88,22,54600,22
21-Feb-1979,0,22.12,21.88,21.88,42700,21.88
22-Feb-1979,0,22,21.75,21.75,87100,21.75
23-Feb-1979,0,21.88,21.62,21.75,83900,21.75
26-Feb-1979,0,22,21.62,21.75,127900,21.75
27-Feb-1979,0,21.88,21.5,21.5,94800,21.5
28-Feb-1979,0,21.75,21.5,21.75,39400,21.75
01-Mar-1979,0,21.88,21.62,21.88,39900,21.88
02-Mar-1979,0,21.88,21.62,21.62,39700,21.62
05-Mar-1979,0,21.88,21.62,21.75,35400,21.75
06-Mar-1979,0,22,21.62,22,45100,22
07-Mar-1979,0,22,21.75,21.75,30400,21.75
08-Mar-1979,0,21.88,21.62,21.88,43600,21.88
09-Mar-1979,0,21.88,21.62,21.88,37600,21.88
12-Mar-1979,0,21.88,21.62,21.62,41300,21.62
13-Mar-1979,0,21.88,21.62,21.75,40300,21.75
14-Mar-1979,0,21.75,21.62,21.75,60000,21.75
15-Mar-1979,0,21.88,21.5,21.62,36100,21.62
16-Mar-1979,0,21.88,21.62,21.88,85200,21.88
19-Mar-1979,0,21.88,21.62,21.75,59800,21.75
20-Mar-1979,0,21.88,21.62,21.62,43900,21.62
21-Mar-1979,0,21.88,21.62,21.88,34700,21.88
22-Mar-1979,0,22,21.75,21.88,35600,21.88
23-Mar-1979,0,21.88,21.5,21.75,36300,21.75
26-Mar-1979,0,21.88,21.62,21.62,50600,21.62
27-Mar-1979,0,21.75,21.38,21.75,53300,21.75
28-Mar-1979,0,21.88,21.5,21.62,97500,21.62
29-Mar-1979,0,21.75,21.5,21.75,34400,21.75
30-Mar-1979,0,21.75,21.5,21.75,183600,21.75
02-Apr-1979,0,21.75,21.5,21.62,84800,21.62
03-Apr-1979,0,22,21.62,21.88,64400,21.88
04-Apr-1979,0,22.12,21.75,21.88,79700,21.88
