Date,Open,High,Low,Close,Volume,AdjClose
29-Oct-1999,0,166,110,145.19,11387400,145.19
01-Nov-1999,0,179,143,174.31,5103800,174.31
02-Nov-1999,0,199,175,193,3979400,193
03-Nov-1999,0,204,185.12,190.75,1513500,190.75
04-Nov-1999,0,191.94,171,173.75,1563500,173.75
05-Nov-1999,0,183,166.44,174.25,757600,174.25
08-Nov-1999,0,190.5,172.88,187.56,794200,187.56
09-Nov-1999,0,197,178,189.75,536300,189.75
10-Nov-1999,0,195.5,181.5,189.5,437400,189.5
11-Nov-1999,0,194.25,178.5,183.88,362500,183.88
12-Nov-1999,0,185.5,174.06,177.31,298300,177.31
15-Nov-1999,0,181,169,171.31,360800,171.31
16-Nov-1999,0,183.5,163.62,182.5,560400,182.5
17-Nov-1999,0,190,178.31,189.38,412300,189.38
18-Nov-1999,0,190.5,180,187.38,303500,187.38
19-Nov-1999,0,192.62,183.25,185,410800,185
22-Nov-1999,0,188.69,176,184.25,215300,184.25
23-Nov-1999,0,219.88,186,214.5,1494500,214.5
24-Nov-1999,0,215.94,200.25,201,517700,201
26-Nov-1999,0,210.5,203.5,205.75,177900,205.75
29-Nov-1999,0,236.5,210.75,222.5,709900,222.5
30-Nov-1999,0,249.5,220.5,237,1419700,237
01-Dec-1999,0,239,207.25,217.62,780500,217.62
02-Dec-1999,0,225.75,214.5,215,280900,215
03-Dec-1999,0,229,206.25,207,432300,207
06-Dec-1999,0,219,201.12,216.56,287500,216.56
07-Dec-1999,0,229.38,215,226,503700,226
08-Dec-1999,0,241.69,223.25,241.38,502700,241.38
09-Dec-1999,0,258,224,250.25,557700,250.25
10-Dec-1999,0,258.75,238,243.5,301800,243.5
13-Dec-1999,0,246.5,227,228.5,378200,228.5
14-Dec-1999,0,236.38,217,217,391700,217
15-Dec-1999,0,232,201,230.38,337500,230.38
16-Dec-1999,0,272,236,271,925600,271
17-Dec-1999,0,298,268,281.75,674700,281.75
20-Dec-1999,0,302,282.94,286.25,353900,286.25
21-Dec-1999,0,309,290.25,301.88,445700,301.88
22-Dec-1999,0,309.12,287.69,291,336000,291
23-Dec-1999,0,293.94,274.25,281.44,370100,281.44
27-Dec-1999,0,285.88,275,285.88,172200,285.88
28-Dec-1999,0,290,265,271.5,173600,271.5
29-Dec-1999,0,286,277.5,281,83600,281
30-Dec-1999,0,342.38,314.75,327,385100,327
31-Dec-1999,0,344.88,320,327.62,231900,327.62
03-Jan-2000,344.19,345.5,311,321.25,280600,321.25
04-Jan-2000,320,321.5,300,300,214500,300
05-Jan-2000,282.5,299.62,262,283.5,1166000,283.5
06-Jan-2000,272,278.12,235.25,236.12,791900,236.12
07-Jan-2000,238.12,254.5,238,248.38,725300,248.38
10-Jan-2000,259.12,286.25,249.56,285.5,1117500,285.5
11-Jan-2000,295.12,298,267.25,278.44,476100,278.44
12-Jan-2000,288,289.25,250,254,975200,254
13-Jan-2000,260.38,260.5,218.38,232.81,1001000,232.81
14-Jan-2000,254,254.38,228,230,622900,230
18-Jan-2000,229.06,229.06,207.5,211.5,784100,211.5
19-Jan-2000,212,233,212,224.75,1359300,224.75
20-Jan-2000,229.5,235.75,220,234,894400,234
21-Jan-2000,235,275,229.75,269,1229900,269
24-Jan-2000,271.94,284.44,258.62,262.06,852300,262.06
25-Jan-2000,264,282,254.62,279.31,364500,279.31
26-Jan-2000,278,288,274.06,277.5,586500,277.5
27-Jan-2000,270,290,264,281.12,538100,281.12
28-Jan-2000,266.12,285.06,255,270.06,399600,270.06
31-Jan-2000,264.12,267,235.06,249.12,667800,249.12
01-Feb-2000,255.25,256.47,235.38,239.06,322300,239.06
02-Feb-2000,239.12,245,231.25,233.62,313100,233.62
03-Feb-2000,240,252,239.88,245.38,472200,245.38
04-Feb-2000,247.62,254,230.41,235,314900,235
07-Feb-2000,230,233,216,228.62,1426400,228.62
08-Feb-2000,241.12,246,232.06,240.94,641900,240.94
09-Feb-2000,241.25,244,233,234.88,655500,234.88
10-Feb-2000,236.75,236.88,227,229,394000,229
11-Feb-2000,229.06,241,226.12,233.06,358000,233.06
14-Feb-2000,233.56,238.75,226.81,230.38,347300,230.38
15-Feb-2000,231.75,233,217,222.5,375700,222.5
16-Feb-2000,229.75,252,228.19,246.12,1078500,246.12
17-Feb-2000,246.25,253,235.5,252,696200,252
18-Feb-2000,246,247,239.25,241.69,490500,241.69
22-Feb-2000,238.62,244,238.38,242.12,340200,242.12
23-Feb-2000,246,260.5,233.5,252.06,493600,252.06
24-Feb-2000,253.5,275.38,253,274.81,693100,274.81
25-Feb-2000,274.25,275,261,267.06,481200,267.06
28-Feb-2000,263.38,265.38,248.31,256.75,438300,256.75
29-Feb-2000,259.28,262.75,250,261.25,250600,261.25
01-Mar-2000,0,285.88,259.31,278.62,633500,278.62
02-Mar-2000,0,290.69,253,268,552200,268
03-Mar-2000,0,286.62,265.88,268.38,561200,268.38
06-Mar-2000,0,278.81,252.75,254,354800,254
07-Mar-2000,260,268.19,255,262.44,575900,262.44
