Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.01,0.01,0.01,422400,0.01
04-Jan-1978,0,0.01,0.01,0.01,166400,0.01
05-Jan-1978,0,0.01,0.01,0.01,588800,0.01
06-Jan-1978,0,0.01,0.01,0.01,281600,0.01
09-Jan-1978,0,0.01,0.01,0.01,358400,0.01
10-Jan-1978,0,0.01,0.01,0.01,588800,0.01
11-Jan-1978,NaN,NaN,NaN,0.01,0,0.01
12-Jan-1978,NaN,NaN,NaN,0.01,0,0.01
13-Jan-1978,0,0.01,0.01,0.01,396800,0.01
16-Jan-1978,0,0.01,0.01,0.01,307200,0.01
17-Jan-1978,0,0.01,0.01,0.01,460800,0.01
18-Jan-1978,0,0.01,0.01,0.01,1548800,0.01
19-Jan-1978,0,0.01,0.01,0.01,1728000,0.01
20-Jan-1978,0,0.01,0.01,0.01,857600,0.01
23-Jan-1978,0,0.01,0.01,0.01,857600,0.01
24-Jan-1978,0,0.01,0.01,0.01,166400,0.01
25-Jan-1978,0,0.01,0.01,0.01,934400,0.01
26-Jan-1978,0,0.01,0.01,0.01,742400,0.01
27-Jan-1978,0,0.01,0.01,0.01,281600,0.01
30-Jan-1978,0,0.01,0.01,0.01,3046400,0.01
31-Jan-1978,0,0.01,0.01,0.01,3814400,0.01
01-Feb-1978,0,0.01,0.01,0.01,1049600,0.01
02-Feb-1978,0,0.01,0.01,0.01,2662400,0.01
03-Feb-1978,0,0.01,0.01,0.01,1049600,0.01
06-Feb-1978,0,0.01,0.01,0.01,345600,0.01
07-Feb-1978,0,0.01,0.01,0.01,806400,0.01
08-Feb-1978,0,0.01,0.01,0.01,742400,0.01
09-Feb-1978,0,0.01,0.01,0.01,2432000,0.01
10-Feb-1978,0,0.01,0.01,0.01,934400,0.01
13-Feb-1978,0,0.01,0.01,0.01,166400,0.01
14-Feb-1978,0,0.01,0.01,0.01,230400,0.01
15-Feb-1978,0,0.01,0.01,0.01,345600,0.01
16-Feb-1978,0,0.01,0.01,0.01,1280000,0.01
17-Feb-1978,0,0.01,0.01,0.01,704000,0.01
21-Feb-1978,0,0.01,0.01,0.01,2662400,0.01
22-Feb-1978,0,0.01,0.01,0.01,1164800,0.01
23-Feb-1978,0,0.01,0.01,0.01,806400,0.01
24-Feb-1978,0,0.01,0.01,0.01,460800,0.01
27-Feb-1978,0,0.01,0.01,0.01,281600,0.01
28-Feb-1978,0,0.01,0.01,0.01,512000,0.01
01-Mar-1978,0,0.01,0.01,0.01,1036800,0.01
02-Mar-1978,0,0.01,0.01,0.01,307200,0.01
03-Mar-1978,0,0.01,0.01,0.01,128000,0.01
06-Mar-1978,0,0.01,0.01,0.01,12800,0.01
07-Mar-1978,NaN,NaN,NaN,0.01,0,0.01
08-Mar-1978,0,0.01,0.01,0.01,2240000,0.01
09-Mar-1978,NaN,NaN,NaN,0.01,0,0.01
10-Mar-1978,0,0.01,0.01,0.01,2086400,0.01
13-Mar-1978,0,0.01,0.01,0.01,128000,0.01
14-Mar-1978,0,0.01,0.01,0.01,537600,0.01
15-Mar-1978,0,0.01,0.01,0.01,473600,0.01
16-Mar-1978,0,0.01,0.01,0.01,819200,0.01
17-Mar-1978,0,0.01,0.01,0.01,704000,0.01
20-Mar-1978,0,0.01,0.01,0.01,2534400,0.01
21-Mar-1978,0,0.01,0.01,0.01,2265600,0.01
22-Mar-1978,0,0.02,0.01,0.01,3187200,0.01
23-Mar-1978,0,0.02,0.01,0.01,1958400,0.01
27-Mar-1978,0,0.02,0.02,0.02,1612800,0.02
28-Mar-1978,0,0.02,0.02,0.02,5542400,0.02
29-Mar-1978,0,0.02,0.02,0.02,2700800,0.02
30-Mar-1978,0,0.02,0.02,0.02,512000,0.02
31-Mar-1978,0,0.02,0.01,0.01,1625600,0.01
03-Apr-1978,0,0.02,0.01,0.01,921600,0.01
04-Apr-1978,0,0.02,0.01,0.01,1382400,0.01
05-Apr-1978,0,0.02,0.01,0.01,230400,0.01
06-Apr-1978,0,0.02,0.01,0.01,704000,0.01
07-Apr-1978,0,0.02,0.02,0.02,2470400,0.02
10-Apr-1978,0,0.02,0.01,0.01,1113600,0.01
11-Apr-1978,0,0.02,0.01,0.01,2726400,0.01
12-Apr-1978,0,0.02,0.01,0.01,230400,0.01
13-Apr-1978,0,0.02,0.01,0.01,473600,0.01
14-Apr-1978,0,0.02,0.01,0.01,1382400,0.01
17-Apr-1978,0,0.02,0.01,0.01,358400,0.01
18-Apr-1978,0,0.02,0.01,0.01,115200,0.01
19-Apr-1978,0,0.02,0.01,0.01,883200,0.01
20-Apr-1978,0,0.02,0.01,0.01,2009600,0.01
21-Apr-1978,0,0.02,0.01,0.01,691200,0.01
24-Apr-1978,0,0.02,0.01,0.01,1497600,0.01
25-Apr-1978,0,0.02,0.01,0.01,5312000,0.01
26-Apr-1978,0,0.02,0.02,0.02,4659200,0.02
27-Apr-1978,0,0.02,0.02,0.02,3571200,0.02
28-Apr-1978,0,0.02,0.02,0.02,4275200,0.02
01-May-1978,0,0.02,0.02,0.02,2355200,0.02
02-May-1978,0,0.02,0.02,0.02,2547200,0.02
03-May-1978,0,0.02,0.02,0.02,5760000,0.02
04-May-1978,0,0.02,0.02,0.02,1894400,0.02
05-May-1978,0,0.02,0.02,0.02,3584000,0.02
08-May-1978,0,0.02,0.02,0.02,2585600,0.02
09-May-1978,0,0.02,0.02,0.02,934400,0.02
10-May-1978,0,0.02,0.02,0.02,1203200,0.02
11-May-1978,0,0.02,0.02,0.02,4262400,0.02
12-May-1978,0,0.02,0.02,0.02,4569600,0.02
15-May-1978,0,0.02,0.02,0.02,5260800,0.02
16-May-1978,0,0.02,0.02,0.02,11801600,0.02
17-May-1978,0,0.03,0.03,0.03,31756800,0.03
18-May-1978,0,0.03,0.03,0.03,12288000,0.03
19-May-1978,0,0.03,0.03,0.03,4339200,0.03
22-May-1978,0,0.03,0.02,0.02,6502400,0.02
23-May-1978,0,0.02,0.02,0.02,7731200,0.02
24-May-1978,0,0.02,0.02,0.02,5196800,0.02
25-May-1978,0,0.02,0.02,0.02,4454400,0.02
26-May-1978,0,0.02,0.02,0.02,3046400,0.02
30-May-1978,0,0.02,0.02,0.02,2240000,0.02
31-May-1978,0,0.03,0.02,0.02,9228800,0.02
01-Jun-1978,0,0.03,0.02,0.02,2649600,0.02
02-Jun-1978,0,0.03,0.02,0.02,2086400,0.02
05-Jun-1978,0,0.03,0.02,0.02,2009600,0.02
06-Jun-1978,0,0.02,0.02,0.02,4966400,0.02
07-Jun-1978,0,0.02,0.02,0.02,2662400,0.02
08-Jun-1978,0,0.02,0.02,0.02,7846400,0.02
09-Jun-1978,0,0.02,0.02,0.02,2777600,0.02
12-Jun-1978,0,0.02,0.02,0.02,1625600,0.02
13-Jun-1978,0,0.02,0.02,0.02,3699200,0.02
14-Jun-1978,0,0.03,0.02,0.02,5836800,0.02
15-Jun-1978,0,0.03,0.02,0.02,1318400,0.02
16-Jun-1978,0,0.03,0.02,0.02,6579200,0.02
19-Jun-1978,0,0.03,0.03,0.03,4313600,0.03
20-Jun-1978,0,0.03,0.03,0.03,9676800,0.03
21-Jun-1978,0,0.03,0.03,0.03,13376000,0.03
22-Jun-1978,0,0.03,0.03,0.03,9062400,0.03
23-Jun-1978,0,0.03,0.03,0.03,12224000,0.03
26-Jun-1978,0,0.03,0.03,0.03,5312000,0.03
27-Jun-1978,0,0.03,0.03,0.03,8691200,0.03
