Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.59,0.58,0.58,107554,0.58
04-Jan-1978,0,0.57,0.56,0.56,313430,0.56
05-Jan-1978,0,0.57,0.56,0.56,253570,0.56
06-Jan-1978,0,0.56,0.56,0.56,437170,0.56
09-Jan-1978,0,0.55,0.54,0.54,334570,0.54
10-Jan-1978,0,0.54,0.52,0.52,318154,0.52
11-Jan-1978,0,0.53,0.52,0.52,501970,0.52
12-Jan-1978,0,0.53,0.52,0.53,264370,0.53
13-Jan-1978,0,0.55,0.53,0.54,129600,0.54
16-Jan-1978,0,0.55,0.54,0.54,32630,0.54
17-Jan-1978,0,0.53,0.52,0.53,210600,0.53
18-Jan-1978,0,0.54,0.53,0.54,146030,0.54
19-Jan-1978,0,0.55,0.54,0.54,264370,0.54
20-Jan-1978,0,0.54,0.54,0.54,32630,0.54
23-Jan-1978,0,0.54,0.52,0.52,129600,0.52
24-Jan-1978,0,0.53,0.52,0.52,102830,0.52
25-Jan-1978,0,0.53,0.52,0.53,199800,0.53
26-Jan-1978,0,0.53,0.52,0.52,54000,0.52
27-Jan-1978,0,0.53,0.52,0.52,247954,0.52
30-Jan-1978,0,0.53,0.52,0.53,113400,0.53
31-Jan-1978,0,0.53,0.52,0.53,119030,0.53
01-Feb-1978,0,0.53,0.52,0.52,216230,0.52
02-Feb-1978,0,0.53,0.53,0.53,91354,0.53
03-Feb-1978,0,0.53,0.52,0.52,81000,0.52
06-Feb-1978,0,0.53,0.52,0.52,97200,0.52
07-Feb-1978,0,0.52,0.52,0.52,102830,0.52
08-Feb-1978,0,0.53,0.52,0.53,301954,0.53
09-Feb-1978,0,0.53,0.52,0.53,701554,0.53
10-Feb-1978,0,0.53,0.52,0.53,339970,0.53
13-Feb-1978,0,0.54,0.54,0.54,59400,0.54
14-Feb-1978,0,0.54,0.53,0.53,124200,0.53
15-Feb-1978,0,0.53,0.53,0.53,216230,0.53
16-Feb-1978,0,0.54,0.53,0.54,119030,0.54
17-Feb-1978,0,0.54,0.53,0.53,410170,0.53
21-Feb-1978,0,0.54,0.53,0.54,129600,0.54
22-Feb-1978,0,0.55,0.54,0.55,91354,0.55
23-Feb-1978,0,0.55,0.54,0.55,107554,0.55
24-Feb-1978,0,0.56,0.55,0.56,124200,0.56
27-Feb-1978,0,0.56,0.55,0.55,86400,0.55
28-Feb-1978,0,0.55,0.54,0.54,140400,0.54
01-Mar-1978,0,0.55,0.54,0.54,70200,0.54
02-Mar-1978,0,0.54,0.54,0.54,43200,0.54
