Date,Open,High,Low,Close,Volume,AdjClose
21-Nov-1997,0,17.97,17.18,17.68,4722500,17.6
24-Nov-1997,0,17.59,17.34,17.34,713800,17.26
25-Nov-1997,0,17.43,17.34,17.34,347500,17.26
26-Nov-1997,0,17.43,16.26,16.3,939100,16.22
28-Nov-1997,0,16.68,16.34,16.68,67000,16.6
01-Dec-1997,0,17.18,16.68,16.93,411200,16.85
02-Dec-1997,0,16.88,16.34,16.47,246800,16.39
03-Dec-1997,0,16.34,15.92,16.17,714500,16.09
04-Dec-1997,0,16.17,15.97,16.01,331600,15.93
05-Dec-1997,0,16.09,15.97,16.01,173000,15.93
08-Dec-1997,0,16.17,16.01,16.17,143500,16.09
09-Dec-1997,0,16.76,16.13,16.59,222300,16.51
10-Dec-1997,0,16.76,16.38,16.68,231900,16.6
11-Dec-1997,0,16.63,16.38,16.63,52900,16.55
12-Dec-1997,0,16.76,16.47,16.47,176600,16.39
15-Dec-1997,0,16.63,16.34,16.59,118300,16.51
16-Dec-1997,0,17.51,16.76,17.51,449900,17.43
17-Dec-1997,0,18.55,17.59,18.55,416900,18.46
18-Dec-1997,0,19.34,18.47,19.34,86200,19.25
19-Dec-1997,0,19.72,19.34,19.72,93400,19.63
22-Dec-1997,0,19.63,18.93,19.34,117200,19.25
23-Dec-1997,0,20.14,19.93,19.93,207000,19.84
24-Dec-1997,0,19.76,19.01,19.26,32200,19.17
26-Dec-1997,0,19.51,19.09,19.43,8200,19.34
29-Dec-1997,0,19.34,18.43,18.43,22900,18.34
30-Dec-1997,0,19.18,18.43,19.18,120500,19.09
31-Dec-1997,0,19.43,19.18,19.34,75400,19.25
02-Jan-1998,0,19.22,18.88,19.22,34000,19.13
05-Jan-1998,0,19.55,18.93,19.3,99700,19.21
06-Jan-1998,0,19.55,19.01,19.3,35100,19.21
07-Jan-1998,0,19.22,18.18,18.18,35700,18.09
08-Jan-1998,0,18.93,18.18,18.38,41200,18.29
09-Jan-1998,0,18.34,18.09,18.3,35100,18.21
12-Jan-1998,0,18.43,18.09,18.43,19300,18.34
13-Jan-1998,0,18.97,18.43,18.88,78900,18.79
14-Jan-1998,0,19.26,18.8,19.26,92800,19.17
15-Jan-1998,0,19.68,19.13,19.68,82900,19.59
16-Jan-1998,0,19.97,19.59,19.68,29400,19.59
20-Jan-1998,0,20.18,19.76,20.18,9300,20.08
21-Jan-1998,0,20.26,19.97,20.18,60400,20.08
22-Jan-1998,0,20.09,20.01,20.05,25900,19.95
23-Jan-1998,0,20.09,20.05,20.05,210500,19.95
26-Jan-1998,0,20.22,20.01,20.09,94000,19.99
27-Jan-1998,0,20.05,19.84,19.84,173800,19.75
28-Jan-1998,0,19.97,19.84,19.84,96300,19.75
29-Jan-1998,0,20.09,19.76,20.05,37000,19.95
30-Jan-1998,0,20.3,20.09,20.14,12100,20.04
02-Feb-1998,0,20.68,20.18,20.51,41500,20.41
03-Feb-1998,0,21.01,20.76,21.01,7500,20.91
04-Feb-1998,0,21.26,20.89,21.26,17200,21.16
05-Feb-1998,0,21.68,21.43,21.68,21000,21.58
06-Feb-1998,0,21.68,21.59,21.64,48700,21.54
09-Feb-1998,0,21.59,21.43,21.51,3700,21.41
10-Feb-1998,0,21.84,21.34,21.55,24600,21.45
11-Feb-1998,0,21.76,21.34,21.34,103700,21.24
12-Feb-1998,0,21.68,21.01,21.05,41500,20.95
13-Feb-1998,0,21.43,21.14,21.22,43300,21.12
17-Feb-1998,0,21.59,21.22,21.59,42400,21.49
18-Feb-1998,0,21.64,21.51,21.59,67800,21.49
19-Feb-1998,0,22.01,21.51,22.01,32700,21.91
20-Feb-1998,0,23.34,21.93,23.34,71700,23.23
