Date,Open,High,Low,Close,Volume,AdjClose
17-Jun-1983,0,0.35,0.34,0.34,42986400,0.34
20-Jun-1983,0,0.31,0.3,0.3,7339200,0.3
21-Jun-1983,0,0.31,0.3,0.3,2282400,0.3
22-Jun-1983,0,0.32,0.31,0.31,5943216,0.31
23-Jun-1983,0,0.32,0.31,0.31,1273584,0.31
24-Jun-1983,0,0.31,0.31,0.31,1575984,0.31
27-Jun-1983,0,0.28,0.27,0.27,5890416,0.27
28-Jun-1983,0,0.28,0.27,0.27,4992000,0.27
29-Jun-1983,0,0.27,0.27,0.27,1056816,0.27
30-Jun-1983,0,0.28,0.27,0.27,2167200,0.27
01-Jul-1983,0,0.28,0.27,0.27,350400,0.27
05-Jul-1983,0,0.27,0.26,0.26,576816,0.26
06-Jul-1983,0,0.27,0.26,0.26,639216,0.26
07-Jul-1983,0,0.27,0.27,0.27,1047216,0.27
08-Jul-1983,0,0.27,0.26,0.26,682416,0.26
11-Jul-1983,0,0.27,0.27,0.27,730416,0.27
12-Jul-1983,0,0.28,0.27,0.27,778416,0.27
13-Jul-1983,0,0.29,0.28,0.28,4428000,0.28
14-Jul-1983,0,0.29,0.28,0.28,778416,0.28
15-Jul-1983,0,0.29,0.28,0.28,898416,0.28
18-Jul-1983,0,0.28,0.28,0.28,456816,0.28
19-Jul-1983,0,0.28,0.27,0.27,418416,0.27
20-Jul-1983,0,0.27,0.27,0.27,485616,0.27
21-Jul-1983,0,0.27,0.26,0.26,1157616,0.26
22-Jul-1983,0,0.26,0.25,0.25,3041616,0.25
25-Jul-1983,0,0.26,0.25,0.25,1403184,0.25
26-Jul-1983,0,0.26,0.25,0.25,2700000,0.25
27-Jul-1983,0,0.25,0.24,0.24,567216,0.24
28-Jul-1983,0,0.25,0.24,0.24,4112784,0.24
29-Jul-1983,0,0.25,0.24,0.24,735216,0.24
01-Aug-1983,0,0.24,0.23,0.23,711216,0.23
02-Aug-1983,0,0.24,0.23,0.23,225600,0.23
03-Aug-1983,0,0.24,0.23,0.23,105600,0.23
04-Aug-1983,0,0.23,0.22,0.22,360000,0.22
05-Aug-1983,0,0.23,0.22,0.22,418416,0.22
08-Aug-1983,0,0.22,0.21,0.21,292800,0.21
09-Aug-1983,0,0.21,0.21,0.21,850416,0.21
10-Aug-1983,0,0.21,0.21,0.21,701616,0.21
11-Aug-1983,0,0.21,0.21,0.21,124800,0.21
12-Aug-1983,0,0.21,0.21,0.21,201600,0.21
15-Aug-1983,0,0.21,0.2,0.2,586416,0.2
16-Aug-1983,0,0.21,0.2,0.2,235200,0.2
17-Aug-1983,0,0.21,0.2,0.2,153600,0.2
18-Aug-1983,0,0.2,0.19,0.19,716016,0.19
19-Aug-1983,0,0.2,0.19,0.19,744816,0.19
22-Aug-1983,0,0.17,0.17,0.17,509616,0.17
23-Aug-1983,0,0.17,0.17,0.17,524016,0.17
24-Aug-1983,0,0.17,0.17,0.17,701616,0.17
25-Aug-1983,0,0.17,0.16,0.16,331200,0.16
26-Aug-1983,0,0.17,0.17,0.17,644016,0.17
29-Aug-1983,0,0.17,0.17,0.17,398400,0.17
30-Aug-1983,0,0.17,0.17,0.17,230400,0.17
31-Aug-1983,0,0.18,0.17,0.17,1302384,0.17
01-Sep-1983,0,0.19,0.18,0.18,2066400,0.18
02-Sep-1983,0,0.2,0.2,0.2,1254384,0.2
06-Sep-1983,0,0.21,0.2,0.2,869616,0.2
07-Sep-1983,0,0.21,0.2,0.2,591216,0.2
08-Sep-1983,0,0.21,0.2,0.2,567216,0.2
09-Sep-1983,0,0.21,0.2,0.2,331200,0.2
12-Sep-1983,0,0.21,0.21,0.21,1518384,0.21
13-Sep-1983,0,0.21,0.21,0.21,105600,0.21
14-Sep-1983,0,0.21,0.2,0.2,466416,0.2
15-Sep-1983,0,0.19,0.19,0.19,1868784,0.19
16-Sep-1983,0,0.17,0.16,0.16,1681584,0.16
19-Sep-1983,0,0.17,0.16,0.16,648816,0.16
20-Sep-1983,0,0.17,0.17,0.17,1254384,0.17
21-Sep-1983,0,0.17,0.17,0.17,2172000,0.17
22-Sep-1983,0,0.18,0.17,0.17,3776784,0.17
23-Sep-1983,0,0.18,0.18,0.18,6835200,0.18
26-Sep-1983,0,0.18,0.18,0.18,519216,0.18
27-Sep-1983,0,0.18,0.18,0.18,1883184,0.18
28-Sep-1983,0,0.18,0.18,0.18,2013600,0.18
29-Sep-1983,0,0.18,0.18,0.18,696816,0.18
30-Sep-1983,0,0.18,0.18,0.18,283200,0.18
03-Oct-1983,0,0.18,0.18,0.18,1307184,0.18
04-Oct-1983,0,0.18,0.18,0.18,268800,0.18
05-Oct-1983,0,0.18,0.18,0.18,316800,0.18
06-Oct-1983,0,0.18,0.18,0.18,312000,0.18
07-Oct-1983,0,0.18,0.18,0.18,456816,0.18
10-Oct-1983,0,0.18,0.17,0.17,201600,0.17
11-Oct-1983,0,0.17,0.16,0.16,658416,0.16
12-Oct-1983,0,0.16,0.16,0.16,336000,0.16
13-Oct-1983,0,0.16,0.15,0.15,1037616,0.15
14-Oct-1983,0,0.16,0.16,0.16,1316784,0.16
17-Oct-1983,0,0.16,0.16,0.16,735216,0.16
18-Oct-1983,0,0.16,0.15,0.15,235200,0.15
19-Oct-1983,0,0.15,0.14,0.14,3420816,0.14
20-Oct-1983,0,0.15,0.14,0.14,1585584,0.14
21-Oct-1983,0,0.15,0.14,0.14,288000,0.14
24-Oct-1983,0,0.15,0.14,0.14,485616,0.14
25-Oct-1983,0,0.14,0.14,0.14,110400,0.14
26-Oct-1983,0,0.14,0.14,0.14,999216,0.14
27-Oct-1983,0,0.14,0.14,0.14,740016,0.14
28-Oct-1983,0,0.14,0.14,0.14,331200,0.14
31-Oct-1983,0,0.14,0.14,0.14,1283184,0.14
01-Nov-1983,0,0.13,0.13,0.13,682416,0.13
02-Nov-1983,0,0.13,0.12,0.12,1455984,0.12
03-Nov-1983,0,0.12,0.12,0.12,1090416,0.12
04-Nov-1983,0,0.13,0.12,0.12,812016,0.12
07-Nov-1983,0,0.13,0.12,0.12,1599984,0.12
08-Nov-1983,0,0.12,0.12,0.12,331200,0.12
09-Nov-1983,0,0.12,0.12,0.12,960816,0.12
10-Nov-1983,0,0.12,0.12,0.12,1292784,0.12
11-Nov-1983,0,0.12,0.12,0.12,1095216,0.12
14-Nov-1983,0,0.14,0.13,0.13,4744800,0.13
15-Nov-1983,0,0.14,0.14,0.14,2642400,0.14
