Date,Open,High,Low,Close,Volume,AdjClose
15-May-1997,0,2.5,1.93,1.96,72228204,1.96
16-May-1997,0,1.98,1.71,1.73,14714796,1.73
19-May-1997,0,1.77,1.62,1.71,6113004,1.71
20-May-1997,0,1.75,1.63,1.63,5472600,1.63
21-May-1997,0,1.64,1.37,1.43,18872004,1.43
22-May-1997,0,1.45,1.31,1.39,11685204,1.39
23-May-1997,0,1.52,1.33,1.5,15953196,1.5
27-May-1997,0,1.64,1.46,1.58,8706396,1.58
28-May-1997,0,1.63,1.53,1.53,4578996,1.53
29-May-1997,0,1.54,1.48,1.5,3476196,1.5
30-May-1997,0,1.51,1.48,1.5,2597004,1.5
02-Jun-1997,0,1.53,1.5,1.51,592200,1.51
03-Jun-1997,0,1.53,1.48,1.48,1184400,1.48
04-Jun-1997,0,1.49,1.39,1.42,3083400,1.42
05-Jun-1997,0,1.54,1.37,1.54,5678004,1.54
06-Jun-1997,0,1.71,1.51,1.65,7815000,1.65
09-Jun-1997,0,1.71,1.65,1.69,2354400,1.69
10-Jun-1997,0,1.71,1.53,1.58,5464200,1.58
11-Jun-1997,0,1.6,1.53,1.54,1189200,1.54
12-Jun-1997,0,1.64,1.55,1.6,1633596,1.6
13-Jun-1997,0,1.62,1.58,1.58,694200,1.58
16-Jun-1997,0,1.6,1.56,1.57,914196,1.57
17-Jun-1997,0,1.6,1.49,1.5,4711200,1.5
18-Jun-1997,0,1.54,1.5,1.51,2467200,1.51
19-Jun-1997,0,1.53,1.5,1.51,1004196,1.51
20-Jun-1997,0,1.55,1.5,1.52,3390996,1.52
23-Jun-1997,0,1.54,1.48,1.5,1048596,1.5
24-Jun-1997,0,1.52,1.48,1.51,752004,1.51
25-Jun-1997,0,1.52,1.49,1.51,2108196,1.51
26-Jun-1997,0,1.52,1.5,1.51,3192804,1.51
27-Jun-1997,0,1.51,1.48,1.49,1189200,1.49
30-Jun-1997,0,1.6,1.48,1.54,2749596,1.54
01-Jul-1997,0,1.54,1.51,1.51,1293600,1.51
02-Jul-1997,0,1.59,1.51,1.59,3885804,1.59
03-Jul-1997,0,1.91,1.59,1.91,12589800,1.91
07-Jul-1997,0,2.02,1.83,2,8061204,2
08-Jul-1997,0,2.33,2.04,2.3,15532800,2.3
09-Jul-1997,0,2.38,2.27,2.32,8270196,2.32
10-Jul-1997,0,2.57,2.33,2.56,9060600,2.56
11-Jul-1997,0,2.52,2.21,2.29,10541796,2.29
14-Jul-1997,0,2.33,2.11,2.13,4608996,2.13
15-Jul-1997,0,2.48,2.13,2.44,9273204,2.44
16-Jul-1997,0,2.49,2.3,2.33,3048600,2.33
17-Jul-1997,0,2.34,2.15,2.22,3172404,2.22
18-Jul-1997,0,2.22,2.15,2.15,780804,2.15
21-Jul-1997,0,2.2,2.14,2.18,575400,2.18
22-Jul-1997,0,2.19,2.06,2.13,1565196,2.13
23-Jul-1997,0,2.33,2.17,2.29,3262404,2.29
24-Jul-1997,0,2.31,2.22,2.26,1218000,2.26
25-Jul-1997,0,2.25,2.22,2.23,621000,2.23
28-Jul-1997,0,2.39,2.22,2.32,2576604,2.32
29-Jul-1997,0,2.5,2.33,2.48,4819200,2.48
30-Jul-1997,0,2.5,2.42,2.45,2520204,2.45
31-Jul-1997,0,2.44,2.33,2.39,1455804,2.39
01-Aug-1997,0,2.41,2.25,2.41,3591600,2.41
04-Aug-1997,0,2.41,2.3,2.31,2673804,2.31
05-Aug-1997,0,2.33,2.14,2.21,3035400,2.21
06-Aug-1997,0,2.31,2.19,2.25,1244400,2.25
07-Aug-1997,0,2.26,2.12,2.17,2034804,2.17
08-Aug-1997,0,2.3,2.1,2.29,2213796,2.29
11-Aug-1997,0,2.33,2.25,2.33,1240800,2.33
12-Aug-1997,0,2.3,2.2,2.2,571800,2.2
13-Aug-1997,0,2.23,2.16,2.2,591000,2.2
14-Aug-1997,0,2.25,2.12,2.15,1042596,2.15
15-Aug-1997,0,2.15,1.94,2.11,1598796,2.11
18-Aug-1997,0,2.05,1.97,2.04,1786200,2.04
19-Aug-1997,0,2.21,2.05,2.16,1004196,2.16
20-Aug-1997,0,2.19,2.07,2.16,995796,2.16
21-Aug-1997,0,2.17,2.07,2.11,624600,2.11
22-Aug-1997,0,2.12,2.09,2.12,713604,2.12
25-Aug-1997,0,2.26,2.1,2.22,1128000,2.22
26-Aug-1997,0,2.35,2.23,2.34,2612604,2.34
27-Aug-1997,0,2.32,2.25,2.32,1393404,2.32
28-Aug-1997,0,2.39,2.28,2.37,1148400,2.37
29-Aug-1997,0,2.37,2.32,2.34,723204,2.34
02-Sep-1997,0,2.37,2.33,2.35,732804,2.35
03-Sep-1997,0,2.41,2.31,2.33,1966404,2.33
04-Sep-1997,0,2.55,2.34,2.55,3351396,2.55
05-Sep-1997,0,2.66,2.46,2.5,1910004,2.5
08-Sep-1997,0,3.02,2.5,3,5654004,3
09-Sep-1997,0,3.38,3.02,3.24,8980200,3.24
10-Sep-1997,0,3.32,3.12,3.3,3870204,3.3
11-Sep-1997,0,3.33,3.04,3.15,4266600,3.15
12-Sep-1997,0,3.69,3.15,3.68,3336996,3.68
15-Sep-1997,0,3.67,3.05,3.09,5584404,3.09
16-Sep-1997,0,3.54,3.12,3.35,6438396,3.35
17-Sep-1997,0,3.5,3.33,3.4,2610204,3.4
18-Sep-1997,0,3.47,3.28,3.29,2130996,3.29
19-Sep-1997,0,4.08,3.37,3.94,8938200,3.94
22-Sep-1997,0,4.67,3.94,4.5,16958604,4.5
23-Sep-1997,0,4.64,4.39,4.62,7691196,4.62
24-Sep-1997,0,4.81,4.29,4.37,8208996,4.37
25-Sep-1997,0,4.35,4.05,4.07,4973004,4.07
26-Sep-1997,0,4.26,4.05,4.16,2733996,4.16
29-Sep-1997,0,4.18,3.95,4.04,2373600,4.04
30-Sep-1997,0,4.34,3.8,4.33,5259996,4.33
01-Oct-1997,0,4.5,3.93,4.02,5309400,4.02
02-Oct-1997,0,4.17,3.99,4.01,1878600,4.01
03-Oct-1997,0,4.12,3.98,4.01,1165200,4.01
06-Oct-1997,0,4.12,3.94,4.12,2030004,4.12
07-Oct-1997,0,4.18,4.04,4.05,1744200,4.05
08-Oct-1997,0,4.16,3.98,4,2809596,4
09-Oct-1997,0,4.02,3.74,3.75,3954396,3.75
10-Oct-1997,0,4.06,3.66,3.9,3791004,3.9
13-Oct-1997,0,4.04,3.92,4,815604,4
14-Oct-1997,0,4.1,3.83,3.98,1548396,3.98
15-Oct-1997,0,3.96,3.77,3.92,2358000,3.92
16-Oct-1997,0,3.98,3.6,3.62,3484596,3.62
17-Oct-1997,0,3.65,3.52,3.62,2537004,3.62
20-Oct-1997,0,3.87,3.66,3.82,4917804,3.82
21-Oct-1997,0,4.43,3.85,4.42,12108204,4.42
22-Oct-1997,0,4.62,4.37,4.52,5213196,4.52
23-Oct-1997,0,4.56,4.18,4.5,5662404,4.5
24-Oct-1997,0,5.06,4.54,5.02,9501600,5.02
27-Oct-1997,0,5.01,4.22,4.27,6097200,4.27
28-Oct-1997,0,5,3.87,4.98,11715396,4.98
29-Oct-1997,0,5.49,5,5.39,7134000,5.39
30-Oct-1997,0,5.35,5.04,5.12,4774800,5.12
31-Oct-1997,0,5.45,4.96,5.08,5031804,5.08
03-Nov-1997,0,5.21,4.94,5.07,2001204,5.07
04-Nov-1997,0,5.05,4.82,4.95,2367600,4.95
05-Nov-1997,0,5.11,4.87,4.87,3096600,4.87
06-Nov-1997,0,4.91,4.63,4.66,2916600,4.66
07-Nov-1997,0,4.64,4.38,4.47,2629404,4.47
10-Nov-1997,0,4.56,4.2,4.2,2767596,4.2
11-Nov-1997,0,4.31,3.91,3.94,4317204,3.94
12-Nov-1997,0,4.18,3.66,3.77,8691804,3.77
13-Nov-1997,0,3.96,3.77,3.86,4294200,3.86
14-Nov-1997,0,4.2,3.78,4.16,5874996,4.16
17-Nov-1997,0,4.54,4.21,4.37,7401804,4.37
18-Nov-1997,0,4.47,4.34,4.41,1867800,4.41
19-Nov-1997,0,4.52,4.31,4.51,2537004,4.51
20-Nov-1997,0,4.6,4.51,4.58,5929200,4.58
21-Nov-1997,0,4.58,4.49,4.49,2605404,4.49
24-Nov-1997,0,4.41,4.22,4.22,2021604,4.22
25-Nov-1997,0,4.33,4.04,4.2,3308196,4.2
