Date,Open,High,Low,Close,Volume,AdjClose
20-Jun-1996,0,3.12,2.94,2.97,12638800,2.97
21-Jun-1996,0,3.09,3,3,1881200,3
24-Jun-1996,0,3.22,3,3.22,1606000,3.22
25-Jun-1996,0,3.28,3.16,3.16,1895600,3.16
26-Jun-1996,0,3.19,3.12,3.16,399200,3.16
27-Jun-1996,0,3.34,3.16,3.25,348400,3.25
28-Jun-1996,0,3.34,3.25,3.28,157200,3.28
01-Jul-1996,0,3.31,3.22,3.22,117200,3.22
02-Jul-1996,0,3.25,3.22,3.25,85600,3.25
03-Jul-1996,0,3.41,3.19,3.41,370400,3.41
05-Jul-1996,0,3.31,3.22,3.25,238800,3.25
08-Jul-1996,0,3.28,3.19,3.28,55200,3.28
09-Jul-1996,0,3.31,3.19,3.27,613600,3.27
10-Jul-1996,0,3.28,3.19,3.28,184000,3.28
11-Jul-1996,0,3.28,3.09,3.12,367600,3.12
12-Jul-1996,0,3.12,3.06,3.09,54800,3.09
15-Jul-1996,0,3.09,2.94,2.97,158800,2.97
16-Jul-1996,0,3,2.72,2.72,190800,2.72
17-Jul-1996,0,3.09,2.75,3.03,117600,3.03
18-Jul-1996,0,3.19,3.03,3.19,127600,3.19
19-Jul-1996,0,3.22,3.16,3.22,30800,3.22
22-Jul-1996,0,3.22,3.12,3.19,177600,3.19
23-Jul-1996,0,3.22,3.09,3.09,83200,3.09
24-Jul-1996,0,3.12,2.97,3.12,46400,3.12
25-Jul-1996,0,3.12,3.09,3.09,25600,3.09
26-Jul-1996,0,3.12,3.09,3.09,159600,3.09
29-Jul-1996,0,3.08,3.06,3.06,27200,3.06
30-Jul-1996,0,3.06,2.94,2.94,145200,2.94
31-Jul-1996,0,2.97,2.91,2.91,118800,2.91
01-Aug-1996,0,3,2.91,2.91,15600,2.91
02-Aug-1996,0,3.12,3,3.12,134400,3.12
05-Aug-1996,0,3.12,3.06,3.12,60400,3.12
06-Aug-1996,0,3.19,3.09,3.19,152000,3.19
07-Aug-1996,0,3.28,3.12,3.22,180400,3.22
08-Aug-1996,0,3.34,3.22,3.31,136800,3.31
09-Aug-1996,0,3.34,3.28,3.34,233200,3.34
12-Aug-1996,0,3.38,3.31,3.38,179600,3.38
13-Aug-1996,0,3.34,3.25,3.34,93200,3.34
14-Aug-1996,0,3.34,3.28,3.28,131200,3.28
15-Aug-1996,0,3.28,3.19,3.28,36400,3.28
16-Aug-1996,0,3.25,3.19,3.23,40400,3.23
19-Aug-1996,0,3.28,3.09,3.09,92000,3.09
20-Aug-1996,0,3.12,3.03,3.03,32800,3.03
21-Aug-1996,0,3.06,2.88,2.88,60400,2.88
22-Aug-1996,0,2.91,2.81,2.84,421600,2.84
23-Aug-1996,0,2.88,2.75,2.78,102000,2.78
26-Aug-1996,0,2.75,2.72,2.72,44800,2.72
27-Aug-1996,0,2.75,2.62,2.75,153600,2.75
