Date,Open,High,Low,Close,Volume,AdjClose
30-Oct-2001,40.5,40.9,40.35,40.9,22693500,40.9
31-Oct-2001,41.1,42.5,41.01,41.88,5552200,41.88
01-Nov-2001,42.25,42.6,41.8,42.17,1935300,42.17
02-Nov-2001,42.05,43.1,42.02,42.9,2037500,42.9
05-Nov-2001,43.5,43.5,42.75,42.89,1301900,42.89
06-Nov-2001,42.95,44.3,42.15,44.05,1623800,44.05
07-Nov-2001,43.75,43.75,42.49,43.25,1337600,43.25
08-Nov-2001,43,43.1,42,42.7,1664100,42.7
09-Nov-2001,42.5,42.5,41,42,1645800,42
12-Nov-2001,42,42.85,41.7,42.85,486800,42.85
13-Nov-2001,43.4,43.4,42.52,42.75,860900,42.75
14-Nov-2001,44,46,43.55,45.95,2106500,45.95
15-Nov-2001,45.7,46.75,45.45,46.75,1155200,46.75
16-Nov-2001,46.9,47.2,46.3,46.8,1088100,46.8
19-Nov-2001,46.75,47.57,46.4,47.5,923600,47.5
20-Nov-2001,47.3,49.25,47.25,48.8,1192500,48.8
21-Nov-2001,48.7,49.7,48.41,49.01,1342000,49.01
23-Nov-2001,48.95,49.35,48.95,49.18,143900,49.18
26-Nov-2001,49.7,50.25,48.3,48.55,958700,48.55
27-Nov-2001,48.8,49.85,48.27,48.6,573600,48.6
28-Nov-2001,48.55,49.2,47.51,48.95,312600,48.95
29-Nov-2001,49.5,50.1,49.08,50.01,568400,50.01
30-Nov-2001,50.1,51,49.8,50.85,1454600,50.85
03-Dec-2001,50.8,51.3,50.1,51.3,635400,51.3
04-Dec-2001,51.35,51.5,50.7,51.5,397000,51.5
05-Dec-2001,51.8,51.9,48.7,48.86,668600,48.86
06-Dec-2001,48.9,49,47.35,48.49,451300,48.49
07-Dec-2001,48.5,48.7,47.6,48.6,324800,48.6
10-Dec-2001,48.6,48.87,48.15,48.25,104000,48.25
11-Dec-2001,48.25,48.69,47.71,48.2,446400,48.2
12-Dec-2001,48.25,48.25,47.85,47.86,239400,47.86
13-Dec-2001,47.61,48.1,46.9,48.1,480300,48.1
14-Dec-2001,48,48.1,47.35,48,406500,48
17-Dec-2001,48.1,49.3,47.92,49.25,211100,49.25
18-Dec-2001,49.5,49.6,49.22,49.3,404600,49.3
19-Dec-2001,49.3,49.35,47.75,48,736600,48
20-Dec-2001,47.76,48,46.8,46.9,656000,46.9
21-Dec-2001,46.8,46.8,45.25,45.75,2122300,45.75
24-Dec-2001,45.75,45.95,45.6,45.6,450100,45.6
26-Dec-2001,45.85,46.48,45.85,46.25,595800,46.25
27-Dec-2001,46.35,47.3,46.35,46.9,947700,46.9
28-Dec-2001,46.95,48.5,46.95,48.5,842400,48.5
31-Dec-2001,48.7,50.25,48.7,49.5,896400,49.5
02-Jan-2002,49.68,49.68,48.71,48.8,919500,48.8
03-Jan-2002,48.8,49.28,48.45,48.45,312800,48.45
04-Jan-2002,48.5,48.8,46.9,47.86,1137800,47.86
07-Jan-2002,47.86,47.94,47,47.02,958200,47.02
08-Jan-2002,46.85,47.85,46.4,47.4,466000,47.4
09-Jan-2002,47.55,48.25,47.5,47.6,427500,47.6
10-Jan-2002,47.6,50.74,47.6,50.1,1245200,50.1
11-Jan-2002,50.1,51.8,49.9,51.5,555700,51.5
14-Jan-2002,51.6,52.4,50.85,51.9,682300,51.9
15-Jan-2002,51.7,51.71,49.4,50.7,713400,50.7
16-Jan-2002,50.45,51.7,49.6,50.99,860600,50.99
17-Jan-2002,51,51.05,50,50.3,456000,50.3
18-Jan-2002,50.05,51,49.82,50.98,703000,50.98
22-Jan-2002,50.73,51.88,50.05,51.75,806500,51.75
23-Jan-2002,51.4,52.87,51.4,52.26,812700,52.26
24-Jan-2002,52.05,53.09,52.05,52.8,923400,52.8
25-Jan-2002,53,54.1,52.85,53.88,835200,53.88
28-Jan-2002,53.4,54.5,53.2,53.75,702100,53.75
29-Jan-2002,53.05,53.75,52.95,53.2,666500,53.2
30-Jan-2002,52.5,53.3,51.95,52.52,650700,52.52
31-Jan-2002,52.6,53.2,51.8,53.2,1013800,53.2
01-Feb-2002,53.25,54.1,53,53.15,784700,53.15
04-Feb-2002,52.97,53,51.4,52.2,527600,52.2
05-Feb-2002,52.3,54.25,51.5,54.24,854700,54.24
06-Feb-2002,56.5,57.94,55.53,56.5,2634700,56.5
07-Feb-2002,56.5,58.84,56.32,57.6,907700,57.6
08-Feb-2002,57.75,58.02,57.36,57.7,896400,57.7
11-Feb-2002,57.53,58.1,57.36,57.55,751900,57.55
12-Feb-2002,57,57.1,56.55,56.9,1063500,56.9
13-Feb-2002,57.1,57.75,55.85,56.05,699700,56.05
14-Feb-2002,56.2,56.75,55.75,56.41,828000,56.41
15-Feb-2002,56.4,56.5,56.02,56.1,763500,56.1
19-Feb-2002,56,56.07,53.45,54.37,1102600,54.37
20-Feb-2002,53.8,54.7,53.75,54,758300,54
21-Feb-2002,53.95,56.55,53.7,55.55,823000,55.55
22-Feb-2002,55.45,57.1,55.45,56.35,652700,56.35
25-Feb-2002,56.2,57.52,56.07,57.05,506500,57.05
26-Feb-2002,57.5,58.96,57.5,58.25,996000,58.25
27-Feb-2002,58.1,58.5,57.6,57.98,1005600,57.98
28-Feb-2002,57.8,58.25,57.35,58.1,939000,58.1
01-Mar-2002,57.85,58.05,57.7,58.05,576500,58.05
04-Mar-2002,57.8,58.45,55.45,55.5,1361600,55.5
05-Mar-2002,55.33,55.78,54.4,54.65,840100,54.65
06-Mar-2002,54.75,57.1,54.5,56.35,955700,56.35
07-Mar-2002,56.7,57.2,56.22,56.26,527700,56.26
08-Mar-2002,56.27,56.7,55.5,56.25,778700,56.25
11-Mar-2002,56,56.66,55.7,56.6,762900,56.6
12-Mar-2002,56.4,56.5,56.05,56.49,408900,56.49
13-Mar-2002,56.45,56.75,56.1,56.55,497100,56.55
14-Mar-2002,56.45,57.05,56.25,56.5,410500,56.5
15-Mar-2002,56.5,57.22,56.4,56.9,815800,56.9
18-Mar-2002,56.75,58.45,56.75,58.3,908600,58.3
19-Mar-2002,58.1,58.4,56.4,56.4,495500,56.4
