Date,Open,High,Low,Close,Volume,AdjClose
30-Sep-1983,0,3.38,3.25,3.25,6000,3.25
03-Oct-1983,0,3.27,3.23,3.25,6000,3.25
04-Oct-1983,0,3.23,3.21,3.21,7200,3.21
05-Oct-1983,0,3.19,2.83,2.83,42600,2.83
06-Oct-1983,0,2.9,2.81,2.9,39600,2.9
07-Oct-1983,0,2.88,2.86,2.86,12600,2.86
10-Oct-1983,0,3.08,2.83,3.08,34800,3.08
11-Oct-1983,0,3.15,3,3,25200,3
12-Oct-1983,0,2.92,2.83,2.83,28200,2.83
13-Oct-1983,0,2.86,2.86,2.86,4800,2.86
14-Oct-1983,0,2.83,2.79,2.83,16800,2.83
17-Oct-1983,0,2.88,2.83,2.83,18000,2.83
18-Oct-1983,0,2.81,2.79,2.79,2400,2.79
19-Oct-1983,0,2.83,2.79,2.83,9600,2.83
20-Oct-1983,0,2.79,2.79,2.79,1800,2.79
21-Oct-1983,0,2.77,2.77,2.77,600,2.77
24-Oct-1983,0,2.75,2.52,2.52,18000,2.52
25-Oct-1983,0,2.5,2.46,2.5,10200,2.5
26-Oct-1983,0,2.48,2.29,2.29,56400,2.29
27-Oct-1983,0,2.29,2.19,2.29,39000,2.29
28-Oct-1983,0,2.54,2.31,2.54,51000,2.54
31-Oct-1983,0,2.56,2.52,2.54,15000,2.54
01-Nov-1983,0,2.54,2.52,2.54,7800,2.54
02-Nov-1983,0,2.56,2.56,2.56,1200,2.56
03-Nov-1983,0,2.56,2.52,2.52,4200,2.52
04-Nov-1983,0,2.5,2.44,2.44,5400,2.44
07-Nov-1983,0,2.42,2.4,2.4,3000,2.4
08-Nov-1983,0,2.44,2.4,2.42,3000,2.42
09-Nov-1983,0,2.44,2.4,2.42,4200,2.42
10-Nov-1983,0,2.54,2.46,2.54,13800,2.54
11-Nov-1983,0,2.63,2.5,2.63,9000,2.63
14-Nov-1983,0,2.83,2.67,2.81,57000,2.81
15-Nov-1983,0,3,2.83,2.92,43800,2.92
16-Nov-1983,0,3.06,2.9,3.02,28800,3.02
17-Nov-1983,0,3.06,2.98,3.06,14400,3.06
18-Nov-1983,0,3.06,3.04,3.06,13200,3.06
21-Nov-1983,0,3.15,3.08,3.15,12600,3.15
22-Nov-1983,0,3.19,3.13,3.13,4800,3.13
23-Nov-1983,0,3.08,3.06,3.06,7800,3.06
25-Nov-1983,0,3.02,2.96,2.96,10200,2.96
28-Nov-1983,0,2.96,2.88,2.9,7200,2.9
29-Nov-1983,0,2.9,2.83,2.86,6000,2.86
30-Nov-1983,0,2.9,2.81,2.83,22800,2.83
01-Dec-1983,0,2.79,2.79,2.79,1800,2.79
02-Dec-1983,0,2.77,2.67,2.67,4200,2.67
05-Dec-1983,0,2.75,2.67,2.75,7200,2.75
06-Dec-1983,0,2.75,2.75,2.75,1800,2.75
07-Dec-1983,0,2.75,2.73,2.75,5400,2.75
08-Dec-1983,0,2.75,2.75,2.75,3000,2.75
09-Dec-1983,0,2.75,2.75,2.75,4800,2.75
12-Dec-1983,0,2.94,2.79,2.94,17400,2.94
13-Dec-1983,0,3.13,2.94,2.98,34800,2.98
14-Dec-1983,0,2.92,2.83,2.83,16800,2.83
15-Dec-1983,0,2.86,2.79,2.86,12000,2.86
16-Dec-1983,0,2.81,2.79,2.79,7200,2.79
19-Dec-1983,0,2.83,2.77,2.79,34200,2.79
20-Dec-1983,0,2.92,2.77,2.9,8400,2.9
21-Dec-1983,0,2.92,2.83,2.83,9000,2.83
22-Dec-1983,0,2.83,2.79,2.79,10800,2.79
23-Dec-1983,0,2.86,2.79,2.86,3600,2.86
27-Dec-1983,0,2.92,2.88,2.88,12600,2.88
28-Dec-1983,0,2.9,2.86,2.88,16200,2.88
