Date,Open,High,Low,Close,Volume,AdjClose
08-Nov-1991,0,2.31,2.31,2.31,11003600,2.31
11-Nov-1991,0,2.31,2.31,2.31,1482400,2.31
12-Nov-1991,0,2.31,2.31,2.31,1637200,2.31
13-Nov-1991,0,2.31,2.25,2.25,2382400,2.25
14-Nov-1991,0,2.19,2.09,2.19,2604400,2.19
15-Nov-1991,0,2.19,2.06,2.06,2718400,2.06
18-Nov-1991,0,2.06,1.91,1.94,1109200,1.94
19-Nov-1991,0,2,1.88,1.94,1244800,1.94
20-Nov-1991,0,1.97,1.94,1.97,121600,1.97
21-Nov-1991,0,1.94,1.88,1.88,210400,1.88
22-Nov-1991,0,1.88,1.75,1.78,326400,1.78
25-Nov-1991,0,1.94,1.75,1.84,707200,1.84
26-Nov-1991,0,1.91,1.84,1.84,411600,1.84
27-Nov-1991,0,1.91,1.88,1.91,422400,1.91
29-Nov-1991,0,1.94,1.88,1.94,123200,1.94
02-Dec-1991,0,2.06,1.91,1.97,254400,1.97
03-Dec-1991,0,2.03,1.97,2.03,278400,2.03
04-Dec-1991,0,2.25,2.06,2.09,1228000,2.09
05-Dec-1991,0,2.19,2.03,2.16,631200,2.16
06-Dec-1991,0,2.16,2.12,2.16,181200,2.16
09-Dec-1991,0,2.16,2.12,2.12,167600,2.12
10-Dec-1991,0,2.09,2.03,2.03,296800,2.03
11-Dec-1991,0,2.06,1.97,1.97,247600,1.97
12-Dec-1991,0,2.06,1.94,2.03,247200,2.03
13-Dec-1991,0,2.12,2.06,2.09,188400,2.09
16-Dec-1991,0,2.12,2.06,2.09,344400,2.09
17-Dec-1991,0,2.06,2.03,2.03,137200,2.03
18-Dec-1991,0,2.03,1.94,1.97,248400,1.97
19-Dec-1991,0,1.94,1.88,1.94,197600,1.94
20-Dec-1991,0,1.97,1.81,1.94,257200,1.94
23-Dec-1991,0,2.03,1.88,2.03,239600,2.03
24-Dec-1991,0,2.16,2,2.16,303600,2.16
26-Dec-1991,0,2.25,2.16,2.25,268000,2.25
27-Dec-1991,0,2.25,2.12,2.25,420400,2.25
30-Dec-1991,0,2.25,2.19,2.22,328800,2.22
31-Dec-1991,0,2.25,2.19,2.25,786800,2.25
02-Jan-1992,0,2.22,2.16,2.22,182000,2.22
03-Jan-1992,0,2.28,2.22,2.25,752400,2.25
06-Jan-1992,0,2.47,2.25,2.31,2449600,2.31
07-Jan-1992,0,2.41,2.28,2.38,1499200,2.38
08-Jan-1992,0,2.53,2.38,2.47,4594000,2.47
09-Jan-1992,0,2.5,2.41,2.41,1186400,2.41
10-Jan-1992,0,2.44,2.41,2.41,560400,2.41
13-Jan-1992,0,2.47,2.41,2.44,366400,2.44
14-Jan-1992,0,2.47,2.41,2.44,604800,2.44
15-Jan-1992,0,2.47,2.41,2.44,363200,2.44
16-Jan-1992,0,2.53,2.41,2.53,3846000,2.53
17-Jan-1992,0,2.66,2.5,2.53,1148800,2.53
20-Jan-1992,0,2.53,2.44,2.44,516000,2.44
21-Jan-1992,0,2.47,2.38,2.41,513200,2.41
22-Jan-1992,0,2.41,2.34,2.34,287200,2.34
23-Jan-1992,0,2.38,2.31,2.34,293600,2.34
24-Jan-1992,0,2.34,2.31,2.34,266000,2.34
27-Jan-1992,0,2.34,2.28,2.34,431200,2.34
28-Jan-1992,0,2.34,2.31,2.31,140400,2.31
29-Jan-1992,0,2.41,2.28,2.28,680000,2.28
30-Jan-1992,0,2.47,2.12,2.34,956800,2.34
31-Jan-1992,0,2.31,2.28,2.28,146400,2.28
03-Feb-1992,0,2.34,2.25,2.34,71200,2.34
04-Feb-1992,0,2.19,2,2.16,2348000,2.16
05-Feb-1992,0,2.22,2.09,2.09,710800,2.09
06-Feb-1992,0,2.16,2.09,2.09,249200,2.09
07-Feb-1992,0,2.19,2.12,2.16,337200,2.16
10-Feb-1992,0,2.16,2.12,2.12,296000,2.12
11-Feb-1992,0,2.16,2.09,2.09,536800,2.09
12-Feb-1992,0,2.12,2.09,2.12,380400,2.12
13-Feb-1992,0,2.19,2.12,2.12,133600,2.12
