Date,Open,High,Low,Close,Volume,AdjClose
11-Mar-1994,0,20.88,20.62,20.88,2359000,20.88
14-Mar-1994,0,20.75,20.62,20.62,536500,20.62
15-Mar-1994,0,20.75,20.62,20.62,215700,20.62
16-Mar-1994,0,21.38,20.62,21.38,338600,21.38
17-Mar-1994,0,21.38,20.88,21.12,195900,21.12
18-Mar-1994,0,21.12,20.75,21,285700,21
21-Mar-1994,0,21,20.88,20.88,38900,20.88
22-Mar-1994,0,20.88,20.75,20.75,78400,20.75
23-Mar-1994,0,21.5,20.75,21.25,209200,21.25
24-Mar-1994,0,21.12,21,21,155000,21
25-Mar-1994,0,21.12,21,21,91500,21
28-Mar-1994,0,21.12,20.88,21.12,111200,21.12
29-Mar-1994,0,21.12,20.62,20.62,101200,20.62
30-Mar-1994,0,20.75,20.38,20.5,105000,20.5
31-Mar-1994,0,20.62,20.5,20.62,108300,20.62
04-Apr-1994,0,20.38,20,20.12,42300,20.12
05-Apr-1994,0,20.88,20.25,20.75,55600,20.75
06-Apr-1994,0,20.88,20.75,20.88,31800,20.88
07-Apr-1994,0,21,20.75,20.75,52000,20.75
08-Apr-1994,0,20.75,20.5,20.5,24000,20.5
11-Apr-1994,0,20.62,20.38,20.38,44400,20.38
12-Apr-1994,0,20.5,20.25,20.5,15100,20.5
13-Apr-1994,0,20.5,20.38,20.38,30500,20.38
14-Apr-1994,0,20.5,20.38,20.38,38800,20.38
15-Apr-1994,0,20.5,20.12,20.12,12200,20.12
18-Apr-1994,0,20.38,20.12,20.12,39800,20.12
19-Apr-1994,0,20.38,20.25,20.25,24500,20.25
20-Apr-1994,0,20.25,20.12,20.25,72000,20.25
21-Apr-1994,0,20.38,20.25,20.25,15000,20.25
22-Apr-1994,0,20.5,20.12,20.5,20700,20.5
25-Apr-1994,0,20.5,20.25,20.25,27300,20.25
26-Apr-1994,0,20.5,20.38,20.5,64000,20.5
28-Apr-1994,0,20.75,20.5,20.62,27100,20.62
29-Apr-1994,0,20.62,20.5,20.5,5500,20.5
02-May-1994,0,20.62,20.5,20.62,11700,20.62
03-May-1994,0,20.62,20.38,20.5,29000,20.5
04-May-1994,0,20.5,20.25,20.25,39600,20.25
05-May-1994,0,20.38,20.12,20.38,7600,20.38
06-May-1994,0,20.38,20,20.12,13600,20.12
