Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.86,1.8,1.8,854601,1.8
04-Jan-1978,0,1.8,1.78,1.8,1645201,1.8
05-Jan-1978,0,1.83,1.78,1.8,986003,1.8
06-Jan-1978,0,1.78,1.73,1.73,1143604,1.73
09-Jan-1978,0,1.72,1.67,1.7,1475602,1.7
10-Jan-1978,0,1.7,1.66,1.66,1230005,1.66
11-Jan-1978,0,1.67,1.64,1.66,1481207,1.66
12-Jan-1978,0,1.67,1.66,1.67,1938593,1.67
13-Jan-1978,0,1.69,1.66,1.69,1276995,1.69
16-Jan-1978,0,1.69,1.67,1.67,1335194,1.67
17-Jan-1978,0,1.73,1.69,1.73,801399,1.73
18-Jan-1978,0,1.77,1.73,1.77,2869800,1.77
19-Jan-1978,0,1.83,1.73,1.77,1511794,1.77
20-Jan-1978,0,1.75,1.72,1.73,3834996,1.73
23-Jan-1978,0,1.72,1.67,1.69,1057004,1.69
24-Jan-1978,0,1.7,1.67,1.69,883001,1.69
25-Jan-1978,0,1.7,1.67,1.7,1302799,1.7
26-Jan-1978,0,1.7,1.67,1.69,659001,1.69
27-Jan-1978,0,1.7,1.67,1.7,561998,1.7
30-Jan-1978,0,1.73,1.7,1.73,1665598,1.73
31-Jan-1978,0,1.73,1.72,1.73,842603,1.73
01-Feb-1978,0,1.77,1.73,1.73,1290603,1.73
02-Feb-1978,0,1.8,1.77,1.8,1733198,1.8
03-Feb-1978,0,1.8,1.78,1.78,737399,1.78
06-Feb-1978,0,1.86,1.78,1.86,933196,1.86
07-Feb-1978,0,1.92,1.86,1.92,3022206,1.92
08-Feb-1978,0,1.95,1.91,1.94,4867806,1.94
09-Feb-1978,0,2.03,1.95,2.03,6220405,2.03
10-Feb-1978,0,2.02,1.98,1.98,4645203,1.98
13-Feb-1978,0,1.98,1.92,1.95,2742999,1.95
14-Feb-1978,0,1.97,1.94,1.97,1262400,1.97
15-Feb-1978,0,1.97,1.91,1.95,970998,1.95
16-Feb-1978,0,1.94,1.89,1.92,1616998,1.92
17-Feb-1978,0,1.92,1.89,1.92,1999207,1.92
21-Feb-1978,0,1.97,1.89,1.97,1745196,1.97
22-Feb-1978,0,2.02,1.97,1.97,1675607,1.97
23-Feb-1978,0,1.98,1.92,1.98,1269007,1.98
24-Feb-1978,0,2.16,2.02,2.11,3328994,2.11
27-Feb-1978,0,2.14,2.06,2.09,2079199,2.09
28-Feb-1978,0,2.08,2.03,2.08,1086605,2.08
01-Mar-1978,0,2.14,2.05,2.14,2879793,2.14
02-Mar-1978,0,2.19,2.14,2.14,3758603,2.14
03-Mar-1978,0,2.22,2.16,2.2,2054793,2.2
06-Mar-1978,0,2.2,2.17,2.2,1386801,2.2
07-Mar-1978,0,2.22,2.19,2.2,1052798,2.2
08-Mar-1978,0,2.23,2.2,2.22,2643400,2.22
09-Mar-1978,0,2.23,2.2,2.2,2936397,2.2
10-Mar-1978,0,2.23,2.2,2.2,1358598,2.2
13-Mar-1978,0,2.22,2.19,2.19,1190396,2.19
14-Mar-1978,0,2.19,2.14,2.19,1274398,2.19
15-Mar-1978,0,2.19,2.14,2.16,2220595,2.16
16-Mar-1978,0,2.22,2.14,2.22,1663198,2.22
17-Mar-1978,0,2.3,2.2,2.3,1856004,2.3
20-Mar-1978,0,2.31,2.28,2.31,2842007,2.31
21-Mar-1978,0,2.3,2.23,2.27,1072207,2.27
22-Mar-1978,0,2.3,2.23,2.27,1090599,2.27
23-Mar-1978,0,2.28,2.27,2.28,1062593,2.28
27-Mar-1978,0,2.27,2.2,2.2,1853407,2.2
28-Mar-1978,0,2.27,2.22,2.27,1320006,2.27
29-Mar-1978,0,2.3,2.27,2.28,1487600,2.28
30-Mar-1978,0,2.28,2.23,2.23,942794,2.23
31-Mar-1978,0,2.27,2.22,2.23,604402,2.23
03-Apr-1978,0,2.22,2.19,2.2,1672205,2.2
04-Apr-1978,0,2.23,2.2,2.22,1957395,2.22
05-Apr-1978,0,2.27,2.2,2.27,1348194,2.27
06-Apr-1978,0,2.3,2.27,2.28,2093597,2.28
07-Apr-1978,0,2.3,2.28,2.3,2322002,2.3
10-Apr-1978,0,2.33,2.28,2.3,848799,2.3
11-Apr-1978,0,2.38,2.3,2.38,2999805,2.38
12-Apr-1978,0,2.45,2.36,2.42,3240405,2.42
13-Apr-1978,0,2.44,2.41,2.41,1558997,2.41
14-Apr-1978,0,2.52,2.45,2.47,4839801,2.47
17-Apr-1978,0,2.58,2.48,2.48,5033198,2.48
18-Apr-1978,0,2.48,2.44,2.47,2542205,2.47
19-Apr-1978,0,2.55,2.45,2.53,1644001,2.53
20-Apr-1978,0,2.58,2.53,2.53,2179999,2.53
21-Apr-1978,0,2.55,2.52,2.52,1205599,2.52
24-Apr-1978,0,2.64,2.53,2.64,2216206,2.64
25-Apr-1978,0,2.67,2.61,2.61,5027807,2.61
26-Apr-1978,0,2.67,2.59,2.62,3526203,2.62
