Date,Open,High,Low,Close,Volume,AdjClose
23-Sep-1983,0,0.07,0.06,0.06,708588,0.06
26-Sep-1983,0,0.07,0.06,0.06,588627,0.06
27-Sep-1983,0,0.07,0.07,0.07,1091961,0.07
28-Sep-1983,0,0.07,0.07,0.07,363609,0.07
29-Sep-1983,0,0.07,0.07,0.07,507627,0.07
30-Sep-1983,0,0.06,0.06,0.06,971433,0.06
03-Oct-1983,0,0.06,0.06,0.06,120609,0.06
04-Oct-1983,0,0.07,0.06,0.06,385236,0.06
05-Oct-1983,0,0.07,0.07,0.07,304236,0.07
06-Oct-1983,0,0.07,0.07,0.07,605961,0.07
07-Oct-1983,0,0.07,0.07,0.07,830979,0.07
10-Oct-1983,0,0.07,0.07,0.07,385236,0.07
11-Oct-1983,NaN,NaN,NaN,0.07,0,0.07
12-Oct-1983,0,0.07,0.07,0.07,304236,0.07
13-Oct-1983,0,0.07,0.07,0.07,264627,0.07
14-Oct-1983,0,0.07,0.07,0.07,363609,0.07
17-Oct-1983,0,0.07,0.07,0.07,81000,0.07
18-Oct-1983,0,0.07,0.07,0.07,1091961,0.07
19-Oct-1983,NaN,NaN,NaN,0.07,0,0.07
20-Oct-1983,0,0.07,0.07,0.07,627588,0.07
21-Oct-1983,0,0.07,0.07,0.07,605961,0.07
24-Oct-1983,0,0.07,0.06,0.06,324000,0.06
25-Oct-1983,0,0.07,0.06,0.06,120609,0.06
26-Oct-1983,0,0.07,0.06,0.06,61236,0.06
27-Oct-1983,0,0.07,0.07,0.07,183627,0.07
28-Oct-1983,0,0.07,0.06,0.06,162000,0.06
31-Oct-1983,0,0.07,0.06,0.06,61236,0.06
01-Nov-1983,0,0.07,0.06,0.06,102627,0.06
02-Nov-1983,0,0.07,0.06,0.06,21627,0.06
03-Nov-1983,0,0.07,0.06,0.06,588627,0.06
04-Nov-1983,0,0.07,0.06,0.06,264627,0.06
07-Nov-1983,0,0.06,0.06,0.06,363609,0.06
08-Nov-1983,0,0.06,0.06,0.06,183627,0.06
