Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.1,2.08,2.09,510400,2.09
04-Jan-1978,0,2.09,2.05,2.06,758400,2.06
05-Jan-1978,0,2.09,2.05,2.05,392000,2.05
06-Jan-1978,0,2.05,2.02,2.04,465600,2.04
09-Jan-1978,0,2.01,1.98,2.01,980800,2.01
10-Jan-1978,0,2.01,1.98,1.98,472000,1.98
11-Jan-1978,0,2,1.97,1.99,1732800,1.99
12-Jan-1978,0,1.98,1.95,1.97,404800,1.97
13-Jan-1978,0,1.99,1.97,1.98,832000,1.98
16-Jan-1978,0,1.99,1.97,1.98,152000,1.98
17-Jan-1978,0,2.02,2,2,432000,2
18-Jan-1978,0,2.02,1.98,1.99,675200,1.99
19-Jan-1978,0,2.02,2,2.02,294400,2.02
20-Jan-1978,0,2.04,2.02,2.02,120000,2.02
23-Jan-1978,0,2.04,2.02,2.03,657600,2.03
24-Jan-1978,0,2.06,2.02,2.05,900800,2.05
25-Jan-1978,0,2.06,2.04,2.05,414400,2.05
26-Jan-1978,0,2.06,2.04,2.05,377600,2.05
27-Jan-1978,0,2.05,2.02,2.02,1292800,2.02
30-Jan-1978,0,2.03,2,2.01,616000,2.01
31-Jan-1978,0,2.01,1.98,1.98,446400,1.98
01-Feb-1978,0,2.04,1.98,2.02,641600,2.02
02-Feb-1978,0,2.02,2,2.02,507200,2.02
03-Feb-1978,0,2.02,2.01,2.02,104000,2.02
06-Feb-1978,0,2.02,1.99,2.01,83200,2.01
07-Feb-1978,0,2.02,2,2.02,406400,2.02
08-Feb-1978,0,2.02,2,2.02,1360000,2.02
09-Feb-1978,0,2.02,1.98,1.99,270400,1.99
10-Feb-1978,0,2.02,1.97,1.98,604800,1.98
13-Feb-1978,0,1.98,1.97,1.98,124800,1.98
14-Feb-1978,0,1.98,1.96,1.96,392000,1.96
15-Feb-1978,0,1.98,1.96,1.96,548800,1.96
16-Feb-1978,0,1.96,1.9,1.92,939200,1.92
17-Feb-1978,0,1.94,1.88,1.91,584000,1.91
21-Feb-1978,0,1.91,1.89,1.9,1004800,1.9
22-Feb-1978,0,1.9,1.88,1.89,275200,1.89
23-Feb-1978,0,1.91,1.88,1.89,588800,1.89
24-Feb-1978,0,1.89,1.85,1.87,496000,1.87
27-Feb-1978,0,1.88,1.86,1.87,3048000,1.87
28-Feb-1978,0,1.86,1.78,1.8,683200,1.8
01-Mar-1978,0,1.83,1.8,1.81,1000000,1.81
02-Mar-1978,0,1.82,1.79,1.81,993600,1.81
03-Mar-1978,0,1.84,1.8,1.81,896000,1.81
06-Mar-1978,0,1.8,1.76,1.77,945600,1.77
07-Mar-1978,0,1.78,1.75,1.77,1308800,1.77
08-Mar-1978,0,1.8,1.76,1.78,603200,1.78
09-Mar-1978,0,1.8,1.78,1.8,686400,1.8
10-Mar-1978,0,1.86,1.8,1.86,899200,1.86
13-Mar-1978,0,1.93,1.88,1.93,940800,1.93
14-Mar-1978,0,1.94,1.89,1.93,336000,1.93
15-Mar-1978,0,1.93,1.9,1.93,577600,1.93
16-Mar-1978,0,1.93,1.91,1.91,254400,1.91
17-Mar-1978,0,1.95,1.91,1.95,403200,1.95
20-Mar-1978,0,2,1.96,2,1176000,2
21-Mar-1978,0,2,1.91,1.91,1000000,1.91
22-Mar-1978,0,1.93,1.89,1.93,779200,1.93
23-Mar-1978,0,1.95,1.91,1.91,886400,1.91
27-Mar-1978,0,1.93,1.9,1.91,396800,1.91
28-Mar-1978,0,1.91,1.9,1.91,352000,1.91
29-Mar-1978,0,1.92,1.87,1.89,969600,1.89
30-Mar-1978,0,1.89,1.87,1.87,225600,1.87
31-Mar-1978,0,1.87,1.82,1.87,1060800,1.87
03-Apr-1978,0,1.85,1.83,1.84,595200,1.84
04-Apr-1978,0,1.85,1.83,1.84,913600,1.84
05-Apr-1978,0,1.85,1.82,1.85,947200,1.85
06-Apr-1978,0,1.89,1.87,1.88,948800,1.88
07-Apr-1978,0,1.91,1.88,1.9,809600,1.9
10-Apr-1978,0,1.91,1.88,1.91,1795200,1.91
11-Apr-1978,0,1.9,1.86,1.88,876800,1.88
12-Apr-1978,0,1.91,1.88,1.89,596800,1.89
13-Apr-1978,0,1.96,1.89,1.96,915200,1.96
14-Apr-1978,0,2.03,1.95,2.03,1984000,2.03
17-Apr-1978,0,2.19,2.08,2.12,2337600,2.12
18-Apr-1978,0,2.05,1.98,1.98,1800000,1.98
19-Apr-1978,0,2.02,2,2.02,1673600,2.02
20-Apr-1978,0,2.07,2.04,2.05,2382400,2.05
21-Apr-1978,0,2.05,2.02,2.03,1492800,2.03
24-Apr-1978,0,2.09,2.04,2.08,1507200,2.08
25-Apr-1978,0,2.16,2.11,2.13,2328000,2.13
26-Apr-1978,0,2.1,2.07,2.07,3443200,2.07
27-Apr-1978,0,2.06,2.03,2.03,774400,2.03
28-Apr-1978,0,2.07,2.03,2.07,2376000,2.07
01-May-1978,0,2.1,2.08,2.09,1142400,2.09
