Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,6.84,6.72,6.72,908800,6.72
04-Jan-1978,0,6.8,6.67,6.73,354400,6.73
05-Jan-1978,0,6.83,6.66,6.66,976800,6.66
06-Jan-1978,0,6.69,6.53,6.56,618400,6.56
09-Jan-1978,0,6.55,6.47,6.52,589600,6.52
10-Jan-1978,0,6.55,6.48,6.52,374400,6.52
11-Jan-1978,0,6.56,6.5,6.53,341600,6.53
12-Jan-1978,0,6.62,6.53,6.55,387200,6.55
13-Jan-1978,0,6.61,6.55,6.56,321600,6.56
16-Jan-1978,0,6.55,6.48,6.52,484800,6.52
17-Jan-1978,0,6.59,6.52,6.58,279200,6.58
18-Jan-1978,0,6.66,6.55,6.62,712000,6.62
19-Jan-1978,0,6.62,6.5,6.53,214400,6.53
20-Jan-1978,0,6.53,6.42,6.44,152000,6.44
23-Jan-1978,0,6.45,6.22,6.3,1069600,6.3
24-Jan-1978,0,6.33,6.23,6.28,688000,6.28
25-Jan-1978,0,6.36,6.25,6.3,339200,6.3
26-Jan-1978,0,6.33,6.2,6.22,794400,6.22
27-Jan-1978,0,6.17,6.12,6.16,714400,6.16
30-Jan-1978,0,6.23,6.17,6.2,656800,6.2
31-Jan-1978,0,6.25,6.14,6.19,575200,6.19
01-Feb-1978,0,6.28,6.19,6.28,499200,6.28
02-Feb-1978,0,6.33,6.25,6.28,469600,6.28
03-Feb-1978,0,6.3,6.23,6.25,617600,6.25
06-Feb-1978,0,6.25,6.2,6.25,237600,6.25
07-Feb-1978,0,6.31,6.25,6.31,276800,6.31
08-Feb-1978,0,6.31,6.25,6.25,225600,6.25
09-Feb-1978,0,6.28,6.22,6.25,398400,6.25
10-Feb-1978,0,6.3,6.23,6.28,351200,6.28
13-Feb-1978,0,6.28,6.23,6.28,316800,6.28
14-Feb-1978,0,6.27,6.22,6.23,217600,6.23
15-Feb-1978,0,6.27,6.22,6.25,252000,6.25
16-Feb-1978,0,6.23,6.17,6.2,523200,6.2
17-Feb-1978,0,6.23,6.2,6.2,407200,6.2
21-Feb-1978,0,6.22,6.16,6.22,639200,6.22
22-Feb-1978,0,6.22,6.19,6.19,288800,6.19
23-Feb-1978,0,6.19,6.14,6.17,458400,6.17
24-Feb-1978,0,6.25,6.16,6.23,548800,6.23
27-Feb-1978,0,6.3,6.22,6.23,149600,6.23
28-Feb-1978,0,6.19,6.16,6.16,303200,6.16
