Date,Open,High,Low,Close,Volume,AdjClose
10-Jun-2004,6.33,6.33,6.03,6.11,35115900,6.11
14-Jun-2004,6.08,6.13,6.05,6.07,2313600,6.07
15-Jun-2004,6.07,6.25,6.07,6.25,2499600,6.25
16-Jun-2004,6.25,6.37,6.25,6.33,2810100,6.33
17-Jun-2004,6.35,6.36,6.26,6.34,1391601,6.34
18-Jun-2004,6.35,6.4,6.33,6.34,708300,6.34
21-Jun-2004,6.33,6.37,6.3,6.36,508500,6.36
22-Jun-2004,6.33,6.36,6.3,6.35,1125900,6.35
23-Jun-2004,6.28,6.3,6.16,6.3,1033500,6.3
24-Jun-2004,6.26,6.34,6.24,6.33,858600,6.33
25-Jun-2004,6.33,6.35,6.25,6.33,809100,6.33
28-Jun-2004,6.25,6.36,6.22,6.33,1184400,6.33
29-Jun-2004,6.3,6.4,6.3,6.4,608700,6.4
30-Jun-2004,6.35,6.4,6.35,6.37,552600,6.37
01-Jul-2004,6.34,6.38,6.33,6.36,380499,6.36
02-Jul-2004,6.35,6.38,6.27,6.38,246600,6.38
06-Jul-2004,6.35,6.37,6.33,6.36,137100,6.36
07-Jul-2004,6.34,6.35,6.33,6.35,181200,6.35
08-Jul-2004,6.36,6.36,6.33,6.34,190701,6.34
09-Jul-2004,6.35,6.36,6.33,6.33,226500,6.33
12-Jul-2004,6.33,6.35,6.3,6.3,176700,6.3
13-Jul-2004,6.28,6.35,6.26,6.35,578100,6.35
14-Jul-2004,6.34,6.37,6.32,6.37,303600,6.37
15-Jul-2004,6.34,6.34,6.3,6.34,313200,6.34
16-Jul-2004,6.34,6.36,6.3,6.3,268800,6.3
19-Jul-2004,6.3,6.33,6.29,6.33,212700,6.33
20-Jul-2004,6.33,6.35,6.29,6.33,505200,6.33
21-Jul-2004,6.33,6.35,6.32,6.34,165000,6.34
22-Jul-2004,6.33,6.4,6.32,6.4,231201,6.4
23-Jul-2004,6.25,6.3,6.16,6.3,1555800,6.3
26-Jul-2004,6.22,6.26,6.21,6.26,420900,6.26
27-Jul-2004,6.26,6.28,6.26,6.26,113700,6.26
28-Jul-2004,6.25,6.3,6.23,6.29,131100,6.29
29-Jul-2004,6.25,6.29,6.25,6.29,91899,6.29
30-Jul-2004,6.3,6.35,6.28,6.31,1072200,6.31
02-Aug-2004,6.3,6.35,6.28,6.34,203100,6.34
03-Aug-2004,6.34,6.41,6.33,6.39,222900,6.39
04-Aug-2004,6.35,6.37,6.33,6.35,386400,6.35
05-Aug-2004,6.49,6.66,6.38,6.56,1142601,6.56
06-Aug-2004,6.53,6.53,6.43,6.47,144900,6.47
09-Aug-2004,6.44,6.44,6.36,6.36,469800,6.36
10-Aug-2004,6.33,6.48,6.33,6.43,328800,6.43
11-Aug-2004,6.45,6.48,6.42,6.43,138900,6.43
12-Aug-2004,6.44,6.49,6.41,6.41,279900,6.41
13-Aug-2004,6.45,6.45,6.37,6.4,420300,6.4
16-Aug-2004,6.35,6.42,6.35,6.39,473700,6.39
17-Aug-2004,6.39,6.4,6.26,6.28,743400,6.28
18-Aug-2004,6.3,6.32,6.26,6.3,68100,6.3
19-Aug-2004,6.3,6.4,6.3,6.37,120399,6.37
