Date,Open,High,Low,Close,Volume,AdjClose
24-Jul-1987,0,3.94,3.88,3.94,15566400,3.94
27-Jul-1987,0,3.94,3.88,3.91,1931200,3.91
28-Jul-1987,0,3.91,3.88,3.88,2074800,3.88
29-Jul-1987,0,3.91,3.88,3.88,4930800,3.88
30-Jul-1987,0,3.91,3.81,3.81,4654400,3.81
31-Jul-1987,0,3.78,3.56,3.62,3006800,3.62
03-Aug-1987,0,3.84,3.5,3.84,1277600,3.84
04-Aug-1987,0,3.91,3.75,3.78,698400,3.78
05-Aug-1987,0,3.81,3.75,3.78,262000,3.78
06-Aug-1987,0,3.78,3.72,3.75,480400,3.75
07-Aug-1987,0,3.84,3.75,3.84,582400,3.84
10-Aug-1987,0,3.97,3.81,3.91,1524800,3.91
11-Aug-1987,0,3.94,3.88,3.94,2395200,3.94
12-Aug-1987,0,3.94,3.91,3.94,1514400,3.94
13-Aug-1987,0,3.94,3.84,3.88,516000,3.88
14-Aug-1987,0,3.94,3.84,3.88,324000,3.88
17-Aug-1987,0,3.88,3.84,3.88,183600,3.88
18-Aug-1987,0,3.88,3.72,3.72,554400,3.72
19-Aug-1987,0,3.75,3.66,3.75,304400,3.75
20-Aug-1987,0,3.81,3.75,3.75,516000,3.75
21-Aug-1987,0,3.84,3.72,3.81,620400,3.81
24-Aug-1987,0,3.94,3.84,3.94,1596800,3.94
25-Aug-1987,0,4.16,3.94,4.12,1371600,4.12
26-Aug-1987,0,4.38,4.19,4.31,1897200,4.31
27-Aug-1987,0,4.31,4.19,4.22,604800,4.22
28-Aug-1987,0,4.25,4.19,4.25,171200,4.25
31-Aug-1987,0,4.22,4.16,4.22,192000,4.22
01-Sep-1987,0,4.28,4.19,4.19,1219600,4.19
02-Sep-1987,0,4.22,3.97,4,1449600,4
03-Sep-1987,0,4.09,3.94,4,252400,4
04-Sep-1987,0,4,3.91,3.97,225600,3.97
08-Sep-1987,0,3.97,3.78,3.88,536000,3.88
09-Sep-1987,0,3.88,3.81,3.84,376800,3.84
10-Sep-1987,0,3.88,3.78,3.84,803600,3.84
11-Sep-1987,0,3.97,3.84,3.94,519600,3.94
14-Sep-1987,0,4,3.91,3.97,206400,3.97
15-Sep-1987,0,4,3.94,3.97,78000,3.97
16-Sep-1987,0,4,3.94,4,390400,4
17-Sep-1987,0,3.97,3.94,3.94,134400,3.94
18-Sep-1987,0,3.97,3.91,3.91,95600,3.91
21-Sep-1987,0,3.97,3.94,3.97,485600,3.97
22-Sep-1987,0,4,3.91,3.97,520800,3.97
23-Sep-1987,0,4,3.94,3.97,25200,3.97
24-Sep-1987,0,3.97,3.94,3.94,46400,3.94
25-Sep-1987,0,3.97,3.94,3.97,161600,3.97
28-Sep-1987,0,4.06,3.97,4.03,600000,4.03
29-Sep-1987,0,4.03,3.97,3.97,178400,3.97
30-Sep-1987,0,4,3.94,4,235200,4
01-Oct-1987,0,4,3.97,3.97,192000,3.97
02-Oct-1987,0,4,3.97,4,655600,4
05-Oct-1987,0,4.03,3.94,4,408000,4
06-Oct-1987,0,4.03,3.91,3.91,310400,3.91
07-Oct-1987,0,3.94,3.72,3.84,150400,3.84
08-Oct-1987,0,3.84,3.72,3.75,486000,3.75
09-Oct-1987,0,3.75,3.56,3.56,240400,3.56
12-Oct-1987,0,3.56,3.25,3.34,558800,3.34
13-Oct-1987,0,3.47,3.34,3.47,371200,3.47
14-Oct-1987,0,3.47,3.25,3.31,755600,3.31
15-Oct-1987,0,3.28,3.16,3.16,269600,3.16
16-Oct-1987,0,3.22,2.94,3.03,620400,3.03
19-Oct-1987,0,2.69,2.25,2.28,1634400,2.28
20-Oct-1987,0,4.38,2.03,2.62,1649200,2.62
21-Oct-1987,0,2.81,2.62,2.72,1183200,2.72
22-Oct-1987,0,2.47,2.25,2.34,652400,2.34
23-Oct-1987,0,2.38,2.25,2.34,3120400,2.34
26-Oct-1987,0,2.25,2.12,2.16,744800,2.16
27-Oct-1987,0,2.38,2.12,2.22,875200,2.22
28-Oct-1987,0,2.22,2.12,2.19,768000,2.19
29-Oct-1987,0,2.19,2.12,2.16,126000,2.16
30-Oct-1987,0,2.56,2.22,2.56,2579200,2.56
02-Nov-1987,0,2.69,2.41,2.62,653600,2.62
03-Nov-1987,0,2.56,2.34,2.53,583200,2.53
04-Nov-1987,0,2.41,2.31,2.34,307200,2.34
05-Nov-1987,0,2.31,2.25,2.28,544800,2.28
06-Nov-1987,0,2.31,2.28,2.31,405200,2.31
09-Nov-1987,0,2.31,2.25,2.28,394000,2.28
10-Nov-1987,0,2.31,2.22,2.25,718800,2.25
11-Nov-1987,0,2.31,2.22,2.28,308000,2.28
12-Nov-1987,0,2.38,2.28,2.31,277600,2.31
13-Nov-1987,0,2.31,2.22,2.25,385200,2.25
16-Nov-1987,0,2.31,2.22,2.22,145200,2.22
17-Nov-1987,0,2.25,2.12,2.25,353600,2.25
18-Nov-1987,0,2.25,2.16,2.22,338400,2.22
19-Nov-1987,0,2.22,2.12,2.16,204000,2.16
20-Nov-1987,0,2.16,2.09,2.16,606400,2.16
23-Nov-1987,0,2.25,2.16,2.25,260000,2.25
24-Nov-1987,0,2.38,2.22,2.34,557200,2.34
25-Nov-1987,0,2.31,2.25,2.31,268400,2.31
27-Nov-1987,0,2.34,2.28,2.31,124800,2.31
30-Nov-1987,0,2.28,2.16,2.25,623200,2.25
01-Dec-1987,0,2.25,2.16,2.19,350800,2.19
02-Dec-1987,0,2.19,2.09,2.19,328000,2.19
03-Dec-1987,0,2.19,2.06,2.09,306000,2.09
04-Dec-1987,0,2.09,2.06,2.09,492800,2.09
07-Dec-1987,0,2.12,2.06,2.09,286000,2.09
08-Dec-1987,0,2.12,2.06,2.09,472400,2.09
09-Dec-1987,0,2.41,2.09,2.38,503600,2.38
10-Dec-1987,0,2.47,2.28,2.38,391200,2.38
11-Dec-1987,0,2.41,2.34,2.38,292800,2.38
14-Dec-1987,0,2.47,2.34,2.47,596800,2.47
15-Dec-1987,0,2.5,2.44,2.47,234000,2.47
16-Dec-1987,0,2.75,2.5,2.69,930400,2.69
17-Dec-1987,0,2.88,2.69,2.78,820800,2.78
18-Dec-1987,0,2.84,2.66,2.81,468400,2.81
21-Dec-1987,0,2.84,2.69,2.75,322000,2.75
22-Dec-1987,0,2.75,2.56,2.62,308400,2.62
23-Dec-1987,0,2.75,2.56,2.75,243200,2.75
24-Dec-1987,0,2.94,2.81,2.88,215200,2.88
28-Dec-1987,0,2.88,2.78,2.81,151600,2.81
29-Dec-1987,0,2.81,2.75,2.81,194800,2.81
30-Dec-1987,0,2.81,2.75,2.75,267600,2.75
31-Dec-1987,0,3,2.66,3,553200,3
04-Jan-1988,0,3,2.97,3,258800,3
05-Jan-1988,0,3.06,3,3.03,300400,3.03
06-Jan-1988,0,3.38,3,3.25,366800,3.25
07-Jan-1988,0,3.5,3.22,3.5,2301200,3.5
08-Jan-1988,0,3.5,3.31,3.31,1037600,3.31
11-Jan-1988,0,3.38,3.22,3.34,199200,3.34
12-Jan-1988,0,3.31,3.25,3.31,512000,3.31
13-Jan-1988,0,3.28,3.19,3.28,224800,3.28
14-Jan-1988,0,3.38,3.22,3.25,103600,3.25
15-Jan-1988,0,3.41,3.31,3.31,679200,3.31
18-Jan-1988,0,3.28,3.22,3.28,116000,3.28
19-Jan-1988,0,3.25,3.19,3.22,351200,3.22
20-Jan-1988,0,3.22,3.16,3.22,202800,3.22
21-Jan-1988,0,3.22,3.09,3.16,146800,3.16
22-Jan-1988,0,3.19,3.12,3.16,104800,3.16
25-Jan-1988,0,3.25,3.12,3.25,368800,3.25
26-Jan-1988,0,3.31,3.22,3.31,167600,3.31
27-Jan-1988,0,3.31,3.25,3.31,192000,3.31
28-Jan-1988,0,3.34,3.28,3.31,68800,3.31
29-Jan-1988,0,3.34,3.28,3.34,270800,3.34
01-Feb-1988,0,3.31,3.22,3.25,108800,3.25
02-Feb-1988,0,3.25,3.19,3.19,42000,3.19
03-Feb-1988,0,3.25,3.19,3.22,176800,3.22
04-Feb-1988,0,3.22,3.09,3.12,309600,3.12
05-Feb-1988,0,3.12,3,3.03,86800,3.03
08-Feb-1988,0,3.03,2.94,3,202400,3
09-Feb-1988,0,2.97,2.88,2.91,148800,2.91
10-Feb-1988,0,3.06,2.91,3,319200,3
11-Feb-1988,0,3.06,3,3,141600,3
12-Feb-1988,0,3.19,3.03,3.09,79200,3.09
16-Feb-1988,0,3.09,3,3.03,49200,3.03
17-Feb-1988,0,3,2.94,2.97,524800,2.97
18-Feb-1988,0,2.97,2.91,2.94,179600,2.94
19-Feb-1988,0,3,2.91,2.97,144400,2.97
22-Feb-1988,0,3.12,3,3.12,185600,3.12
23-Feb-1988,0,3.09,3.06,3.06,53200,3.06
24-Feb-1988,0,3.12,3.06,3.06,178400,3.06
25-Feb-1988,0,3.16,3.06,3.09,54000,3.09
26-Feb-1988,0,3.16,3.09,3.12,82400,3.12
29-Feb-1988,0,3.22,3.12,3.22,133600,3.22
01-Mar-1988,0,3.34,3.25,3.34,566800,3.34
02-Mar-1988,0,3.38,3.25,3.31,740800,3.31
03-Mar-1988,0,3.28,3.22,3.22,353600,3.22
04-Mar-1988,0,3.25,3,3.12,908000,3.12
07-Mar-1988,0,3.12,3.09,3.12,545600,3.12
08-Mar-1988,0,3.16,3.09,3.12,758000,3.12
09-Mar-1988,0,3.12,3.06,3.06,130800,3.06
10-Mar-1988,0,3.12,3.06,3.09,336400,3.09
11-Mar-1988,0,3.09,3.03,3.06,312000,3.06
14-Mar-1988,0,3.09,3.06,3.09,86800,3.09
15-Mar-1988,0,3.22,3.06,3.22,872400,3.22
16-Mar-1988,0,3.22,3.19,3.19,157200,3.19
17-Mar-1988,0,3.38,3.25,3.31,399600,3.31
18-Mar-1988,0,3.34,3.28,3.28,162400,3.28
21-Mar-1988,0,3.34,3.25,3.25,307200,3.25
22-Mar-1988,0,3.34,3.31,3.34,550800,3.34
23-Mar-1988,0,3.34,3.28,3.34,347200,3.34
24-Mar-1988,0,3.34,3.22,3.25,805200,3.25
25-Mar-1988,0,3.28,3.16,3.16,263200,3.16
28-Mar-1988,0,3.25,3.03,3.25,242000,3.25
29-Mar-1988,0,3.44,3.28,3.41,414000,3.41
30-Mar-1988,0,3.53,3.38,3.41,252400,3.41
31-Mar-1988,0,3.44,3.38,3.38,150000,3.38
04-Apr-1988,0,3.5,3.38,3.41,206400,3.41
05-Apr-1988,0,3.44,3.38,3.41,828800,3.41
06-Apr-1988,0,3.38,3.28,3.31,310400,3.31
07-Apr-1988,0,3.38,3.31,3.31,203600,3.31
08-Apr-1988,0,3.38,3.31,3.38,53600,3.38
