Date,Open,High,Low,Close,Volume,AdjClose
15-Oct-1997,0,5.69,5.25,5.62,29816800,5.62
16-Oct-1997,0,5.81,5.56,5.69,7436400,5.69
17-Oct-1997,0,5.75,5.41,5.59,3390400,5.59
20-Oct-1997,0,5.62,5.47,5.53,3068000,5.53
21-Oct-1997,0,5.69,5.5,5.59,2382400,5.59
22-Oct-1997,0,5.75,5.59,5.72,1525200,5.72
23-Oct-1997,0,5.69,5.53,5.59,1622400,5.59
24-Oct-1997,0,5.72,5.56,5.72,813600,5.72
27-Oct-1997,0,5.75,5.38,5.42,1507200,5.42
28-Oct-1997,0,5.53,4.94,5.5,2955600,5.5
29-Oct-1997,0,5.72,5.59,5.66,1859200,5.66
30-Oct-1997,0,5.56,5.38,5.5,856000,5.5
31-Oct-1997,0,5.64,5.44,5.5,561600,5.5
03-Nov-1997,0,5.84,5.53,5.73,1004000,5.73
04-Nov-1997,0,5.88,5.69,5.78,364000,5.78
05-Nov-1997,0,6.06,5.78,5.91,324400,5.91
06-Nov-1997,0,6.25,5.88,6.25,361600,6.25
07-Nov-1997,0,6.62,6.03,6.44,662400,6.44
10-Nov-1997,0,6.5,6.16,6.16,266800,6.16
11-Nov-1997,0,6,5.75,6,618000,6
12-Nov-1997,0,6,5.56,5.69,314800,5.69
13-Nov-1997,0,5.62,5.47,5.5,500000,5.5
14-Nov-1997,0,5.5,5.31,5.44,438000,5.44
17-Nov-1997,0,5.84,5.5,5.81,284000,5.81
18-Nov-1997,0,5.88,5.69,5.72,1429600,5.72
19-Nov-1997,0,5.81,5.56,5.56,148400,5.56
20-Nov-1997,0,5.62,5.31,5.56,1268000,5.56
21-Nov-1997,0,5.62,5.5,5.53,640800,5.53
24-Nov-1997,0,5.59,5.5,5.53,64400,5.53
25-Nov-1997,0,5.62,5.5,5.52,326800,5.52
26-Nov-1997,0,5.53,5.23,5.25,463200,5.25
28-Nov-1997,0,5.31,5.25,5.25,212800,5.25
01-Dec-1997,0,5.38,5.25,5.27,475200,5.27
02-Dec-1997,0,5.5,5.28,5.34,1280800,5.34
03-Dec-1997,0,5.5,5.34,5.5,934400,5.5
04-Dec-1997,0,5.62,5.41,5.55,681600,5.55
05-Dec-1997,0,5.75,5.44,5.69,282800,5.69
08-Dec-1997,0,5.75,5.66,5.72,227600,5.72
09-Dec-1997,0,5.81,5.59,5.59,128000,5.59
10-Dec-1997,0,5.62,5.31,5.38,269600,5.38
11-Dec-1997,0,5.38,5.16,5.31,400800,5.31
12-Dec-1997,0,5.38,5.16,5.16,412400,5.16
15-Dec-1997,0,5.38,5.17,5.22,289200,5.22
16-Dec-1997,0,5.31,5.12,5.22,190800,5.22
17-Dec-1997,0,5.19,5.03,5.03,584800,5.03
18-Dec-1997,0,5.09,4.97,5,272400,5
19-Dec-1997,0,5.03,4.94,4.94,921600,4.94
22-Dec-1997,0,5.31,4.94,5.06,924000,5.06
23-Dec-1997,0,5.19,4.94,5,2331200,5
24-Dec-1997,0,5.03,4.94,4.94,50400,4.94
26-Dec-1997,0,5.06,4.97,5.06,1248400,5.06
29-Dec-1997,0,5.28,5,5.28,430800,5.28
30-Dec-1997,0,5.34,5.06,5.28,662800,5.28
31-Dec-1997,0,5.69,5.25,5.59,911600,5.59
02-Jan-1998,0,5.78,5.53,5.78,112400,5.78
05-Jan-1998,0,6.09,5.62,5.62,629600,5.62
06-Jan-1998,0,5.59,5.25,5.42,915200,5.42
07-Jan-1998,0,5.75,5.42,5.56,164800,5.56
08-Jan-1998,0,5.78,5.5,5.75,236000,5.75
09-Jan-1998,0,5.75,5.5,5.5,140400,5.5
12-Jan-1998,0,5.53,5.34,5.34,927200,5.34
13-Jan-1998,0,5.5,5.31,5.44,100400,5.44
14-Jan-1998,0,5.56,5.34,5.36,585600,5.36
15-Jan-1998,0,5.44,5.34,5.38,417200,5.38
16-Jan-1998,0,5.59,5.34,5.56,69200,5.56
20-Jan-1998,0,5.78,5.5,5.78,348800,5.78
21-Jan-1998,0,5.78,5.72,5.75,141600,5.75
22-Jan-1998,0,5.75,5.66,5.66,92400,5.66
23-Jan-1998,0,5.88,5.66,5.81,211200,5.81
26-Jan-1998,0,5.88,5.62,5.72,497200,5.72
27-Jan-1998,0,5.75,5.62,5.62,96400,5.62
28-Jan-1998,0,5.69,5.62,5.66,154800,5.66
29-Jan-1998,0,5.81,5.66,5.72,108400,5.72
30-Jan-1998,0,5.8,5.66,5.72,130400,5.72
02-Feb-1998,0,6.16,5.78,6,580800,6
03-Feb-1998,0,6.12,5.94,6,159200,6
04-Feb-1998,0,6.09,5.91,5.91,557600,5.91
05-Feb-1998,0,5.97,5.88,5.88,73200,5.88
06-Feb-1998,0,6.09,5.88,5.94,246800,5.94
09-Feb-1998,0,6.19,5.91,6.06,724800,6.06
10-Feb-1998,0,6.31,6.06,6.25,401600,6.25
11-Feb-1998,0,6.25,5.53,5.75,2063200,5.75
12-Feb-1998,0,5.91,5.75,5.91,464400,5.91
13-Feb-1998,0,5.97,5.81,5.94,163200,5.94
17-Feb-1998,0,6.03,5.88,5.91,697200,5.91
18-Feb-1998,0,6,5.91,5.91,2071200,5.91
19-Feb-1998,0,6,5.84,5.84,184800,5.84
20-Feb-1998,0,5.91,5.78,5.78,89200,5.78
23-Feb-1998,0,5.84,5.72,5.72,621600,5.72
24-Feb-1998,0,5.83,5.5,5.5,417600,5.5
25-Feb-1998,0,5.62,5.47,5.59,201200,5.59
26-Feb-1998,0,5.56,5.47,5.47,149200,5.47
27-Feb-1998,0,5.69,5.47,5.69,278000,5.69
02-Mar-1998,0,5.69,5.41,5.41,360400,5.41
03-Mar-1998,0,5.5,5.34,5.38,414000,5.38
04-Mar-1998,0,5.5,5.38,5.41,489600,5.41
05-Mar-1998,0,5.44,5.34,5.41,228000,5.41
06-Mar-1998,0,5.5,5.38,5.44,424400,5.44
09-Mar-1998,0,5.5,5.38,5.44,106400,5.44
10-Mar-1998,0,5.44,5.38,5.38,232400,5.38
11-Mar-1998,0,5.56,5.38,5.52,1950800,5.52
12-Mar-1998,0,5.62,5.5,5.53,297200,5.53
13-Mar-1998,0,5.78,5.5,5.69,247200,5.69
16-Mar-1998,0,5.97,5.62,5.91,792400,5.91
17-Mar-1998,0,5.84,5.69,5.75,916400,5.75
18-Mar-1998,0,5.78,5.69,5.78,1550000,5.78
19-Mar-1998,0,5.92,5.75,5.88,597200,5.88
20-Mar-1998,0,5.91,5.81,5.88,258000,5.88
23-Mar-1998,0,5.91,5.81,5.81,368000,5.81
24-Mar-1998,0,6.03,5.81,6,906800,6
25-Mar-1998,0,6.16,5.88,5.88,408400,5.88
26-Mar-1998,0,6.06,5.88,5.88,344800,5.88
27-Mar-1998,0,6,5.88,5.95,220800,5.95
30-Mar-1998,0,6.03,5.97,6,136000,6
31-Mar-1998,0,6.56,6,6.5,1022400,6.5
01-Apr-1998,0,6.25,6.08,6.19,1616800,6.19
02-Apr-1998,0,6.75,6.06,6.69,1160000,6.69
03-Apr-1998,0,6.48,6.25,6.28,1657600,6.28
06-Apr-1998,0,6.5,6.19,6.33,317200,6.33
07-Apr-1998,0,6.28,6.19,6.19,139600,6.19
08-Apr-1998,0,6.22,6.12,6.12,496000,6.12
09-Apr-1998,0,6.19,5.94,6,221600,6
13-Apr-1998,0,6,5.69,5.81,314000,5.81
14-Apr-1998,0,5.91,5.72,5.78,233600,5.78
15-Apr-1998,0,5.75,5.59,5.75,2683200,5.75
16-Apr-1998,0,5.94,5.69,5.83,126400,5.83
17-Apr-1998,0,5.94,5.75,5.83,326400,5.83
20-Apr-1998,0,5.81,5.69,5.81,279600,5.81
