Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,3.3,3.24,3.24,24300,3.24
04-Jan-1978,0,3.3,3.24,3.24,32400,3.24
05-Jan-1978,0,3.3,3.24,3.24,14702,3.24
06-Jan-1978,0,3.27,3.23,3.23,50400,3.23
09-Jan-1978,0,3.23,3.17,3.17,27000,3.17
10-Jan-1978,0,3.16,3.11,3.11,63900,3.11
11-Jan-1978,0,3.16,3.11,3.11,16200,3.11
12-Jan-1978,0,3.14,3.09,3.09,18900,3.09
13-Jan-1978,0,3.13,3.07,3.07,44402,3.07
16-Jan-1978,0,3.11,3.06,3.06,9302,3.06
17-Jan-1978,NaN,NaN,NaN,3.06,0,3.06
18-Jan-1978,0,3.13,3.07,3.07,9302,3.07
19-Jan-1978,0,3.14,3.09,3.09,20102,3.09
20-Jan-1978,0,3.14,3.09,3.09,12002,3.09
23-Jan-1978,0,3.14,3.09,3.09,3902,3.09
24-Jan-1978,0,3.13,3.07,3.07,83700,3.07
25-Jan-1978,0,3.13,3.07,3.07,43200,3.07
26-Jan-1978,0,3.13,3.07,3.07,75600,3.07
27-Jan-1978,0,3.13,3.07,3.07,225801,3.07
30-Jan-1978,NaN,NaN,NaN,3.07,0,3.07
31-Jan-1978,0,3.13,3.07,3.07,2700,3.07
01-Feb-1978,0,3.14,3.09,3.09,8100,3.09
02-Feb-1978,0,3.14,3.09,3.09,1202,3.09
03-Feb-1978,0,3.14,3.09,3.09,30902,3.09
06-Feb-1978,NaN,NaN,NaN,3.09,0,3.09
07-Feb-1978,NaN,NaN,NaN,3.09,0,3.09
08-Feb-1978,0,3.13,3.07,3.07,3902,3.07
09-Feb-1978,0,3.13,3.07,3.07,5400,3.07
10-Feb-1978,0,3.13,3.07,3.07,17402,3.07
13-Feb-1978,NaN,NaN,NaN,3.07,0,3.07
14-Feb-1978,0,3.13,3.07,3.07,24300,3.07
15-Feb-1978,0,3.13,3.07,3.07,25502,3.07
