Date,Open,High,Low,Close,Volume,AdjClose
23-Jun-2004,3.75,4.32,3.69,4.3,43587600,4.3
24-Jun-2004,4.39,4.42,4.12,4.19,8855600,4.19
25-Jun-2004,4.13,4.19,3.95,3.95,6710000,3.95
28-Jun-2004,4,4.05,3.86,4,2270800,4
29-Jun-2004,4,4.18,3.96,4.1,2112000,4.1
30-Jun-2004,4.1,4.24,4.01,4.02,2087600,4.02
01-Jul-2004,4.02,4.05,3.98,4.01,1754800,4.01
02-Jul-2004,4.02,4.24,4.01,4.24,993200,4.24
06-Jul-2004,4.23,4.25,4.12,4.25,1216800,4.25
07-Jul-2004,4.22,4.22,4.01,4.08,1787600,4.08
08-Jul-2004,4.08,4.08,3.92,3.94,2179200,3.94
09-Jul-2004,3.98,4.14,3.98,4.1,596800,4.1
12-Jul-2004,4.15,4.21,4.04,4.19,780800,4.19
13-Jul-2004,4.18,4.18,4.02,4.02,1674000,4.02
14-Jul-2004,4.01,4.01,3.9,3.91,2366000,3.91
15-Jul-2004,3.94,3.95,3.74,3.84,1804800,3.84
16-Jul-2004,3.85,4.1,3.74,4,3278800,4
19-Jul-2004,4.01,4.04,3.96,4,954800,4
20-Jul-2004,4,4.04,3.88,4.02,2245200,4.02
21-Jul-2004,4.02,4.02,2.76,2.92,25458400,2.92
22-Jul-2004,2.89,3.3,2.82,3.24,9796800,3.24
23-Jul-2004,3.24,3.38,3.19,3.26,1674400,3.26
26-Jul-2004,3.39,3.39,3.22,3.32,1286000,3.32
27-Jul-2004,3.34,3.36,3.28,3.28,751200,3.28
28-Jul-2004,3.26,3.3,3.15,3.25,1534800,3.25
29-Jul-2004,3.25,3.34,3.24,3.24,908000,3.24
30-Jul-2004,3.24,3.3,3.14,3.25,815200,3.25
02-Aug-2004,3.24,3.27,3.14,3.2,1297600,3.2
03-Aug-2004,3.25,3.27,3,3.03,2944400,3.03
04-Aug-2004,3.03,3.04,2.99,3,2746800,3
05-Aug-2004,3,3,2.67,2.72,3030400,2.72
06-Aug-2004,2.72,2.75,2.68,2.69,1797200,2.69
09-Aug-2004,2.74,2.76,2.72,2.75,1121600,2.75
10-Aug-2004,2.75,2.76,2.72,2.75,733200,2.75
11-Aug-2004,2.74,2.74,2.65,2.66,624400,2.66
12-Aug-2004,2.68,2.68,2.48,2.5,1578000,2.5
13-Aug-2004,2.5,2.51,2.37,2.4,2496000,2.4
16-Aug-2004,2.4,2.46,2.25,2.43,2171200,2.43
17-Aug-2004,2.47,2.75,2.47,2.74,2968000,2.74
18-Aug-2004,2.72,3.04,2.67,2.99,1697600,2.99
19-Aug-2004,2.99,3.06,2.92,3.04,1244800,3.04
20-Aug-2004,3.12,3.3,2.97,3.15,4034800,3.15
23-Aug-2004,3.18,3.24,3.09,3.12,1127600,3.12
24-Aug-2004,3.15,3.2,3.1,3.19,1072400,3.19
25-Aug-2004,3.2,3.26,3.12,3.24,1200800,3.24
26-Aug-2004,3.24,3.25,3.2,3.22,371200,3.22
27-Aug-2004,3.25,3.3,3.22,3.29,463600,3.29
30-Aug-2004,3.3,3.32,3.26,3.29,606000,3.29
31-Aug-2004,3.3,3.31,3.18,3.25,874400,3.25
01-Sep-2004,3.3,3.33,3.29,3.33,512800,3.33
02-Sep-2004,3.32,3.49,3.32,3.47,998800,3.47
03-Sep-2004,3.48,3.48,3.4,3.44,924000,3.44
07-Sep-2004,3.44,3.44,3.35,3.36,1193200,3.36
08-Sep-2004,3.33,3.33,3.29,3.31,550000,3.31
09-Sep-2004,3.31,3.32,3.24,3.29,2529200,3.29
10-Sep-2004,3.29,3.58,3.29,3.56,2795200,3.56
13-Sep-2004,3.6,3.9,3.6,3.8,4345200,3.8
14-Sep-2004,3.8,4.02,3.75,3.98,2052000,3.98
15-Sep-2004,3.98,4.28,3.92,4.08,4147200,4.08
16-Sep-2004,4.09,4.12,4.02,4.06,2518400,4.06
17-Sep-2004,4.05,4.05,3.71,3.92,4487600,3.92
20-Sep-2004,3.94,4.02,3.92,4,597200,4
21-Sep-2004,4.01,4.22,4.01,4.09,2327200,4.09
22-Sep-2004,4.08,4.08,3.95,4.02,2076800,4.02
23-Sep-2004,4.02,4.02,3.91,3.93,717600,3.93
24-Sep-2004,3.99,4.21,3.95,4.01,2796000,4.01
27-Sep-2004,4,4.02,3.88,3.9,1380000,3.9
28-Sep-2004,3.88,3.88,3.69,3.75,1862800,3.75
29-Sep-2004,3.76,3.97,3.76,3.94,1700400,3.94
30-Sep-2004,3.94,3.98,3.9,3.91,4303200,3.91
01-Oct-2004,3.91,4.2,3.88,4.16,2614800,4.16
04-Oct-2004,4.29,4.46,4.14,4.22,3153200,4.22
05-Oct-2004,4.22,4.28,4.15,4.22,1360800,4.22
06-Oct-2004,4.22,4.31,4.12,4.31,1433600,4.31
07-Oct-2004,4.48,4.7,4.4,4.62,5887200,4.62
08-Oct-2004,4.62,4.62,4.37,4.4,2528800,4.4
11-Oct-2004,4.41,4.59,4.4,4.54,1064800,4.54
12-Oct-2004,4.5,4.6,4.42,4.6,897200,4.6
13-Oct-2004,4.65,4.81,4.6,4.62,1728000,4.62
14-Oct-2004,4.62,4.69,4.46,4.5,1047200,4.5
