Date,Open,High,Low,Close,Volume,AdjClose
03-Aug-2007,11.61,13.39,11.6,12.9,6608700,12.9
06-Aug-2007,13,13.23,12.07,12.7,796500,12.7
07-Aug-2007,12.64,12.9,12.37,12.6,450100,12.6
08-Aug-2007,12.65,13,12.52,12.88,225500,12.88
09-Aug-2007,12.45,13.1,12.27,12.94,131900,12.94
10-Aug-2007,12.72,13.2,12.61,12.81,236000,12.81
13-Aug-2007,12.91,13.21,12.9,13.07,240400,13.07
14-Aug-2007,13.45,13.49,12.81,13.01,45600,13.01
15-Aug-2007,12.99,13.1,12.6,12.88,298900,12.88
16-Aug-2007,12.6,12.73,12.5,12.7,78900,12.7
17-Aug-2007,12.49,13,12.49,13,297300,13
20-Aug-2007,12.89,12.89,12.45,12.75,88600,12.75
21-Aug-2007,12.7,13,12.56,12.9,280800,12.9
22-Aug-2007,12.99,12.99,12.5,12.63,158900,12.63
23-Aug-2007,12.51,12.99,12.5,12.9,351400,12.9
24-Aug-2007,12.83,13,12.77,12.99,40200,12.99
27-Aug-2007,12.99,13.1,12.6,13.1,104900,13.1
28-Aug-2007,13.16,13.2,12.76,12.76,17800,12.76
29-Aug-2007,12.76,13.2,12.76,12.77,47400,12.77
30-Aug-2007,12.61,12.85,12.54,12.54,38100,12.54
31-Aug-2007,12.69,12.82,12.53,12.69,22600,12.69
04-Sep-2007,12.68,13.8,12.5,13.75,154200,13.75
05-Sep-2007,13.77,15,13.1,14.55,451200,14.55
06-Sep-2007,14.53,14.78,13.95,14.5,73600,14.5
07-Sep-2007,14.5,14.7,14.25,14.5,93800,14.5
10-Sep-2007,14.53,15.29,14.5,14.83,358900,14.83
11-Sep-2007,14.84,15.95,14.84,15.2,126600,15.2
12-Sep-2007,15.29,15.5,15.1,15.22,216000,15.22
13-Sep-2007,15.34,15.56,15.22,15.55,459700,15.55
14-Sep-2007,15.55,16,15.47,15.89,210200,15.89
17-Sep-2007,15.84,15.9,15.65,15.7,517600,15.7
18-Sep-2007,15.59,15.91,15.25,15.4,391600,15.4
19-Sep-2007,15.3,15.7,15,15.7,72100,15.7
20-Sep-2007,15.74,15.91,15.65,15.85,44200,15.85
21-Sep-2007,15.94,16.32,15.75,16.13,489600,16.13
24-Sep-2007,16.23,16.44,16.02,16.17,214700,16.17
25-Sep-2007,16.14,16.14,15.65,15.65,67900,15.65
26-Sep-2007,16,16.39,16,16.1,301100,16.1
27-Sep-2007,16.17,16.38,15.15,15.42,203200,15.42
28-Sep-2007,15.3,15.5,14.81,14.81,1450900,14.81
01-Oct-2007,14.79,16.21,14.3,15.8,298900,15.8
02-Oct-2007,15.71,16.34,15.71,16.03,130600,16.03
03-Oct-2007,16,16.55,16,16.42,220100,16.42
04-Oct-2007,16.4,17.24,16.26,16.95,210800,16.95
05-Oct-2007,17.15,17.31,16.71,17.25,154600,17.25
08-Oct-2007,17.24,17.43,16.7,16.7,160600,16.7
09-Oct-2007,16.8,17.18,16.01,17.07,156500,17.07
10-Oct-2007,17,17.55,16.51,17.54,366300,17.54
11-Oct-2007,17.55,18.69,17.44,18.6,713200,18.6
12-Oct-2007,18.64,18.83,18.35,18.46,216600,18.46
15-Oct-2007,18.46,18.5,17.77,18.03,100000,18.03
16-Oct-2007,18.2,18.94,18.1,18.82,409000,18.82
17-Oct-2007,19.01,19.37,18.7,18.86,1175200,18.86
18-Oct-2007,19.06,19.74,18.94,19.73,117000,19.73
19-Oct-2007,19.68,20.07,19.31,19.65,242800,19.65
22-Oct-2007,19.58,20.5,19.33,19.56,165300,19.56
23-Oct-2007,19.75,20,19.11,19.95,374600,19.95
24-Oct-2007,20,20.18,19.31,20.16,103600,20.16
25-Oct-2007,19.51,19.98,19.5,19.74,242200,19.74
26-Oct-2007,20.03,21.75,19.71,21.37,149100,21.37
29-Oct-2007,21.8,22.3,20.87,21.99,196600,21.99
30-Oct-2007,21.65,22.17,20.35,20.46,146900,20.46
31-Oct-2007,20.8,20.8,19.23,19.49,201500,19.49
01-Nov-2007,19.45,20.08,19,19.92,196200,19.92
02-Nov-2007,19.98,20,19.28,19.94,120300,19.94
05-Nov-2007,19.97,20.22,19.74,19.78,274410,19.78
06-Nov-2007,19.78,19.78,18.65,19.4,91500,19.4
07-Nov-2007,19.25,19.99,18.78,19.01,246700,19.01
08-Nov-2007,19.1,19.1,18.67,18.89,140800,18.89
09-Nov-2007,18.82,18.82,18.3,18.56,155200,18.56
12-Nov-2007,18.43,18.47,17.12,18.12,163100,18.12
13-Nov-2007,18.13,18.4,17.31,18.4,122000,18.4
14-Nov-2007,18.9,18.95,17.46,17.6,239300,17.6
15-Nov-2007,17.56,18.56,17.54,18.5,280200,18.5
16-Nov-2007,18.38,18.92,18,18.54,190600,18.54
19-Nov-2007,18.36,18.78,17.98,18.07,61600,18.07
20-Nov-2007,18.01,19.68,17.9,19.65,198200,19.65
21-Nov-2007,19.69,21.3,19.66,20.57,293200,20.57
23-Nov-2007,20.53,21.87,20.53,21.24,121870,21.24
26-Nov-2007,21.53,21.53,19.82,19.93,152500,19.93
27-Nov-2007,20.23,21.45,18.79,19.09,258900,19.09
28-Nov-2007,18.52,19.27,18,18.76,293046,18.76
29-Nov-2007,19.15,19.17,18.73,18.79,53700,18.79
30-Nov-2007,19.19,19.19,18.5,18.86,99400,18.86
03-Dec-2007,19.1,19.1,18.44,18.55,72100,18.55
04-Dec-2007,18.62,18.62,18.1,18.13,85753,18.13
05-Dec-2007,18.6,18.6,17.72,17.79,277800,17.79
06-Dec-2007,17.61,19.29,17.26,19.27,345909,19.27
07-Dec-2007,18.6,18.6,17.34,17.41,212000,17.41
10-Dec-2007,17.55,17.63,16.7,17.61,247900,17.61
11-Dec-2007,17.6,18.22,17.52,17.88,235900,17.88
12-Dec-2007,18.28,18.6,17.79,18.54,272800,18.54
13-Dec-2007,18.24,18.42,18.01,18.19,348500,18.19
14-Dec-2007,18.05,19.27,18.02,19,3688100,19
17-Dec-2007,18.81,19.48,18.54,18.98,725400,18.98
18-Dec-2007,19.1,20.46,19.03,20.34,370500,20.34
19-Dec-2007,20.38,20.57,19.61,20.08,264300,20.08
20-Dec-2007,20.25,20.65,20.1,20.41,208300,20.41
21-Dec-2007,20.75,20.86,20.3,20.58,844800,20.58
24-Dec-2007,20.48,20.86,20.26,20.84,243900,20.84
26-Dec-2007,20.7,21.5,20.52,21.25,240570,21.25
27-Dec-2007,21.04,21.58,20.64,20.75,158100,20.75
28-Dec-2007,21.05,21.28,20.42,20.55,132600,20.55
31-Dec-2007,20.38,20.61,19.8,20.61,167000,20.61
02-Jan-2008,20.66,21.74,20.44,21.57,363946,21.57
03-Jan-2008,21.72,22.25,21.69,22.08,434350,22.08
04-Jan-2008,22,22.22,20.92,21.06,484400,21.06
07-Jan-2008,21.34,21.74,21.14,21.19,282500,21.19
08-Jan-2008,21.27,22.11,20.95,22.1,419000,22.1
09-Jan-2008,22.1,23.55,21.84,23.27,431100,23.27
10-Jan-2008,23.29,23.39,22.45,22.46,660100,22.46
11-Jan-2008,22.3,22.7,21.67,21.68,173400,21.68
14-Jan-2008,21.87,22.84,20.55,22.22,395200,22.22
15-Jan-2008,21.88,22.07,21.16,21.29,402990,21.29
16-Jan-2008,21.36,21.36,20.29,20.41,285105,20.41
17-Jan-2008,20.51,20.51,18.95,19.33,365900,19.33
18-Jan-2008,19.37,19.42,18.74,19.07,372600,19.07
22-Jan-2008,18.5,19.59,17.33,19.18,280500,19.18
23-Jan-2008,18.78,19.28,18.01,19.09,323400,19.09
24-Jan-2008,19.15,20.59,18.92,19.63,207500,19.63
25-Jan-2008,19.99,20.28,19.45,19.55,281600,19.55
28-Jan-2008,19.48,20.05,19.2,19.98,197686,19.98
29-Jan-2008,20.13,20.53,19.49,20.11,260200,20.11
30-Jan-2008,20.01,21.26,19.42,20.31,333153,20.31
