Date,Open,High,Low,Close,Volume,AdjClose
14-Jun-2007,28,30.5,28,28.75,3279100,28.75
15-Jun-2007,29.5,29.8,28.88,29.08,790100,29.08
18-Jun-2007,29.32,30.2,29.3,29.93,1591000,29.93
19-Jun-2007,30,30.3,29.6,29.7,1585100,29.7
20-Jun-2007,30.04,30.1,29.57,29.81,855900,29.81
21-Jun-2007,30.06,31.95,29.61,31.21,842700,31.21
22-Jun-2007,31.5,32.17,31,31.7,1490700,31.7
25-Jun-2007,31.5,32,31.01,31.3,490000,31.3
26-Jun-2007,31.3,31.65,30.25,30.41,853900,30.41
27-Jun-2007,30.6,30.8,29.57,29.58,1127300,29.58
28-Jun-2007,29.88,29.9,29.16,29.5,488900,29.5
29-Jun-2007,29.99,30.3,27.93,28.5,3085200,28.5
02-Jul-2007,28.55,29.15,27.2,27.5,10999000,27.5
03-Jul-2007,27.5,27.5,26.15,26.67,8600100,26.67
05-Jul-2007,26.25,26.92,25.74,25.93,8422000,25.93
06-Jul-2007,25.64,25.86,25.21,25.64,7211900,25.64
09-Jul-2007,25.72,26.54,25.44,25.54,11675150,25.54
10-Jul-2007,25.6,25.65,24.8,24.9,8591800,24.9
11-Jul-2007,25.02,25.27,24.75,25.21,10251500,25.21
12-Jul-2007,25.59,26.59,25.21,26.34,10297238,26.34
13-Jul-2007,26.47,27.43,26.02,27.16,6752500,27.16
16-Jul-2007,27.21,27.45,26.66,26.84,9892100,26.84
17-Jul-2007,26.96,26.99,26.31,26.5,5434830,26.5
18-Jul-2007,26.45,26.5,25.7,26.36,4594771,26.36
19-Jul-2007,26.25,26.95,26.25,26.71,4868857,26.71
20-Jul-2007,26.71,27.12,26.25,26.3,5751500,26.3
23-Jul-2007,26.3,26.51,26.1,26.12,4712377,26.12
24-Jul-2007,25.54,25.6,24.93,25,5483800,25
25-Jul-2007,24.76,24.84,23.75,24.1,8391500,24.1
26-Jul-2007,23.26,24.88,22.75,24.62,9859890,24.62
27-Jul-2007,24.26,24.7,23.33,23.33,6678000,23.33
30-Jul-2007,23.4,23.93,22.37,23.57,5058500,23.57
31-Jul-2007,23.65,24.1,22.83,23.05,4133000,23.05
01-Aug-2007,22.68,23.07,22.05,22.88,5583833,22.88
02-Aug-2007,22.5,24.05,22.48,23.37,3032900,23.37
03-Aug-2007,22.66,23.11,21.53,21.99,5256100,21.99
