Date,Open,High,Low,Close,Volume,AdjClose
07-Mar-1995,0,1.17,1.06,1.17,33729008,1.17
08-Mar-1995,0,1.17,1.07,1.09,6508801,1.09
09-Mar-1995,0,1.12,1.09,1.11,2097895,1.11
10-Mar-1995,0,1.19,1.11,1.16,2826895,1.16
13-Mar-1995,0,1.19,1.15,1.15,980399,1.15
14-Mar-1995,0,1.2,1.15,1.17,1026903,1.17
15-Mar-1995,0,1.24,1.14,1.2,4969502,1.2
16-Mar-1995,0,1.25,1.17,1.17,899100,1.17
17-Mar-1995,0,1.2,1.17,1.17,1727700,1.17
20-Mar-1995,0,1.21,1.17,1.17,1724996,1.17
21-Mar-1995,0,1.22,1.18,1.18,3606606,1.18
22-Mar-1995,0,1.22,1.18,1.19,3467397,1.19
23-Mar-1995,0,1.2,1.18,1.2,2784005,1.2
24-Mar-1995,0,1.22,1.19,1.2,534904,1.2
27-Mar-1995,0,1.29,1.2,1.27,771297,1.27
28-Mar-1995,0,1.34,1.24,1.34,1254898,1.34
29-Mar-1995,0,1.39,1.24,1.29,1632596,1.29
30-Mar-1995,0,1.35,1.25,1.32,1083598,1.32
31-Mar-1995,0,1.39,1.3,1.35,552293,1.35
03-Apr-1995,0,1.5,1.37,1.45,3172805,1.45
04-Apr-1995,0,1.48,1.39,1.39,1743297,1.39
05-Apr-1995,0,1.45,1.39,1.44,1275902,1.44
06-Apr-1995,0,1.44,1.42,1.42,1326294,1.42
07-Apr-1995,0,1.44,1.38,1.42,745797,1.42
10-Apr-1995,0,1.43,1.38,1.43,213293,1.43
11-Apr-1995,0,1.44,1.39,1.44,82802,1.44
12-Apr-1995,0,1.44,1.4,1.4,1739394,1.4
13-Apr-1995,0,1.44,1.4,1.44,29995,1.44
17-Apr-1995,0,1.44,1.4,1.4,200095,1.4
18-Apr-1995,0,1.44,1.39,1.39,989997,1.39
19-Apr-1995,0,1.44,1.39,1.44,145800,1.44
20-Apr-1995,0,1.42,1.38,1.38,175795,1.38
21-Apr-1995,0,1.42,1.38,1.38,251399,1.38
24-Apr-1995,0,1.38,1.38,1.38,5695,1.38
25-Apr-1995,0,1.39,1.34,1.35,909306,1.35
26-Apr-1995,0,1.38,1.34,1.34,352198,1.34
27-Apr-1995,0,1.4,1.34,1.4,1196395,1.4
28-Apr-1995,0,1.5,1.37,1.48,849300,1.48
01-May-1995,0,1.55,1.45,1.53,943205,1.53
02-May-1995,0,1.63,1.53,1.58,1324502,1.58
03-May-1995,0,1.63,1.58,1.62,279906,1.62
04-May-1995,0,1.62,1.58,1.62,58502,1.62
05-May-1995,0,1.62,1.57,1.62,717002,1.62
08-May-1995,0,1.62,1.57,1.59,133498,1.59
09-May-1995,0,1.62,1.57,1.59,58502,1.59
10-May-1995,0,1.62,1.57,1.62,9902,1.62
11-May-1995,0,1.6,1.57,1.57,20701,1.57
12-May-1995,0,1.67,1.57,1.67,507900,1.67
15-May-1995,0,1.72,1.65,1.67,571202,1.67
16-May-1995,0,1.72,1.67,1.69,1139700,1.69
17-May-1995,0,1.69,1.68,1.69,737702,1.69
18-May-1995,0,1.67,1.52,1.55,1238693,1.55
19-May-1995,0,1.58,1.56,1.58,102895,1.58
22-May-1995,0,1.58,1.53,1.53,155702,1.53
23-May-1995,0,1.58,1.53,1.58,204302,1.58
24-May-1995,0,1.58,1.42,1.45,998396,1.45
25-May-1995,0,1.5,1.45,1.45,17997,1.45
26-May-1995,0,1.5,1.45,1.5,48904,1.5
30-May-1995,0,1.5,1.45,1.45,81299,1.45
31-May-1995,0,1.48,1.45,1.48,119100,1.48
01-Jun-1995,0,1.5,1.45,1.45,136202,1.45
02-Jun-1995,0,1.5,1.45,1.48,39002,1.48
05-Jun-1995,0,1.52,1.45,1.5,194704,1.5
