Date,Open,High,Low,Close,Volume,AdjClose
28-Apr-2008,29,30,27.05,27.05,906532,27.05
29-Apr-2008,26.8,27.4,26.8,27.2,927400,27.2
30-Apr-2008,27.5,29.2,27,27.95,927500,27.95
01-May-2008,28,28,27.01,27.15,2050600,27.15
02-May-2008,27.2,27.5,25.8,25.8,2540647,25.8
05-May-2008,26.1,26.44,25.05,26.4,1664030,26.4
06-May-2008,25.61,25.7,25.02,25.05,3142070,25.05
07-May-2008,25.2,25.8,24.8,25.5,38943367,25.5
08-May-2008,25.58,25.83,24.74,25.4,12468501,25.4
09-May-2008,25.1,25.4,24.94,25.24,9747438,25.24
12-May-2008,25.11,26.85,25.1,25.57,7921758,25.57
13-May-2008,25.38,25.92,25.2,25.9,4518734,25.9
14-May-2008,25.5,26.31,24.6,26.17,4295515,26.17
15-May-2008,25.75,26.41,25.58,26.03,3969288,26.03
16-May-2008,25.86,26.75,25.67,26.5,11418172,26.5
19-May-2008,26.15,26.45,25.97,26.07,5645014,26.07
20-May-2008,25.7,25.94,25,25.55,8338029,25.55
21-May-2008,25.37,25.78,25.26,25.51,1729260,25.51
22-May-2008,25.14,26.13,25.12,25.72,7979958,25.72
23-May-2008,25.52,25.72,25.26,25.42,2421087,25.42
27-May-2008,25.36,25.53,25.12,25.38,1899240,25.38
28-May-2008,25.22,25.47,25.05,25.21,5346265,25.21
29-May-2008,25.01,25.14,24.85,24.95,6850828,24.95
30-May-2008,24.82,25.47,24.77,25.18,5456313,25.18
02-Jun-2008,24.97,25.07,24.11,24.12,2692521,24.12
03-Jun-2008,23.8,24.25,23.59,24.2,4636377,24.2
04-Jun-2008,23.95,24.19,23.88,23.9,2871238,23.9
05-Jun-2008,24.8,26.38,24.7,25.56,10802541,25.56
06-Jun-2008,25.12,25.37,24.93,24.98,4040897,24.98
09-Jun-2008,24.8,25.3,24.69,24.97,2018343,24.97
10-Jun-2008,24.88,25.1,24.85,24.93,3237519,24.93
11-Jun-2008,24.98,24.98,24.06,24.33,2352276,24.33
12-Jun-2008,24.77,24.85,24,24.18,1885825,24.18
13-Jun-2008,24.15,24.73,24.03,24.67,2718229,24.67
16-Jun-2008,24.73,24.77,23.5,23.71,2799015,23.71
17-Jun-2008,23.72,23.74,23.22,23.46,3945095,23.46
18-Jun-2008,23.1,24,23.06,23.79,1883134,23.79
19-Jun-2008,23.85,24.01,23.4,23.89,2262004,23.89
20-Jun-2008,23.35,24,23.32,24,2339498,24
23-Jun-2008,24,24,23.56,23.6,1562796,23.6
24-Jun-2008,23.25,23.25,22.2,22.54,4845550,22.54
25-Jun-2008,22.33,22.88,22.29,22.54,2268041,22.54
26-Jun-2008,22.15,22.56,22.07,22.17,2938407,22.17
27-Jun-2008,22.02,22.08,21.52,21.6,3328921,21.6
30-Jun-2008,21.58,21.58,20.62,20.98,3048004,20.98
01-Jul-2008,20.8,20.84,20.03,20.6,3516628,20.6
02-Jul-2008,20.91,21.49,20.79,21.34,1593477,21.34
03-Jul-2008,21.21,21.34,20.54,20.94,1530385,20.94
07-Jul-2008,21.05,21.57,20.94,21.32,1491680,21.32
08-Jul-2008,21.15,21.91,21.13,21.5,3116108,21.5
09-Jul-2008,21.59,21.78,21.51,21.65,1155418,21.65
10-Jul-2008,21.97,22.02,21.46,21.85,1238354,21.85
11-Jul-2008,21.42,21.97,21.23,21.64,1310877,21.64
14-Jul-2008,21.9,22.14,21.4,21.79,1323735,21.79
15-Jul-2008,21.6,21.73,20.46,21,1486818,21
16-Jul-2008,20.86,21.08,20.75,21.03,1055574,21.03
17-Jul-2008,20.87,20.91,19.37,20.4,3484273,20.4
18-Jul-2008,20.44,20.48,19.92,20.2,1702062,20.2
21-Jul-2008,20.6,20.88,20.21,20.56,1737613,20.56
22-Jul-2008,20.27,20.84,20.15,20.76,1582245,20.76
23-Jul-2008,20.7,20.7,20.08,20.21,1757354,20.21
24-Jul-2008,20.1,20.61,20.1,20.45,912291,20.45
25-Jul-2008,20.45,20.74,20.21,20.29,862735,20.29
28-Jul-2008,20.09,20.3,20.07,20.18,1285089,20.18
29-Jul-2008,20.4,20.58,20.17,20.25,2786691,20.25
30-Jul-2008,20.26,20.71,20.26,20.67,3516810,20.67
31-Jul-2008,20.35,20.86,20.35,20.67,1118943,20.67
01-Aug-2008,20.79,21.02,20.6,20.92,1795251,20.92
04-Aug-2008,20.82,20.86,20.49,20.72,2325208,20.72
05-Aug-2008,20.85,21.11,20.7,21,960394,21
06-Aug-2008,20.98,21.28,20.93,21.07,1259921,21.07
07-Aug-2008,21.29,21.48,21.05,21.07,1239810,21.07
08-Aug-2008,21.07,22.05,21.05,21.95,2200550,21.95
11-Aug-2008,21.89,22.55,21.83,21.98,3210102,21.98
12-Aug-2008,21.96,22.11,21.49,21.66,3140303,21.66
13-Aug-2008,22.21,23.77,22.12,22.79,6515594,22.79
14-Aug-2008,22.75,23.54,22.75,23.25,3318941,23.25
