Date,Open,High,Low,Close,Volume,AdjClose
20-Mar-2017,67.12,67.16,66.58,66.69,3801,66.69
21-Mar-2017,66.4,66.4,64.06,64.93,5435,64.93
22-Mar-2017,65.35,65.45,65.18,65.26,1538,65.26
23-Mar-2017,67,67.13,66.9,67.13,301,67.13
24-Mar-2017,68.47,68.47,68.36,68.36,1888,68.36
27-Mar-2017,66.5,67,65.82,67,900,67
28-Mar-2017,68.95,69,68.95,69,434,69
29-Mar-2017,68.25,73,68,72.54,914,72.54
30-Mar-2017,72.3,72.32,70.75,70.75,3235,70.75
31-Mar-2017,70.67,70.7,68.95,69.2,22459,69.2
03-Apr-2017,69.32,71.83,67.76,67.95,34496800,67.95
04-Apr-2017,68.58,70.62,68.11,69.4,6992294,69.4
05-Apr-2017,69.97,72.64,69.61,71.79,5244219,71.79
06-Apr-2017,72.72,75.09,72.55,74.68,9425095,74.68
07-Apr-2017,74.4,76.24,74.39,75.87,3981631,75.87
10-Apr-2017,75.9,76.16,73.84,74.71,3184751,74.71
11-Apr-2017,74.11,75.18,73.54,74.28,2928972,74.28
12-Apr-2017,74.04,76.75,74,76.13,3587192,76.13
13-Apr-2017,75.69,77.34,75.52,76.51,2960952,76.51
17-Apr-2017,76.8,77.99,76.8,77,2065550,77
18-Apr-2017,76.7,76.84,74.77,75.39,3131160,75.39
19-Apr-2017,76.16,76.16,74.7,75.25,3219498,75.25
20-Apr-2017,75.52,75.78,74.88,75.49,2624505,75.49
21-Apr-2017,75.72,76.52,75.01,76.32,2727860,76.32
24-Apr-2017,76.97,77.03,75.43,75.69,2156462,75.69
25-Apr-2017,75.41,76.42,75.09,76.13,2329355,76.13
26-Apr-2017,76.33,76.75,75.65,76.14,1566573,76.14
27-Apr-2017,76.33,76.47,75.35,75.88,1185210,75.88
28-Apr-2017,75.88,75.88,74.96,75.34,2007802,75.34
01-May-2017,75.38,76.8,74.95,76.4,2962259,76.4
02-May-2017,76.43,77.93,76.25,76.98,2209133,76.98
03-May-2017,76.84,78.6,76.33,77.27,3073638,77.27
04-May-2017,77.88,78.31,77.52,77.56,2271897,77.56
05-May-2017,77.79,78.48,77.05,78.39,1005264,78.39
08-May-2017,78.14,78.43,77.51,78.41,1162570,78.41
09-May-2017,79.93,80.03,78.84,79,3522470,79
10-May-2017,79.06,79.86,79.06,79.61,2693431,79.61
11-May-2017,79.22,79.52,78.97,79.42,1775586,79.42
12-May-2017,79.45,79.63,79.12,79.62,1044019,79.62
15-May-2017,79.64,80.6,79.64,80.53,1858039,80.53
16-May-2017,80.69,80.83,80.29,80.59,1717816,80.59
17-May-2017,80.03,80.18,78.52,78.78,2145461,78.78
18-May-2017,78.7,78.89,77.74,78.12,3752918,78.12
19-May-2017,78.08,79.03,77.94,78.07,1731802,78.07
22-May-2017,78.1,78.58,77.64,78.48,1527982,78.48
23-May-2017,78.45,78.88,78.15,78.27,1091391,78.27
24-May-2017,78.55,78.73,77.4,77.95,1178954,77.95
25-May-2017,78.54,79.55,78.02,78.64,1700205,78.64
26-May-2017,79.51,80.33,77.17,78.66,2372728,78.66
30-May-2017,78.1,78.6,77.27,78.34,1997347,78.34
31-May-2017,78.23,78.64,77.32,77.52,2395551,77.52
01-Jun-2017,77.3,77.82,76.76,77.14,1719613,77.14
02-Jun-2017,77,78.24,76.29,77.59,2123220,77.59
05-Jun-2017,77.35,78.1,76.97,77.75,1675887,77.75
06-Jun-2017,77.52,77.99,76.84,76.87,2007454,76.87
07-Jun-2017,76.88,77.25,76.37,76.77,1140513,76.77
08-Jun-2017,76.8,76.89,75.76,76.15,1493799,76.15
09-Jun-2017,75.9,76.39,74.31,75.1,2288499,75.1
12-Jun-2017,74.73,75.95,73.94,75.55,2434200,75.55
13-Jun-2017,75.42,75.96,74.9,75.93,2087220,75.93
14-Jun-2017,76,76.19,74.66,74.79,1194670,74.79
15-Jun-2017,74.06,74.57,73.75,74.1,1710796,74.1
16-Jun-2017,73.63,74.98,73.51,74.84,2555736,74.84
19-Jun-2017,75,76.87,74.9,76.71,1683401,76.71
20-Jun-2017,76.41,76.54,75.68,75.92,1499980,75.92
21-Jun-2017,76,76.99,75.79,76.42,2000389,76.42
22-Jun-2017,76.54,77,76.12,76.72,1044465,76.72
23-Jun-2017,76.27,78.47,76.06,78.46,10491712,78.46
26-Jun-2017,78.05,79.31,77.86,78.85,2848008,78.85
27-Jun-2017,78.54,79.25,77.5,77.52,2011750,77.52
28-Jun-2017,77.9,78.58,77.26,78.4,2146986,78.4
29-Jun-2017,78.19,78.85,77.47,78.54,1999164,78.54
30-Jun-2017,78.22,78.78,76.72,76.72,1825589,76.72
03-Jul-2017,76.76,76.85,75.84,75.95,1217374,75.95
05-Jul-2017,75.95,76.67,75.88,76.24,1780607,76.24
06-Jul-2017,76.2,76.7,75.64,76.51,1941737,76.51
07-Jul-2017,76.51,77.65,76.46,77.46,842897,77.46
10-Jul-2017,77.36,78.25,77.13,77.85,2193458,77.85
11-Jul-2017,77.92,78.05,77.34,77.73,1945827,77.73
12-Jul-2017,78.25,78.98,77.92,78.68,967200,78.68
13-Jul-2017,78.68,78.93,77.98,78.56,1008611,78.56
14-Jul-2017,78.82,78.82,77.92,78.51,1411719,78.51
17-Jul-2017,78.52,78.57,77.65,78.21,1481771,78.21
18-Jul-2017,78.24,78.35,77.74,77.98,1719104,77.98
19-Jul-2017,78,78.71,77.77,78.71,1756210,78.71
20-Jul-2017,78.52,78.87,78.09,78.64,806270,78.64
21-Jul-2017,78.53,80.36,78.53,79.94,1610212,79.94
24-Jul-2017,80,80.39,79.62,80.25,1412060,80.25
25-Jul-2017,80.35,80.73,79.98,80.06,790060,80.06
26-Jul-2017,80.06,80.39,79.85,80.06,1064025,80.06
27-Jul-2017,80.22,80.29,77.37,78.48,1797975,78.48
28-Jul-2017,78.41,78.89,78.34,78.43,898616,78.43
31-Jul-2017,NaN,NaN,NaN,78.38,987671,78.38
01-Aug-2017,78.75,79.39,78.42,79.33,1065878,79.33
02-Aug-2017,78.97,79.25,77.86,78.11,1011471,78.11
03-Aug-2017,78.37,78.65,78,78.44,858624,78.44
04-Aug-2017,78.49,78.95,78.4,78.72,833086,78.72
07-Aug-2017,78.65,79.25,78.63,78.87,1219051,78.87
08-Aug-2017,78.46,79.29,77.26,77.49,2747431,77.49
09-Aug-2017,79.68,84.5,79.67,82.98,4614808,82.98
10-Aug-2017,82.19,82.55,80.7,81.27,2464145,81.27
11-Aug-2017,81.46,82.2,80.85,82.05,1552154,82.05
14-Aug-2017,82.81,84.44,82.5,84.23,2421380,84.23
15-Aug-2017,84.45,85.69,83.8,85.35,2206463,85.35
16-Aug-2017,85.36,86.08,84.96,85.79,1491771,85.79
17-Aug-2017,85.5,85.79,83.57,83.58,1772747,83.58
18-Aug-2017,83.52,84.13,82.8,83.34,1782636,83.34
21-Aug-2017,83.37,83.68,82.85,83.27,1093537,83.27
22-Aug-2017,83.5,85.59,83.5,85.51,1946184,85.51
23-Aug-2017,84.93,85.22,84.4,85.07,2261974,85.07
24-Aug-2017,85.5,85.8,84.93,85.03,1123512,85.03
25-Aug-2017,85.38,85.6,84.74,84.88,771416,84.88
28-Aug-2017,84.89,85.07,84.12,84.79,737182,84.79
29-Aug-2017,84.31,84.94,84.13,84.7,853101,84.7
30-Aug-2017,84.59,84.76,84.08,84.43,754264,84.43
31-Aug-2017,84.88,85.28,84.42,85,1503285,85
01-Sep-2017,85.13,85.38,84.56,84.91,754617,84.91
05-Sep-2017,84.61,85.71,84.24,84.44,1390966,84.44
06-Sep-2017,84.43,84.92,83.63,84.01,1216776,84.01
07-Sep-2017,84.26,84.34,83.52,84.33,1698718,84.33
08-Sep-2017,84.29,84.58,83.58,84.17,1669809,84.17
11-Sep-2017,84.84,85.86,84.18,85.25,2988096,85.25
12-Sep-2017,85.57,86.29,85.46,85.91,2038512,85.91
13-Sep-2017,85.8,85.8,84.74,85.36,2688694,85.36
14-Sep-2017,84.98,85.82,84.5,85.4,2410018,85.4
15-Sep-2017,85.78,85.83,84.96,85.07,2249700,85.07
