Date,Open,High,Low,Close,Volume,AdjClose
14-Dec-1993,0,22.75,21.44,22.62,1077400,22.62
15-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
16-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
17-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
20-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
21-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
22-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
23-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
27-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
28-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
29-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
30-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
31-Dec-1993,NaN,NaN,NaN,22.62,0,22.62
03-Jan-1994,NaN,NaN,NaN,22.62,0,22.62
04-Jan-1994,0,23.44,22.31,22.56,2250200,22.56
05-Jan-1994,0,22.19,21.75,22.19,2933400,22.19
06-Jan-1994,0,22.19,21.5,21.75,2753200,21.75
07-Jan-1994,0,21.69,20.75,20.88,3428400,20.88
10-Jan-1994,0,21.5,20.88,21.44,1411000,21.44
11-Jan-1994,0,21.5,21.19,21.38,1185400,21.38
12-Jan-1994,0,21.31,20.88,21,2209200,21
13-Jan-1994,0,21,20.81,20.88,1033400,20.88
14-Jan-1994,0,21.06,20.81,20.94,1366000,20.94
17-Jan-1994,0,21,20.75,20.94,1157400,20.94
18-Jan-1994,0,20.94,20.75,20.81,1118400,20.81
19-Jan-1994,0,21.25,20.75,21.12,1327800,21.12
20-Jan-1994,0,21.19,20.81,21,1121400,21
21-Jan-1994,0,21.06,20.88,21,1460800,21
24-Jan-1994,0,21,20.75,20.81,2101400,20.81
25-Jan-1994,0,20.94,20.62,20.81,1470400,20.81
26-Jan-1994,0,20.88,20.75,20.81,723600,20.81
27-Jan-1994,0,20.94,20.81,20.81,1610600,20.81
28-Jan-1994,0,21.56,20.88,21.5,1285200,21.5
31-Jan-1994,0,22.19,21.5,21.88,1316000,21.88
01-Feb-1994,0,21.25,21,21.12,3041400,21.12
02-Feb-1994,0,21.06,20.81,21,3352000,21
03-Feb-1994,0,21.44,21,21.38,2135600,21.38
04-Feb-1994,0,21.62,21.25,21.31,1256600,21.31
07-Feb-1994,0,21.81,21.31,21.75,799400,21.75
08-Feb-1994,0,21.62,21.38,21.44,916600,21.44
09-Feb-1994,0,21.56,21.31,21.56,769800,21.56
10-Feb-1994,0,21.69,21.38,21.38,977600,21.38
11-Feb-1994,0,21.44,21.25,21.38,690800,21.38
14-Feb-1994,0,21.56,21.38,21.5,616800,21.5
15-Feb-1994,0,21.75,21.44,21.56,701200,21.56
16-Feb-1994,0,21.81,21.5,21.69,668800,21.69
17-Feb-1994,0,22,21.69,21.69,995000,21.69
18-Feb-1994,0,21.75,21.5,21.56,434000,21.56
22-Feb-1994,0,21.44,21.06,21.25,1151800,21.25
23-Feb-1994,0,21.44,21.25,21.44,1016000,21.44
24-Feb-1994,0,21.38,21.12,21.19,537800,21.19
25-Feb-1994,0,21.12,21,21,651200,21
28-Feb-1994,0,21.06,20.81,20.88,520400,20.88
01-Mar-1994,0,20.88,20.75,20.88,751800,20.88
02-Mar-1994,0,20.81,20.56,20.56,1084800,20.56
03-Mar-1994,0,20.56,20.25,20.25,731600,20.25
04-Mar-1994,0,20.31,20,20.12,1008400,20.12
07-Mar-1994,0,20.12,20.06,20.06,600000,20.06
08-Mar-1994,0,20.12,20,20.06,1083600,20.06
09-Mar-1994,0,20.06,19.81,20.06,268400,20.06
10-Mar-1994,0,20.12,19.81,19.88,1073200,19.88
11-Mar-1994,0,20.38,19.88,20.31,297400,20.31
14-Mar-1994,0,20.44,20.25,20.38,343400,20.38
15-Mar-1994,0,20.56,20.31,20.5,630600,20.5
16-Mar-1994,0,20.56,20.19,20.25,474000,20.25
17-Mar-1994,0,20.5,20.19,20.38,672600,20.38
18-Mar-1994,0,20.38,20,20.06,991400,20.06
21-Mar-1994,0,20.19,20,20.06,422000,20.06
22-Mar-1994,0,20.12,19.88,20.12,550200,20.12
23-Mar-1994,0,20.44,20.12,20.44,512000,20.44
24-Mar-1994,0,20.62,20.31,20.5,419600,20.5
25-Mar-1994,0,20.62,20.5,20.5,231600,20.5
28-Mar-1994,0,20.69,20.31,20.69,484600,20.69
29-Mar-1994,0,20.81,20.62,20.69,313200,20.69
30-Mar-1994,0,20.69,20.31,20.38,595000,20.38
31-Mar-1994,0,20.38,20.06,20.12,674200,20.12
04-Apr-1994,0,20,19.75,19.88,944200,19.88
05-Apr-1994,0,20.25,20,20.19,1030000,20.19
06-Apr-1994,0,21,20.62,20.88,834000,20.88
07-Apr-1994,0,20.94,20.69,20.94,1355400,20.94
08-Apr-1994,0,21.56,20.88,21.44,897400,21.44
11-Apr-1994,0,21.44,21.12,21.31,469200,21.31
12-Apr-1994,0,21.38,20.81,20.81,437600,20.81
13-Apr-1994,0,21.31,20.94,21.31,1111000,21.31
14-Apr-1994,0,21.25,21.12,21.19,703000,21.19
15-Apr-1994,0,21.62,21.25,21.31,590600,21.31
18-Apr-1994,0,21.44,21.12,21.19,499200,21.19
19-Apr-1994,0,21.31,21,21.19,628400,21.19
20-Apr-1994,0,21.25,20.5,20.62,755000,20.62
21-Apr-1994,0,21.25,20.62,21,671400,21
22-Apr-1994,0,21.19,21,21.06,280200,21.06
25-Apr-1994,0,21.56,21.12,21.56,862200,21.56
26-Apr-1994,0,22.62,22.31,22.38,1685800,22.38
28-Apr-1994,0,22.38,21.88,22.19,1094800,22.19
29-Apr-1994,0,22.38,22.06,22.25,974200,22.25
02-May-1994,0,22.5,22.12,22.44,494600,22.44
03-May-1994,0,22.56,22.25,22.5,713000,22.5
04-May-1994,0,22.62,22.44,22.56,592600,22.56
05-May-1994,0,22.62,22.44,22.44,343200,22.44
06-May-1994,0,22.44,22,22.06,368000,22.06
09-May-1994,0,22.06,21.94,22,241800,22
10-May-1994,0,22.88,22.06,22.5,817000,22.5
11-May-1994,0,23,22.56,22.56,828200,22.56
12-May-1994,0,22.75,22.56,22.56,358400,22.56
13-May-1994,0,23.06,22.81,22.94,891000,22.94
16-May-1994,0,23,22.75,23,605200,23
17-May-1994,0,23.12,22.81,23,381200,23
18-May-1994,0,22.94,22.81,22.88,343600,22.88
19-May-1994,0,23.12,22.81,23,929800,23
20-May-1994,0,22.94,22.5,22.5,397800,22.5
23-May-1994,0,23,22.75,22.75,502000,22.75
24-May-1994,0,23.62,23.19,23.38,929600,23.38
25-May-1994,0,23.88,23.25,23.81,675600,23.81
26-May-1994,0,24.19,23.88,24.12,1315800,24.12
27-May-1994,0,24.44,24,24.38,634400,24.38
31-May-1994,0,24.44,24.06,24.06,536000,24.06
01-Jun-1994,0,24.12,23.56,23.69,349800,23.69
02-Jun-1994,0,23.94,23.44,23.88,542400,23.88
03-Jun-1994,0,24,23.81,23.88,507800,23.88
06-Jun-1994,0,24.06,23.88,24.06,299800,24.06
07-Jun-1994,0,24,23.69,23.75,537200,23.75
08-Jun-1994,0,23.81,23.38,23.56,248400,23.56
09-Jun-1994,0,23.5,23.31,23.44,271000,23.44
10-Jun-1994,0,23.56,23.38,23.38,142400,23.38
13-Jun-1994,0,23.81,23.25,23.69,703200,23.69
14-Jun-1994,0,23.75,23.44,23.44,505600,23.44
15-Jun-1994,0,23.56,23.38,23.38,473400,23.38
16-Jun-1994,0,23.75,23.38,23.56,547200,23.56
17-Jun-1994,0,23.62,23.38,23.38,1240400,23.38
20-Jun-1994,0,23.31,23,23.06,402400,23.06
21-Jun-1994,0,23.19,22.75,22.94,335400,22.94
22-Jun-1994,0,23.62,23.06,23.38,942800,23.38
23-Jun-1994,0,23.88,23.38,23.69,336600,23.69
24-Jun-1994,0,23.81,23.44,23.44,463800,23.44
27-Jun-1994,0,23.62,23.38,23.5,200200,23.5
28-Jun-1994,0,23.56,23.38,23.44,151000,23.44
29-Jun-1994,0,23.88,23.38,23.81,204800,23.81
30-Jun-1994,0,23.94,23.56,23.88,241400,23.88
01-Jul-1994,0,23.81,23.25,23.5,503600,23.5
05-Jul-1994,0,23.75,23.5,23.5,334000,23.5
06-Jul-1994,0,23.69,23.56,23.62,560200,23.62
07-Jul-1994,0,24,23.62,23.88,340800,23.88
08-Jul-1994,0,23.94,23.75,23.94,499400,23.94
11-Jul-1994,0,24,23.75,23.75,250800,23.75
12-Jul-1994,0,23.62,23.19,23.31,812000,23.31
13-Jul-1994,0,23.69,23.31,23.62,232800,23.62
14-Jul-1994,0,24.19,23.69,24.12,790400,24.12
15-Jul-1994,0,24.69,24.12,24.62,1158600,24.62
18-Jul-1994,0,24.81,24,24.81,842200,24.81
19-Jul-1994,0,25.69,24.88,25.56,2240200,25.56
20-Jul-1994,0,25.75,25.5,25.56,1207600,25.56
21-Jul-1994,0,25.69,25.5,25.56,517000,25.56
22-Jul-1994,0,25.69,25.56,25.56,407000,25.56
25-Jul-1994,0,25.69,25.44,25.69,815000,25.69
26-Jul-1994,0,25.94,25.5,25.81,620400,25.81
27-Jul-1994,0,25.75,25.25,25.62,611800,25.62
28-Jul-1994,0,26,25.5,25.94,395400,25.94
29-Jul-1994,0,26,25.69,25.81,333800,25.81
01-Aug-1994,0,25.88,25.69,25.75,616200,25.75
02-Aug-1994,0,26,25.75,25.75,586800,25.75
03-Aug-1994,0,25.94,25.62,25.81,589400,25.81
04-Aug-1994,0,26.19,25.81,26.12,468800,26.12
05-Aug-1994,0,26.25,25.94,26.12,467400,26.12
08-Aug-1994,0,26.62,26.06,26.06,575200,26.06
09-Aug-1994,0,26.25,25.75,26.25,601200,26.25
10-Aug-1994,0,26.75,26.38,26.5,721000,26.5
11-Aug-1994,0,26.62,26.12,26.19,386400,26.19
12-Aug-1994,0,26.12,25.94,26,402600,26
15-Aug-1994,0,26.25,25.88,26.06,439800,26.06
16-Aug-1994,0,26.12,26,26.12,682400,26.12
17-Aug-1994,0,26.06,25.94,26,546000,26
18-Aug-1994,0,26,25.19,25.19,625000,25.19
19-Aug-1994,0,25.25,24.88,25.06,806800,25.06
22-Aug-1994,0,25.12,24.94,25,434600,25
23-Aug-1994,0,25.75,25.12,25.5,652200,25.5
24-Aug-1994,0,26,25.56,26,619000,26
25-Aug-1994,0,26.19,25.94,26.06,866000,26.06
26-Aug-1994,0,26.19,26,26.12,933000,26.12
29-Aug-1994,0,26.38,25.88,26.38,612600,26.38
