Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.84,2.81,2.82,260796,2.82
04-Jan-1978,0,2.84,2.8,2.82,375996,2.82
05-Jan-1978,0,2.86,2.81,2.81,476796,2.81
06-Jan-1978,0,2.82,2.73,2.77,450396,2.77
09-Jan-1978,0,2.75,2.7,2.73,620004,2.73
10-Jan-1978,0,2.75,2.7,2.72,894804,2.72
11-Jan-1978,0,2.73,2.69,2.7,482796,2.7
12-Jan-1978,0,2.76,2.69,2.76,861204,2.76
13-Jan-1978,0,2.81,2.77,2.8,506796,2.8
16-Jan-1978,0,2.81,2.76,2.79,225996,2.79
17-Jan-1978,0,2.79,2.75,2.75,159600,2.75
18-Jan-1978,0,2.79,2.76,2.78,367596,2.78
19-Jan-1978,0,2.78,2.72,2.72,483996,2.72
20-Jan-1978,0,2.73,2.72,2.72,126000,2.72
23-Jan-1978,0,2.73,2.7,2.7,357996,2.7
24-Jan-1978,0,2.73,2.7,2.72,558396,2.72
25-Jan-1978,0,2.72,2.7,2.7,342396,2.7
26-Jan-1978,0,2.73,2.66,2.66,513996,2.66
27-Jan-1978,0,2.73,2.66,2.72,616404,2.72
30-Jan-1978,0,2.72,2.66,2.7,440796,2.7
31-Jan-1978,0,2.7,2.66,2.69,315996,2.69
01-Feb-1978,0,2.69,2.66,2.67,326796,2.67
02-Feb-1978,0,2.69,2.62,2.62,1071600,2.62
03-Feb-1978,0,2.66,2.62,2.63,603204,2.63
06-Feb-1978,0,2.64,2.62,2.63,92400,2.63
07-Feb-1978,0,2.63,2.59,2.59,695604,2.59
08-Feb-1978,0,2.59,2.53,2.57,399996,2.57
09-Feb-1978,0,2.56,2.52,2.55,339996,2.55
10-Feb-1978,0,2.58,2.54,2.56,479196,2.56
13-Feb-1978,0,2.58,2.55,2.58,196800,2.58
14-Feb-1978,0,2.55,2.5,2.51,278796,2.51
15-Feb-1978,0,2.54,2.5,2.5,411996,2.5
16-Feb-1978,0,2.52,2.5,2.52,575196,2.52
17-Feb-1978,0,2.55,2.51,2.54,688404,2.54
21-Feb-1978,0,2.52,2.5,2.52,303996,2.52
22-Feb-1978,0,2.54,2.51,2.52,239196,2.52
23-Feb-1978,0,2.53,2.48,2.48,630804,2.48
24-Feb-1978,0,2.51,2.48,2.48,446796,2.48
27-Feb-1978,0,2.51,2.47,2.47,205596,2.47
28-Feb-1978,0,2.52,2.45,2.52,476796,2.52
01-Mar-1978,0,2.52,2.48,2.48,384396,2.48
02-Mar-1978,0,2.51,2.47,2.48,879204,2.48
03-Mar-1978,0,2.5,2.47,2.48,205596,2.48
06-Mar-1978,0,2.48,2.45,2.47,196800,2.47
07-Mar-1978,0,2.48,2.45,2.47,147600,2.47
08-Mar-1978,0,2.5,2.45,2.48,261996,2.48
09-Mar-1978,0,2.5,2.45,2.5,369996,2.5
10-Mar-1978,0,2.54,2.5,2.54,3165204,2.54
13-Mar-1978,0,2.58,2.53,2.54,612804,2.54
14-Mar-1978,0,2.55,2.51,2.53,395196,2.53
15-Mar-1978,0,2.54,2.52,2.54,620004,2.54
16-Mar-1978,0,2.54,2.51,2.52,234396,2.52
17-Mar-1978,0,2.57,2.51,2.56,1058400,2.56
20-Mar-1978,0,2.6,2.57,2.59,890004,2.59
21-Mar-1978,0,2.57,2.54,2.56,517596,2.56
22-Mar-1978,0,2.56,2.53,2.53,326796,2.53
23-Mar-1978,0,2.56,2.53,2.56,295596,2.56
27-Mar-1978,0,2.55,2.52,2.53,205596,2.53
28-Mar-1978,0,2.57,2.52,2.55,109200,2.55
29-Mar-1978,0,2.6,2.56,2.59,501996,2.59
30-Mar-1978,0,2.63,2.58,2.6,678804,2.6
31-Mar-1978,0,2.66,2.59,2.66,162000,2.66
03-Apr-1978,0,2.64,2.62,2.64,206796,2.64
04-Apr-1978,0,2.66,2.63,2.64,260796,2.64
05-Apr-1978,0,2.69,2.63,2.69,868404,2.69
06-Apr-1978,0,2.73,2.7,2.7,546396,2.7
07-Apr-1978,0,2.73,2.7,2.73,293196,2.73
10-Apr-1978,0,2.78,2.72,2.77,378396,2.77
11-Apr-1978,0,2.78,2.73,2.75,851604,2.75
12-Apr-1978,0,2.78,2.73,2.76,332796,2.76
13-Apr-1978,0,2.79,2.75,2.78,221196,2.78
14-Apr-1978,0,2.86,2.8,2.85,1003200,2.85
17-Apr-1978,0,2.94,2.79,2.79,1515996,2.79
18-Apr-1978,0,2.8,2.75,2.75,339996,2.75
19-Apr-1978,0,2.78,2.75,2.75,216396,2.75
20-Apr-1978,0,2.83,2.78,2.79,566796,2.79
21-Apr-1978,0,2.82,2.78,2.79,387996,2.79
24-Apr-1978,0,2.83,2.78,2.81,325596,2.81
25-Apr-1978,0,2.91,2.83,2.84,999204,2.84
