Date,Open,High,Low,Close,Volume,AdjClose
26-Jan-2015,233.6,233.6,226.97,229.41,385511,229.41
27-Jan-2015,226.06,229.4,221.59,221.9,486596,221.9
28-Jan-2015,222.8,223.15,215.08,217.1,804750,217.1
29-Jan-2015,216.83,222.54,216.61,221.92,432096,221.92
30-Jan-2015,219.09,220.97,216.53,216.86,389585,216.86
02-Feb-2015,218.05,219.98,213.89,218,680997,218
03-Feb-2015,219.68,223.72,218.5,223.6,556209,223.6
04-Feb-2015,221.43,224.25,221.39,222.12,421332,222.12
05-Feb-2015,223.51,226.24,220.12,225.8,486450,225.8
06-Feb-2015,226.95,226.95,218.33,219.43,440601,219.43
09-Feb-2015,218.04,219.27,214.49,217.3,704219,217.3
10-Feb-2015,219.32,222.21,217.25,219.82,425466,219.82
11-Feb-2015,221.35,222.49,219.63,221.07,481263,221.07
12-Feb-2015,223.69,228.95,222.7,227.74,539579,227.74
13-Feb-2015,228.93,229.02,227.38,227.7,387888,227.7
17-Feb-2015,226.39,227.69,224.16,225.18,498666,225.18
18-Feb-2015,222.77,229.48,222.47,228.91,723332,228.91
19-Feb-2015,227.9,230.71,224.54,229.41,639119,229.41
20-Feb-2015,225.86,238.81,220.84,235.38,1637540,235.38
23-Feb-2015,234.24,235.49,230.69,232.96,839412,232.96
24-Feb-2015,232.19,233.38,230.4,232.17,690688,232.17
25-Feb-2015,232.38,233.55,227.79,228.39,502247,228.39
26-Feb-2015,228.38,228.9,225.55,226.4,329526,226.4
27-Feb-2015,227.89,227.89,223.65,224.18,479430,224.18
02-Mar-2015,224.93,226.62,221.23,223.64,723647,223.64
03-Mar-2015,224,224.69,219.3,221.12,619344,221.12
04-Mar-2015,219.74,225.28,219.74,223.83,805284,223.83
05-Mar-2015,223.8,235.27,223.37,234.3,1314099,234.3
06-Mar-2015,232.72,238.71,230.12,235.52,1320744,235.52
09-Mar-2015,234.56,235.19,230.16,231.25,704240,231.25
10-Mar-2015,229.43,230.01,225.95,227.65,501373,227.65
11-Mar-2015,228.24,228.8,225.93,227.02,549350,227.02
12-Mar-2015,227.81,232.9,226.33,231.49,640200,231.49
13-Mar-2015,230.59,232.44,227.91,230.49,717128,230.49
16-Mar-2015,232.53,237.81,232.52,236.14,957355,236.14
17-Mar-2015,234.72,236.86,233.32,234.26,430531,234.26
18-Mar-2015,233.33,236.78,230.66,236.51,711746,236.51
19-Mar-2015,234.62,236.98,234.16,235.9,699917,235.9
20-Mar-2015,237.94,244.97,237.12,238.95,13250959,238.95
23-Mar-2015,239.26,239.99,235.8,238.65,791857,238.65
24-Mar-2015,237.46,238.6,231.25,231.34,646404,231.34
25-Mar-2015,231.35,232.09,227.69,228.86,628386,228.86
26-Mar-2015,226.31,228.92,225.02,227.86,555634,227.86
27-Mar-2015,226.57,230.6,226.57,229.72,518078,229.72
30-Mar-2015,230.82,234.52,229.31,234.22,647072,234.22
31-Mar-2015,232.74,236.54,231.46,232.85,913240,232.85
01-Apr-2015,233.31,233.95,230.61,233.59,611292,233.59
02-Apr-2015,233.29,236.71,230.96,235.6,470712,235.6
06-Apr-2015,233.33,236.54,231.92,235.15,306989,235.15
07-Apr-2015,235.61,237.2,234.18,234.29,301786,234.29
