Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,9.88,9.75,9.81,37800,9.81
04-Jan-1978,0,9.81,9.56,9.75,95401,9.75
05-Jan-1978,0,9.88,9.62,9.62,65199,9.62
06-Jan-1978,0,9.69,9.56,9.69,87800,9.69
09-Jan-1978,0,9.69,9.5,9.62,125600,9.62
10-Jan-1978,0,9.62,9.5,9.5,116600,9.5
11-Jan-1978,0,9.62,9.5,9.56,40401,9.56
12-Jan-1978,0,9.62,9.5,9.56,55801,9.56
13-Jan-1978,0,9.81,9.56,9.56,28200,9.56
16-Jan-1978,0,9.69,9.56,9.56,45599,9.56
17-Jan-1978,0,9.69,9.56,9.62,38799,9.62
18-Jan-1978,0,9.69,9.56,9.56,39600,9.56
19-Jan-1978,0,9.69,9.56,9.56,43399,9.56
20-Jan-1978,0,9.62,9.56,9.56,16201,9.56
23-Jan-1978,0,9.62,9.5,9.5,81000,9.5
24-Jan-1978,0,9.56,9.5,9.5,62799,9.5
25-Jan-1978,0,9.56,9.5,9.5,48400,9.5
26-Jan-1978,0,9.56,9.38,9.44,38799,9.44
27-Jan-1978,0,9.5,9.31,9.5,58399,9.5
30-Jan-1978,0,9.56,9.44,9.56,61600,9.56
31-Jan-1978,0,9.62,9.5,9.5,37400,9.5
01-Feb-1978,0,9.62,9.5,9.56,33400,9.56
02-Feb-1978,0,9.62,9.5,9.56,127200,9.56
03-Feb-1978,0,9.62,9.5,9.56,37200,9.56
06-Feb-1978,0,9.62,9.5,9.5,24000,9.5
07-Feb-1978,0,9.62,9.5,9.56,12001,9.56
08-Feb-1978,0,9.62,9.5,9.56,60401,9.56
09-Feb-1978,0,9.62,9.5,9.5,47799,9.5
10-Feb-1978,0,9.62,9.5,9.62,54399,9.62
13-Feb-1978,0,9.62,9.56,9.56,40401,9.56
14-Feb-1978,0,9.69,9.56,9.56,69201,9.56
15-Feb-1978,0,9.62,9.56,9.62,33801,9.62
16-Feb-1978,0,9.69,9.56,9.69,36001,9.69
17-Feb-1978,0,9.69,9.62,9.62,34001,9.62
21-Feb-1978,0,9.69,9.5,9.5,93599,9.5
22-Feb-1978,0,9.62,9.5,9.62,59800,9.62
23-Feb-1978,0,9.38,9.25,9.31,64200,9.31
24-Feb-1978,0,9.38,9.25,9.25,65399,9.25
27-Feb-1978,0,9.38,9.19,9.31,72800,9.31
28-Feb-1978,0,9.31,9.25,9.25,64999,9.25
01-Mar-1978,0,9.31,9.19,9.31,47201,9.31
02-Mar-1978,0,9.31,9.19,9.25,330200,9.25
03-Mar-1978,0,9.31,9.25,9.25,252600,9.25
06-Mar-1978,0,9.31,9.25,9.25,67599,9.25
07-Mar-1978,0,9.31,9.19,9.25,46200,9.25
08-Mar-1978,0,9.31,9.25,9.31,67001,9.31
09-Mar-1978,0,9.31,9.25,9.25,115001,9.25
10-Mar-1978,0,9.44,9.31,9.38,74800,9.38
13-Mar-1978,0,9.5,9.38,9.5,76600,9.5
14-Mar-1978,0,9.5,9.38,9.5,30800,9.5
15-Mar-1978,0,9.5,9.38,9.44,85600,9.44
16-Mar-1978,0,9.44,9.38,9.44,33601,9.44
17-Mar-1978,0,9.38,9.31,9.38,141401,9.38
20-Mar-1978,0,9.44,9.31,9.38,52400,9.38
