Date,Open,High,Low,Close,Volume,AdjClose
17-May-2012,NaN,NaN,NaN,38,0,38
18-May-2012,42.05,45,38,38.23,580587742,38.23
21-May-2012,36.53,36.66,33,34.03,168309831,34.03
22-May-2012,32.61,33.59,30.94,31,102053826,31
23-May-2012,31.37,32.5,31.36,32,73721135,32
24-May-2012,32.95,33.21,31.77,33.03,50275879,33.03
25-May-2012,32.9,32.95,31.11,31.91,37189630,31.91
29-May-2012,31.48,31.69,28.65,28.84,78060799,28.84
30-May-2012,28.7,29.55,27.86,28.19,57267867,28.19
31-May-2012,28.54,29.67,26.83,29.6,111639200,29.6
01-Jun-2012,28.89,29.15,27.39,27.72,41855500,27.72
04-Jun-2012,27.2,27.65,26.44,26.9,35230290,26.9
05-Jun-2012,26.7,27.76,25.75,25.87,42473262,25.87
06-Jun-2012,26.07,27.17,25.52,26.81,61487019,26.81
07-Jun-2012,27,27.35,26.15,26.31,26167757,26.31
08-Jun-2012,26.55,27.76,26.44,27.1,38033420,27.1
11-Jun-2012,27.18,28.07,26.84,27,28225887,27
12-Jun-2012,27.48,27.77,26.96,27.4,15822414,27.4
13-Jun-2012,27.66,28.1,27.1,27.27,17118672,27.27
14-Jun-2012,27.65,28.32,27.38,28.29,16854124,28.29
15-Jun-2012,28.5,30.1,28.35,30.01,43563739,30.01
18-Jun-2012,29.96,32.08,29.41,31.41,42978209,31.41
19-Jun-2012,31.54,32.18,30.7,31.91,30848913,31.91
20-Jun-2012,31.92,31.93,31.15,31.6,15558921,31.6
21-Jun-2012,31.67,32.5,31.51,31.84,21875228,31.84
22-Jun-2012,32.41,33.45,32.06,33.05,74833976,33.05
25-Jun-2012,32.86,33.02,31.55,32.06,24352818,32.06
26-Jun-2012,32.69,33.44,32.5,33.1,24858611,33.1
27-Jun-2012,32.46,32.9,31.9,32.23,28599506,32.23
28-Jun-2012,31.96,32.19,30.9,31.36,17713292,31.36
29-Jun-2012,31.92,31.99,30.76,31.1,19526823,31.1
02-Jul-2012,31.25,31.73,30.55,30.77,14131476,30.77
03-Jul-2012,30.91,31.44,30.8,31.2,8765498,31.2
05-Jul-2012,31.32,31.62,31.02,31.47,10036688,31.47
06-Jul-2012,31.44,31.9,31.26,31.73,10949006,31.73
09-Jul-2012,32.1,32.88,31.99,32.17,17785180,32.17
10-Jul-2012,32.43,32.48,31.16,31.47,14276996,31.47
11-Jul-2012,31.48,31.56,30.55,30.97,13027752,30.97
12-Jul-2012,30.7,31.4,30.6,30.81,11306636,30.81
13-Jul-2012,31.04,31.07,30.56,30.72,8117346,30.72
16-Jul-2012,30.5,30.5,28.21,28.24,24672074,28.24
17-Jul-2012,28.48,28.59,27.15,28.09,30438551,28.09
18-Jul-2012,28.31,29.29,28.15,29.11,16841779,29.11
19-Jul-2012,29.41,29.5,28.63,29,13685031,29
20-Jul-2012,29,29.47,28.72,28.76,11869046,28.76
23-Jul-2012,28.12,29,28.01,28.75,12393864,28.75
24-Jul-2012,28.82,29.45,28.1,28.45,11539799,28.45
25-Jul-2012,28.39,29.49,28.08,29.34,17230154,29.34
26-Jul-2012,27.75,28.23,26.73,26.84,64597378,26.84
27-Jul-2012,23.19,24.54,22.28,23.7,123098340,23.7
30-Jul-2012,24,24.04,23.03,23.15,29285895,23.15
31-Jul-2012,23.37,23.37,21.61,21.71,56179322,21.71
01-Aug-2012,21.5,21.58,20.84,20.88,44604365,20.88
02-Aug-2012,20.77,20.84,19.82,20.04,56374436,20.04
03-Aug-2012,20.36,22.16,19.9,21.09,80646975,21.09
06-Aug-2012,21.39,22.15,21.3,21.92,27778038,21.92
07-Aug-2012,22.2,22.45,20.5,20.72,36782827,20.72
08-Aug-2012,20.71,21.15,20.22,20.72,29537376,20.72
09-Aug-2012,20.75,21.17,20.61,21.01,15618515,21.01
10-Aug-2012,21.41,21.82,21.13,21.81,25794673,21.81
13-Aug-2012,22.15,22.45,21.4,21.6,24972973,21.6
14-Aug-2012,21.41,21.6,20.25,20.38,39308634,20.38
15-Aug-2012,20.64,21.41,20.4,21.2,47860767,21.2
16-Aug-2012,20.44,20.48,19.69,19.87,157554938,19.87
17-Aug-2012,20,20.08,19,19.05,129293342,19.05
20-Aug-2012,19.05,20.13,18.75,20.01,101186524,20.01
21-Aug-2012,19.58,19.98,19.09,19.16,70640462,19.16
22-Aug-2012,19.36,19.53,18.96,19.44,49892130,19.44
23-Aug-2012,19.5,19.73,19.36,19.44,32813310,19.44
24-Aug-2012,19.52,19.68,19.25,19.41,29622155,19.41
27-Aug-2012,19.49,19.53,19.1,19.15,20703907,19.15
28-Aug-2012,19.1,19.38,18.95,19.34,25425786,19.34
29-Aug-2012,19.32,19.38,19.07,19.1,16124625,19.1
30-Aug-2012,19.27,19.45,19.06,19.09,30647472,19.09
31-Aug-2012,18.68,18.7,18.03,18.06,58764170,18.06
04-Sep-2012,18.08,18.27,17.55,17.73,46622354,17.73
05-Sep-2012,18.27,18.75,18.18,18.58,60781719,18.58
06-Sep-2012,18.74,19.26,18.72,18.96,46066347,18.96
07-Sep-2012,19.1,19.42,18.78,18.98,36371696,18.98
10-Sep-2012,19.06,19.2,18.55,18.81,24797642,18.81
11-Sep-2012,18.92,19.58,18.85,19.43,50508126,19.43
12-Sep-2012,20.76,21.16,20.28,20.93,121583996,20.93
13-Sep-2012,20.96,21.48,20.61,20.71,65041524,20.71
14-Sep-2012,21.13,22.08,20.9,22,72819643,22
17-Sep-2012,22.67,22.75,21.5,21.52,50666447,21.52
18-Sep-2012,21.6,21.98,21.37,21.87,36760449,21.87
19-Sep-2012,21.99,23.37,21.77,23.29,78782783,23.29
20-Sep-2012,23.02,23.24,22.54,22.59,57248663,22.59
21-Sep-2012,22.97,23.24,22.6,22.86,51218097,22.86
24-Sep-2012,21.77,21.98,20.36,20.79,79105121,20.79
25-Sep-2012,21.2,21.21,20.22,20.28,46291655,20.28
26-Sep-2012,20.14,20.78,19.8,20.62,38271878,20.62
27-Sep-2012,20.99,21,20.16,20.32,30215821,20.32
28-Sep-2012,20.57,21.95,20.5,21.66,65485921,21.66
01-Oct-2012,22.08,22.59,21.73,21.99,51262680,21.99
02-Oct-2012,22.08,22.49,21.82,22.27,29341393,22.27
03-Oct-2012,22.3,22.49,21.8,21.83,32000079,21.83
04-Oct-2012,22.32,22.4,21.41,21.95,46894595,21.95
05-Oct-2012,21.49,21.63,20.88,20.91,40529223,20.91
08-Oct-2012,20.62,20.75,20.16,20.4,32236628,20.4
09-Oct-2012,20.39,20.55,19.97,20.23,27161736,20.23
10-Oct-2012,19.93,19.94,19.45,19.64,39321758,19.64
11-Oct-2012,19.88,19.96,19.61,19.75,21817227,19.75
12-Oct-2012,19.75,19.8,19.48,19.52,18809397,19.52
15-Oct-2012,19.68,19.88,19.49,19.52,20189668,19.52
