Date,Open,High,Low,Close,Volume,AdjClose
16-Sep-2011,11.9,12.93,11,12.7,969894,12.7
19-Sep-2011,12.25,13.78,12,13.78,665400,13.78
20-Sep-2011,13.98,14.02,13.33,13.7,794825,13.7
21-Sep-2011,13.8,14,13.18,13.4,619015,13.4
22-Sep-2011,13.09,13.25,12.4,13.2,1230488,13.2
23-Sep-2011,13.4,13.4,12.02,12.25,406175,12.25
26-Sep-2011,12.39,12.67,11.39,12.67,181854,12.67
27-Sep-2011,12.75,14.34,12.75,13.37,1788004,13.37
28-Sep-2011,13.29,13.7,12.75,12.85,251689,12.85
29-Sep-2011,13,13.25,12.67,13.17,222290,13.17
30-Sep-2011,13.03,13.25,12.06,12.4,623140,12.4
03-Oct-2011,12,12.68,11.75,12.3,23632234,12.3
04-Oct-2011,12.19,13.25,11.05,12.3,6068137,12.3
05-Oct-2011,11.55,12.3,11.26,12.2,1982954,12.2
06-Oct-2011,11.9,12.98,11.9,12.76,3333556,12.76
07-Oct-2011,12.59,13,12.27,12.35,2049856,12.35
10-Oct-2011,12.35,12.44,11.99,12.37,1922446,12.37
11-Oct-2011,11.5,12.76,11.48,12.48,3015144,12.48
12-Oct-2011,12.46,12.8,12.38,12.6,3255075,12.6
13-Oct-2011,12.4,12.77,12.15,12.62,3575238,12.62
14-Oct-2011,12.62,13.07,12.38,13.01,1658695,13.01
17-Oct-2011,13.03,13.73,13,13.72,1767585,13.72
18-Oct-2011,13.8,15.25,13.78,14.48,5257331,14.48
19-Oct-2011,14.33,15.25,14.33,15.06,3400059,15.06
20-Oct-2011,14.91,15.24,14.68,14.93,1252869,14.93
21-Oct-2011,15.11,15.49,14.78,14.95,1741267,14.95
24-Oct-2011,14.92,16.4,14.92,15.8,2008793,15.8
25-Oct-2011,15.74,15.83,14.75,14.78,2284830,14.78
26-Oct-2011,14.71,15.33,14.51,14.88,856825,14.88
27-Oct-2011,14.98,15.9,14.97,15.65,1132861,15.65
28-Oct-2011,15.27,15.33,14.76,14.92,1000623,14.92
31-Oct-2011,14.7,15.26,14.46,14.53,1162112,14.53
01-Nov-2011,14.26,14.91,14.11,14.67,1174822,14.67
02-Nov-2011,14.8,15.5,14.62,15.07,1289198,15.07
03-Nov-2011,15.42,15.5,14.5,15,2279821,15
04-Nov-2011,14.77,15.06,14.72,15,611628,15
07-Nov-2011,14.88,14.98,14.66,14.79,1101910,14.79
08-Nov-2011,14.83,15.53,14.8,15.09,708763,15.09
09-Nov-2011,14.87,15.15,14.8,14.9,1301308,14.9
10-Nov-2011,14.91,15.81,14.85,15.7,801667,15.7
11-Nov-2011,15.88,16,15.12,15.25,476895,15.25
14-Nov-2011,15.11,15.49,14.92,15.03,325857,15.03
15-Nov-2011,14.94,15.72,14.8,15.49,569380,15.49
16-Nov-2011,15.31,15.47,14.95,15.04,703148,15.04
17-Nov-2011,14.95,15.62,14.88,15.53,699085,15.53
18-Nov-2011,15.64,15.69,15.38,15.51,449495,15.51
21-Nov-2011,15.25,15.35,14.98,15.26,706737,15.26
22-Nov-2011,15.15,15.44,15.15,15.37,428687,15.37
23-Nov-2011,15.23,15.44,15,15.31,501134,15.31
25-Nov-2011,15.2,15.5,15.15,15.45,95912,15.45
28-Nov-2011,15.81,16,15.49,15.97,507548,15.97
29-Nov-2011,15.96,16.39,15.67,16.01,461702,16.01
30-Nov-2011,16.37,16.74,16.21,16.68,2037185,16.68
01-Dec-2011,16.61,16.8,15.94,15.99,663984,15.99
02-Dec-2011,16.19,16.57,16.15,16.52,950575,16.52
05-Dec-2011,16.69,16.84,16.34,16.45,406513,16.45
06-Dec-2011,16.48,16.69,16.3,16.47,787712,16.47
07-Dec-2011,16.26,16.64,15.75,16.45,538736,16.45
08-Dec-2011,16.15,16.54,15.95,16.41,707663,16.41
09-Dec-2011,16.39,17.09,16.32,17.01,787162,17.01
12-Dec-2011,16.87,16.94,16.16,16.32,563276,16.32
13-Dec-2011,16.33,16.48,15.68,15.78,313631,15.78
14-Dec-2011,15.68,16.05,15.4,15.98,377821,15.98
15-Dec-2011,16.12,16.53,15.7,15.91,797632,15.91
16-Dec-2011,15.92,15.97,15.33,15.59,2164401,15.59
19-Dec-2011,15.61,15.92,15.2,15.33,778042,15.33
20-Dec-2011,15.56,15.82,15.53,15.75,513464,15.75
21-Dec-2011,15.69,16.39,15.65,16.2,775906,16.2
22-Dec-2011,16.31,16.53,16.22,16.45,1535439,16.45
23-Dec-2011,16.52,16.84,16.5,16.7,305372,16.7
27-Dec-2011,16.59,16.84,16.52,16.65,171982,16.65
28-Dec-2011,16.6,16.65,16.34,16.39,598952,16.39
29-Dec-2011,16.36,16.72,16.23,16.64,537205,16.64
30-Dec-2011,16.62,17.04,16.62,17.03,402055,17.03
03-Jan-2012,17.26,17.36,16.76,16.82,1442178,16.82
04-Jan-2012,16.75,17.1,16.72,17.03,1958428,17.03
05-Jan-2012,16.93,17.7,16.88,17.33,1579900,17.33
06-Jan-2012,17.37,18,17.08,17.65,642105,17.65
09-Jan-2012,17.69,17.93,17.27,17.78,654789,17.78
10-Jan-2012,18,18.1,17.72,18.02,691884,18.02
11-Jan-2012,17.9,18.02,17.75,17.98,3590610,17.98
12-Jan-2012,18.32,18.35,17.98,18.29,1250395,18.29
13-Jan-2012,18.18,18.35,17.82,18.22,564301,18.22
17-Jan-2012,18.3,18.38,17.81,17.92,496025,17.92
18-Jan-2012,17.89,18,17.58,17.81,1438165,17.81
19-Jan-2012,17.82,18.17,17.77,18.1,596083,18.1
20-Jan-2012,18.12,18.12,17.77,17.89,1201843,17.89
23-Jan-2012,17.86,18.04,17.6,17.78,1738001,17.78
24-Jan-2012,17.71,17.86,17.52,17.86,318773,17.86
25-Jan-2012,17.85,17.9,17.56,17.9,975385,17.9
26-Jan-2012,17.89,17.98,17.7,17.91,667393,17.91
27-Jan-2012,17.87,18.03,17.8,17.95,424875,17.95
30-Jan-2012,17.75,18.35,17.74,18.32,704958,18.32
31-Jan-2012,18.36,18.66,18.36,18.57,703587,18.57
01-Feb-2012,18.54,19.2,18.5,18.89,2145795,18.89
02-Feb-2012,18.87,19.25,18.58,19.25,837945,19.25
03-Feb-2012,19.32,19.83,19.32,19.55,1732836,19.55
06-Feb-2012,19.44,19.44,18.8,18.84,907468,18.84
07-Feb-2012,18.8,18.8,18.28,18.65,1368992,18.65
08-Feb-2012,18.64,19.14,18.51,19.11,1063886,19.11
09-Feb-2012,19.1,19.32,18.94,19.22,957166,19.22
10-Feb-2012,19.06,19.39,18.97,19.34,1215194,19.34
13-Feb-2012,19.41,19.53,19.11,19.52,803195,19.52
14-Feb-2012,19.36,19.8,19.26,19.72,929362,19.72
