Date,Open,High,Low,Close,Volume,AdjClose
12-Apr-1978,0,0.98,0.95,0.95,11657600,0.95
13-Apr-1978,0,1.02,0.99,0.99,7366400,0.99
14-Apr-1978,0,1.09,1.05,1.05,6771200,1.05
17-Apr-1978,0,1.05,1.02,1.02,4076800,1.02
18-Apr-1978,0,1.04,1.01,1.01,2966400,1.01
19-Apr-1978,0,1.06,1.03,1.03,2272000,1.03
20-Apr-1978,0,1.09,1.06,1.06,1699200,1.06
21-Apr-1978,0,1.08,1.05,1.05,1046400,1.05
24-Apr-1978,0,1.06,1.03,1.03,931200,1.03
25-Apr-1978,0,1.11,1.08,1.08,2256000,1.08
26-Apr-1978,0,1.16,1.13,1.13,1264000,1.13
27-Apr-1978,0,1.16,1.13,1.13,1075200,1.13
28-Apr-1978,0,1.23,1.2,1.2,1971200,1.2
01-May-1978,0,1.18,1.15,1.15,1500800,1.15
02-May-1978,0,1.19,1.16,1.16,816000,1.16
03-May-1978,0,1.16,1.12,1.12,627200,1.12
04-May-1978,0,1.18,1.15,1.15,1046400,1.15
05-May-1978,0,1.19,1.16,1.16,681600,1.16
08-May-1978,0,1.2,1.17,1.17,918400,1.17
09-May-1978,0,1.21,1.18,1.18,694400,1.18
10-May-1978,0,1.22,1.19,1.19,774400,1.19
11-May-1978,0,1.27,1.23,1.23,1449600,1.23
12-May-1978,0,1.28,1.25,1.25,627200,1.25
15-May-1978,0,1.27,1.24,1.24,307200,1.24
16-May-1978,0,1.35,1.32,1.32,1225600,1.32
17-May-1978,0,1.34,1.31,1.31,534400,1.31
18-May-1978,0,1.33,1.3,1.3,633600,1.3
19-May-1978,0,1.26,1.23,1.23,1040000,1.23
22-May-1978,0,1.25,1.22,1.22,451200,1.22
23-May-1978,0,1.2,1.17,1.17,656000,1.17
24-May-1978,0,1.16,1.13,1.13,912000,1.13
25-May-1978,0,1.2,1.16,1.16,1171200,1.16
26-May-1978,0,1.21,1.18,1.18,499200,1.18
30-May-1978,0,1.26,1.23,1.23,355200,1.23
31-May-1978,0,1.26,1.23,1.23,870400,1.23
01-Jun-1978,0,1.25,1.22,1.22,230400,1.22
02-Jun-1978,0,1.24,1.21,1.21,272000,1.21
05-Jun-1978,0,1.26,1.23,1.23,332800,1.23
06-Jun-1978,0,1.28,1.25,1.25,1222400,1.25
07-Jun-1978,0,1.27,1.23,1.23,576000,1.23
08-Jun-1978,0,1.28,1.25,1.25,569600,1.25
09-Jun-1978,0,1.27,1.24,1.24,339200,1.24
12-Jun-1978,0,1.3,1.27,1.27,774400,1.27
13-Jun-1978,0,1.37,1.34,1.34,1721600,1.34
14-Jun-1978,0,1.39,1.36,1.36,646400,1.36
15-Jun-1978,0,1.39,1.36,1.36,691200,1.36
16-Jun-1978,0,1.35,1.32,1.32,643200,1.32
19-Jun-1978,0,1.31,1.28,1.28,1452800,1.28
20-Jun-1978,0,1.26,1.23,1.23,502400,1.23
21-Jun-1978,0,1.23,1.2,1.2,521600,1.2
22-Jun-1978,0,1.25,1.22,1.22,742400,1.22
23-Jun-1978,0,1.23,1.2,1.2,412800,1.2
26-Jun-1978,0,1.2,1.16,1.16,348800,1.16
27-Jun-1978,0,1.18,1.15,1.15,822400,1.15
28-Jun-1978,0,1.2,1.16,1.16,656000,1.16
29-Jun-1978,0,1.23,1.2,1.2,598400,1.2
30-Jun-1978,0,1.28,1.25,1.25,550400,1.25
03-Jul-1978,0,1.29,1.26,1.26,176000,1.26
05-Jul-1978,0,1.27,1.24,1.24,499200,1.24
06-Jul-1978,0,1.34,1.31,1.31,1104000,1.31
07-Jul-1978,0,1.36,1.33,1.33,777600,1.33
10-Jul-1978,0,1.38,1.35,1.35,339200,1.35
11-Jul-1978,0,1.41,1.38,1.38,1475200,1.38
12-Jul-1978,0,1.39,1.36,1.36,700800,1.36
13-Jul-1978,0,1.38,1.35,1.35,323200,1.35
14-Jul-1978,0,1.4,1.37,1.37,201600,1.37
17-Jul-1978,0,1.46,1.43,1.43,1248000,1.43
18-Jul-1978,0,1.46,1.43,1.43,1075200,1.43
19-Jul-1978,0,1.52,1.48,1.48,947200,1.48
20-Jul-1978,0,1.51,1.48,1.48,784000,1.48
21-Jul-1978,0,1.47,1.44,1.44,441600,1.44
24-Jul-1978,0,1.47,1.44,1.44,646400,1.44
25-Jul-1978,0,1.46,1.43,1.43,1161600,1.43
26-Jul-1978,0,1.46,1.43,1.43,675200,1.43
27-Jul-1978,0,1.48,1.45,1.45,508800,1.45
28-Jul-1978,0,1.48,1.45,1.45,304000,1.45
31-Jul-1978,0,1.47,1.44,1.44,192000,1.44
01-Aug-1978,0,1.5,1.47,1.47,390400,1.47
02-Aug-1978,0,1.52,1.49,1.49,416000,1.49
03-Aug-1978,0,1.59,1.56,1.56,1081600,1.56
04-Aug-1978,0,1.67,1.64,1.64,972800,1.64
07-Aug-1978,0,1.73,1.7,1.7,1008000,1.7
08-Aug-1978,0,1.77,1.74,1.74,1068800,1.74
09-Aug-1978,0,1.76,1.73,1.73,636800,1.73
10-Aug-1978,0,1.75,1.72,1.72,595200,1.72
11-Aug-1978,0,1.75,1.72,1.72,268800,1.72
14-Aug-1978,0,1.76,1.73,1.73,563200,1.73
15-Aug-1978,0,1.8,1.77,1.77,710400,1.77
16-Aug-1978,0,1.88,1.84,1.84,611200,1.84
17-Aug-1978,0,1.95,1.91,1.91,1126400,1.91
18-Aug-1978,0,1.91,1.88,1.88,550400,1.88
21-Aug-1978,0,1.78,1.75,1.75,918400,1.75
22-Aug-1978,0,1.79,1.76,1.76,1011200,1.76
23-Aug-1978,0,1.88,1.85,1.85,1174400,1.85
24-Aug-1978,0,2,1.97,1.97,1219200,1.97
25-Aug-1978,0,2.09,2.06,2.06,1484800,2.06
28-Aug-1978,0,2.02,1.99,1.99,790400,1.99
29-Aug-1978,0,1.95,1.92,1.92,816000,1.92
30-Aug-1978,0,1.89,1.86,1.86,736000,1.86
31-Aug-1978,0,1.84,1.81,1.81,387200,1.81
01-Sep-1978,0,1.88,1.84,1.84,182400,1.84
05-Sep-1978,0,1.95,1.92,1.92,528000,1.92
