Date,Open,High,Low,Close,Volume,AdjClose
07-Jun-1999,0,8.31,7.31,7.75,1234600,7.75
08-Jun-1999,0,10.19,7.75,9.84,1477200,9.84
09-Jun-1999,0,10.59,9.31,9.69,1332600,9.69
10-Jun-1999,0,9.84,8.5,8.59,545600,8.59
11-Jun-1999,0,8.69,7.94,8,446200,8
14-Jun-1999,0,8,7.25,7.62,503600,7.62
15-Jun-1999,0,8.06,7.44,7.75,384400,7.75
16-Jun-1999,0,8.94,7.81,8.34,135400,8.34
17-Jun-1999,0,10.41,8.38,10.03,814000,10.03
18-Jun-1999,0,11.06,9.28,9.31,428600,9.31
21-Jun-1999,0,10.88,9.5,9.75,410400,9.75
22-Jun-1999,0,10.25,9.62,9.88,207600,9.88
23-Jun-1999,0,9.81,9.12,9.31,337800,9.31
24-Jun-1999,0,9.31,8.56,9,198200,9
25-Jun-1999,0,11.69,8.84,11.31,1423000,11.31
28-Jun-1999,0,14.5,11.5,13.94,1403200,13.94
29-Jun-1999,0,18.25,12.88,15.75,2018200,15.75
30-Jun-1999,0,22.56,16,20.5,2313600,20.5
01-Jul-1999,0,23,19,19.25,1578400,19.25
02-Jul-1999,0,19.94,17,18.5,1060600,18.5
06-Jul-1999,0,21.31,18.06,20.78,736800,20.78
07-Jul-1999,0,21.5,18.75,19.75,586200,19.75
08-Jul-1999,0,22,20.25,21.97,672000,21.97
09-Jul-1999,0,25.94,22,25.38,1105600,25.38
12-Jul-1999,0,28.25,26.5,27.47,1173600,27.47
13-Jul-1999,0,27.31,23.75,25.34,697800,25.34
14-Jul-1999,0,27.62,26.19,26.72,339200,26.72
15-Jul-1999,0,37,27.81,35.62,2381000,35.62
16-Jul-1999,0,42.5,33.03,34.56,3667000,34.56
19-Jul-1999,0,36.38,32.75,34.5,1256000,34.5
20-Jul-1999,0,34,30.84,31.41,900400,31.41
21-Jul-1999,0,35.75,27.75,29.34,1656400,29.34
22-Jul-1999,0,31.56,28,30.41,918800,30.41
23-Jul-1999,0,30.62,28.75,29.44,419600,29.44
26-Jul-1999,0,29.22,25.12,25.75,683400,25.75
27-Jul-1999,0,28,25.62,27,477400,27
28-Jul-1999,0,29.12,26.5,28.81,446000,28.81
29-Jul-1999,0,28,25.12,25.38,569800,25.38
30-Jul-1999,0,26.75,21.91,25,698400,25
02-Aug-1999,0,25,21.56,22.25,296400,22.25
03-Aug-1999,0,21.5,19.5,20.56,1086600,20.56
04-Aug-1999,0,19.38,16.5,17.25,1538600,17.25
05-Aug-1999,0,18.06,13.88,17.31,1604800,17.31
06-Aug-1999,0,18.75,16,16.06,1064600,16.06
09-Aug-1999,0,17.5,14.62,14.94,371400,14.94
10-Aug-1999,0,19,14.88,18.75,943400,18.75
11-Aug-1999,0,22.78,17,21.44,1462200,21.44
12-Aug-1999,0,24.5,20.38,22.75,1445200,22.75
13-Aug-1999,0,27.31,24,27.22,1661600,27.22
16-Aug-1999,0,31.56,25.03,29.5,2053200,29.5
17-Aug-1999,0,32.06,28,28.31,1451400,28.31
18-Aug-1999,0,28.44,25,26.66,1120200,26.66
19-Aug-1999,0,27.06,24.69,25.81,599600,25.81
20-Aug-1999,0,27.5,25.25,27.44,375600,27.44
23-Aug-1999,0,31,28.25,30.44,886800,30.44
24-Aug-1999,0,35,29.31,33.31,2357400,33.31
25-Aug-1999,0,35.06,31.38,31.72,1071000,31.72
26-Aug-1999,0,33.62,30.19,30.34,544800,30.34
27-Aug-1999,0,30.34,28,28.62,486800,28.62
30-Aug-1999,0,31.5,29.25,31,393600,31
31-Aug-1999,0,34.38,31.5,33.91,1286000,33.91
01-Sep-1999,0,34.22,31.12,32.25,504200,32.25
02-Sep-1999,0,34.19,29.75,32.75,668600,32.75
03-Sep-1999,0,36.12,34,34.75,845400,34.75
07-Sep-1999,0,41.47,32.81,37.66,2121600,37.66
08-Sep-1999,0,39.25,34.62,34.75,904400,34.75
09-Sep-1999,0,36.25,32.81,35.5,1068000,35.5
10-Sep-1999,0,38,34.28,37.31,666400,37.31
13-Sep-1999,0,41.75,35.5,36.62,618600,36.62
14-Sep-1999,0,37.75,33.5,34.97,626200,34.97
15-Sep-1999,0,35.62,32.12,32.39,513800,32.39
16-Sep-1999,0,35.84,31.47,35.06,769600,35.06
17-Sep-1999,0,36.75,34.25,34.38,630400,34.38
20-Sep-1999,0,34.25,32,32.91,406400,32.91
21-Sep-1999,0,34.5,30.06,34.33,1064800,34.33
22-Sep-1999,0,36.88,32.44,34.75,730000,34.75
23-Sep-1999,0,36.31,32.75,32.88,506800,32.88
24-Sep-1999,0,34,31.5,33.12,587600,33.12
27-Sep-1999,0,35.94,33.94,34.47,677800,34.47
28-Sep-1999,0,34.22,32.53,33.5,368600,33.5
29-Sep-1999,0,36,33.19,33.75,599800,33.75
30-Sep-1999,0,34.44,33.44,34,6231200,34
01-Oct-1999,0,34.19,33.47,34.03,2450400,34.03
04-Oct-1999,0,34.31,33.5,33.69,774200,33.69
05-Oct-1999,0,38.62,33.78,36.75,1851800,36.75
06-Oct-1999,0,41.5,37.19,40.12,1024600,40.12
07-Oct-1999,0,40.56,36.59,36.94,492400,36.94
08-Oct-1999,0,39.38,36,39.03,753400,39.03
11-Oct-1999,0,48.25,40.38,46,2332200,46
12-Oct-1999,0,48.69,43.81,45.47,1557600,45.47
13-Oct-1999,0,47.03,39.25,40.5,1741800,40.5
14-Oct-1999,0,41.97,36.34,39.91,1811400,39.91
15-Oct-1999,0,39.44,35,37.5,1266600,37.5
18-Oct-1999,0,39.44,34.88,36.97,718600,36.97
19-Oct-1999,0,40.44,37,37.38,637200,37.38
20-Oct-1999,0,43.38,38.44,42.75,1131600,42.75
21-Oct-1999,0,46.31,39.5,44.62,1037600,44.62
22-Oct-1999,0,47,44.62,45.38,420400,45.38
25-Oct-1999,0,46.5,43.94,46,456400,46
26-Oct-1999,0,50.5,46.12,49.56,1894600,49.56
27-Oct-1999,0,73.88,57.5,68.5,6836000,68.5
28-Oct-1999,0,72.94,64,67,1977800,67
29-Oct-1999,0,72.44,66.88,69.38,1199800,69.38
01-Nov-1999,0,80.25,69.38,76.31,2039400,76.31
02-Nov-1999,0,79.38,73,74.75,1305800,74.75
03-Nov-1999,0,78.5,73.12,74.22,866800,74.22
04-Nov-1999,0,75.75,68.75,72.75,1077200,72.75
05-Nov-1999,0,72.59,68.5,69.39,1191000,69.39
08-Nov-1999,0,67.5,60.53,64.84,3566200,64.84
09-Nov-1999,0,70,62.5,69.44,2361200,69.44
10-Nov-1999,0,77.88,69,71.38,1658200,71.38
11-Nov-1999,0,72.5,67.44,68.5,880800,68.5
12-Nov-1999,0,69.78,64.12,67.5,1018000,67.5
15-Nov-1999,0,69.69,64.5,66.75,652000,66.75
16-Nov-1999,0,75.44,68.19,74.53,2197400,74.53
17-Nov-1999,0,78.25,73.5,77.19,1540400,77.19
18-Nov-1999,0,79,76.5,77.94,1504800,77.94
19-Nov-1999,0,78,70.69,72,554400,72
22-Nov-1999,0,74,68.5,69.88,742200,69.88
23-Nov-1999,0,69.88,60.5,63.5,2033800,63.5
24-Nov-1999,0,66.44,60.5,64,1240400,64
26-Nov-1999,0,66.5,63.25,63.5,206000,63.5
29-Nov-1999,0,64.38,60.12,61.5,932600,61.5
30-Nov-1999,0,62,56.5,56.5,531000,56.5
01-Dec-1999,0,62.44,56.75,59.56,694800,59.56
02-Dec-1999,0,64,59,61.19,604200,61.19
03-Dec-1999,0,63.94,57.5,59.5,826800,59.5
06-Dec-1999,0,61.06,56.69,58,721600,58
07-Dec-1999,0,75,57.53,73.81,3288200,73.81
08-Dec-1999,0,71,64.25,66.25,1448200,66.25
09-Dec-1999,0,69.38,62.5,66.06,1105200,66.06
10-Dec-1999,0,70.12,64.69,68,745800,68
13-Dec-1999,0,69.66,65.25,65.53,899400,65.53
14-Dec-1999,0,65.78,58.88,59.25,1578800,59.25
15-Dec-1999,0,61.5,55.12,57.25,1234800,57.25
16-Dec-1999,0,60.5,56.12,57.91,855400,57.91
17-Dec-1999,0,60.5,57.12,57.5,591400,57.5
20-Dec-1999,0,60,54.25,54.88,914400,54.88
21-Dec-1999,0,57.94,50,55,4120600,55
22-Dec-1999,0,57.31,51.81,52.5,1617000,52.5
23-Dec-1999,0,55,50.56,53.88,1356400,53.88
27-Dec-1999,0,62.94,56.31,60.5,2300200,60.5
28-Dec-1999,0,60.25,56,56.06,1244000,56.06
29-Dec-1999,0,57.5,53.12,55.38,443000,55.38
30-Dec-1999,0,57.5,53.31,54.38,553800,54.38
31-Dec-1999,0,58,53.12,57,490800,57
03-Jan-2000,60.62,61.5,56.5,59.75,787800,59.75
04-Jan-2000,58.5,65,58,58.97,1121200,58.97
05-Jan-2000,60.09,60.09,54.09,55.41,1600800,55.41
06-Jan-2000,55.5,55.56,50,51.06,967800,51.06
07-Jan-2000,50,53.94,47.25,49.31,1313600,49.31
10-Jan-2000,52.5,52.5,49.25,51.03,1148200,51.03
11-Jan-2000,51.78,54.25,49.53,50.25,1325600,50.25
12-Jan-2000,51.22,51.47,46.75,47.38,1006400,47.38
13-Jan-2000,48.5,49.5,44.62,46.47,1542400,46.47
14-Jan-2000,48.19,52.5,45.78,49,1884800,49
18-Jan-2000,50.94,57,49.97,56.44,1681000,56.44
19-Jan-2000,57.44,59.75,54,55.28,1068200,55.28
20-Jan-2000,57,60,55.53,59.73,903800,59.73
21-Jan-2000,60.94,67.5,58.88,64.91,2121000,64.91
24-Jan-2000,67,71.06,64,65,2088200,65
25-Jan-2000,66.5,68,62.44,66.75,2057400,66.75
26-Jan-2000,64.5,64.81,57,57.25,4568800,57.25
27-Jan-2000,58.59,60,51.88,53.75,2288400,53.75
28-Jan-2000,51.12,55.5,48.81,49.25,1969200,49.25
31-Jan-2000,48.97,49.88,42.88,47,2829400,47
01-Feb-2000,47.97,49.31,45.25,48.12,1681000,48.12
02-Feb-2000,48.22,51.88,48.06,50.75,2246600,50.75
03-Feb-2000,52.25,53.25,46.88,48.22,2475000,48.22
04-Feb-2000,49.12,49.19,46.25,47.12,1322000,47.12
07-Feb-2000,46.72,48.5,45.88,48,957200,48
08-Feb-2000,49,50.75,47.56,47.75,1321600,47.75
09-Feb-2000,49.16,49.16,45.44,46.06,2076600,46.06
10-Feb-2000,47.16,47.16,44.59,44.75,2016200,44.75
11-Feb-2000,45.62,52.5,44.5,49.19,4450200,49.19
14-Feb-2000,50.41,53.38,49.88,51,2029000,51
15-Feb-2000,50.75,51.5,47.5,49.97,1591400,49.97
16-Feb-2000,49.97,50.75,47.5,48.06,1148600,48.06
17-Feb-2000,48.56,53,48.06,51.75,2055600,51.75
18-Feb-2000,50.94,51,48.25,48.5,743400,48.5
22-Feb-2000,48.38,48.47,45.31,47,1186000,47
23-Feb-2000,47.53,48.5,46,46.28,1261000,46.28
24-Feb-2000,46.31,47.75,45.62,46.28,866400,46.28
25-Feb-2000,46.5,49.5,46.5,47.59,3090600,47.59
28-Feb-2000,48,48.38,46,46.75,1237400,46.75
29-Feb-2000,46.72,47.5,44.5,45,2431600,45
01-Mar-2000,0,46.25,43.47,45.94,2495400,45.94
02-Mar-2000,0,47.38,44.19,45.12,1128000,45.12
03-Mar-2000,0,52.12,45,48.34,4308000,48.34
06-Mar-2000,0,55,48.49,53.75,2796600,53.75
07-Mar-2000,56.06,59.5,52.12,53.62,2741000,53.62
08-Mar-2000,53.62,54.09,49,49.5,2364000,49.5
09-Mar-2000,49.12,57.34,48.53,54.5,2310600,54.5
10-Mar-2000,56.81,59.44,56,57.88,2335000,57.88
13-Mar-2000,0,58.5,54.62,54.84,1915200,54.84
14-Mar-2000,56.12,58.09,50,50,2137600,50
15-Mar-2000,52.38,52.38,46,46.38,2381400,46.38
16-Mar-2000,47.97,48.38,43,46.53,2480800,46.53
17-Mar-2000,47.25,49.25,46.25,47.62,859200,47.62
20-Mar-2000,47.69,48.75,44.38,45.03,1483000,45.03
21-Mar-2000,44.53,46.5,42.5,44.38,2235000,44.38
22-Mar-2000,45.62,47,44.34,44.94,2048800,44.94
23-Mar-2000,44.97,46.12,43.5,43.72,1838600,43.72
24-Mar-2000,43.78,45,40.78,41.66,2572600,41.66
27-Mar-2000,42.25,44.47,41.75,43.34,1328600,43.34
28-Mar-2000,43.75,43.75,41.28,42,911400,42
29-Mar-2000,42.06,42.69,37.25,38.75,3002600,38.75
30-Mar-2000,38.06,40.81,32.5,35.53,2009400,35.53
31-Mar-2000,36.25,36.94,31.06,33.88,3142400,33.88
03-Apr-2000,33.75,33.75,28.12,29.19,2184000,29.19
