Date,Open,High,Low,Close,Volume,AdjClose
25-Sep-1986,0,0.56,0.55,0.56,19183794,0.56
26-Sep-1986,0,0.56,0.55,0.56,1022195,0.56
29-Sep-1986,0,0.56,0.55,0.55,1309193,0.55
30-Sep-1986,0,0.57,0.54,0.56,779005,0.56
01-Oct-1986,0,0.57,0.56,0.56,310007,0.56
02-Oct-1986,0,0.57,0.56,0.56,1341793,0.56
03-Oct-1986,0,0.57,0.56,0.56,246789,0.56
06-Oct-1986,0,0.56,0.56,0.56,113405,0.56
07-Oct-1986,0,0.57,0.56,0.56,136209,0.56
08-Oct-1986,0,0.57,0.56,0.56,63195,0.56
09-Oct-1986,0,0.57,0.56,0.57,73196,0.57
10-Oct-1986,0,0.56,0.56,0.56,36199,0.56
13-Oct-1986,0,0.57,0.56,0.57,12598,0.57
14-Oct-1986,0,0.56,0.56,0.56,154206,0.56
15-Oct-1986,0,0.56,0.56,0.56,76796,0.56
16-Oct-1986,0,0.57,0.56,0.56,36792,0.56
17-Oct-1986,0,0.57,0.56,0.56,60598,0.56
20-Oct-1986,0,0.57,0.56,0.56,40391,0.56
21-Oct-1986,0,0.57,0.56,0.56,67410,0.56
22-Oct-1986,0,0.57,0.56,0.57,1365007,0.57
23-Oct-1986,0,0.57,0.56,0.56,356003,0.56
24-Oct-1986,0,0.59,0.56,0.57,846392,0.57
27-Oct-1986,0,0.6,0.58,0.6,67410,0.6
28-Oct-1986,0,0.61,0.59,0.59,431409,0.59
29-Oct-1986,0,0.64,0.61,0.62,240411,0.62
30-Oct-1986,0,0.65,0.62,0.63,240411,0.63
31-Oct-1986,0,0.64,0.63,0.64,30800,0.64
03-Nov-1986,0,0.65,0.63,0.65,81192,0.65
04-Nov-1986,0,0.66,0.64,0.66,8406,0.66
05-Nov-1986,0,0.66,0.64,0.64,90806,0.64
06-Nov-1986,0,0.64,0.64,0.64,9796,0.64
07-Nov-1986,0,0.66,0.64,0.64,1692601,0.64
10-Nov-1986,0,0.66,0.64,0.64,28203,0.64
11-Nov-1986,0,0.65,0.64,0.64,76796,0.64
12-Nov-1986,0,0.64,0.63,0.64,755609,0.64
13-Nov-1986,0,0.64,0.62,0.64,51189,0.64
14-Nov-1986,0,0.64,0.62,0.64,44993,0.64
17-Nov-1986,0,0.63,0.63,0.63,3804,0.63
18-Nov-1986,0,0.62,0.62,0.62,117802,0.62
19-Nov-1986,0,0.63,0.61,0.61,537592,0.61
20-Nov-1986,0,0.62,0.61,0.62,26996,0.62
21-Nov-1986,0,0.62,0.6,0.62,454805,0.62
24-Nov-1986,0,0.63,0.61,0.63,14603,0.63
25-Nov-1986,0,0.62,0.62,0.62,226992,0.62
26-Nov-1986,0,0.62,0.6,0.62,63195,0.62
28-Nov-1986,0,0.6,0.6,0.6,46200,0.6
01-Dec-1986,0,0.62,0.6,0.6,14603,0.6
02-Dec-1986,0,0.62,0.59,0.59,2306989,0.59
03-Dec-1986,0,0.62,0.6,0.62,246789,0.62
04-Dec-1986,0,0.62,0.6,0.62,222391,0.62
05-Dec-1986,0,0.61,0.59,0.59,1372206,0.59
08-Dec-1986,0,0.62,0.6,0.6,151404,0.6
09-Dec-1986,0,0.62,0.6,0.6,85407,0.6
10-Dec-1986,0,0.62,0.62,0.62,8406,0.62
11-Dec-1986,NaN,NaN,NaN,0.62,0,0.62
12-Dec-1986,0,0.62,0.61,0.62,4545793,0.62
15-Dec-1986,0,0.62,0.6,0.62,8406,0.62
16-Dec-1986,0,0.62,0.6,0.6,103791,0.6
17-Dec-1986,0,0.62,0.61,0.61,226992,0.61
18-Dec-1986,0,0.63,0.61,0.62,97208,0.62
19-Dec-1986,0,0.63,0.61,0.61,18795,0.61
22-Dec-1986,0,0.62,0.61,0.62,63195,0.62
23-Dec-1986,0,0.63,0.61,0.62,63195,0.62
24-Dec-1986,0,0.63,0.61,0.63,460796,0.63
26-Dec-1986,0,0.61,0.61,0.61,205,0.61
29-Dec-1986,0,0.63,0.63,0.63,3804,0.63
30-Dec-1986,NaN,NaN,NaN,0.63,0,0.63
31-Dec-1986,0,0.63,0.61,0.61,390995,0.61
02-Jan-1987,0,0.64,0.63,0.63,115205,0.63
05-Jan-1987,0,0.64,0.63,0.64,54197,0.64
06-Jan-1987,0,0.65,0.63,0.63,73196,0.63
07-Jan-1987,0,0.65,0.63,0.65,46200,0.65
08-Jan-1987,0,0.68,0.64,0.65,218609,0.65
09-Jan-1987,0,0.68,0.65,0.66,182592,0.66
12-Jan-1987,0,0.69,0.67,0.68,137599,0.68
13-Jan-1987,0,0.73,0.69,0.73,133407,0.73
14-Jan-1987,0,0.73,0.7,0.72,69209,0.72
15-Jan-1987,0,0.73,0.7,0.7,105591,0.7
16-Jan-1987,0,0.73,0.7,0.7,100989,0.7
19-Jan-1987,0,0.7,0.7,0.7,205,0.7
20-Jan-1987,0,0.73,0.7,0.7,246789,0.7
21-Jan-1987,0,0.73,0.7,0.73,124203,0.73
22-Jan-1987,0,0.73,0.73,0.73,3804,0.73
23-Jan-1987,0,0.75,0.72,0.73,681797,0.73
26-Jan-1987,0,0.75,0.73,0.75,3804,0.75
27-Jan-1987,0,0.75,0.74,0.75,136209,0.75
28-Jan-1987,0,0.77,0.75,0.77,172796,0.77
29-Jan-1987,0,0.8,0.76,0.77,174003,0.77
30-Jan-1987,0,0.8,0.77,0.79,246789,0.79
02-Feb-1987,0,0.79,0.77,0.79,30800,0.79
03-Feb-1987,0,0.78,0.76,0.78,264809,0.78
04-Feb-1987,0,0.78,0.73,0.76,908790,0.76
05-Feb-1987,0,0.76,0.73,0.75,69209,0.75
06-Feb-1987,0,0.75,0.73,0.73,115205,0.73
09-Feb-1987,0,0.75,0.73,0.73,14603,0.73
10-Feb-1987,0,0.75,0.75,0.75,69209,0.75
