Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,NaN,NaN,NaN,0.38,0,0.38
04-Jan-1978,0,0.38,0.37,0.37,30299,0.37
05-Jan-1978,0,0.38,0.37,0.37,14102,0.37
06-Jan-1978,0,0.38,0.37,0.37,75702,0.37
09-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
10-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
11-Jan-1978,0,0.38,0.37,0.37,122799,0.37
12-Jan-1978,0,0.38,0.37,0.37,21103,0.37
13-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
16-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
17-Jan-1978,0,0.38,0.37,0.37,14102,0.37
18-Jan-1978,0,0.38,0.37,0.37,14102,0.37
19-Jan-1978,0,0.38,0.37,0.37,30299,0.37
20-Jan-1978,0,0.38,0.37,0.37,30299,0.37
23-Jan-1978,0,0.38,0.37,0.37,21103,0.37
24-Jan-1978,0,0.38,0.37,0.37,14102,0.37
25-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
26-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
27-Jan-1978,NaN,NaN,NaN,0.37,0,0.37
30-Jan-1978,0,0.38,0.37,0.37,6303,0.37
31-Jan-1978,0,0.38,0.36,0.36,98499,0.36
01-Feb-1978,0,0.38,0.36,0.36,36602,0.36
02-Feb-1978,0,0.38,0.36,0.36,6303,0.36
03-Feb-1978,0,0.38,0.36,0.36,68101,0.36
06-Feb-1978,NaN,NaN,NaN,0.36,0,0.36
07-Feb-1978,0,0.38,0.36,0.36,68101,0.36
08-Feb-1978,0,0.38,0.36,0.36,45403,0.36
09-Feb-1978,0,0.38,0.36,0.36,14102,0.36
10-Feb-1978,NaN,NaN,NaN,0.36,0,0.36
13-Feb-1978,0,0.38,0.36,0.36,14102,0.36
14-Feb-1978,0,0.37,0.36,0.36,14102,0.36
15-Feb-1978,0,0.38,0.36,0.36,190998,0.36
16-Feb-1978,NaN,NaN,NaN,0.36,0,0.36
17-Feb-1978,NaN,NaN,NaN,0.36,0,0.36
21-Feb-1978,0,0.38,0.37,0.37,30299,0.37
22-Feb-1978,0,0.38,0.37,0.37,14102,0.37
23-Feb-1978,NaN,NaN,NaN,0.37,0,0.37
24-Feb-1978,0,0.38,0.37,0.37,6303,0.37
27-Feb-1978,0,0.38,0.37,0.37,68101,0.37
28-Feb-1978,0,0.38,0.37,0.37,6303,0.37
01-Mar-1978,NaN,NaN,NaN,0.37,0,0.37
02-Mar-1978,0,0.38,0.37,0.37,6303,0.37
03-Mar-1978,0,0.38,0.37,0.37,14102,0.37
06-Mar-1978,NaN,NaN,NaN,0.37,0,0.37
07-Mar-1978,0,0.38,0.37,0.37,36602,0.37
08-Mar-1978,0,0.38,0.37,0.37,6303,0.37
09-Mar-1978,0,0.38,0.37,0.37,30299,0.37
10-Mar-1978,0,0.38,0.37,0.37,21103,0.37
13-Mar-1978,0,0.38,0.37,0.37,6303,0.37
14-Mar-1978,0,0.38,0.37,0.37,21103,0.37
15-Mar-1978,0,0.38,0.37,0.37,21103,0.37
16-Mar-1978,0,0.39,0.38,0.38,68101,0.38
17-Mar-1978,0,0.39,0.38,0.38,136900,0.38
20-Mar-1978,0,0.39,0.38,0.38,36602,0.38
21-Mar-1978,0,0.39,0.38,0.38,36602,0.38
22-Mar-1978,0,0.39,0.38,0.38,6303,0.38
23-Mar-1978,0,0.39,0.38,0.38,6303,0.38
27-Mar-1978,0,0.39,0.38,0.38,143902,0.38
28-Mar-1978,0,0.39,0.38,0.38,30299,0.38
29-Mar-1978,0,0.39,0.38,0.38,75702,0.38
30-Mar-1978,0,0.39,0.38,0.38,36602,0.38
31-Mar-1978,0,0.39,0.38,0.38,6303,0.38
