Date,Open,High,Low,Close,Volume,AdjClose
01-Dec-2000,10.5,14.06,10.5,13.53,23200,13.53
04-Dec-2000,13.88,15,13.62,15,31000,15
05-Dec-2000,15.5,15.5,15,15.16,12800,15.16
06-Dec-2000,15,15.19,15,15.03,10400,15.03
07-Dec-2000,15,15,14.81,14.81,2600,14.81
08-Dec-2000,14.97,15,14.97,15,4200,15
11-Dec-2000,14.94,15.19,14.81,15.19,32600,15.19
12-Dec-2000,14.88,15.16,14.88,15.16,3600,15.16
13-Dec-2000,15.25,15.38,15.25,15.38,2400,15.38
14-Dec-2000,15.31,15.31,15.25,15.25,2800,15.25
15-Dec-2000,15.06,15.12,14.75,14.75,83000,14.75
18-Dec-2000,14.75,15.12,14.75,15.12,23200,15.12
19-Dec-2000,15,15.25,15,15.16,3600,15.16
20-Dec-2000,15,15,14.62,14.75,42400,14.75
21-Dec-2000,14.69,14.69,14.38,14.47,243400,14.47
22-Dec-2000,14.75,16.59,14.75,16.34,585200,16.34
26-Dec-2000,16.28,16.44,16.06,16.16,278600,16.16
27-Dec-2000,16.22,16.53,16.22,16.53,404800,16.53
28-Dec-2000,16.34,16.62,16.31,16.59,300200,16.59
29-Dec-2000,16.53,16.66,15.88,16.53,539800,16.53
02-Jan-2001,16.5,17.31,16.5,17.12,570400,17.12
03-Jan-2001,17.44,17.56,17.16,17.38,824200,17.38
04-Jan-2001,17.31,17.38,17.12,17.31,524400,17.31
05-Jan-2001,17.22,17.34,16.75,16.81,1357600,16.81
08-Jan-2001,17,17.03,16.75,16.84,1843600,16.84
09-Jan-2001,16.72,16.81,16.66,16.78,422200,16.78
10-Jan-2001,16.66,16.81,16.62,16.78,414200,16.78
11-Jan-2001,16.78,16.84,16.59,16.72,523200,16.72
12-Jan-2001,16.66,16.72,16.62,16.62,802600,16.62
16-Jan-2001,16.38,16.56,16.38,16.5,541000,16.5
17-Jan-2001,16.5,16.88,16.44,16.72,410200,16.72
18-Jan-2001,16.62,16.78,16.53,16.72,798200,16.72
19-Jan-2001,16.59,16.69,16.41,16.47,511200,16.47
22-Jan-2001,16.22,16.44,16.09,16.22,368400,16.22
23-Jan-2001,16.12,16.31,16,16.31,579800,16.31
24-Jan-2001,16.25,16.34,16,16.28,479800,16.28
25-Jan-2001,16.25,16.62,16.25,16.59,408200,16.59
26-Jan-2001,16.59,16.72,16.53,16.59,645400,16.59
29-Jan-2001,16.51,16.59,16.38,16.41,771600,16.41
30-Jan-2001,16.28,16.28,15.85,15.91,376800,15.91
31-Jan-2001,15.6,16.27,15.6,16.22,633200,16.22
01-Feb-2001,15.8,18,15.8,17.26,1431400,17.26
02-Feb-2001,17.2,17.62,17.05,17.06,1039600,17.06
05-Feb-2001,16.96,17.68,16.85,16.85,665000,16.85
06-Feb-2001,16.6,17.6,16.6,17.5,726600,17.5
07-Feb-2001,17.5,18.22,17.5,18.11,829800,18.11
08-Feb-2001,18,19,17.94,19,1198400,19
09-Feb-2001,18.82,19.26,18.65,19.26,755000,19.26
12-Feb-2001,19.26,19.74,19.13,19.7,781600,19.7
13-Feb-2001,19.3,19.95,19.23,19.6,968800,19.6
14-Feb-2001,19.35,19.55,19.22,19.35,559000,19.35
15-Feb-2001,19.45,19.72,19.43,19.59,495800,19.59
16-Feb-2001,19,19.15,18.62,18.77,446000,18.77
20-Feb-2001,18.76,18.94,18.1,18.1,402600,18.1
21-Feb-2001,18.1,18.28,18.04,18.05,361800,18.05
22-Feb-2001,18.05,18.38,17.84,18.36,635600,18.36
23-Feb-2001,18.36,18.58,18.35,18.52,912800,18.52
26-Feb-2001,18.75,20,18.75,19.75,2159800,19.75
27-Feb-2001,19.25,19.49,19.16,19.24,835800,19.24
28-Feb-2001,19,19.6,18.98,19.06,804800,19.06
01-Mar-2001,19.38,19.5,18.68,19.12,734800,19.12
02-Mar-2001,19.08,20.25,19.02,20.2,1102600,20.2
05-Mar-2001,20.5,23.5,20.1,23.18,2998800,23.18
06-Mar-2001,22.25,22.89,21,21.53,3856400,21.53
07-Mar-2001,21.25,22.65,21.25,22.4,2447200,22.4
08-Mar-2001,22.35,23.75,22.35,23.38,2595600,23.38
09-Mar-2001,23,23.5,22.9,23.42,2293600,23.42
12-Mar-2001,23.12,23.5,23.02,23.1,1365600,23.1
13-Mar-2001,23.12,23.22,22.05,22.5,1011800,22.5
14-Mar-2001,22.25,22.68,21.25,21.48,1620800,21.48
15-Mar-2001,21.6,22.54,21.55,22.48,1240600,22.48
16-Mar-2001,22,22.18,21.79,22.05,1953200,22.05
19-Mar-2001,22.1,22.42,21.75,21.82,776200,21.82
20-Mar-2001,21.85,22.05,21.72,21.73,533000,21.73
21-Mar-2001,21.88,21.88,21.08,21.19,597000,21.19
22-Mar-2001,21.06,21.3,19.7,20.16,853000,20.16
23-Mar-2001,20.45,20.88,20.35,20.7,881000,20.7
26-Mar-2001,20.6,21.08,20.55,20.77,558000,20.77
27-Mar-2001,20.8,20.94,20.7,20.94,676000,20.94
28-Mar-2001,21.19,21.35,21.02,21.04,708400,21.04
29-Mar-2001,21.04,22.74,21.04,22.64,3193000,22.64
30-Mar-2001,22.88,23,22.2,22.25,3572400,22.25
02-Apr-2001,21.85,22.29,21.35,21.62,1173400,21.62
03-Apr-2001,21.65,21.75,20.52,20.72,673800,20.72
04-Apr-2001,20.72,21.25,20.7,21.11,965000,21.11
05-Apr-2001,21.32,21.5,21.07,21.16,302600,21.16
06-Apr-2001,21.12,21.16,20.3,20.48,361800,20.48
09-Apr-2001,20.5,21.08,20.5,20.98,563600,20.98
10-Apr-2001,21.06,21.5,21.02,21.34,798800,21.34
11-Apr-2001,21.24,21.32,20.94,21.02,447000,21.02
12-Apr-2001,20.95,21.3,20.81,21.08,370000,21.08
16-Apr-2001,21.32,22.05,21.32,22,641800,22
17-Apr-2001,21.88,22.27,21.8,22.25,950400,22.25
18-Apr-2001,22.18,22.72,22.18,22.62,1656400,22.62
19-Apr-2001,22.62,22.66,22.32,22.5,452000,22.5
20-Apr-2001,22.62,22.74,22.45,22.56,642800,22.56
23-Apr-2001,21.88,22.78,21.88,22.78,825600,22.78
24-Apr-2001,22.9,24.47,22.9,24.1,2777200,24.1
25-Apr-2001,23.75,25.85,23.75,25.85,3553400,25.85
26-Apr-2001,26,27.25,25.98,27.12,3432400,27.12
27-Apr-2001,27.1,27.62,26.5,27.58,1245000,27.58
30-Apr-2001,27.45,27.46,26.13,26.36,2507000,26.36
01-May-2001,26.4,27.4,25.75,27.32,1262000,27.32
02-May-2001,27,27.25,25.73,25.85,2498000,25.85
03-May-2001,25.8,25.8,25.15,25.5,1657200,25.5
04-May-2001,24.98,26.2,24.5,26.2,1734200,26.2
07-May-2001,26.2,26.62,25.9,25.99,1192000,25.99
08-May-2001,26.1,26.38,25.9,26.04,1081600,26.04
09-May-2001,26.1,26.22,25.6,25.84,718600,25.84
10-May-2001,25.96,27.44,25.94,27.18,1858000,27.18
11-May-2001,27.18,27.4,26.68,26.88,817400,26.88
14-May-2001,26.76,27.05,26.75,26.99,610200,26.99
15-May-2001,26.7,26.95,26.69,26.86,573800,26.86
16-May-2001,26.97,28.5,26.83,28.45,3878000,28.45
17-May-2001,28.5,29.92,28.5,29.5,3602800,29.5
18-May-2001,29.4,29.52,28.86,29.25,1640200,29.25
