Date,Open,High,Low,Close,Volume,AdjClose
29-May-1986,0,2.55,2.52,2.52,3814400,2.52
30-May-1986,0,2.62,2.52,2.6,3574800,2.6
02-Jun-1986,0,2.6,2.55,2.57,2229600,2.57
03-Jun-1986,0,2.6,2.57,2.59,1502400,2.59
04-Jun-1986,0,2.64,2.59,2.62,2441200,2.62
05-Jun-1986,0,2.67,2.62,2.64,2663200,2.64
06-Jun-1986,0,2.7,2.64,2.7,1587200,2.7
09-Jun-1986,0,2.73,2.67,2.67,2592400,2.67
10-Jun-1986,0,2.69,2.64,2.65,736800,2.65
11-Jun-1986,0,2.69,2.65,2.67,808400,2.67
12-Jun-1986,0,2.72,2.67,2.7,852800,2.7
13-Jun-1986,0,2.72,2.69,2.72,1146400,2.72
16-Jun-1986,0,2.72,2.67,2.69,593200,2.69
17-Jun-1986,0,2.69,2.62,2.65,1564000,2.65
18-Jun-1986,0,2.67,2.59,2.6,1560400,2.6
19-Jun-1986,0,2.62,2.59,2.6,1169600,2.6
20-Jun-1986,0,2.64,2.6,2.64,1512800,2.64
23-Jun-1986,0,2.64,2.6,2.64,1078000,2.64
24-Jun-1986,0,2.64,2.6,2.62,380800,2.62
25-Jun-1986,0,2.64,2.62,2.64,1129600,2.64
26-Jun-1986,0,2.64,2.59,2.6,2971600,2.6
27-Jun-1986,0,2.59,2.44,2.52,1516000,2.52
30-Jun-1986,0,2.62,2.51,2.6,2775600,2.6
01-Jul-1986,0,2.62,2.49,2.49,5015200,2.49
02-Jul-1986,0,2.52,2.46,2.49,466400,2.49
03-Jul-1986,0,2.52,2.42,2.49,1464000,2.49
07-Jul-1986,0,2.52,2.33,2.36,811600,2.36
08-Jul-1986,0,2.37,2.31,2.37,1984000,2.37
09-Jul-1986,0,2.42,2.36,2.42,423600,2.42
10-Jul-1986,0,2.52,2.37,2.49,3348000,2.49
11-Jul-1986,0,2.52,2.47,2.51,831200,2.51
14-Jul-1986,0,2.54,2.46,2.51,2220000,2.51
15-Jul-1986,0,2.52,2.49,2.49,1158000,2.49
16-Jul-1986,0,2.52,2.47,2.47,590000,2.47
17-Jul-1986,0,2.52,2.44,2.52,1470400,2.52
18-Jul-1986,0,2.52,2.44,2.49,1019200,2.49
21-Jul-1986,0,2.51,2.46,2.49,522800,2.49
22-Jul-1986,0,2.51,2.44,2.47,710800,2.47
23-Jul-1986,0,2.49,2.44,2.46,1522000,2.46
24-Jul-1986,0,2.47,2.44,2.47,825200,2.47
25-Jul-1986,0,2.47,2.44,2.47,556400,2.47
28-Jul-1986,0,2.46,2.36,2.39,318400,2.39
29-Jul-1986,0,2.41,2.34,2.34,555600,2.34
30-Jul-1986,0,2.39,2.33,2.36,1595600,2.36
31-Jul-1986,0,2.37,2.33,2.34,354000,2.34
01-Aug-1986,0,2.37,2.33,2.36,378000,2.36
04-Aug-1986,0,2.37,2.33,2.36,1032800,2.36
05-Aug-1986,0,2.37,2.34,2.37,487600,2.37
06-Aug-1986,0,2.37,2.33,2.34,449600,2.34
07-Aug-1986,0,2.37,2.33,2.34,652800,2.34
08-Aug-1986,0,2.37,2.33,2.33,139600,2.33
11-Aug-1986,0,2.39,2.33,2.37,1426000,2.37
12-Aug-1986,0,2.42,2.36,2.37,1498400,2.37
13-Aug-1986,0,2.37,2.34,2.36,717600,2.36
14-Aug-1986,0,2.37,2.33,2.37,576400,2.37
15-Aug-1986,0,2.37,2.36,2.37,366400,2.37
18-Aug-1986,0,2.37,2.34,2.37,590000,2.37
19-Aug-1986,0,2.37,2.36,2.36,335200,2.36
20-Aug-1986,0,2.39,2.34,2.39,1010000,2.39
21-Aug-1986,0,2.39,2.34,2.36,2046400,2.36
22-Aug-1986,0,2.37,2.33,2.36,246400,2.36
25-Aug-1986,0,2.39,2.33,2.36,809200,2.36
26-Aug-1986,0,2.39,2.36,2.37,590000,2.37
27-Aug-1986,0,2.39,2.36,2.36,287600,2.36
28-Aug-1986,0,2.37,2.36,2.36,588400,2.36
29-Aug-1986,0,2.37,2.34,2.37,273200,2.37
02-Sep-1986,0,2.36,2.33,2.33,2254800,2.33
03-Sep-1986,0,2.34,2.31,2.34,1158000,2.34
04-Sep-1986,0,2.41,2.23,2.39,1499200,2.39
05-Sep-1986,0,2.42,2.36,2.36,2762000,2.36
08-Sep-1986,0,2.39,2.36,2.36,398400,2.36
09-Sep-1986,0,2.41,2.36,2.37,539600,2.37
10-Sep-1986,0,2.41,2.34,2.41,422800,2.41
11-Sep-1986,0,2.37,2.23,2.26,806800,2.26
12-Sep-1986,0,2.29,2.19,2.19,889200,2.19
15-Sep-1986,0,2.21,2.03,2.13,532800,2.13
16-Sep-1986,0,2.13,2.1,2.13,455600,2.13
17-Sep-1986,0,2.29,2.1,2.23,693200,2.23
18-Sep-1986,0,2.29,2.19,2.19,571600,2.19
19-Sep-1986,0,2.24,2.19,2.24,503200,2.24
22-Sep-1986,0,2.31,2.19,2.28,743600,2.28
23-Sep-1986,0,2.28,2.23,2.26,184800,2.26
24-Sep-1986,0,2.28,2.23,2.26,1094800,2.26
25-Sep-1986,0,2.24,2.19,2.21,694800,2.21
26-Sep-1986,0,2.24,2.21,2.24,395600,2.24
29-Sep-1986,0,2.24,2.18,2.19,230400,2.19
30-Sep-1986,0,2.21,2.16,2.21,128400,2.21
01-Oct-1986,0,2.23,2.19,2.23,191600,2.23
02-Oct-1986,0,2.23,2.18,2.19,275600,2.19
03-Oct-1986,0,2.24,2.19,2.19,509200,2.19
06-Oct-1986,0,2.23,2.19,2.19,146400,2.19
07-Oct-1986,0,2.23,2.19,2.23,436800,2.23
08-Oct-1986,0,2.23,2.19,2.23,263200,2.23
09-Oct-1986,0,2.21,2.19,2.19,221200,2.19
10-Oct-1986,0,2.21,2.18,2.19,556400,2.19
13-Oct-1986,0,2.21,2.16,2.16,123600,2.16
14-Oct-1986,0,2.19,2.16,2.18,759600,2.18
15-Oct-1986,0,2.24,2.18,2.23,1205200,2.23
16-Oct-1986,0,2.26,2.21,2.23,1252800,2.23
17-Oct-1986,0,2.23,2.18,2.19,340400,2.19
20-Oct-1986,0,2.19,2.16,2.19,1667200,2.19
21-Oct-1986,0,2.19,2.16,2.18,593200,2.18
22-Oct-1986,0,2.19,2.16,2.18,211600,2.18
23-Oct-1986,0,2.23,2.16,2.23,306800,2.23
24-Oct-1986,0,2.36,2.19,2.31,452000,2.31
27-Oct-1986,0,2.33,2.29,2.31,716000,2.31
28-Oct-1986,0,2.34,2.31,2.33,326800,2.33
29-Oct-1986,0,2.39,2.33,2.39,655600,2.39
30-Oct-1986,0,2.47,2.36,2.47,784800,2.47
31-Oct-1986,0,2.49,2.44,2.49,1316800,2.49
03-Nov-1986,0,2.55,2.47,2.54,618400,2.54
04-Nov-1986,0,2.57,2.52,2.54,478000,2.54
05-Nov-1986,0,2.59,2.54,2.59,987600,2.59
06-Nov-1986,0,2.64,2.59,2.64,812400,2.64
07-Nov-1986,0,2.69,2.62,2.67,577200,2.67
10-Nov-1986,0,2.67,2.6,2.67,374800,2.67
11-Nov-1986,0,2.72,2.67,2.72,952000,2.72
12-Nov-1986,0,2.73,2.55,2.55,1084000,2.55
13-Nov-1986,0,2.69,2.57,2.6,1914400,2.6
