Date,Open,High,Low,Close,Volume,AdjClose
20-May-1986,0,16.11,15.86,15.92,53467,15.92
21-May-1986,0,15.92,15.55,15.55,86533,15.55
22-May-1986,0,15.48,15.3,15.48,62067,15.48
23-May-1986,0,15.73,15.42,15.73,49267,15.73
27-May-1986,0,16.3,15.86,16.3,68267,16.3
28-May-1986,0,16.42,16.3,16.36,137533,16.36
29-May-1986,0,16.23,16.17,16.23,2000,16.23
30-May-1986,0,16.3,16.23,16.3,8800,16.3
02-Jun-1986,0,16.3,15.86,15.86,21867,15.86
03-Jun-1986,0,15.86,15.73,15.86,2000,15.86
04-Jun-1986,0,15.73,15.55,15.67,12000,15.67
05-Jun-1986,0,15.67,15.61,15.67,3000,15.67
06-Jun-1986,0,15.73,15.67,15.73,1400,15.73
09-Jun-1986,0,15.8,15.55,15.73,6800,15.73
10-Jun-1986,0,15.24,14.86,14.98,25467,14.98
11-Jun-1986,0,14.49,14.24,14.24,21867,14.24
12-Jun-1986,0,14.11,13.74,13.74,8200,13.74
13-Jun-1986,0,13.8,13.74,13.8,13200,13.8
16-Jun-1986,0,13.61,12.99,12.99,16600,12.99
17-Jun-1986,0,13.11,12.86,12.86,10400,12.86
18-Jun-1986,0,13.61,13.11,13.61,30467,13.61
19-Jun-1986,0,14.42,13.86,14.3,33867,14.3
20-Jun-1986,0,14.74,14.49,14.74,15400,14.74
23-Jun-1986,0,14.49,14.24,14.36,10400,14.36
24-Jun-1986,0,13.86,13.8,13.86,13200,13.86
25-Jun-1986,0,13.67,13.17,13.61,31667,13.61
26-Jun-1986,0,13.92,13.74,13.74,8800,13.74
27-Jun-1986,0,13.67,13.49,13.61,13800,13.61
30-Jun-1986,0,13.36,13.11,13.11,44067,13.11
01-Jul-1986,0,12.86,12.74,12.86,10800,12.86
02-Jul-1986,0,12.36,12.24,12.24,24467,12.24
03-Jul-1986,0,12.11,11.86,11.86,27867,11.86
07-Jul-1986,0,12.11,11.36,11.61,29267,11.61
08-Jul-1986,0,11.68,11.36,11.68,11400,11.68
09-Jul-1986,0,12.05,11.8,12.05,24267,12.05
10-Jul-1986,0,12.55,12.11,12.55,33667,12.55
11-Jul-1986,0,12.99,12.61,12.99,21867,12.99
14-Jul-1986,0,12.92,12.61,12.74,11000,12.74
15-Jul-1986,0,12.43,12.24,12.43,6400,12.43
16-Jul-1986,0,12.99,12.49,12.8,48667,12.8
17-Jul-1986,0,12.74,12.61,12.74,21667,12.74
18-Jul-1986,0,12.8,12.74,12.74,59267,12.74
21-Jul-1986,0,12.86,12.74,12.8,25867,12.8
22-Jul-1986,0,12.74,12.61,12.61,5200,12.61
23-Jul-1986,0,12.49,12.43,12.43,7000,12.43
24-Jul-1986,0,12.24,11.99,12.05,19067,12.05
25-Jul-1986,0,12.11,11.99,12.11,400,12.11
28-Jul-1986,0,12.11,11.99,11.99,4200,11.99
29-Jul-1986,0,12.11,11.99,11.99,24467,11.99
30-Jul-1986,0,12.11,11.99,12.11,400,12.11
31-Jul-1986,0,12.3,12.24,12.3,7800,12.3
01-Aug-1986,0,12.61,12.43,12.61,20667,12.61
04-Aug-1986,0,12.49,12.3,12.3,22667,12.3
05-Aug-1986,0,12.86,12.49,12.68,38667,12.68
06-Aug-1986,0,13.61,12.8,13.42,78267,13.42
07-Aug-1986,0,14.05,13.42,13.92,27067,13.92
08-Aug-1986,0,13.99,13.86,13.92,10600,13.92
11-Aug-1986,0,13.74,13.74,13.74,400,13.74
12-Aug-1986,0,13.11,12.99,13.05,13800,13.05
13-Aug-1986,0,13.74,13.49,13.67,42667,13.67
14-Aug-1986,0,14.36,13.86,14.11,91533,14.11
15-Aug-1986,0,14.61,14.11,14.61,31067,14.61
18-Aug-1986,0,15.05,14.74,15.05,39867,15.05
19-Aug-1986,0,15.11,14.8,14.92,17667,14.92
20-Aug-1986,0,14.86,14.61,14.61,39667,14.61
21-Aug-1986,0,14.61,14.61,14.61,600,14.61
22-Aug-1986,0,14.67,14.55,14.67,4400,14.67
25-Aug-1986,0,14.61,14.55,14.55,6000,14.55
26-Aug-1986,0,14.36,14.36,14.36,1200,14.36
27-Aug-1986,0,14.24,14.24,14.24,400,14.24
28-Aug-1986,0,14.17,13.99,14.17,7000,14.17
29-Aug-1986,0,14.74,14.36,14.74,10400,14.74
02-Sep-1986,0,15.24,14.92,15.24,32067,15.24
03-Sep-1986,0,16.05,15.48,15.73,13600,15.73
04-Sep-1986,0,15.73,15.61,15.73,5200,15.73
05-Sep-1986,0,15.98,15.73,15.8,16200,15.8
08-Sep-1986,0,15.67,15.48,15.48,2600,15.48
09-Sep-1986,0,15.36,15.36,15.36,2400,15.36
10-Sep-1986,0,15.86,15.48,15.86,28067,15.86
11-Sep-1986,0,17.48,16.11,16.48,100733,16.48
12-Sep-1986,0,17.55,16.73,17.48,31067,17.48
15-Sep-1986,0,17.23,16.67,16.73,13400,16.73
16-Sep-1986,0,16.55,16.23,16.48,30067,16.48
17-Sep-1986,0,16.42,16.36,16.42,20267,16.42
18-Sep-1986,0,16.3,16.05,16.05,32067,16.05
19-Sep-1986,0,16.67,16.36,16.67,19267,16.67
22-Sep-1986,0,16.98,16.73,16.98,6400,16.98
23-Sep-1986,0,17.61,17.11,17.61,38867,17.61
24-Sep-1986,0,17.92,17.67,17.73,6400,17.73
25-Sep-1986,0,17.61,17.55,17.55,71267,17.55
26-Sep-1986,0,18.29,17.98,18.29,15200,18.29
29-Sep-1986,0,18.48,18.11,18.11,11200,18.11
30-Sep-1986,0,17.92,17.79,17.92,11400,17.92
01-Oct-1986,0,18.11,17.98,17.98,22667,17.98
02-Oct-1986,0,19.23,18.67,18.98,30667,18.98
03-Oct-1986,0,20.04,19.61,19.86,10600,19.86
06-Oct-1986,0,20.98,20.23,20.73,113133,20.73
07-Oct-1986,0,20.73,20.36,20.48,21067,20.48
08-Oct-1986,0,20.29,19.86,19.86,14800,19.86
09-Oct-1986,0,19.61,18.86,19.48,50667,19.48
10-Oct-1986,0,19.98,19.73,19.98,10000,19.98
