Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,8.81,8.62,8.69,112200,8.69
04-Jan-1978,0,8.62,8.44,8.56,175800,8.56
05-Jan-1978,0,8.69,8.44,8.5,88800,8.5
06-Jan-1978,0,8.5,8.38,8.5,106800,8.5
09-Jan-1978,0,8.44,8.31,8.38,164600,8.38
10-Jan-1978,0,8.44,8.25,8.38,187800,8.38
11-Jan-1978,0,8.38,8.19,8.31,119600,8.31
12-Jan-1978,0,8.44,8.25,8.44,122000,8.44
13-Jan-1978,0,8.44,8.25,8.38,156200,8.38
16-Jan-1978,0,8.38,8.12,8.31,145000,8.31
17-Jan-1978,0,8.44,8.31,8.31,180200,8.31
18-Jan-1978,0,8.5,8.38,8.5,111000,8.5
19-Jan-1978,0,8.56,8.44,8.5,101200,8.5
20-Jan-1978,0,8.5,8.31,8.44,39200,8.44
23-Jan-1978,0,8.44,8.38,8.44,176400,8.44
24-Jan-1978,0,8.56,8.38,8.5,137600,8.5
25-Jan-1978,0,8.56,8.44,8.44,125800,8.44
26-Jan-1978,0,8.5,8.38,8.44,91600,8.44
27-Jan-1978,0,8.5,8.38,8.38,43800,8.38
30-Jan-1978,0,8.5,8.38,8.44,146800,8.44
31-Jan-1978,0,8.5,8.38,8.38,66400,8.38
01-Feb-1978,0,8.5,8.38,8.38,40200,8.38
02-Feb-1978,0,8.5,8.38,8.38,115200,8.38
03-Feb-1978,0,8.5,8.38,8.5,50600,8.5
06-Feb-1978,0,8.5,8.44,8.44,59400,8.44
07-Feb-1978,0,8.75,8.44,8.69,109400,8.69
08-Feb-1978,0,8.62,8.44,8.56,106000,8.56
09-Feb-1978,0,8.56,8.44,8.44,53000,8.44
10-Feb-1978,0,8.56,8.38,8.5,135600,8.5
13-Feb-1978,0,8.62,8.5,8.56,61800,8.56
14-Feb-1978,0,8.62,8.38,8.44,87000,8.44
15-Feb-1978,0,8.44,8.31,8.38,64800,8.38
16-Feb-1978,0,8.31,8.12,8.25,188600,8.25
17-Feb-1978,0,8.31,8.19,8.25,102600,8.25
21-Feb-1978,0,8.19,8.06,8.12,195800,8.12
22-Feb-1978,0,8.19,8,8.06,148800,8.06
23-Feb-1978,0,8.12,8,8,133600,8
24-Feb-1978,0,8.12,8,8.12,280800,8.12
27-Feb-1978,0,8.12,8,8.06,54800,8.06
28-Feb-1978,0,8,7.88,8,139800,8
01-Mar-1978,0,8,7.88,7.94,293000,7.94
02-Mar-1978,0,7.94,7.88,7.94,110400,7.94
03-Mar-1978,0,8,7.94,8,84000,8
06-Mar-1978,0,8,7.88,7.94,63000,7.94
07-Mar-1978,0,8,7.94,8,77600,8
08-Mar-1978,0,8,7.88,7.94,177600,7.94
09-Mar-1978,0,8,7.88,7.94,128600,7.94
10-Mar-1978,0,8,7.81,7.94,240800,7.94
13-Mar-1978,0,8.06,8,8.06,118400,8.06
14-Mar-1978,0,8.06,7.88,8.06,131800,8.06
15-Mar-1978,0,8.19,8,8.19,200800,8.19
16-Mar-1978,0,8.19,8.06,8.12,99800,8.12
17-Mar-1978,0,8.38,8.12,8.38,94400,8.38
20-Mar-1978,0,8.69,8.5,8.62,149200,8.62
21-Mar-1978,0,8.62,8.44,8.5,87800,8.5
22-Mar-1978,0,8.5,8.38,8.44,64200,8.44
23-Mar-1978,0,8.38,8.25,8.31,102000,8.31
27-Mar-1978,0,8.31,8.06,8.12,129400,8.12
28-Mar-1978,0,8.31,8.19,8.31,77600,8.31
29-Mar-1978,0,8.56,8.38,8.5,176200,8.5
30-Mar-1978,0,8.56,8.38,8.5,231600,8.5
31-Mar-1978,0,8.56,8.38,8.44,78000,8.44
03-Apr-1978,0,8.56,8.38,8.56,59800,8.56
04-Apr-1978,0,8.56,8.44,8.5,86200,8.5
05-Apr-1978,0,8.62,8.44,8.56,149400,8.56
06-Apr-1978,0,8.62,8.56,8.62,36000,8.62
07-Apr-1978,0,8.62,8.56,8.56,84200,8.56
10-Apr-1978,0,8.69,8.5,8.69,190200,8.69
11-Apr-1978,0,9.06,8.56,8.62,79600,8.62
12-Apr-1978,0,8.62,8.56,8.62,78000,8.62
13-Apr-1978,0,8.69,8.56,8.62,324000,8.62
14-Apr-1978,0,8.81,8.62,8.69,131600,8.69
17-Apr-1978,0,9,8.75,8.81,275600,8.81
18-Apr-1978,0,8.81,8.62,8.69,128800,8.69
19-Apr-1978,0,8.94,8.56,8.62,154000,8.62
20-Apr-1978,0,8.81,8.62,8.69,177000,8.69
21-Apr-1978,0,8.75,8.62,8.69,161200,8.69
24-Apr-1978,0,8.75,8.62,8.75,109400,8.75
25-Apr-1978,0,8.88,8.56,8.62,202200,8.62
26-Apr-1978,0,8.88,8.62,8.81,254800,8.81
27-Apr-1978,0,8.94,8.69,8.81,176400,8.81
28-Apr-1978,0,8.81,8.69,8.75,82200,8.75
01-May-1978,0,9,8.69,8.94,127400,8.94
02-May-1978,0,8.94,8.75,8.88,135800,8.88
03-May-1978,0,8.88,8.69,8.75,227000,8.75
04-May-1978,0,8.75,8.56,8.62,133600,8.62
05-May-1978,0,8.69,8.56,8.69,124000,8.69
08-May-1978,0,8.69,8.56,8.62,123400,8.62
09-May-1978,0,8.56,8.38,8.44,61000,8.44
10-May-1978,0,8.81,8.38,8.5,85600,8.5
11-May-1978,0,8.5,8.38,8.38,164200,8.38
12-May-1978,0,8.62,8.44,8.56,166200,8.56
15-May-1978,0,8.62,8.5,8.62,133400,8.62
16-May-1978,0,8.75,8.62,8.75,107600,8.75
17-May-1978,0,8.75,8.69,8.69,70200,8.69
18-May-1978,0,8.81,8.62,8.62,175000,8.62
19-May-1978,0,8.62,8.5,8.62,81800,8.62
22-May-1978,0,8.69,8.56,8.56,88200,8.56
23-May-1978,0,8.62,8.5,8.62,134400,8.62
24-May-1978,0,8.62,8.5,8.56,135000,8.56
25-May-1978,0,8.69,8.56,8.69,84200,8.69
26-May-1978,0,8.62,8.5,8.56,85800,8.56
30-May-1978,0,8.62,8.5,8.56,74400,8.56
31-May-1978,0,8.69,8.5,8.62,81200,8.62
01-Jun-1978,0,8.69,8.56,8.56,67400,8.56
02-Jun-1978,0,8.69,8.5,8.62,121800,8.62
05-Jun-1978,0,8.69,8.5,8.69,126200,8.69
06-Jun-1978,0,8.81,8.62,8.69,152800,8.69
07-Jun-1978,0,8.62,8.5,8.56,69200,8.56
08-Jun-1978,0,8.56,8.44,8.44,163800,8.44
09-Jun-1978,0,8.56,8.44,8.56,94800,8.56
12-Jun-1978,0,8.62,8.5,8.56,112800,8.56
13-Jun-1978,0,8.62,8.5,8.56,164200,8.56
14-Jun-1978,0,8.62,8.38,8.44,179400,8.44
15-Jun-1978,0,8.5,8.38,8.38,286800,8.38
16-Jun-1978,0,8.44,8.31,8.38,186800,8.38
19-Jun-1978,0,8.5,8.38,8.44,149400,8.44
20-Jun-1978,0,8.5,8.38,8.38,285800,8.38
21-Jun-1978,0,8.38,8.31,8.31,247600,8.31
22-Jun-1978,0,8.38,8.31,8.31,127400,8.31
23-Jun-1978,0,8.38,8.31,8.31,181800,8.31
26-Jun-1978,0,8.38,8.31,8.38,76600,8.38
27-Jun-1978,0,8.38,8.25,8.31,210600,8.31
28-Jun-1978,0,8.38,8.31,8.38,61600,8.38
29-Jun-1978,0,8.44,8.31,8.44,51400,8.44
30-Jun-1978,0,8.44,8.38,8.44,40600,8.44
03-Jul-1978,0,8.44,8.38,8.44,64600,8.44
05-Jul-1978,0,8.44,8.31,8.44,92400,8.44
06-Jul-1978,0,8.44,8.31,8.31,143800,8.31
07-Jul-1978,0,8.44,8.31,8.38,77800,8.38
10-Jul-1978,0,8.38,8.31,8.38,135600,8.38
11-Jul-1978,0,8.44,8.31,8.38,44000,8.38
12-Jul-1978,0,8.44,8.31,8.38,59600,8.38
13-Jul-1978,0,8.38,8.25,8.25,110800,8.25
14-Jul-1978,0,8.38,8.25,8.38,61800,8.38
17-Jul-1978,0,8.44,8.31,8.38,81600,8.38
18-Jul-1978,0,8.38,8.19,8.31,79800,8.31
19-Jul-1978,0,8.31,8.19,8.31,283200,8.31
20-Jul-1978,0,8.31,8.25,8.25,94000,8.25
21-Jul-1978,0,8.25,8.19,8.25,71400,8.25
24-Jul-1978,0,8.31,8.19,8.19,108200,8.19
25-Jul-1978,0,8.44,8.19,8.44,125000,8.44
26-Jul-1978,0,8.5,8.38,8.44,377000,8.44
27-Jul-1978,0,8.62,8.38,8.62,414000,8.62
28-Jul-1978,0,8.75,8.56,8.75,187400,8.75
31-Jul-1978,0,9.19,8.88,9.19,174800,9.19
01-Aug-1978,0,9.25,9.12,9.12,368200,9.12
02-Aug-1978,0,9.25,9,9.25,101200,9.25
03-Aug-1978,0,9.25,8.94,9,144000,9
04-Aug-1978,0,9.12,8.94,9.06,123200,9.06
07-Aug-1978,0,9.19,9.06,9.19,222200,9.19
08-Aug-1978,0,9.25,9.12,9.25,251400,9.25
09-Aug-1978,0,9.25,9.06,9.06,197400,9.06
10-Aug-1978,0,9.06,8.94,9,129000,9
11-Aug-1978,0,9,8.81,8.81,275200,8.81
14-Aug-1978,0,9,8.81,8.88,269600,8.88
15-Aug-1978,0,8.94,8.88,8.94,146400,8.94
16-Aug-1978,0,9.06,8.81,8.88,372800,8.88
17-Aug-1978,0,9.06,9,9.06,360400,9.06
18-Aug-1978,0,9.19,9.06,9.19,427800,9.19
21-Aug-1978,0,9.19,9.06,9.12,493400,9.12
22-Aug-1978,0,9.06,9,9,180200,9
23-Aug-1978,0,9,8.88,8.88,404600,8.88
24-Aug-1978,0,8.94,8.81,8.94,205200,8.94
25-Aug-1978,0,8.94,8.5,8.94,58000,8.94
28-Aug-1978,0,8.94,8.69,8.75,242200,8.75
29-Aug-1978,0,8.88,8.69,8.75,180600,8.75
30-Aug-1978,0,8.81,8.56,8.56,312400,8.56
31-Aug-1978,0,8.62,8.5,8.5,181400,8.5
01-Sep-1978,0,8.62,8.5,8.5,300400,8.5
05-Sep-1978,0,8.62,8.5,8.56,230000,8.56
06-Sep-1978,0,8.62,8.5,8.62,360600,8.62
07-Sep-1978,0,8.75,8.62,8.62,322400,8.62
08-Sep-1978,0,8.81,8.62,8.69,340200,8.69
11-Sep-1978,0,8.75,8.62,8.75,518200,8.75
12-Sep-1978,0,8.75,8.62,8.69,134800,8.69
13-Sep-1978,0,8.75,8.62,8.69,245400,8.69
14-Sep-1978,0,8.69,8.62,8.62,175400,8.62
15-Sep-1978,0,8.62,8.5,8.62,128600,8.62
18-Sep-1978,0,8.75,8.62,8.62,231400,8.62
19-Sep-1978,0,8.69,8.62,8.62,147800,8.62
20-Sep-1978,0,8.69,8.5,8.56,148400,8.56
21-Sep-1978,0,8.62,8.56,8.56,188800,8.56
22-Sep-1978,0,8.88,8.56,8.62,139600,8.62
25-Sep-1978,0,8.69,8.5,8.56,344400,8.56
26-Sep-1978,0,8.62,8.5,8.62,99000,8.62
27-Sep-1978,0,8.62,8.56,8.62,108000,8.62
28-Sep-1978,0,8.62,8.56,8.62,50400,8.62
29-Sep-1978,0,8.69,8.62,8.69,269200,8.69
02-Oct-1978,0,8.69,8.62,8.69,139600,8.69
03-Oct-1978,0,8.81,8.75,8.75,99400,8.75
04-Oct-1978,0,8.75,8.62,8.75,277600,8.75
05-Oct-1978,0,8.75,8.69,8.75,124000,8.75
06-Oct-1978,0,8.75,8.69,8.75,162800,8.75
09-Oct-1978,0,8.81,8.69,8.81,129600,8.81
10-Oct-1978,0,8.88,8.69,8.81,158000,8.81
11-Oct-1978,0,8.94,8.75,8.94,202200,8.94
12-Oct-1978,0,9.06,8.94,9,247600,9
13-Oct-1978,0,9,8.88,8.94,83000,8.94
16-Oct-1978,0,8.94,8.81,8.81,94800,8.81
17-Oct-1978,0,8.69,8.56,8.62,136400,8.62
18-Oct-1978,0,8.62,8.56,8.62,227600,8.62
19-Oct-1978,0,8.62,8.5,8.56,303000,8.56
20-Oct-1978,0,8.5,8.38,8.44,106000,8.44
23-Oct-1978,0,8.44,8.12,8.19,139600,8.19
24-Oct-1978,0,8.38,8.25,8.31,118600,8.31
25-Oct-1978,0,8.38,8.19,8.19,469800,8.19
26-Oct-1978,0,8.44,8.25,8.31,62800,8.31
27-Oct-1978,0,8.38,8,8,620400,8
30-Oct-1978,0,8,7.69,7.94,166400,7.94
31-Oct-1978,0,8.06,7.81,7.88,107000,7.88
01-Nov-1978,0,8.06,7.88,8,134600,8
02-Nov-1978,0,8.12,7.75,7.81,259200,7.81
03-Nov-1978,0,7.81,7.69,7.69,193000,7.69
06-Nov-1978,0,7.88,7.69,7.88,198400,7.88
07-Nov-1978,0,7.88,7.75,7.88,73000,7.88
08-Nov-1978,0,8.06,7.81,8.06,98000,8.06
09-Nov-1978,0,8.19,8.06,8.06,151600,8.06
10-Nov-1978,0,8.12,7.94,8,183600,8
13-Nov-1978,0,8.06,7.94,7.94,66600,7.94
14-Nov-1978,0,8,7.81,7.81,81600,7.81
15-Nov-1978,0,7.94,7.81,7.81,74600,7.81
16-Nov-1978,0,8.06,7.81,7.94,76400,7.94
17-Nov-1978,0,8.12,8,8.06,91400,8.06
20-Nov-1978,0,8.12,8.06,8.12,110200,8.12
21-Nov-1978,0,8.12,8.06,8.06,74000,8.06
22-Nov-1978,0,8.19,8.06,8.12,64200,8.12
24-Nov-1978,0,8.19,8.12,8.19,28400,8.19
27-Nov-1978,0,8.19,8.06,8.12,76800,8.12
28-Nov-1978,0,8.12,8,8,100000,8
29-Nov-1978,0,8,7.81,7.94,109400,7.94
30-Nov-1978,0,7.94,7.81,7.88,46400,7.88
01-Dec-1978,0,8,7.88,7.94,111000,7.94
04-Dec-1978,0,8,7.88,7.94,59200,7.94
05-Dec-1978,0,8.06,7.88,8,260000,8
06-Dec-1978,0,8.06,7.88,7.88,151800,7.88
07-Dec-1978,0,8,7.88,7.88,205200,7.88
08-Dec-1978,0,7.94,7.81,7.94,118000,7.94
11-Dec-1978,0,7.94,7.81,7.88,125400,7.88
12-Dec-1978,0,7.94,7.81,7.94,116000,7.94
13-Dec-1978,0,8,7.88,7.88,160200,7.88
14-Dec-1978,0,8.12,7.88,8.06,179800,8.06
15-Dec-1978,0,8.06,8,8,96000,8
18-Dec-1978,0,8,7.81,7.81,171800,7.81
19-Dec-1978,0,7.88,7.75,7.81,104000,7.81
20-Dec-1978,0,8.12,7.81,8,116800,8
21-Dec-1978,0,8.12,8,8,163800,8
22-Dec-1978,0,8.12,8.06,8.12,68200,8.12
26-Dec-1978,0,8.25,8.12,8.25,156400,8.25
