Date,Open,High,Low,Close,Volume,AdjClose
17-Feb-1978,0,7.34,6.69,6.69,100,0.98
21-Feb-1978,0,7.34,6.66,6.66,1800,0.98
22-Feb-1978,NaN,NaN,NaN,6.66,0,0.98
23-Feb-1978,NaN,NaN,NaN,6.66,0,0.98
24-Feb-1978,NaN,NaN,NaN,6.66,0,0.98
27-Feb-1978,0,7.34,6.66,6.66,100,0.98
28-Feb-1978,0,7.34,6.66,6.66,700,0.98
01-Mar-1978,NaN,NaN,NaN,6.66,0,0.98
02-Mar-1978,0,7.34,6.66,6.66,1800,0.98
03-Mar-1978,NaN,NaN,NaN,6.66,0,0.98
06-Mar-1978,NaN,NaN,NaN,6.66,0,0.98
07-Mar-1978,NaN,NaN,NaN,6.66,0,0.98
08-Mar-1978,NaN,NaN,NaN,6.66,0,0.98
09-Mar-1978,NaN,NaN,NaN,6.84,0,1
10-Mar-1978,0,7.66,7,7,300,1.03
13-Mar-1978,0,7.66,7,7,100,1.03
14-Mar-1978,NaN,NaN,NaN,7,0,1.03
15-Mar-1978,0,7.66,7,7,100,1.03
16-Mar-1978,0,7.66,7,7,1800,1.03
17-Mar-1978,0,7.66,7,7,100,1.03
20-Mar-1978,NaN,NaN,NaN,7,0,1.03
21-Mar-1978,NaN,NaN,NaN,6.84,0,1
22-Mar-1978,0,7.84,7.16,7.16,600,1.05
23-Mar-1978,NaN,NaN,NaN,7.16,0,1.05
27-Mar-1978,NaN,NaN,NaN,7.16,0,1.05
28-Mar-1978,0,8,7.34,7.34,100,1.08
29-Mar-1978,NaN,NaN,NaN,7.34,0,1.08
30-Mar-1978,NaN,NaN,NaN,7.34,0,1.08
31-Mar-1978,NaN,NaN,NaN,7.34,0,1.08
03-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
04-Apr-1978,0,8,7.34,7.34,700,1.08
05-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
06-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
07-Apr-1978,0,8,7.34,7.34,600,1.08
10-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
11-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
12-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
13-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
14-Apr-1978,0,8,7.34,7.34,1300,1.08
17-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
18-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
19-Apr-1978,0,8,7.34,7.34,100,1.08
20-Apr-1978,0,8,7.34,7.34,100,1.08
21-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
24-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
25-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
26-Apr-1978,NaN,NaN,NaN,7.34,0,1.08
27-Apr-1978,0,8,7.34,7.34,3600,1.08
28-Apr-1978,0,8,7.34,7.34,3000,1.08
01-May-1978,0,8,7.34,7.34,3000,1.08
02-May-1978,0,7.66,7,7,2100,1.03
03-May-1978,0,7.66,7,7,400,1.03
04-May-1978,0,7.66,7,7,3000,1.03
05-May-1978,0,7.66,7,7,300,1.03
08-May-1978,0,7.84,7.16,7.16,600,1.05
09-May-1978,0,7.84,7.16,7.16,400,1.05
10-May-1978,NaN,NaN,NaN,7.16,0,1.05
11-May-1978,0,7.84,7.16,7.16,100,1.05
12-May-1978,NaN,NaN,NaN,7.16,0,1.05
15-May-1978,0,8,7.34,7.34,100,1.08
16-May-1978,NaN,NaN,NaN,7.34,0,1.08
17-May-1978,NaN,NaN,NaN,7.34,0,1.08
18-May-1978,0,8,7.34,7.34,700,1.08
19-May-1978,NaN,NaN,NaN,7.34,0,1.08
22-May-1978,NaN,NaN,NaN,7.34,0,1.08
