Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,5.81,5.69,5.69,99200,5.69
04-Jan-1978,0,5.66,5.52,5.52,96800,5.52
05-Jan-1978,0,5.56,5.45,5.45,89600,5.45
06-Jan-1978,0,5.42,5.3,5.31,225600,5.31
09-Jan-1978,0,5.27,5.03,5.05,579200,5.05
10-Jan-1978,0,5.11,4.98,5.06,249600,5.06
11-Jan-1978,0,5.11,4.97,4.97,84000,4.97
12-Jan-1978,0,5.16,5,5.14,120800,5.14
13-Jan-1978,0,5.22,5.14,5.16,277600,5.16
16-Jan-1978,0,5.17,5.12,5.14,40000,5.14
17-Jan-1978,0,5.16,5.05,5.05,247200,5.05
18-Jan-1978,0,5.14,5.06,5.06,157600,5.06
19-Jan-1978,0,5.17,5.09,5.17,171200,5.17
20-Jan-1978,0,5.19,5.11,5.11,41600,5.11
23-Jan-1978,0,5.17,5.11,5.11,48000,5.11
24-Jan-1978,0,5.16,5.11,5.16,135200,5.16
25-Jan-1978,0,5.25,5.19,5.22,118400,5.22
26-Jan-1978,0,5.34,5.23,5.31,176000,5.31
27-Jan-1978,0,5.3,5.23,5.25,162400,5.25
30-Jan-1978,0,5.23,5.14,5.22,115200,5.22
31-Jan-1978,0,5.23,5.2,5.22,120000,5.22
01-Feb-1978,0,5.27,5.2,5.25,127200,5.25
02-Feb-1978,0,5.28,5.23,5.23,31200,5.23
03-Feb-1978,0,5.27,5.23,5.27,94400,5.27
06-Feb-1978,0,5.25,5.23,5.25,22400,5.25
07-Feb-1978,0,5.28,5.25,5.28,54400,5.28
08-Feb-1978,0,5.33,5.3,5.31,86400,5.31
09-Feb-1978,0,5.36,5.33,5.36,127200,5.36
10-Feb-1978,0,5.41,5.34,5.38,164800,5.38
13-Feb-1978,0,5.42,5.34,5.34,56000,5.34
14-Feb-1978,0,5.31,5.27,5.27,85600,5.27
15-Feb-1978,0,5.25,5.22,5.23,12800,5.23
16-Feb-1978,0,5.28,5.22,5.28,79200,5.28
17-Feb-1978,0,5.34,5.3,5.34,87200,5.34
21-Feb-1978,0,5.36,5.23,5.28,346400,5.28
22-Feb-1978,0,5.31,5.27,5.28,73600,5.28
23-Feb-1978,0,5.28,5.25,5.28,51200,5.28
24-Feb-1978,0,5.38,5.27,5.38,463200,5.38
27-Feb-1978,0,5.44,5.36,5.36,64000,5.36
28-Feb-1978,0,5.38,5.34,5.34,118400,5.34
01-Mar-1978,0,5.44,5.33,5.42,192000,5.42
02-Mar-1978,0,5.38,5.25,5.27,144000,5.27
03-Mar-1978,0,5.42,5.27,5.41,231200,5.41
06-Mar-1978,0,5.39,5.34,5.38,172000,5.38
07-Mar-1978,0,5.47,5.38,5.45,109600,5.45
08-Mar-1978,0,5.58,5.5,5.58,116800,5.58
09-Mar-1978,0,5.72,5.58,5.69,220800,5.69
10-Mar-1978,0,5.72,5.64,5.66,145600,5.66
13-Mar-1978,0,5.72,5.66,5.66,68800,5.66
14-Mar-1978,0,5.7,5.62,5.69,56000,5.69
15-Mar-1978,0,5.75,5.67,5.72,156800,5.72
16-Mar-1978,0,5.72,5.7,5.7,16000,5.7
17-Mar-1978,0,5.73,5.7,5.72,19200,5.72
20-Mar-1978,0,5.75,5.66,5.73,124800,5.73
21-Mar-1978,0,5.78,5.72,5.73,60800,5.73
22-Mar-1978,0,5.77,5.73,5.75,111200,5.75
23-Mar-1978,0,5.75,5.7,5.7,80800,5.7
27-Mar-1978,0,5.78,5.7,5.77,44800,5.77
28-Mar-1978,0,5.8,5.77,5.8,168000,5.8
29-Mar-1978,0,5.97,5.77,5.94,220800,5.94
30-Mar-1978,0,5.92,5.86,5.92,144800,5.92
31-Mar-1978,0,5.92,5.89,5.91,76000,5.91
03-Apr-1978,0,5.92,5.75,5.78,88800,5.78
04-Apr-1978,0,5.88,5.75,5.88,124000,5.88
05-Apr-1978,0,5.92,5.78,5.92,172000,5.92
06-Apr-1978,0,5.92,5.89,5.91,108800,5.91
07-Apr-1978,0,5.92,5.88,5.88,149600,5.88
10-Apr-1978,0,5.88,5.77,5.84,96800,5.84
11-Apr-1978,0,5.94,5.81,5.94,248000,5.94
12-Apr-1978,0,5.95,5.91,5.91,82400,5.91
13-Apr-1978,0,5.97,5.88,5.95,168800,5.95
14-Apr-1978,0,6.08,5.97,5.97,159200,5.97
17-Apr-1978,0,6.19,6,6.05,419200,6.05
18-Apr-1978,0,6.08,6.02,6.06,112000,6.06
19-Apr-1978,0,6.17,6.05,6.12,103200,6.12
20-Apr-1978,0,6.34,6.16,6.23,379200,6.23
21-Apr-1978,0,6.28,6.2,6.28,73600,6.28
24-Apr-1978,0,6.3,6.22,6.28,572000,6.28
25-Apr-1978,0,6.53,6.31,6.53,1024800,6.53
26-Apr-1978,0,6.72,6.45,6.69,289600,6.69
27-Apr-1978,0,6.62,6.5,6.5,204000,6.5
28-Apr-1978,0,6.52,6.47,6.48,76000,6.48
01-May-1978,0,6.59,6.47,6.55,272800,6.55
02-May-1978,0,6.52,6.34,6.34,351200,6.34
03-May-1978,0,6.41,6.33,6.34,580000,6.34
04-May-1978,0,6.45,6.27,6.45,312000,6.45
05-May-1978,0,6.69,6.5,6.56,367200,6.56
08-May-1978,0,6.62,6.52,6.55,125600,6.55
09-May-1978,0,6.66,6.53,6.64,36800,6.64
10-May-1978,0,6.66,6.58,6.62,111200,6.62
11-May-1978,0,6.77,6.64,6.77,369600,6.77
12-May-1978,0,7.06,6.81,7,142400,7
15-May-1978,0,7,6.97,7,61600,7
16-May-1978,0,7.28,7.08,7.23,169600,7.23
17-May-1978,0,7.3,7.12,7.3,156800,7.3
18-May-1978,0,7.28,7.22,7.22,135200,7.22
19-May-1978,0,7.2,6.98,7.03,188000,7.03
22-May-1978,0,7.05,6.95,6.98,51200,6.98
23-May-1978,0,7,6.83,6.84,108800,6.84
24-May-1978,0,6.84,6.58,6.66,217600,6.66
