Date,Open,High,Low,Close,Volume,AdjClose
12-Mar-1993,0,2.75,2.31,2.64,28601796,2.64
15-Mar-1993,0,2.71,2.58,2.61,6587400,2.61
16-Mar-1993,0,2.62,2.52,2.55,3932796,2.55
17-Mar-1993,0,2.56,2.41,2.46,3173604,2.46
18-Mar-1993,0,2.54,2.46,2.54,736404,2.54
19-Mar-1993,0,2.54,2.48,2.52,543000,2.52
22-Mar-1993,0,2.54,2.37,2.37,1751400,2.37
23-Mar-1993,0,2.54,2.33,2.54,2002404,2.54
24-Mar-1993,0,2.54,2.41,2.48,1010196,2.48
25-Mar-1993,0,2.48,2.37,2.37,1036596,2.37
26-Mar-1993,0,2.41,2.37,2.37,1327404,2.37
29-Mar-1993,0,2.46,2.33,2.36,519000,2.36
30-Mar-1993,0,2.41,2.33,2.37,649800,2.37
31-Mar-1993,0,2.37,2.31,2.31,1667196,2.31
01-Apr-1993,0,2.37,2.29,2.31,317196,2.31
02-Apr-1993,0,2.31,2.14,2.21,1822200,2.21
05-Apr-1993,0,2.29,2.14,2.25,1452204,2.25
06-Apr-1993,0,2.33,2.25,2.25,1085796,2.25
07-Apr-1993,0,2.27,2.16,2.16,1218000,2.16
08-Apr-1993,0,2.23,2.1,2.12,990996,2.12
12-Apr-1993,0,2.12,2.06,2.1,1233600,2.1
13-Apr-1993,0,2.12,2.02,2.04,2007204,2.04
14-Apr-1993,0,2.12,2.04,2.12,3025800,2.12
15-Apr-1993,0,2.12,2.06,2.06,413196,2.06
16-Apr-1993,0,2.12,2.06,2.06,188604,2.06
19-Apr-1993,0,2.1,2.04,2.04,629400,2.04
20-Apr-1993,0,2.08,2.04,2.04,215004,2.04
21-Apr-1993,0,2.08,2,2.02,588600,2.02
22-Apr-1993,0,2.12,2.02,2.12,383196,2.12
23-Apr-1993,0,2.14,2.06,2.14,119004,2.14
26-Apr-1993,0,2.14,2.06,2.06,187404,2.06
27-Apr-1993,0,2.29,2.04,2.29,1041396,2.29
28-Apr-1993,0,2.29,2.23,2.27,348396,2.27
29-Apr-1993,0,2.23,2.19,2.23,319596,2.23
30-Apr-1993,0,2.35,2.21,2.29,1195200,2.29
03-May-1993,0,2.41,2.29,2.41,499596,2.41
04-May-1993,0,2.41,2.35,2.41,242604,2.41
05-May-1993,0,2.62,2.35,2.54,1216800,2.54
06-May-1993,0,2.58,2.44,2.48,599400,2.48
07-May-1993,0,2.58,2.48,2.52,473196,2.52
10-May-1993,0,2.64,2.52,2.58,349596,2.58
11-May-1993,0,2.62,2.56,2.56,391596,2.56
12-May-1993,0,2.6,2.56,2.56,145404,2.56
13-May-1993,0,2.6,2.54,2.58,303996,2.58
14-May-1993,0,2.6,2.54,2.56,204204,2.56
17-May-1993,0,2.62,2.56,2.58,143004,2.58
18-May-1993,0,2.62,2.58,2.58,803604,2.58
19-May-1993,0,2.68,2.62,2.66,1314204,2.66
20-May-1993,0,2.71,2.64,2.71,265404,2.71
21-May-1993,0,2.68,2.64,2.64,223404,2.64
24-May-1993,0,2.66,2.64,2.64,222204,2.64
25-May-1993,0,2.66,2.58,2.62,372396,2.62
26-May-1993,0,2.58,2.5,2.53,845604,2.53
27-May-1993,0,2.56,2.48,2.48,200604,2.48
28-May-1993,0,2.5,2.37,2.41,677400,2.41
01-Jun-1993,0,2.41,2.37,2.37,94800,2.37
02-Jun-1993,0,2.41,2.37,2.41,452796,2.41
03-Jun-1993,0,2.41,2.37,2.41,671400,2.41
04-Jun-1993,0,2.44,2.37,2.37,875604,2.37
07-Jun-1993,0,2.41,2.25,2.34,1144800,2.34
08-Jun-1993,0,2.32,2.19,2.25,1208400,2.25
09-Jun-1993,0,2.25,2.14,2.19,491196,2.19
10-Jun-1993,0,2.29,2.19,2.23,587400,2.23
11-Jun-1993,0,2.58,2.28,2.54,2111796,2.54
14-Jun-1993,0,2.62,2.52,2.56,950196,2.56
15-Jun-1993,0,2.6,2.52,2.54,741204,2.54
16-Jun-1993,0,2.56,2.52,2.56,301596,2.56
17-Jun-1993,0,2.56,2.52,2.52,73200,2.52
18-Jun-1993,0,2.56,2.52,2.52,67200,2.52
21-Jun-1993,0,2.68,2.52,2.68,664200,2.68
22-Jun-1993,0,2.68,2.62,2.62,64800,2.62
23-Jun-1993,0,2.64,2.6,2.64,108204,2.64
24-Jun-1993,0,2.81,2.6,2.79,1267200,2.79
25-Jun-1993,0,2.85,2.73,2.73,998196,2.73
28-Jun-1993,0,2.77,2.73,2.75,308796,2.75
29-Jun-1993,0,2.75,2.62,2.66,265404,2.66
30-Jun-1993,0,2.71,2.62,2.71,99600,2.71
01-Jul-1993,0,2.71,2.6,2.6,389196,2.6
02-Jul-1993,0,2.66,2.6,2.66,289404,2.66
06-Jul-1993,0,2.66,2.62,2.62,147804,2.62
07-Jul-1993,0,2.66,2.62,2.62,360396,2.62
08-Jul-1993,0,2.68,2.58,2.67,916596,2.67
09-Jul-1993,0,2.71,2.66,2.66,50400,2.66
12-Jul-1993,0,2.71,2.66,2.66,1050996,2.66
13-Jul-1993,0,2.71,2.66,2.71,78000,2.71
14-Jul-1993,0,2.71,2.64,2.65,760404,2.65
15-Jul-1993,0,2.71,2.64,2.71,990996,2.71
16-Jul-1993,0,2.68,2.62,2.68,408396,2.68
19-Jul-1993,0,2.71,2.62,2.64,694200,2.64
20-Jul-1993,0,2.66,2.62,2.62,162204,2.62
21-Jul-1993,0,2.64,2.5,2.52,510600,2.52
22-Jul-1993,0,2.54,2.35,2.42,742404,2.42
23-Jul-1993,0,2.48,2.41,2.41,323196,2.41
26-Jul-1993,0,2.48,2.39,2.44,421596,2.44
27-Jul-1993,0,2.48,2.39,2.44,547800,2.44
28-Jul-1993,0,2.44,2.35,2.35,275004,2.35
29-Jul-1993,0,2.44,2.35,2.39,553800,2.39
30-Jul-1993,0,2.46,2.39,2.39,1677996,2.39
02-Aug-1993,0,2.44,2.39,2.44,91200,2.44
03-Aug-1993,0,2.44,2.39,2.39,336396,2.39
04-Aug-1993,0,2.44,2.39,2.41,37200,2.41
05-Aug-1993,0,2.52,2.39,2.52,953796,2.52
06-Aug-1993,0,2.54,2.48,2.52,252204,2.52
09-Aug-1993,0,2.6,2.54,2.6,330396,2.6
