Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.59,1.55,1.56,1484800,1.56
04-Jan-1978,0,1.57,1.55,1.57,2758400,1.57
05-Jan-1978,0,1.58,1.52,1.52,2576000,1.52
06-Jan-1978,0,1.53,1.48,1.5,2542400,1.5
09-Jan-1978,0,1.49,1.47,1.48,2329600,1.48
10-Jan-1978,0,1.48,1.45,1.45,1936000,1.45
11-Jan-1978,0,1.46,1.43,1.43,2403200,1.43
12-Jan-1978,0,1.46,1.44,1.45,1686400,1.45
13-Jan-1978,0,1.47,1.45,1.45,1427200,1.45
16-Jan-1978,0,1.46,1.45,1.45,672000,1.45
17-Jan-1978,0,1.46,1.45,1.46,1561600,1.46
18-Jan-1978,0,1.49,1.47,1.49,1499200,1.49
19-Jan-1978,0,1.49,1.47,1.47,1225600,1.47
20-Jan-1978,0,1.48,1.45,1.46,676800,1.46
23-Jan-1978,0,1.48,1.46,1.46,1302400,1.46
24-Jan-1978,0,1.48,1.45,1.47,1172800,1.47
25-Jan-1978,0,1.48,1.46,1.47,1532800,1.47
26-Jan-1978,0,1.47,1.45,1.45,1148800,1.45
27-Jan-1978,0,1.46,1.45,1.45,1523200,1.45
30-Jan-1978,0,1.46,1.45,1.46,1014400,1.46
31-Jan-1978,0,1.47,1.45,1.45,2161600,1.45
01-Feb-1978,0,1.46,1.44,1.46,1240000,1.46
02-Feb-1978,0,1.47,1.46,1.46,681600,1.46
03-Feb-1978,0,1.47,1.46,1.47,518400,1.47
06-Feb-1978,0,1.46,1.46,1.46,446400,1.46
07-Feb-1978,0,1.47,1.46,1.47,580800,1.47
08-Feb-1978,0,1.48,1.46,1.48,1052800,1.48
09-Feb-1978,0,1.48,1.47,1.47,388800,1.47
10-Feb-1978,0,1.46,1.46,1.46,552000,1.46
13-Feb-1978,0,1.46,1.46,1.46,355200,1.46
14-Feb-1978,0,1.46,1.45,1.45,913600,1.45
15-Feb-1978,0,1.45,1.44,1.45,1912000,1.45
16-Feb-1978,0,1.44,1.41,1.42,1168000,1.42
17-Feb-1978,0,1.42,1.39,1.39,1235200,1.39
21-Feb-1978,0,1.39,1.38,1.39,947200,1.39
22-Feb-1978,0,1.39,1.38,1.38,1412800,1.38
23-Feb-1978,0,1.38,1.36,1.38,1316800,1.38
24-Feb-1978,0,1.43,1.39,1.42,1888000,1.42
27-Feb-1978,0,1.43,1.41,1.41,1475200,1.41
28-Feb-1978,0,1.4,1.39,1.39,1326400,1.39
01-Mar-1978,0,1.4,1.39,1.39,2377600,1.39
02-Mar-1978,0,1.41,1.4,1.41,1432000,1.41
03-Mar-1978,0,1.41,1.4,1.41,724800,1.41
06-Mar-1978,0,1.41,1.41,1.41,808000,1.41
07-Mar-1978,0,1.43,1.41,1.42,1739200,1.42
08-Mar-1978,0,1.43,1.41,1.43,1187200,1.43
09-Mar-1978,0,1.44,1.43,1.43,1902400,1.43
10-Mar-1978,0,1.45,1.44,1.45,2460800,1.45
13-Mar-1978,0,1.47,1.45,1.46,1283200,1.46
14-Mar-1978,0,1.46,1.44,1.44,1691200,1.44
15-Mar-1978,0,1.44,1.42,1.43,1672000,1.43
16-Mar-1978,0,1.44,1.42,1.44,758400,1.44
17-Mar-1978,0,1.46,1.44,1.45,1206400,1.45
20-Mar-1978,0,1.46,1.44,1.45,1441600,1.45
21-Mar-1978,0,1.45,1.43,1.43,1206400,1.43
22-Mar-1978,0,1.43,1.42,1.42,1129600,1.42
23-Mar-1978,0,1.43,1.41,1.42,1556800,1.42
27-Mar-1978,0,1.42,1.41,1.41,822400,1.41
28-Mar-1978,0,1.43,1.41,1.43,3003200,1.43
29-Mar-1978,0,1.44,1.43,1.43,971200,1.43
30-Mar-1978,0,1.43,1.42,1.43,932800,1.43
31-Mar-1978,0,1.42,1.41,1.41,1984000,1.41
03-Apr-1978,0,1.41,1.4,1.4,1283200,1.4
04-Apr-1978,0,1.41,1.4,1.41,1633600,1.41
05-Apr-1978,0,1.41,1.41,1.41,1172800,1.41
06-Apr-1978,0,1.43,1.42,1.42,1004800,1.42
07-Apr-1978,0,1.42,1.41,1.41,1235200,1.41
10-Apr-1978,0,1.41,1.39,1.39,1969600,1.39
11-Apr-1978,0,1.39,1.39,1.39,1038400,1.39
12-Apr-1978,0,1.39,1.37,1.37,2624000,1.37
13-Apr-1978,0,1.39,1.37,1.39,1763200,1.39
14-Apr-1978,0,1.42,1.4,1.41,2432000,1.41
17-Apr-1978,0,1.45,1.43,1.43,3670400,1.43
18-Apr-1978,0,1.44,1.42,1.43,2046400,1.43
19-Apr-1978,0,1.44,1.41,1.44,2614400,1.44
20-Apr-1978,0,1.46,1.45,1.45,3924800,1.45
21-Apr-1978,0,1.46,1.45,1.45,2104000,1.45
24-Apr-1978,0,1.47,1.45,1.46,3180800,1.46
25-Apr-1978,0,1.52,1.49,1.52,6428800,1.52
26-Apr-1978,0,1.55,1.52,1.55,3790400,1.55
27-Apr-1978,0,1.55,1.53,1.54,3161600,1.54
28-Apr-1978,0,1.59,1.54,1.59,6520000,1.59
01-May-1978,0,1.6,1.58,1.6,4699200,1.6
02-May-1978,0,1.59,1.57,1.58,3137600,1.58
03-May-1978,0,1.58,1.55,1.55,1945600,1.55
04-May-1978,0,1.55,1.52,1.54,3934400,1.54
05-May-1978,0,1.56,1.55,1.55,3320000,1.55
08-May-1978,0,1.56,1.55,1.55,2060800,1.55
09-May-1978,0,1.56,1.55,1.55,3584000,1.55
10-May-1978,0,1.57,1.55,1.56,1441600,1.56
11-May-1978,0,1.56,1.55,1.56,2108800,1.56
12-May-1978,0,1.6,1.57,1.6,3718400,1.6
15-May-1978,0,1.62,1.59,1.62,3075200,1.62
16-May-1978,0,1.66,1.63,1.66,2480000,1.66
17-May-1978,0,1.66,1.64,1.64,1820800,1.64
18-May-1978,0,1.63,1.61,1.61,1340800,1.61
19-May-1978,0,1.6,1.55,1.57,1955200,1.57
22-May-1978,0,1.62,1.56,1.62,2132800,1.62
23-May-1978,0,1.63,1.61,1.61,1662400,1.61
24-May-1978,0,1.61,1.58,1.59,2185600,1.59
25-May-1978,0,1.61,1.59,1.59,1345600,1.59
26-May-1978,0,1.59,1.57,1.59,1422400,1.59
30-May-1978,0,1.61,1.59,1.61,1288000,1.61
31-May-1978,0,1.62,1.6,1.6,1600000,1.6
01-Jun-1978,0,1.63,1.61,1.63,2600000,1.63
02-Jun-1978,0,1.67,1.64,1.66,5838400,1.66
05-Jun-1978,0,1.71,1.66,1.71,3008000,1.71
06-Jun-1978,0,1.73,1.7,1.7,4440000,1.7
07-Jun-1978,0,1.71,1.7,1.7,2676800,1.7
08-Jun-1978,0,1.72,1.7,1.71,1768000,1.71
09-Jun-1978,0,1.71,1.7,1.7,1244800,1.7
12-Jun-1978,0,1.71,1.7,1.7,3113600,1.7
13-Jun-1978,0,1.71,1.68,1.71,2334400,1.71
14-Jun-1978,0,1.73,1.71,1.73,8971200,1.73
15-Jun-1978,0,1.73,1.71,1.71,1504000,1.71
16-Jun-1978,0,1.72,1.7,1.7,1489600,1.7
19-Jun-1978,0,1.7,1.7,1.7,860800,1.7
20-Jun-1978,0,1.72,1.69,1.69,1854400,1.69
21-Jun-1978,0,1.7,1.68,1.68,1456000,1.68
22-Jun-1978,0,1.7,1.69,1.7,913600,1.7
23-Jun-1978,0,1.72,1.7,1.71,827200,1.71
26-Jun-1978,0,1.7,1.69,1.69,1292800,1.69
27-Jun-1978,0,1.69,1.67,1.68,3598400,1.68
28-Jun-1978,0,1.69,1.68,1.69,1225600,1.69
29-Jun-1978,0,1.7,1.68,1.69,2451200,1.69
30-Jun-1978,0,1.7,1.69,1.7,3488000,1.7
03-Jul-1978,0,1.7,1.7,1.7,1153600,1.7
05-Jul-1978,0,1.71,1.68,1.68,1398400,1.68
06-Jul-1978,0,1.68,1.66,1.67,1777600,1.67
07-Jul-1978,0,1.69,1.68,1.69,792000,1.69
10-Jul-1978,0,1.75,1.7,1.75,2811200,1.75
11-Jul-1978,0,1.75,1.71,1.72,2921600,1.72
12-Jul-1978,0,1.72,1.7,1.7,947200,1.7
13-Jul-1978,0,1.7,1.68,1.7,571200,1.7
14-Jul-1978,0,1.72,1.7,1.71,3080000,1.71
17-Jul-1978,0,1.73,1.72,1.73,1484800,1.73
18-Jul-1978,0,1.72,1.7,1.7,465600,1.7
19-Jul-1978,0,1.73,1.7,1.73,1859200,1.73
20-Jul-1978,0,1.74,1.72,1.74,3838400,1.74
21-Jul-1978,0,1.73,1.71,1.73,1360000,1.73
24-Jul-1978,0,1.72,1.71,1.72,3430400,1.72
25-Jul-1978,0,1.72,1.7,1.72,851200,1.72
26-Jul-1978,0,1.74,1.71,1.71,2460800,1.71
27-Jul-1978,0,1.72,1.71,1.72,1312000,1.72
28-Jul-1978,0,1.75,1.73,1.74,2921600,1.74
31-Jul-1978,0,1.77,1.74,1.77,2657600,1.77
01-Aug-1978,0,1.77,1.75,1.77,1796800,1.77
02-Aug-1978,0,1.79,1.76,1.79,4771200,1.79
03-Aug-1978,0,1.8,1.76,1.77,2460800,1.77
04-Aug-1978,0,1.78,1.76,1.77,1676800,1.77
07-Aug-1978,0,1.79,1.78,1.78,1024000,1.78
08-Aug-1978,0,1.79,1.78,1.79,662400,1.79
09-Aug-1978,0,1.84,1.8,1.81,5366400,1.81
10-Aug-1978,0,1.83,1.8,1.82,1451200,1.82
11-Aug-1978,0,1.82,1.8,1.81,1700800,1.81
14-Aug-1978,0,1.81,1.79,1.79,1004800,1.79
15-Aug-1978,0,1.79,1.78,1.79,1249600,1.79
16-Aug-1978,0,1.81,1.79,1.8,1177600,1.8
17-Aug-1978,0,1.83,1.8,1.81,2518400,1.81
18-Aug-1978,0,1.81,1.79,1.79,508800,1.79
21-Aug-1978,0,1.79,1.75,1.76,1268800,1.76
22-Aug-1978,0,1.77,1.74,1.77,1705600,1.77
23-Aug-1978,0,1.8,1.79,1.8,3204800,1.8
24-Aug-1978,0,1.8,1.77,1.8,1854400,1.8
25-Aug-1978,0,1.81,1.8,1.8,1710400,1.8
28-Aug-1978,0,1.8,1.78,1.78,384000,1.78
29-Aug-1978,0,1.8,1.78,1.79,985600,1.79
30-Aug-1978,0,1.8,1.77,1.79,1000000,1.79
31-Aug-1978,0,1.79,1.76,1.76,792000,1.76
01-Sep-1978,0,1.77,1.76,1.77,1393600,1.77
05-Sep-1978,0,1.77,1.73,1.77,1331200,1.77
06-Sep-1978,0,1.81,1.77,1.81,1796800,1.81
07-Sep-1978,0,1.8,1.79,1.79,812800,1.79
08-Sep-1978,0,1.84,1.8,1.84,1336000,1.84
11-Sep-1978,0,1.85,1.83,1.85,928000,1.85
12-Sep-1978,0,1.85,1.82,1.84,1993600,1.84
13-Sep-1978,0,1.84,1.81,1.81,1038400,1.81
14-Sep-1978,0,1.81,1.79,1.79,952000,1.79
15-Sep-1978,0,1.78,1.76,1.77,2436800,1.77
18-Sep-1978,0,1.78,1.76,1.77,2051200,1.77
19-Sep-1978,0,1.77,1.74,1.75,1292800,1.75
20-Sep-1978,0,1.76,1.73,1.73,2729600,1.73
21-Sep-1978,0,1.74,1.7,1.72,1364800,1.72
22-Sep-1978,0,1.73,1.71,1.73,710400,1.73
25-Sep-1978,0,1.73,1.72,1.72,268800,1.72
26-Sep-1978,0,1.74,1.71,1.72,2128000,1.72
27-Sep-1978,0,1.73,1.71,1.71,1345600,1.71
28-Sep-1978,0,1.72,1.7,1.72,2257600,1.72
29-Sep-1978,0,1.74,1.71,1.73,1710400,1.73
02-Oct-1978,0,1.73,1.72,1.73,1408000,1.73
03-Oct-1978,0,1.75,1.73,1.73,2017600,1.73
04-Oct-1978,0,1.76,1.73,1.75,971200,1.75
05-Oct-1978,0,1.77,1.74,1.74,2912000,1.74
06-Oct-1978,0,1.73,1.71,1.71,2470400,1.71
09-Oct-1978,0,1.72,1.71,1.72,971200,1.72
10-Oct-1978,0,1.72,1.7,1.71,1720000,1.71
11-Oct-1978,0,1.72,1.7,1.72,1393600,1.72
12-Oct-1978,0,1.72,1.71,1.71,1696000,1.71
13-Oct-1978,0,1.71,1.7,1.7,1355200,1.7
16-Oct-1978,0,1.7,1.67,1.68,2209600,1.68
17-Oct-1978,0,1.68,1.67,1.67,2585600,1.67
18-Oct-1978,0,1.68,1.66,1.66,2377600,1.66
19-Oct-1978,0,1.67,1.63,1.63,1763200,1.63
20-Oct-1978,0,1.63,1.6,1.61,4939200,1.61
23-Oct-1978,0,1.61,1.57,1.59,2748800,1.59
24-Oct-1978,0,1.6,1.57,1.57,2056000,1.57
25-Oct-1978,0,1.58,1.56,1.57,2089600,1.57
26-Oct-1978,0,1.55,1.53,1.54,3526400,1.54
27-Oct-1978,0,1.55,1.53,1.54,2305600,1.54
30-Oct-1978,0,1.55,1.49,1.55,4003200,1.55
31-Oct-1978,0,1.56,1.53,1.53,3195200,1.53
01-Nov-1978,0,1.62,1.57,1.61,3828800,1.61
02-Nov-1978,0,1.62,1.59,1.59,1499200,1.59
03-Nov-1978,0,1.61,1.59,1.6,2417600,1.6
06-Nov-1978,0,1.6,1.59,1.59,652800,1.59
07-Nov-1978,0,1.59,1.57,1.59,1744000,1.59
08-Nov-1978,0,1.59,1.56,1.57,1840000,1.57
09-Nov-1978,0,1.59,1.58,1.58,1427200,1.58
10-Nov-1978,0,1.6,1.58,1.59,432000,1.59
13-Nov-1978,0,1.58,1.56,1.56,609600,1.56
14-Nov-1978,0,1.56,1.55,1.55,956800,1.55
15-Nov-1978,0,1.6,1.57,1.58,1619200,1.58
16-Nov-1978,0,1.61,1.58,1.61,1595200,1.61
17-Nov-1978,0,1.64,1.62,1.62,2921600,1.62
20-Nov-1978,0,1.63,1.62,1.62,1196800,1.62
21-Nov-1978,0,1.64,1.62,1.63,875200,1.63
22-Nov-1978,0,1.64,1.63,1.64,1840000,1.64
24-Nov-1978,0,1.64,1.63,1.63,595200,1.63
27-Nov-1978,0,1.63,1.61,1.62,590400,1.62
28-Nov-1978,0,1.62,1.61,1.61,990400,1.61
29-Nov-1978,0,1.6,1.59,1.6,1600000,1.6
30-Nov-1978,0,1.61,1.6,1.61,856000,1.61
01-Dec-1978,0,1.62,1.62,1.62,729600,1.62
04-Dec-1978,0,1.63,1.6,1.6,1633600,1.6
05-Dec-1978,0,1.6,1.59,1.59,2859200,1.59
06-Dec-1978,0,1.61,1.59,1.6,2363200,1.6
07-Dec-1978,0,1.6,1.58,1.58,763200,1.58
08-Dec-1978,0,1.58,1.57,1.57,604800,1.57
11-Dec-1978,0,1.57,1.55,1.57,1600000,1.57
12-Dec-1978,0,1.57,1.55,1.55,1859200,1.55
13-Dec-1978,0,1.54,1.52,1.53,2156800,1.53
14-Dec-1978,0,1.53,1.52,1.52,1456000,1.52
15-Dec-1978,0,1.53,1.52,1.53,542400,1.53
